T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0645c14	羅漢作佛故是祕密」。問：《法花》明羅漢作佛，何	羅 漢 作 佛 故 是 祕 密 問 法 花 明 羅 漢 作 佛 何 
T34n1722_001:0645c15	故是祕密？《波若》不明羅漢作佛，何故非祕密	故 是 祕 密 波 若 不 明 羅 漢 作 佛 何 故 非 祕 密 
T34n1722_001:0645c16	耶？答：《法華》明羅漢作佛甚深難解故是祕密，	耶 答 法 華 明 羅 漢 作 佛 甚 深 難 解 故 是 祕 密 
T34n1722_001:0645c17	《波若》明菩薩作佛其義易解故非祕密。故《智	 波 若 明 菩 薩 作 佛 其 義 易 解 故 非 祕 密 故 智 
T34n1722_001:0645c18	度論》云「羅漢作佛，至佛時乃解，論甚深者正	度 論 云 羅 漢 作 佛 至 佛 時 乃 解 論 甚 深 者 正 
T34n1722_001:0645c19	可論其餘事」。龍樹既云未解、至佛時乃知，故	可 論 其 餘 事 龍 樹 既 云 未 解 至 佛 時 乃 知 故 
T34n1722_001:0645c20	羅漢作佛甚深難解。《涅槃．現病品》偈云「如佛	羅 漢 作 佛 甚 深 難 解 涅 槃 現 病 品 偈 云 如 佛 
T34n1722_001:0645c21	所說阿羅漢，一切當皆至涅槃，如是甚深佛	所 說 阿 羅 漢 一 切 當 皆 至 涅 槃 如 是 甚 深 佛 
T34n1722_001:0645c22	行處，凡夫下愚不能知」，故知羅漢作佛為難	行 處 凡 夫 下 愚 不 能 知 故 知 羅 漢 作 佛 為 難 
T34n1722_001:0645c23	解也。問：羅漢作佛何故難解耶？答：此望昔教	解 也 問 羅 漢 作 佛 何 故 難 解 耶 答 此 望 昔 教 
T34n1722_001:0645c24	為言故秤為難解。以昔教明羅漢煩惱已盡	為 言 故 秤 為 難 解 以 昔 教 明 羅 漢 煩 惱 已 盡 
T34n1722_001:0645c25	不復更生，如無明糠脫，故後世因中不復更	不復更生 如 無 明 糠 脫 故 後 世 因 中 不 復 更 
T34n1722_001:0645c26	生；今教遂明羅漢作佛，故於昔教為難解。問：	生 今 教 遂 明 羅 漢 作 佛 故 於 昔 教 為 難 解 問 
T34n1722_001:0645c27	昔教於誰為難解耶？答：正於聲聞人為難解，	昔 教 於 誰 為 難 解 耶 答 正 於 聲 聞 人 為 難 解 
T34n1722_001:0645c28	故《論》云「大藥師能用毒為藥，小藥師不能	故 論 云 大 藥 師 能 用 毒 為 藥 小 藥 師 不 能 
T34n1722_001:0645c29	用毒為藥」。菩薩能解二乘作佛，如解毒為	用 毒 為 藥 菩 薩 能 解 二 乘 作 佛 如 解 毒 為 
T34n1722_001:0646a01	藥，故《法花》付屬菩薩；聲聞但解菩薩作佛，如	藥 故 法 花 付 屬 菩 薩 聲 聞 但 解 菩 薩 作 佛 如 
T34n1722_001:0646a02	解用藥為藥，故《波若》付屬聲聞。不解二乘	解 用 藥 為 藥 故 波 若 付 屬 聲 聞 不 解 二 乘 
T34n1722_001:0646a03	作佛，如不解用毒為藥，故《法華》不付聲聞，	作 佛 如 不 解 用 毒 為 藥 故 法 華 不 付 聲 聞 
T34n1722_001:0646a04	所以《法華》於聲聞人為難解。問：若《波若》但明	所 以 法 華 於 聲 聞 人 為 難 解 問 若 波 若 但 明 
T34n1722_001:0646a05	菩薩作佛、未明二乘作佛，則波若教劣；《法華》	菩 薩 作 佛 未 明 二 乘 作 佛 則 波 若 教 劣 法 華 
T34n1722_001:0646a06	明菩薩作、佛復明二乘作佛，則法華為勝。何	明 菩 薩 作 佛 復 明 二 乘 作 佛 則 法 華 為 勝 何 
T34n1722_001:0646a07	以得知然？《智度論》釋〈問乘品〉列十種大經，	以 得 知 然 智 度 論 釋 問 乘 品 列 十 種 大 經 
T34n1722_001:0646a08	《法雲經》、《大雲經》、《法華經》，如是等經中而《波若》	 法 雲 經 大 雲 經 法 華 經 如 是 等 經 中 而 波 若 
T34n1722_001:0646a09	最大。既稱最大，則《法華》為劣。前後相違，云	最 大 既 稱 最 大 則 法 華 為 劣 前 後 相 違 云 
T34n1722_001:0646a10	何會通？答：《法華》、《波若》互有勝劣。若為聲聞人	何 會 通 答 法 華 波 若 互 有 勝 劣 若 為 聲 聞 人 
T34n1722_001:0646a11	明二乘作佛，則《法花》勝、《波若》為劣；若為菩薩	明 二 乘 作 佛 則 法 花 勝 波 若 為 劣 若 為 菩 薩 
T34n1722_001:0646a12	明實惠方便，則《波若》勝、《法華》劣。所以然者，	明 實 惠 方 便 則 波 若 勝 法 華 劣 所 以 然 者 
T34n1722_001:0646a13	《波若》六十六品辨於實惠，〈無盡品〉已去二十	 波 若 六 十 六 品 辨 於 實 惠 無 盡 品 已 去 二 十 
T34n1722_001:0646a14	四品明方便惠，此二惠是為十方三世諸佛	四 品 明 方 便 惠 此 二 惠 是 為 十 方 三世諸佛 
T34n1722_001:0646a15	法身父母，故《淨名經》云「智度菩薩為母，方	法 身 父 母 故 淨 名 經 云 智 度 菩 薩 為 母 方 
T34n1722_001:0646a16	便以為父，一切諸導師，無不由是生」。既廣明	便 以 為 父 一 切 諸 導 師 無 不 由 是 生 既 廣 明 
T34n1722_001:0646a17	法身父母，故於一切方等經中最為深大。餘	法 身 父 母 故 於 一 切 方 等 經 中 最 為 深 大 餘 
T34n1722_001:0646a18	經不正明此義，故不及《波若》。又《波若》廣明實	經 不 正 明 此 義 故 不 及 波 若 又 波 若 廣 明 實 
T34n1722_001:0646a19	相，故於眾經中最為深大。所以然者，三乘得	相 故 於 眾 經 中 最 為 深 大 所 以 然 者 三 乘 得 
T34n1722_001:0646a20	道及以斷惑、辨懺悔重罪，此之三義悉依實	道 及 以 斷 惑 辨 懺 悔 重 罪 此 之 三 義 悉 依 實 
T34n1722_001:0646a21	相，而《波若》正廣明實相，故三義得成。餘經不	相 而 波 若 正 廣 明 實 相 故 三 義 得 成 餘 經 不 
T34n1722_001:0646a22	正明實相，故有劣波若。是以兩經互有優劣，	正 明 實 相 故 有 劣 波 若 是 以 兩 經 互 有 優 劣 
T34n1722_001:0646a23	故龍樹前後有於二文。問：此解何所出也？答：	故 龍 樹 前 後 有 於 二 文 問 此 解 何 所 出 也 答 
T34n1722_001:0646a24	叡師《小品．序》說《波若》、《法花》二經互有優劣之	叡 師 小 品 序 說 波 若 法 花 二 經 互 有 優 劣 之 
T34n1722_001:0646a25	義云「《法華》鏡本以凝照，《波若》[穴/俱]末以解懸。	義 云 法 華 鏡 本 以 凝 照 波 若 [穴俱] 末 以 解 懸 
T34n1722_001:0646a26	解懸理趣，菩薩道也；凝照鏡本，結其終也。終	解 懸 理 趣 菩 薩 道 也 凝 照 鏡 本 結 其 終 也 終 
T34n1722_001:0646a27	而不泯則歸途扶蔬有三寶之迹，擁惠不	而 不 泯 則 歸 途 扶 蔬 有 三 寶 之 迹 擁 惠 不 
T34n1722_001:0646a28	夷則亂緒紛綸有惑趣之異，是以《法華》、《波若》	夷 則 亂 緒 紛 綸 有 惑 趣 之 異 是 以 法 華 波 若 
T34n1722_001:0646a29	相待以期終，方便、實化[穴/俱]一以俟盡。論其窮	相 待 以 期 終 方 便 實 化 [穴俱] 一 以 俟 盡 論 其 窮 
T34n1722_001:0646b01	理盡性、夷明萬行，則實不如照；取其大明真	理 盡 性 夷 明 萬 行 則 實 不 如 照 取 其 大 明 真 
T34n1722_001:0646b02	化解本無三，則照不如實」。照則《波若》，實則《法	化 解 本 無 三 則 照 不 如 實 照 則 波 若 實 則 法 
T34n1722_001:0646b03	華》，故互有優劣，則其證也。問：若二經互有優	華 故 互 有 優 劣 則 其 證 也 問 若 二 經 互 有 優 
T34n1722_001:0646b04	劣，何故《智度論》復云「《法華》是《波若》異名」？答：	劣 何 故 智 度 論 復 云 法 華 是 波 若 異 名 答 
T34n1722_001:0646b05	《波若》、《法華》同是正觀平等大慧，顯道無異，故	 波 若 法 華 同 是 正 觀 平 等 大 慧 顯 道 無 異 故 
T34n1722_001:0646b06	云《法華》是《波若》異名也。是以《論》云「《波若》是	云 法 華 是 波 若 異 名 也 是 以 論 云 波 若 是 
T34n1722_001:0646b07	一法，佛說種種名，隨諸眾生力，為之立異字」。	一 法 佛 說 種 種 名 隨 諸 眾 生 力 為 之 立 異 字 
T34n1722_001:0646b08	今但約教、為人，故有差別。波若教明直往菩	今 但 約 教 為 人 故 有 差 別 波 若 教 明 直 往 菩 
T34n1722_001:0646b09	薩作佛，法花教明迴小入大菩薩作佛。經	薩 作 佛 法 花 教 明 迴 小 入 大 菩 薩 作 佛 經 
T34n1722_001:0646b10	約人不同而作佛無異，如長者大宅及以七	約 人 不 同 而 作 佛 無 異 如 長 者 大 宅 及 以 七 
T34n1722_001:0646b11	珍始終無異，但付財之時未得說窮子是長	珍 始 終 無 異 但 付 財 之 時 未 得 說 窮 子 是 長 
T34n1722_001:0646b12	者兒，委家業時始得會其天性以為付子	者 兒 委 家 業 時 始 得 會 其 天 性 以 為 付 子 
T34n1722_001:0646b13	之也。問：《波若》未明二乘作佛，得是不了教	之 也 問 波 若 未 明 二 乘 作 佛 得 是 不 了 教 
T34n1722_001:0646b14	不？答：《波若》明菩薩作佛，此事顯了，于時大機	不 答 波 若 明 菩 薩 作 佛 此 事 顯 了 于 時 大 機 
T34n1722_001:0646b15	未熟，故不得說二乘成佛。約此一邊，亦得稱	未 熟 故 不 得 說 二 乘 成 佛 約 此 一 邊 亦 得 稱 
T34n1722_001:0646b16	為不了。問：若爾，何得《論》釋〈畢竟定品〉云「須	為 不 了 問 若 爾 何 得 論 釋 畢 竟 定 品 云 須 
T34n1722_001:0646b17	菩提聞《法花經》明一切成佛，復聞《波若》辨菩	菩 提 聞 法 花 經 明 一 切 成 佛 復 聞 波 若 辨 菩 
T34n1722_001:0646b18	薩有退，是故今問佛為畢定為不畢定。此問	薩 有 退 是 故 今 問 佛 為 畢 定 為 不 畢 定 此 問 
T34n1722_001:0646b19	意審二經之同異。佛答云『菩薩畢定，畢定者	意 審 二 經 之 同 異 佛 答 云 菩 薩 畢 定 畢 定 者 
T34n1722_001:0646b20	畢定成佛也』」。既明畢定成佛，則唯有一佛	畢 定 成 佛 也 既 明 畢 定 成 佛 則 唯 有 一 佛 
T34n1722_001:0646b21	乘，不退為聲聞則顯無二乘。此意明波若同	乘 不 退 為 聲 聞 則 顯 無 二 乘 此 意 明 波 若 同 
T34n1722_001:0646b22	法華教，何得云《波若》未明二乘作佛？答：已如	法 華 教 何 得 云 波 若 未 明 二 乘 作 佛 答 已 如 
T34n1722_001:0646b23	前通，《波若》非一時一座說，初分未明二乘作	前 通 波 若 非 一 時 一 座 說 初 分 未 明 二 乘 作 
T34n1722_001:0646b24	佛，故與《法花》異；後分明菩薩不退，顯有一無	佛 故 與 法 花 異 後 分 明 菩 薩 不 退 顯 有 一 無 
T34n1722_001:0646b25	二，與《法華》大同，故不相違也。第三、就法華自	二 與 法 華 大 同 故 不 相 違 也 第 三 就 法 華 自 
T34n1722_001:0646b26	論顯密。問：若《法花》顯教菩薩、顯化二乘者，則	論 顯 密 問 若 法 花 顯 教 菩 薩 顯 化 二 乘 者 則 
T34n1722_001:0646b27	《法花》是顯了之教，始終應無覆相之說。若	 法 花 是 顯 了 之 教 始 終 應 無 覆 相 之 說 若 
T34n1722_001:0646b28	爾，〈化城品〉明三千墨點猶為十六王子沙彌	爾 化 城 品 明 三 千 墨 點 猶 為 十 六 王 子 沙 彌 
T34n1722_001:0646b29	之位，〈壽量品〉明五百萬億阿僧祇世界末為	之 位 壽 量 品 明 五 百 萬 億 阿 僧 祇 世 界 末 為 
T34n1722_001:0646c01	微塵，成佛已來復過是數，則壽量之佛是顯	微 塵 成佛已來 復 過 是 數 則 壽 量 之 佛 是 顯 
T34n1722_001:0646c02	了之言，十六王子便是覆相之說，何得一部	了 之 言 十 六 王 子 便 是 覆 相 之 說 何 得 一 部 
T34n1722_001:0646c03	皆顯了耶？答：夫立教隱顯要鑪冶始終，今約	皆 顯 了 耶 答 夫 立 教 隱 顯 要 鑪 冶 始 終 今 約 
T34n1722_001:0646c04	一經大分四轍：一、覆而不開，二、亦開亦覆，三、	一 經 大 分 四 轍 一 覆 而 不 開 二 亦 開 亦 覆 三 
T34n1722_001:0646c05	開而不覆，四、不開不覆。覆而不開，初之	開 而 不 覆 四 不 開 不 覆 覆 而 不 開 初 之 
T34n1722_001:0646c06	一品，嘉瑞交興、妙輪將轉，而未弊二權，猶	一 品 嘉 瑞 交 興 妙 輪 將 轉 而 未 弊 二 權 猶 
T34n1722_001:0646c07	隱兩實，謂覆而不開。亦開亦覆者，始從〈方便	隱 兩 實 謂 覆 而 不 開 亦 開 亦 覆 者 始 從 方 便 
T34n1722_001:0646c08	品〉終竟〈法師品〉，但明乘權乘實，所謂亦開；猶	品 終 竟 法 師 品 但 明 乘 權 乘 實 所 謂 亦 開 猶 
T34n1722_001:0646c09	隱身權身實，秤為亦覆，故三千墨點始開結	隱 身 權 身 實 秤 為 亦 覆 故 三 千 墨 點 始 開 結 
T34n1722_001:0646c10	緣之始，十六數猶掩成佛之初。開而不覆	緣 之 始 十 六 數 猶 掩 成 佛 之 初 開 而 不 覆 
T34n1722_001:0646c11	者，即後分經也，俱廢二權、雙顯兩實，則教無	者 即 後 分 經 也 俱 廢 二 權 雙 顯 兩 實 則 教 無 
T34n1722_001:0646c12	纖隱、理無豪翳，致有十二深益、八種嘉瑞。不	纖 隱 理 無 豪 翳 致 有 十 二 深 益 八 種 嘉 瑞 不 
T34n1722_001:0646c13	開不覆者，夫借一以破三、三除而一捨，假脩	開 不 覆 者 夫 借 一 以 破 三 三 除 而 一 捨 假 脩 
T34n1722_001:0646c14	以斥短、短息而脩忘，故言窮慮絕，何實何權？	以 斥 短 短 息 而 脩 忘 故 言 窮 慮 絕 何 實 何 權 
T34n1722_001:0646c15	本性寂滅，孰開孰覆？理超言外，強秤妙法，道	本 性 寂 滅 孰 開 孰 覆 理 超 言 外 強 秤 妙 法 道 
T34n1722_001:0646c16	玄像表，假喻蓮花。第四料簡顯密。問：小乘亦	玄 像 表 假 喻 蓮 花 第 四 料 簡 顯 密 問 小 乘 亦 
T34n1722_001:0646c17	是說密一乘不？答：佛說小乘意在悟大乘，	是 說 密 一 乘 不 答 佛 說 小 乘 意 在 悟 大 乘 
T34n1722_001:0646c18	故說小乘亦是密說一乘也。問：小乘就何文	故 說 小 乘 亦 是 密 說 一 乘 也 問 小 乘 就 何 文 
T34n1722_001:0646c19	是密說一乘耶？答：如云「三乘人同得人無我、	是 密 說 一 乘 耶 答 如 云 三 乘 人 同 得 人 無 我 
T34n1722_001:0646c20	同斷煩惱、同入無餘」，即是密說三乘同歸一	同 斷 煩 惱 同 入 無 餘 即 是 密 說 三 乘 同 歸 一 
T34n1722_001:0646c21	道也。問：《大品》唯付財是密說一乘，更有餘義	道 也 問 大 品 唯 付 財 是 密 說 一 乘 更 有 餘 義 
T34n1722_001:0646c22	耶？答：《大品》中明三乘人同是一如、同入法性，	耶 答 大 品 中 明 三 乘 人 同 是 一 如 同 入 法 性 
T34n1722_001:0646c23	即是密說三同入一乘。問：顯說一乘為何人	即 是 密 說 三 同 入 一 乘 問 顯 說 一 乘 為 何 人 
T34n1722_001:0646c24	耶？答：為三種人：一者、為不定根性聲聞令入	耶 答 為 三 種 人 一 者 為 不 定 根 性 聲 聞 令 入 
T34n1722_001:0646c25	一乘，二者、為練已定根性聲聞令入一乘，	一 乘 二 者 為 練 已 定 根 性 聲 聞 令 入 一 乘 
T34n1722_001:0646c26	三者、為直往菩薩令知有一無三但進不退	三 者 為 直 往 菩 薩 令 知 有 一 無 三 但 進 不 退 
T34n1722_001:0646c27	也。	也 
T34n1722_001:0646c28	第六、論三一義。此經始末論三一開會，凡有	第 六 論 三 一 義 此 經 始 末 論 三 一 開 會 凡 有 
T34n1722_001:0646c29	十門：一者、開三顯一，二者、會三歸一，三者、廢三	十 門 一 者 開 三 顯 一 二 者 會 三 歸 一 三 者 廢 三 
T34n1722_001:0647a01	立一，四者、破三明一，五者、覆三明一，六者、三	立 一 四 者 破 三 明 一 五 者 覆 三 明 一 六 者 三 
T34n1722_001:0647a02	前辨一，七者、三中明一，八者、三後辨一，九	前 辨 一 七 者 三 中 明 一 八 者 三 後 辨 一 九 
T34n1722_001:0647a03	者、絕三明一，十者、無三辨一也。開三顯一者，	者 絕 三 明 一 十 者 無 三 辨 一 也 開 三 顯 一 者 
T34n1722_001:0647a04	開昔三乘是方便、示今一乘是真實，故云	開 昔 三 乘 是 方 便 示 今 一 乘 是 真 實 故 云 
T34n1722_001:0647a05	開三顯一也。會三歸一者，會彼三行歸一佛	開 三 顯 一 也 會 三 歸 一 者 會 彼 三 行 歸 一 佛 
T34n1722_001:0647a06	乘，故云「汝等所行是菩薩道」也。廢三立一者，	乘 故 云 汝 等 所 行 是 菩 薩 道 也 廢 三 立 一 者 
T34n1722_001:0647a07	廢昔三教、立今一乘教，故云「於諸菩薩前，正	廢 昔 三 教 立 今 一 乘 教 故 云 於 諸 菩 薩 前 正 
T34n1722_001:0647a08	直捨方便，但說無上道」也。破三明一者，破其	直 捨 方 便 但 說 無 上 道 也 破 三 明 一 者 破 其 
T34n1722_001:0647a09	執三異實之情，以明一乘之道也，故文云	執 三 異 實 之 情 以 明 一 乘 之 道 也 故 文 云 
T34n1722_001:0647a10	「唯有一乘法無三」也。覆三明一者，如來赴	 唯 有 一 乘 法 無 三 也 覆 三 明 一 者 如 來 赴 
T34n1722_001:0647a11	三一兩緣，常有三一之教，昔則以三覆一，今	三 一 兩 緣 常 有 三 一 之 教 昔 則 以 三 覆 一 今 
T34n1722_001:0647a12	則以一覆三。三前明一者，未趣鹿苑之說	則 以 一 覆 三 三 前 明 一 者 未 趣 鹿 苑 之 說 
T34n1722_001:0647a13	三前，寂滅道場已明一實之教，謂三前一	三 前 寂 滅 道 場 已 明 一 實 之 教 謂 三 前 一 
T34n1722_001:0647a14	也。三中明一者，從趣鹿苑說於三乘：佛乘第	也 三 中 明 一 者 從 趣 鹿 苑 說 於 三 乘 佛 乘 第 
T34n1722_001:0647a15	一，緣覺第二，聲聞第三，謂三中明一也。三後	一 緣 覺 第 二 聲 聞 第 三 謂 三 中 明 一 也 三 後 
T34n1722_001:0647a16	明一者，三乘之後法花教門，以會彼三乘同	明 一 者 三 乘 之 後 法 花 教 門 以 會 彼 三 乘 同 
T34n1722_001:0647a17	歸一道，謂三後明一也。絕三明一者，如無言	歸 一 道 謂 三 後 明 一 也 絕 三 明 一 者 如 無 言 
T34n1722_001:0647a18	世界，外則無言無示，內則無慮無識，故不論	世 界 外 則 無 言 無 示 內 則 無 慮 無 識 故 不 論 
T34n1722_001:0647a19	一三而已，即以此為佛事，故則復是一，故云	一 三 而 已 即 以 此 為 佛 事 故 則 復 是 一 故 云 
T34n1722_001:0647a20	絕一也。無三辨一者，如香積菩薩云「彼土	絕 一 也 無 三 辨 一 者 如 香 積 菩 薩 云 彼 土 
T34n1722_001:0647a21	無有二乘名字」，謂無三辨一也，「但有清淨大	無 有 二 乘 名 字 謂 無 三 辨 一 也 但 有 清 淨 大 
T34n1722_001:0647a22	菩薩眾」，謂有一也。前之五種就義論一也，	菩 薩 眾 謂 有 一 也 前 之 五 種 就 義 論 一 也 
T34n1722_001:0647a23	後五種約時處前文不同教門差別，故開	後 五 種 約 時 處 前 文 不 同 教 門 差 別 故 開 
T34n1722_001:0647a24	五也。問：云何名會三歸一耶？答：欲識會三歸	五 也 問 云 何 名 會 三 歸 一 耶 答 欲 識 會 三 歸 
T34n1722_001:0647a25	一，先須知開一為三。開一為三者，昔指大乘	一 先 須 知 開 一 為 三 開 一 為 三 者 昔 指 大 乘 
T34n1722_001:0647a26	之因說為小乘究竟之果也，今還指小乘究	之 因 說 為 小 乘 究 竟 之 果 也 今 還 指 小 乘 究 
T34n1722_001:0647a27	竟之果即是大乘之因，故名會三歸一也。問：	竟 之 果 即 是 大 乘 之 因 故 名 會 三 歸 一 也 問 
T34n1722_001:0647a28	小乘人謂是究竟，為是迷因？為是迷果？答：	小 乘 人 謂 是 究 竟 為 是 迷 因 為 是 迷 果 答 
T34n1722_001:0647a29	實是大因謂是小果，故是迷因也。問：一三有	實 是 大 因 謂 是 小 果 故 是 迷 因 也 問 一 三 有 
T34n1722_001:0647b01	此十句，近遠亦有十門耶？答：亦有十門，如	此 十 句 近 遠 亦 有 十 門 耶 答 亦 有 十 門 如 
T34n1722_001:0647b02	〈壽量品〉文疏已出也。問：今明一乘，為是三中	 壽 量 品 文 疏 已 出 也 問 今 明 一 乘 為 是 三 中 
T34n1722_001:0647b03	一？為三外有一耶？答：此經始終具有二義：	一 為 三 外 有 一 耶 答 此 經 始 終 具 有 二 義 
T34n1722_001:0647b04	一者、猶是三中一。所以然者，以歎五乘攝	一 者 猶 是 三 中 一 所 以 然 者 以 歎 五 乘 攝 
T34n1722_001:0647b05	乘義盡。人天乘則攝世間乘，三乘攝出世間	乘 義 盡 人 天 乘 則 攝 世 間 乘 三 乘 攝 出 世 間 
T34n1722_001:0647b06	乘，若爾則一乘猶是三乘中之佛乘也。故文	乘 若 爾 則 一 乘 猶 是 三 乘 中 之 佛 乘 也 故 文 
T34n1722_001:0647b07	云「十方佛土中，唯有一乘法，無二亦無三」，此	云 十 方 佛 土 中 唯 有 一 乘 法 無 二 亦 無 三 此 
T34n1722_001:0647b08	以一二三為數，則以一乘為一，緣覺為二，聲	以 一 二 三 為 數 則 以 一 乘 為 一 緣 覺 為 二 聲 
T34n1722_001:0647b09	聞為三，則知一乘猶是三中一也。又文云「但	聞 為 三 則 知 一 乘 猶 是 三 中 一 也 又 文 云 但 
T34n1722_001:0647b10	以一佛乘，為眾生說法，更無有餘乘，若二若	以 一 佛 乘 為 眾 生 說 法 更 無 有 餘 乘 若 二 若 
T34n1722_001:0647b11	三」，此明以佛乘為一，聲聞緣覺二乘為餘乘。	三 此 明 以 佛 乘 為 一 聲 聞 緣 覺 二 乘 為 餘 乘 
T34n1722_001:0647b12	故下文言「更遣餘人」，則知餘人屬二乘也。既	故 下 文 言 更 遣 餘 人 則 知 餘 人 屬 二 乘 也 既 
T34n1722_001:0647b13	言「無有餘乘」，則無緣覺之第二、聲聞之第三，	言 無 有 餘 乘 則 無 緣 覺 之 第 二 聲 聞 之 第 三 
T34n1722_001:0647b14	故知佛乘猶是三中之一。此文其例甚多，不	故 知 佛 乘 猶 是 三 中 之 一 此 文 其 例 甚 多 不 
T34n1722_001:0647b15	須疑也。二者、一乘非是三中之一。如〈信解品〉	須 疑 也 二 者 一 乘 非 是 三 中 之 一 如 信 解 品 
T34n1722_001:0647b16	說，「長者以方便力密遣二人」，則以二乘為方	說 長 者 以 方 便 力 密 遣 二 人 則 以 二 乘 為 方 
T34n1722_001:0647b17	便，「脫珍御服著弊垢衣，方便附近子，語令懃	便 脫 珍 御 服 著 弊 垢 衣 方 便 附 近 子 語 令 懃 
T34n1722_001:0647b18	作」，則佛乘亦是方便，則知三乘並是方便。	作 則 佛 乘 亦 是 方 便 則 知 三 乘 並 是 方 便 
T34n1722_001:0647b19	今明一乘是真實，故知一乘非是三乘中之	今 明 一 乘 是 真 實 故 知 一 乘 非 是 三 乘 中 之 
T34n1722_001:0647b20	佛乘也。問：以何義故明一乘是三乘中佛乘？	佛 乘 也 問 以 何 義 故 明 一 乘 是 三 乘 中 佛 乘 
T34n1722_001:0647b21	復以何義明一乘非是三乘中佛乘耶？答：欲，	復 以 何 義 明 一 乘 非 是 三 乘 中 佛 乘 耶 答 欲 
T34n1722_001:0647b22	明三乘攝出世乘盡故，對二乘之方便明佛	明 三 乘 攝 出 世 乘 盡 故 對 二 乘 之 方 便 明 佛 
T34n1722_001:0647b23	乘是真實，故文云「唯此一事實，餘二則非真」，	乘 是 真 實 故 文 云 唯 此 一 事 實 餘 二 則 非 真 
T34n1722_001:0647b24	所以明一乘是三乘中之一也。就佛乘中復	所 以 明 一 乘 是 三 乘 中 之 一 也 就 佛 乘 中 復 
T34n1722_001:0647b25	自開真、應，昔為二乘人說佛方便身，故佛乘	自 開 真 應 昔 為 二 乘 人 說 佛 方 便 身 故 佛 乘 
T34n1722_001:0647b26	是方便身，即以今教明佛身是真實，故真實	是 方 便 身 即 以 今 教 明 佛 身 是 真 實 故 真 實 
T34n1722_001:0647b27	之乘異方便佛，如師子座長者異著弊垢衣	之 乘 異 方 便 佛 如 師 子 座 長 者 異 著 弊 垢 衣 
T34n1722_001:0647b28	長者，以約今昔兩教明佛有權實不同，是故	長 者 以 約 今 昔 兩 教 明 佛 有 權 實 不 同 是 故 
T34n1722_001:0647b29	一乘非三乘中之一也。問：此經中始末或言	一 乘 非 三 乘 中 之 一 也 問 此 經 中 始 末 或 言 
T34n1722_001:0647c01	「佛以方便力示以三乘教」，則三乘並是方便；	 佛 以 方 便 力 示 以 三 乘 教 則 三 乘 並 是 方 便 
T34n1722_001:0647c02	又云「唯此一事實，餘則非真」，是則二方便。	又 云 唯 此 一 事 實 餘 則 非 真 是 則 二 方 便 
T34n1722_001:0647c03	兩文相違，何以通會？答：此二文猶是一義，	兩 文 相 違 何 以 通 會 答 此 二 文 猶 是 一 義 
T34n1722_001:0647c04	無相違也。「於一佛乘方便說三」，次云「一乘是	無 相 違 也 於 一 佛 乘 方 便 說 三 次 云 一 乘 是 
T34n1722_001:0647c05	真實二乘是方便」，如人手內實有一菓，方便	真 實 二 乘 是 方 便 如 人 手 內 實 有 一 菓 方 便 
T34n1722_001:0647c06	言三菓。次第考論者，一菓是實，二是方便，	言 三 菓 次 第 考 論 者 一 菓 是 實 二 是 方 便 
T34n1722_001:0647c07	故說三說二並是方便，猶是一義不相違也。	故 說 三 說 二 並 是 方 便 猶 是 一 義 不 相 違 也 
T34n1722_001:0647c08	問：為會三歸一？為會二歸一？答：此且猶是一	問 為 會 三 歸 一 為 會 二 歸 一 答 此 且 猶 是 一 
T34n1722_001:0647c09	義。《智度論》云「於一佛乘開為三分」，如人分	義 智 度 論 云 於 一 佛 乘 開 為 三 分 如 人 分 
T34n1722_001:0647c10	一斗米為三聚，亦得合三聚為一聚，亦得會	一 斗 米 為 三 聚 亦 得 合 三 聚 為 一 聚 亦 得 會 
T34n1722_001:0647c11	二聚歸一聚，會三會二猶是一義，不相違也。	二 聚 歸 一 聚 會 三 會 二 猶 是 一 義 不 相 違 也 
T34n1722_001:0647c12	第七、明功用門。問：何故受持讀誦、書寫解說、	第 七 明 功 用 門 問 何 故 受持讀誦 書 寫 解 說 
T34n1722_001:0647c13	供養恭敬、尊重讚歎，障累內消、祥瑞外發耶？	供養恭敬 尊 重 讚 歎 障 累 內 消 祥 瑞 外 發 耶 
T34n1722_001:0647c14	答：昔有天竺僧弼法師云：「此經有三義故勝：	答 昔 有 天 竺 僧 弼 法 師 云 此 經 有 三 義 故 勝 
T34n1722_001:0647c15	一者、眾經不泯三為一，此經獨三泯；二、持	一 者 眾 經 不 泯 三 為 一 此 經 獨 三 泯 二 持 
T34n1722_001:0647c16	者現得六根清淨，三、普賢等諸菩薩親乘六	者 現 得 六 根 清 淨 三 普 賢 等 諸 菩 薩 親 乘 六 
T34n1722_001:0647c17	牙白象來護人通法。」故障累內消、祥瑞外發。	牙 白 象 來 護 人 通 法 故 障 累 內 消 祥 瑞 外 發 
T34n1722_001:0647c18	今明不正有此三事。此經是眾經之實體	今 明 不 正 有 此 三 事 此 經 是 眾 經 之 實 體 
T34n1722_001:0647c19	也，諸佛之祕密藏，融釋大小該羅今昔，理	也 諸 佛 之 祕 密 藏 融 釋 大 小 該 羅 今 昔 理 
T34n1722_001:0647c20	致淵遠超四句之表，有十事奇特出眾經之	致 淵 遠 超 四 句 之 表 有 十 事 奇 特 出 眾 經 之 
