T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_009:0578c16	菩提。」	菩 提 
T13n0402_009:0578c17	爾時，有魔名曰不去——曾於佛所極多供養，於	爾 時 有 魔 名 曰 不 去 曾 於 佛 所 極 多 供 養 於 
T13n0402_009:0578c18	三寶中淨信不動，得阿耨多羅三藐三菩提	三 寶 中 淨 信 不 動 得阿耨多羅三藐三菩提 
T13n0402_009:0578c19	記——作大仙人形從坐而起，於釋迦如來前合	記 作 大 仙 人 形 從 坐 而 起 於 釋 迦 如 來 前 合 
T13n0402_009:0578c20	掌，遍觀如來，世尊威力加故，於一切佛剎大	掌 遍 觀 如 來 世 尊 威 力 加 故 於 一 切 佛 剎 大 
T13n0402_009:0578c21	聲遍滿，作如是言：「諸佛世尊一心念我，一切	聲 遍 滿 作如是言 諸佛世尊 一 心 念 我 一 切 
T13n0402_009:0578c22	菩薩摩訶薩，及天、龍、夜叉、乾闥婆、阿修羅、伽	菩薩摩訶薩 及 天 龍 夜 叉 乾 闥 婆 阿 修 羅 伽 
T13n0402_009:0578c23	樓羅、緊那羅、摩呼羅伽、人、非人等，魔及眷屬	樓 羅 緊 那 羅 摩 呼 羅 伽 人 非 人 等 魔 及 眷 屬 
T13n0402_009:0578c24	聽我所說。今此世尊釋迦牟尼大悲導師，往	聽 我 所 說 今 此 世 尊 釋 迦 牟 尼 大 悲 導 師 往 
T13n0402_009:0578c25	昔之時誓願如是，於極穢惡五濁佛剎，得阿	昔 之 時 誓 願 如 是 於 極 穢 惡 五 濁 佛 剎 得 阿 
T13n0402_009:0578c26	耨多羅三藐三菩提，作逆眾生誹謗妙法謗	耨 多 羅 三藐三菩提 作 逆 眾 生 誹 謗 妙 法 謗 
T13n0402_009:0578c27	無聖人，具不善根惡行相應心相續成就者，	無 聖 人 具 不 善 根 惡 行 相 應 心 相 續 成 就 者 
T13n0402_009:0578c28	普令出過三惡道故，成熟三乘故，修忍三昧	普 令 出 過 三 惡 道 故 成 熟 三 乘 故 修 忍 三 昧 
T13n0402_009:0578c29	陀羅尼故，引向清淨諸佛剎土，令三寶種久	陀 羅 尼 故 引 向 清 淨 諸 佛 剎 土 令 三 寶 種 久 
T13n0402_009:0579a01	住不斷，成就大願，斷除一切穢濁佛剎，成	住 不 斷 成 就 大 願 斷除一切 穢 濁 佛 剎 成 
T13n0402_009:0579a02	滿一切功德莊嚴。	滿 一切功德 莊 嚴 
T13n0402_009:0579a03	「是故，我等當如是作，為令如來正教久住，及	 是 故 我 等 當 如 是 作 為 令 如 來 正 教 久 住 及 
T13n0402_009:0579a04	妙正法得不滅壞。若今現在、若未來世，無有	妙 正 法 得 不 滅 壞 若 今 現 在 若 未 來 世 無 有 
T13n0402_009:0579a05	若魔、若魔眷屬，於如來所受正法欲滅壞隱	若 魔 若 魔 眷 屬 於 如 來 所 受 正 法 欲 滅 壞 隱 
T13n0402_009:0579a06	沒，乃至不能惱一眾生，唯除少隨順不具信	沒 乃 至 不 能 惱 一 眾 生 唯 除 少 隨 順 不 具 信 
T13n0402_009:0579a07	者。若持此妙法者、隨順此法者、說此法者、	者 若 持 此 妙 法 者 隨 順 此 法 者 說 此 法 者 
T13n0402_009:0579a08	聽此法者，比丘、比丘尼、優婆塞、優婆夷，及餘	聽 此 法 者 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 及 餘 
T13n0402_009:0579a09	信心善男子、善女人，勤修三業能自策勤，坐	信 心 善 男 子 善 女 人 勤 修 三 業 能 自 策 勤 坐 
T13n0402_009:0579a10	禪誦經營理塔寺，恒勤作福，勤事供養佛法	禪 誦 經 營 理 塔 寺 恒 勤 作 福 勤 事 供 養 佛 法 
T13n0402_009:0579a11	僧寶，勤斷三界煩惱繫縛，勤斷一切眾生諸	僧 寶 勤 斷 三 界 煩 惱 繫 縛 勤 斷 一 切 眾 生 諸 
T13n0402_009:0579a12	苦，悉令解脫者。彼等行人，若為魔使、若魔	苦 悉 令 解 脫 者 彼 等 行 人 若 為 魔 使 若 魔 
T13n0402_009:0579a13	女、魔男、若魔眷屬欲惱亂彼，伺求其短障難	女 魔 男 若 魔 眷 屬 欲 惱 亂 彼 伺 求 其 短 障 難 
T13n0402_009:0579a14	善業，作亂心因者，為彼等故，我今現前	善 業 作 亂 心 因 者 為 彼 等 故 我 今 現 前 
T13n0402_009:0579a15	請諸世尊，當與我力善業成就，憐愍我故。一	請 諸 世 尊 當 與 我 力 善 業 成 就 憐 愍 我 故 一 
T13n0402_009:0579a16	切菩薩摩訶薩等，并一切魔及魔眷屬，一切	切 菩薩摩訶薩 等 并 一 切 魔 及 魔 眷 屬 一 切 
T13n0402_009:0579a17	天、龍、夜叉、乾闥婆、阿修羅、伽樓羅、緊那羅、摩呼	天 龍 夜 叉 乾 闥 婆 阿 修 羅 伽 樓 羅 緊 那 羅 摩 呼 
T13n0402_009:0579a18	羅伽、人、非人等，所有一切來此佛剎者，及大	羅 伽 人 非 人 等 所有一切 來 此 佛 剎 者 及 大 
T13n0402_009:0579a19	地眾，為欲利益諸眾生故，佛教正法得久住	地 眾 為 欲 利 益 諸 眾 生 故 佛 教 正 法 得 久 住 
T13n0402_009:0579a20	故，當憐愍我，今欲說呪與我成就。「若魔、若	故 當 憐 愍 我 今 欲 說 呪 與 我 成 就 若 魔 若 
T13n0402_009:0579a21	魔眷屬，欲惱彼等人及法者，我當降伏令	魔 眷 屬 欲 惱 彼 等 人 及 法 者 我 當 降 伏 令 
T13n0402_009:0579a22	其心亂、令其身苦、令身惱縮退失神通，故說	其 心 亂 令 其 身 苦 令 身 惱 縮 退 失 神 通 故 說 
T13n0402_009:0579a23	此呪句。若諸惡魔并魔眷屬、魔男、魔女，若	此 呪 句 若 諸 惡 魔 并 魔 眷 屬 魔 男 魔 女 若 
T13n0402_009:0579a24	魔使等，若於佛教起一念惡不清淨心，惱	魔 使 等 若 於 佛 教 起 一 念 惡 不 清 淨 心 惱 
T13n0402_009:0579a25	亂諸比丘、比丘尼、優婆塞、優婆夷，乃至但起	亂 諸 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 乃 至 但 起 
T13n0402_009:0579a26	一剎那心，欲作惱亂退失善分，若於村城	一 剎 那 心 欲 作 惱 亂 退 失 善 分 若 於 村 城 
T13n0402_009:0579a27	國邑，乃至王城宮內，邊疆靜處，隨所在	國 邑 乃 至 王 城 宮 內 邊 疆 靜 處 隨 所 在 
T13n0402_009:0579a28	處，有此法門開示分別。若於此等起破壞	處 有 此 法 門 開 示 分 別 若 於 此 等 起 破 壞 
T13n0402_009:0579a29	心，乃至一剎那，於彼諸方鬪諍疫死，飢儉	心 乃 至 一 剎 那 於 彼 諸 方 鬪 諍 疫 死 飢 儉 
T13n0402_009:0579b01	諸病，他方怨敵，非時風雨，極寒極熱，瀑	諸 病 他 方 怨 敵 非 時 風 雨 極 寒 極 熱 瀑 
T13n0402_009:0579b02	水卒起，地動地吼，火星流墮，有如是等諸惡	水 卒 起 地 動 地 吼 火 星 流 墮 有 如 是 等 諸 惡 
T13n0402_009:0579b03	相起，或於華葉果實諸穀藥味，欲於彼等起	相 起 或 於 華 葉 果 實 諸 穀 藥 味 欲 於 彼 等 起 
T13n0402_009:0579b04	破壞心時，即令彼魔乃至魔使，欝熱所燒熏	破 壞 心 時 即 令 彼 魔 乃 至 魔 使 欝 熱 所 燒 熏 
T13n0402_009:0579b05	污爛臭，無所能作不能起舉，五繫縛之令其	污 爛 臭 無 所 能 作 不 能 起 舉 五 繫 縛 之 令 其 
T13n0402_009:0579b06	自見，乃至一切支節，捲縮不能舒展，令得	自 見 乃 至 一 切 支 節 捲 縮 不 能 舒 展 令 得 
T13n0402_009:0579b07	黑闇不覩光色，退失神通心意錯亂，令彼	黑 闇 不 覩 光 色 退 失 神 通 心 意 錯 亂 令 彼 
T13n0402_009:0579b08	六根不能緣境。」即說呪曰：	六 根 不 能 緣 境 即 說 呪 曰 
T13n0402_009:0579b09	「多地也他阿摩離(一)　阿[馬*甘](呼甘反)麼離(二)　阿[馬*甘]	 多 地 也 他 阿 摩 離 一 阿 [馬甘]呼甘反麼離二 阿[馬甘] 
T13n0402_009:0579b10	麼離(三)　阿闍婆婆(四)　阿闍婆婆(五)　茂囉沙離(六)	麼 離 三 阿 闍 婆 婆 四 阿 闍 婆 婆 五 茂 囉 沙 離 六 
T13n0402_009:0579b11	　鞞夜佉娑離(七)　社麼娑離(八)　呵呵呵呵呵呵(九)	 鞞 夜 佉 娑 離 七 社 麼 娑 離 八 呵 呵 呵 呵 呵 呵 九 
T13n0402_009:0579b12	　瞿囉娑吒(十)　社那呿伽(十一)　爾也呿伽(十二)　泌(毘蜜反)	 瞿 囉 娑 吒 十 社 那 呿 伽 十 一 爾 也 呿 伽 十 二 泌 毘 蜜 反 
T13n0402_009:0579b13	爾也婆娑呿伽(十三)　阿茂叉囉(十四)　叉叉叉叉叉叉	爾 也 婆 娑 呿 伽 十 三 阿 茂 叉 囉 十 四 叉 叉 叉 叉 叉 叉 
T13n0402_009:0579b14	(十五)　茂囉婆呵(十六)　呿伽娑婆呿若(十七)　娑婆跛履	 十 五 茂 囉 婆 呵 十 六 呿 伽 娑 婆 呿 若 十 七 娑 婆 跛 履 
T13n0402_009:0579b15	跛哆茂囉(十八)　阿(上音)若若婆由若(十九)　氈陀囉	跛 哆 茂 囉 十 八 阿 上 音 若 若 婆 由 若 十 九 氈 陀 囉 
T13n0402_009:0579b16	嗽履也若若(二十)　那婆(上音)若若(二十一)　丘囉叉若	嗽 履 也 若 若 二 十 那 婆 上 音 若 若 二 十 一 丘 囉 叉 若 
T13n0402_009:0579b17	若(二十二)　婆婆若若(二十三)　倍哆句胝哆他(上音)多若	若 二 十 二 婆 婆 若 若 二 十 三 倍 哆 句 胝 哆 他 上 音 多 若 
T13n0402_009:0579b18	若(二十四)　薩婆爾脾囉地(上音)史恥多若若(二十五)	若 二 十 四 薩 婆 爾 脾 囉 地 上 音 史 恥 多 若 若 二 十 五 
T13n0402_009:0579b19	　婆迦囉麼(二十六)　底履健哆叉婆(二十七)　叉麼摩叉	 婆 迦 囉 麼 二 十 六 底 履 健 哆 叉 婆 二 十 七 叉 麼 摩 叉 
T13n0402_009:0579b20	摩若(二十八)　差(初几反)上哆摩囉毘所也(二十九)　娑婆	摩 若 二 十 八 差 初 几 反 上 哆 摩 囉 毘 所 也 二 十 九 娑 婆 
T13n0402_009:0579b21	呵(三十)」	呵 三 十 
T13n0402_009:0579b22	爾時，不去魔說是呪時，於剎那頃，由得一切	爾 時 不 去 魔 說 是 呪 時 於 剎 那 頃 由 得 一 切 
T13n0402_009:0579b23	智擁護故，諸魔境界悉皆滅壞無所成就。如	智 擁 護 故 諸 魔 境 界 悉 皆 滅 壞 無 所 成 就 如 
T13n0402_009:0579b24	是，如是，所有欲作不利益者，皆不成果。是時，	是 如 是 所 有 欲 作 不 利 益 者 皆 不 成 果 是 時 
T13n0402_009:0579b25	一切諸佛世尊，咸共稱讚：「善哉！善哉！」及一切	一切諸佛 世 尊 咸 共 稱 讚 善 哉 善 哉 及 一 切 
T13n0402_009:0579b26	菩薩摩訶薩、天龍、夜叉、人、非人等，亦共稱讚：	菩薩摩訶薩 天 龍 夜 叉 人 非 人 等 亦 共 稱 讚 
T13n0402_009:0579b27	「善哉！善哉！」是時，大地皆大震動，四海涌沸，諸	 善 哉 善 哉 是 時 大 地 皆 大 震 動 四 海 涌 沸 諸 
T13n0402_009:0579b28	須彌山王，魔及眷屬悉大驚動。是時惡鬼神	須 彌 山 王 魔 及 眷 屬 悉 大 驚 動 是 時 惡 鬼 神 
T13n0402_009:0579b29	等亦復如是，唯除於佛教法清淨信者，及得	等 亦復如是 唯 除 於 佛 教 法 清 淨 信 者 及 得 
T13n0402_009:0579c01	忍菩薩不生驚怖。	忍 菩 薩 不 生 驚 怖 
T13n0402_009:0579c02	爾時，魔王問堅固慧菩薩言：「善男子！何等因	爾 時 魔 王 問 堅 固 慧 菩 薩 言 善 男 子 何 等 因 
T13n0402_009:0579c03	緣，此不去魔有是勝力？是誰加彼？此無慈	緣 此 不 去 魔 有 是 勝 力 是 誰 加 彼 此 無 慈 
T13n0402_009:0579c04	悲，令我部黨及我境界力之所作，一切散滅	悲 令 我 部 黨 及 我 境 界 力 之 所 作 一 切 散 滅 
T13n0402_009:0579c05	悉皆退壞；乃更建立沙門瞿曇，黑黨親眷說	悉 皆 退 壞 乃 更 建 立 沙 門 瞿 曇 黑 黨 親 眷 說 
T13n0402_009:0579c06	斷惡見。我即聞此陀羅尼時，令我身體臭惡	斷 惡 見 我 即 聞 此 陀 羅 尼 時 令 我 身 體 臭 惡 
T13n0402_009:0579c07	爛壞無所能為，一切諸方為我黑闇，不見諸	爛 壞 無 所 能 為 一 切 諸 方 為 我 黑 闇 不 見 諸 
T13n0402_009:0579c08	光大熱所燒耶！」	光 大 熱 所 燒 耶 
T13n0402_009:0579c09	爾時，堅固菩薩答魔王言：「此是一切諸佛世	爾 時 堅固菩薩 答 魔 王 言 此 是 一切諸佛 世 
T13n0402_009:0579c10	尊神力加護，亦是一切人、非人等，與此不去	尊 神 力 加 護 亦 是 一 切 人 非 人 等 與 此 不 去 
T13n0402_009:0579c11	魔力故，令汝等一切諸魔境界之力，如所欲	魔 力 故 令 汝 等 一 切 諸 魔 境 界 之 力 如 所 欲 
T13n0402_009:0579c12	作悉皆摧碎。今說此不退陀羅尼句時，汝今	作 悉 皆 摧 碎 今 說 此 不 退 陀 羅 尼 句 時 汝 今 
T13n0402_009:0579c13	應生清淨信心，於如來所，發阿耨多羅三藐	應 生 清 淨 信 心 於 如 來 所 發 阿 耨 多 羅 三 藐 
T13n0402_009:0579c14	三菩提心。汝今若能如是作者，此身口意諸	三 菩 提 心 汝 今 若 能 如 是 作 者 此 身 口 意 諸 
T13n0402_009:0579c15	苦惱觸悉當解脫。」是時，魔王答堅固菩薩言：	苦 惱 觸 悉 當 解 脫 是 時 魔 王 答 堅固菩薩 言 
T13n0402_009:0579c16	「我今寧當忍耐此苦，令身口意受於無量	 我 今 寧 當 忍 耐 此 苦 令 身 口 意 受 於 無 量 
T13n0402_009:0579c17	無數大苦惱事，至於最後邊際劫，我終不	無 數 大 苦 惱 事 至 於 最 後 邊 際 劫 我 終 不 
T13n0402_009:0579c18	發阿耨多羅三藐三菩提心。」◎	發 阿耨多羅三藐三菩提 心 
T13n0402_009:0579c19	寶星陀羅尼經卷第九	寶 星 陀 羅 尼 經 卷 第 九 
T13n0402_010:0579c22	寶星陀羅尼經卷第十	寶 星 陀 羅 尼 經 卷 第 十 
T13n0402_010:0579c24	唐天竺三藏波羅頗蜜多羅譯	唐 天 竺 三 藏 波 羅 頗 蜜 多 羅 譯 
T13n0402_010:0579c25	◎阿吒薄俱品第十二	 阿 吒 薄 俱 品 第 十 二 
T13n0402_010:0579c26	爾時，夜叉眾中大將軍主名阿吒薄俱，而作	爾 時 夜 叉 眾 中 大 將 軍 主 名 阿 吒 薄 俱 而 作 
T13n0402_010:0579c27	可畏夜叉之形；復有夜叉名曰為想，而作鹿	可 畏 夜 叉 之 形 復 有 夜 叉 名 曰 為 想 而 作 鹿 
T13n0402_010:0579c28	形；復有夜叉名曰智炬，作獼猴形；復有夜	形 復 有 夜 叉 名 曰 智 炬 作 獼 猴 形 復 有 夜 
T13n0402_010:0579c29	叉名捨渴愛，作羖羊形；復有夜叉名曰斷流，	叉 名 捨 渴 愛 作 羖 羊 形 復 有 夜 叉 名 曰 斷 流 
T13n0402_010:0580a01	而作象形。此五夜叉是善丈夫，去釋迦如來	而 作 象 形 此 五 夜 叉 是 善 丈 夫 去 釋 迦 如 來 
T13n0402_010:0580a02	不遠，於憍陳炎如來前坐。此等五人一切身	不 遠 於 憍 陳 炎 如 來 前 坐 此 等 五 人 一 切 身 
T13n0402_010:0580a03	分，皆出清淨微妙香光，各以兩手捧光明大	分 皆 出 清 淨 微 妙 香 光 各 以 兩 手 捧 光 明 大 
T13n0402_010:0580a04	寶，為供養世尊故。爾時，懷樂菩薩摩訶薩以	寶 為 供 養 世 尊 故 爾 時 懷 樂 菩薩摩訶薩 以 
T13n0402_010:0580a05	清淨心，觀彼五人清淨所依，乃是菩薩摩訶	清 淨 心 觀 彼 五 人 清 淨 所 依 乃 是 菩 薩 摩 訶 
T13n0402_010:0580a06	薩，即告阿吒薄俱大夜叉軍將言：「善丈夫！汝	薩 即 告 阿 吒 薄 俱 大 夜 叉 軍 將 言 善 丈 夫 汝 
T13n0402_010:0580a07	等今者見何等義，現如是相威儀所作供養	等 今 者 見 何 等 義 現 如 是 相 威 儀 所 作 供 養 
T13n0402_010:0580a08	世尊？」時，阿吒薄俱答懷樂菩薩言：「善男子！於	世 尊 時 阿 吒 薄 俱 答 懷 樂 菩 薩 言 善 男 子 於 
T13n0402_010:0580a09	過去世九十一劫，於此佛剎有佛出世，號毘	過 去 世 九 十 一 劫 於 此 佛 剎 有 佛 出 世 號 毘 
T13n0402_010:0580a10	婆尸如來、應供、正遍知。彼佛世時，我等兄弟	婆 尸 如 來 應 供 正 遍 知 彼 佛 世 時 我 等 兄 弟 
T13n0402_010:0580a11	同一母生，於彼佛所，俱發阿耨多羅三藐三	同 一 母 生 於 彼 佛 所 俱 發 阿 耨 多 羅 三 藐 三 
T13n0402_010:0580a12	菩提心。為成熟眾生勤作方便，從彼已來於	菩 提 心 為 成 熟 眾 生 勤 作 方 便 從 彼 已 來 於 
T13n0402_010:0580a13	尸棄如來所，如是毘葉婆如來所，乃至於此	尸棄如來 所 如 是 毘 葉 婆 如 來 所 乃 至 於 此 
T13n0402_010:0580a14	大賢劫中，最初如來名拘留孫。彼佛出世，從	大 賢 劫 中 最 初 如 來 名 拘 留 孫 彼 佛 出 世 從 
T13n0402_010:0580a15	爾已來，我等大願常作同母兄弟。於彼如來，	爾 已 來 我 等 大 願 常 作 同 母 兄 弟 於 彼 如 來 
T13n0402_010:0580a16	我等兄弟以種種供養供給所須。「彼佛世時	我 等 兄 弟 以 種種供養 供給所須 彼 佛 世 時 
T13n0402_010:0580a17	想善丈夫為優婆塞，樂修禪定，作如是願：『願	想 善 丈 夫 為 優 婆 塞 樂 修 禪 定 作 如 是 願 願 
T13n0402_010:0580a18	我常於大賢劫中作夜叉大將。若有夜叉居	我 常 於 大 賢 劫 中 作 夜 叉 大 將 若 有 夜 叉 居 
T13n0402_010:0580a19	住空野之處，於諸眾生常懷惡心無有悲愍，	住 空 野 之 處 於 諸 眾 生 常 懷 惡 心 無 有 悲 愍 
T13n0402_010:0580a20	種種雜類夜叉之形，乃至迦吒富單那等，我	種 種 雜 類 夜 叉 之 形 乃 至 迦 吒 富 單 那 等 我 
T13n0402_010:0580a21	以方便現同彼類，為說正法令生淨信，得淨	以 方 便 現 同 彼 類 為 說 正 法 令 生 淨 信 得 淨 
T13n0402_010:0580a22	信已為受戒法，置之吉祥安隱善道。乃至隨	信 已 為 受 戒 法 置 之 吉 祥 安 隱 善 道 乃 至 隨 
T13n0402_010:0580a23	所有處，諸畜生趣亦復如是，麞鹿虎狼猪羊	所 有 處 諸 畜 生 趣 亦復如是 麞 鹿 虎 狼 猪 羊 
T13n0402_010:0580a24	犬等為其說法。乃至恒河沙數惡夜叉等，諸	犬 等 為 其 說 法 乃 至 恒 河 沙 數 惡 夜 叉 等 諸 
T13n0402_010:0580a25	畜生趣盡同所作，為其說法令種善根。彼成	畜 生 趣 盡 同 所 作 為 其 說 法 令 種 善 根 彼 成 
T13n0402_010:0580a26	熟已安置於彼三乘正道，然後我得阿耨多	熟 已 安 置 於 彼 三 乘 正 道 然 後 我 得 阿 耨 多 
T13n0402_010:0580a27	羅三藐三菩提記。』智炬夜叉願作獼猴形者，	羅 三藐三菩提 記 智 炬 夜 叉 願 作 獼 猴 形 者 
T13n0402_010:0580a28	為成熟獼猴故；捨渴愛夜叉願作羖羊形者，	為 成 熟 獼 猴 故 捨 渴 愛 夜 叉 願 作 羖 羊 形 者 
T13n0402_010:0580a29	為成熟住八難眾生故；斷流夜叉願作象形	為 成 熟 住 八 難 眾 生 故 斷 流 夜 叉 願 作 象 形 
T13n0402_010:0580b01	者，為成熟象等故。如是萬二千諸大神通夜	者 為 成 熟 象 等 故 如 是 萬 二 千 諸 大 神 通 夜 
T13n0402_010:0580b02	叉居四天下者，往昔已來作種種願，為成熟	叉 居 四 天 下 者 往 昔 已 來 作 種 種 願 為 成 熟 
T13n0402_010:0580b03	眾生故，為求阿耨多羅三藐三菩提故，於彼	眾 生 故 為 求 阿耨多羅三藐三菩提 故 於 彼 
T13n0402_010:0580b04	拘留孫如來前，求阿耨多羅三藐三菩提時，	拘 留 孫 如 來 前 求 阿耨多羅三藐三菩提 時 
T13n0402_010:0580b05	為成熟惡夜叉故。	為 成 熟 惡 夜 叉 故 
T13n0402_010:0580b06	「願盡大賢劫彼惡夜叉無悲愍心，樂作惡法	 願 盡 大 賢 劫 彼 惡 夜 叉 無 悲 愍 心 樂 作 惡 法 
T13n0402_010:0580b07	無恩慈心，乃至迦吒富單那奪精氣者，狂亂	無 恩 慈 心 乃 至 迦 吒 富 單 那 奪 精 氣 者 狂 亂 
T13n0402_010:0580b08	他心者，作不善心者，殺害眾生者，乃至邪見	他 心 者 作 不 善 心 者 殺 害 眾 生 者 乃 至 邪 見 
T13n0402_010:0580b09	者；剎利、婆羅門、毘舍、首陀等心狂亂者；道路、	者 剎 利 婆 羅 門 毘 舍 首 陀 等 心 狂 亂 者 道 路 
T13n0402_010:0580b10	城邑、州縣、國土等中作狂亂者；作諸災怪，星	城 邑 州 縣 國 土 等 中 作 狂 亂 者 作 諸 災 怪 星 
T13n0402_010:0580b11	宿日月晝夜度數，半月一月時節年歲皆令	宿 日 月 晝 夜 度 數 半 月 一 月 時 節 年 歲 皆 令 
T13n0402_010:0580b12	失度，鬪諍謀計，飢饉疾病，他方怨敵，非時	失 度 鬪 諍 謀 計 飢 饉 疾 病 他 方 怨 敵 非 時 
T13n0402_010:0580b13	風雨，極寒極熱，和合集起如是惡事，種子	風 雨 極 寒 極 熱 和 合 集 起 如 是 惡 事 種 子 
T13n0402_010:0580b14	藥草花果汁味悉欲破壞；眾生喜樂無病和	藥 草 花 果 汁 味 悉 欲 破 壞 眾 生 喜 樂 無 病 和 
T13n0402_010:0580b15	合，於善法欲地味精氣財穀寶物，食味法味	合 於 善 法 欲 地 味 精 氣 財 穀 寶 物 食 味 法 味 
T13n0402_010:0580b16	解脫味皆令滅沒者。有如是等諸惡夜叉，教	解 脫 味 皆 令 滅 沒 者 有 如 是 等 諸 惡 夜 叉 教 
T13n0402_010:0580b17	令受戒置不退地，然後我乃取阿耨多羅三	令 受 戒 置 不 退 地 然 後 我 乃 取 阿 耨 多 羅 三 
T13n0402_010:0580b18	藐三菩提記。「我從彼已來，常生諸惡大夜叉	藐 三 菩 提 記 我 從 彼 已 來 常 生 諸 惡 大 夜 叉 
T13n0402_010:0580b19	中為大軍將，乃至極惡迦吒富單那等，以三	中 為 大 軍 將 乃 至 極 惡 迦 吒 富 單 那 等 以 三 
T13n0402_010:0580b20	乘法成熟安立，置於不退之地。從是已來，	乘 法 成 熟 安 立 置 於 不 退 之 地 從 是 已 來 
T13n0402_010:0580b21	見下中上鬼不曾輕欺，如所見形我同彼形	見 下 中 上 鬼 不 曾 輕 欺 如 所 見 形 我 同 彼 形 
T13n0402_010:0580b22	隨類與語，籌量漸進令其歡喜，斷除諸惡立	隨 類 與 語 籌 量 漸 進 令其歡喜 斷 除 諸 惡 立 
T13n0402_010:0580b23	慈悲心，滿悕望已，教令供養佛法僧寶，令不	慈 悲 心 滿 悕 望 已 教 令 供 養 佛 法 僧 寶 令 不 
T13n0402_010:0580b24	退轉。隨有夜叉眷屬之處，我當往彼以法教	退 轉 隨 有 夜 叉 眷 屬 之 處 我 當 往 彼 以 法 教 
T13n0402_010:0580b25	示，彼諸夜叉隨其住處，若見我來咸共白	示 彼 諸 夜 叉 隨 其 住 處 若 見 我 來 咸 共 白 
T13n0402_010:0580b26	言：『善來阿吒薄俱！』由彼稱我名阿吒薄俱	言 善 來 阿 吒 薄 俱 由 彼 稱 我 名 阿 吒 薄 俱 
T13n0402_010:0580b27	故，我名阿吒薄俱。若今時人無先聖法，住	故 我 名 阿 吒 薄 俱 若 今 時 人 無 先 聖 法 住 
T13n0402_010:0580b28	於惡戒常行黑業，彼命終已生三惡道，少分	於 惡 戒 常 行 黑 業 彼 命 終 已 生 三 惡 道 少 分 
T13n0402_010:0580b29	眾生生於人中。若行雜業者，於三寶中時有	眾 生 生 於 人 中 若 行 雜 業 者 於 三 寶 中 時 有 
T13n0402_010:0580c01	淨信，彼命終已由雜業故，雜生諸惡夜叉、迦	淨 信 彼 命 終 已 由 雜 業 故 雜 生 諸 惡 夜 叉 迦 
T13n0402_010:0580c02	吒富單那中，於世間中倍復增長。彼等一切	吒 富 單 那 中 於 世 間 中 倍 復 增 長 彼 等 一 切 
T13n0402_010:0580c03	白法之分方便滅壞，由彼惡故，今時鬪諍	白 法 之 分 方 便 滅 壞 由 彼 惡 故 今 時 鬪 諍 
T13n0402_010:0580c04	倍復增長，我又不能於一切時，於惡夜叉乃	倍 復 增 長 我 又 不 能 於一切時 於 惡 夜 叉 乃 
T13n0402_010:0580c05	至惡富單那，以柔軟語置於白法。	至 惡 富 單 那 以 柔 軟 語 置 於 白 法 
T13n0402_010:0580c06	「我又不能於一切時，於沙門、婆羅門、剎利、毘	 我 又 不 能 於一切時 於 沙 門 婆 羅 門 剎 利 毘 
T13n0402_010:0580c07	舍、首陀羅等，男女、長幼、小男、小女除其擾亂。	舍 首 陀 羅 等 男 女 長 幼 小 男 小 女 除 其 擾 亂 
T13n0402_010:0580c08	我又不能於一切時，城邑、州縣、國土、道路除	我 又 不 能 於一切時 城 邑 州 縣 國 土 道 路 除 
T13n0402_010:0580c09	其擾亂。我又不能於一切時，令諸鬼神等心	其 擾 亂 我 又 不 能 於一切時 令 諸 鬼 神 等 心 
T13n0402_010:0580c10	心數法置解脫味。「善男子！我今蒙一切諸佛	心 數 法 置 解 脫 味 善 男 子 我 今 蒙 一切諸佛 
T13n0402_010:0580c11	威德力故，已得善入一切夜叉、迦吒富單那	威 德 力 故 已 得 善 入 一 切 夜 叉 迦 吒 富 單 那 
T13n0402_010:0580c12	等方便諂心智。「善男子！有陀羅尼，名金剛佉	等 方 便 諂 心 智 善 男 子 有 陀 羅 尼 名 金 剛 佉 
T13n0402_010:0580c13	婆娑履諸鬼心大暴惡明呪。若有行此呪者，	婆 娑 履 諸 鬼 心 大 暴 惡 明 呪 若 有 行 此 呪 者 
T13n0402_010:0580c14	諸夜叉女、夜叉父母、夜叉男女、夜叉夫婦并	諸 夜 叉 女 夜 叉 父 母 夜 叉 男 女 夜 叉 夫 婦 并 
T13n0402_010:0580c15	其眷屬，若羅叉、羅叉女，乃至龍、龍女，鳩槃	其 眷 屬 若 羅 叉 羅 叉 女 乃 至 龍 龍 女 鳩 槃 
T13n0402_010:0580c16	茶、鳩槃茶女，顛病鬼、瘧病鬼，若日日發乃	茶 鳩 槃 茶 女 顛 病 鬼 瘧 病 鬼 若 日 日 發 乃 
T13n0402_010:0580c17	至四日發鬼，若迦吒富單那、迦吒富單那女、	至 四 日 發 鬼 若 迦 吒 富 單 那 迦 吒 富 單 那 女 
T13n0402_010:0580c18	迦吒富單那父母、迦吒富單那男女、迦吒富	迦 吒 富 單 那 父 母 迦 吒 富 單 那 男 女 迦 吒 富 
T13n0402_010:0580c19	單那夫婦并其眷屬，不復更能惱亂剎利、婆	單 那 夫 婦 并 其 眷 屬 不 復 更 能 惱 亂 剎 利 婆 
