X88n1645_001:0107a03	 六道集敘	 六 道 集 敘 
X88n1645_005:0171b18	舞緣竿。緣竿人。初緣至頭。下時以竿內口。直下。竿從	舞 緣 竿 緣 竿 人 初 緣 至 頭 下 時 以 竿 內 口 直 下 竿 從 
X88n1645_005:0171b19	後分出。至地還上。六根俱破。九孔流血。緣竿上下。並	後 分 出 至 地 還 上 六 根 俱 破 九 孔 流 血 緣 竿 上 下 並 
X88n1645_005:0171b20	皆如是。復見黃唐已來伎兒。如齊晏子。突出郎。獨猪	皆 如 是 復 見 黃 唐 已 來 伎 兒 如 齊 晏 子 突 出 郎 獨 猪 
X88n1645_005:0171b21	挑棒等數十人。令作俳說。時口中吐火。抽舌繞場。周	挑 棒 等 數 十 人 令 作 俳 說 時 口 中 吐 火 抽 舌 繞 場 周 
X88n1645_005:0171b22	帀百千。鐵鳥諸惡毒蟲。從空飛下。一時向舌上啄唼。	帀 百 千 鐵 鳥 諸 惡 毒 蟲 從 空 飛 下 一 時 向 舌 上 啄 唼 
X88n1645_005:0171b23	受其極苦。叫聲動地。不堪人聞。餘之雜戲之人。諸小	受 其 極 苦 叫 聲 動 地 不 堪 人 聞 餘 之 雜 戲 之 人 諸 小 
X88n1645_005:0171b24	鐵蟲。見其一時拍手。唱叫之聲。如煙如火。同時被燒。	鐵 蟲 見 其 一 時 拍 手 唱 叫 之 聲 如 煙 如 火 同 時 被 燒 
X88n1645_005:0171c01	燒死還活。更相受苦。無暫停息。音聲不捨。受苦不息。	燒 死 還 活 更 相 受 苦 無 暫 停 息 音 聲 不 捨 受 苦 不 息 
X88n1645_005:0171c02	王雖下杖。然遣獄卒。手把鐵棒。利戟。鐵弓箭。圍繞守。	王 雖 下 杖 然 遣 獄 卒 手 把 鐵 棒 利 戟 鐵 弓 箭 圍 繞 守 
X88n1645_005:0171c03	遣令作音樂。受苦不歇。普樂至獄五日。見此戲兒。受	遣 令 作 音 樂 受 苦 不 歇 普 樂 至 獄 五 日 見 此 戲 兒 受 
X88n1645_005:0171c04	苦如是。至第六日旦。王喚普樂。語云。汝未合死。更檢	苦 如 是 至 第 六 日 旦 王 喚 普 樂 語 云 汝 未 合 死 更 檢 
X88n1645_005:0171c05	案看。却後二年。汝命算盡。當來受苦。如是諸人。為生	案 看 却 後 二 年 汝 命 算 盡 當 來 受 苦 如 是 諸 人 為 生 
X88n1645_005:0171c06	平妄語。惡口。綺語。調弄僧尼。輕戲佛法。假託三寶。誑	平 妄 語 惡 口 綺 語 調 弄 僧 尼 輕 戲 佛 法 假 託 三 寶 誑 
X88n1645_005:0171c07	他財物。專將養活婦兒。好殺猪羊。食啗酒肉。或因向	他 財 物 專 將 養 活 婦 兒 好 殺 猪 羊 食 啗 酒 肉 或 因 向 
X88n1645_005:0171c08	寺食用僧物。汙穢不淨。如是等罪。不持齋戒。故受斯	寺 食 用 僧 物 汙 穢 不 淨 如 是 等 罪 不 持 齋 戒 故 受 斯 
X88n1645_005:0171c09	殃。汝雖無如此重罪。非無餘過。亦合受之。且放汝去。	殃 汝 雖 無 如 此 重 罪 非 無 餘 過 亦 合 受 之 且 放 汝 去 
X88n1645_005:0171c10	死時取汝。還令舊二人送到家內。見一牀棘林。枝葉	死 時 取 汝 還 令 舊 二 人 送 到 家 內 見 一 牀 棘 林 枝 葉 
X88n1645_005:0171c11	稠密。二人令入此牀。普樂初不肯入。二人急推合眼	稠 密 二 人 令 入 此 牀 普 樂 初 不 肯 入 二 人 急 推 合 眼 
X88n1645_005:0171c12	而入。即覺身已在牀甦活。普樂因見此徵。即向京來。	而 入 即 覺 身 已 在 牀 甦 活 普 樂 因 見 此 徵 即 向 京 來 
X88n1645_005:0171c13	歷寺受戒。堅持不犯。菜食長齋。禮敬無虧。因向僧懺。	歷 寺 受 戒 堅 持 不 犯 菜 食 長 齋 禮 敬 無 虧 因 向 僧 懺 
X88n1645_005:0171c14	具說此言。	具 說 此 言 
X88n1645_005:0171c15	師辯○東官右監門兵曹參軍鄭師辯。年未弱冠時。	師 辯 東 官 右 監 門 兵 曹 參 軍 鄭 師 辯 年 未 弱 冠 時 
X88n1645_005:0171c16	暴死三日而甦。自言。初有數人見収。將行入官府大	暴 死 三 日 而 甦 自 言 初 有 數 人 見 収 將 行 入 官 府 大 
X88n1645_005:0171c17	門。見有囚百餘人。皆重行北面立。凡為六行。其前行	門 見 有 囚 百 餘 人 皆 重 行 北 面 立 凡 為 六 行 其 前 行 
X88n1645_005:0171c18	者。形狀肥白。好衣服。如貴人。後行漸瘦惡。或著枷鎖。	者 形 狀 肥 白 好 衣 服 如 貴 人 後 行 漸 瘦 惡 或 著 枷 鎖 
X88n1645_005:0171c19	或但去巾帶。皆行連袂。嚴兵守之。師辯至。配入第三	或 但 去 巾 帶 皆 行 連 袂 嚴 兵 守 之 師 辯 至 配 入 第 三 
X88n1645_005:0171c20	行。東頭第三立。亦去巾帶連袂。辯憂懼。專心念佛。忽	行 東 頭 第 三 立 亦 去 巾 帶 連 袂 辯 憂 懼 專 心 念 佛 忽 
X88n1645_005:0171c21	見生平相識僧來入兵團內。兵莫之止。因至辯所。謂	見 生 平 相 識 僧 來 入 兵 團 內 兵 莫 之 止 因 至 辯 所 謂 
X88n1645_005:0171c22	曰。平生不修福。今忽如何。辯哀求請救。僧曰。吾今救	曰 平 生 不 修 福 今 忽 如 何 辯 哀 求 請 救 僧 曰 吾 今 救 
X88n1645_005:0171c23	汝得出。可持戒耶。辯許諾。須臾引出諸囚至官前。以	汝 得 出 可 持 戒 耶 辯 許 諾 須 臾 引 出 諸 囚 至 官 前 以 
X88n1645_005:0171c24	次訊問。至門外。為受五戒。用瓶水灌辯額。謂曰。日西	次 訊 問 至 門 外 為 受 五 戒 用 瓶 水 灌 辯 額 謂 曰 日 西 
X88n1645_005:0172a01	當活。又以黃被一張。與辯曰。披此至家。褻至淨處也。	當 活 又 以 黃 被 一 張 與 辯 曰 披 此 至 家 褻 至 淨 處 也 
X88n1645_005:0172a02	仍示歸路。辯披之而歸。至家褻被置牀角上。既而目	仍 示 歸 路 辯 披 之 而 歸 至 家 褻 被 置 牀 角 上 既 而 目 
X88n1645_005:0172a03	開身動。家人驚散。謂是起屍鬼。惟母不去。問曰。汝活	開 身 動 家 人 驚 散 謂 是 起 屍 鬼 惟 母 不 去 問 曰 汝 活 
X88n1645_005:0172a04	耶。辯曰。日西當活。辯意時疑日午。問母。母曰。夜半。方	耶 辯 曰 日 西 當 活 辯 意 時 疑 日 午 問 母 母 曰 夜 半 方 
X88n1645_005:0172a05	知死生相違。晝夜相反。既至日西。能食而愈。猶見被	知 死 生 相 違 晝 夜 相 反 既 至 日 西 能 食 而 愈 猶 見 被 
X88n1645_005:0172a06	在牀頭。及辯能起。被形漸滅。而尚有光。七日乃盡。辯	在 牀 頭 及 辯 能 起 被 形 漸 滅 而 尚 有 光 七 日 乃 盡 辯 
X88n1645_005:0172a07	遂持五戒。後數年有友人。勸食猪肉。辯不得已食一	遂 持 五 戒 後 數 年 有 友 人 勸 食 猪 肉 辯 不 得 已 食 一 
X88n1645_005:0172a08	臠。是夜夢己化為羅剎。爪齒各長數尺。捉生猪食。既	臠 是 夜 夢 己 化 為 羅 剎 爪 齒 各 長 數 尺 捉 生 猪 食 既 
X88n1645_005:0172a09	曉。覺口腥。唾出血。使人視。滿口盡是凝血。辯驚。不敢	曉 覺 口 腥 唾 出 血 使 人 視 滿 口 盡 是 凝 血 辯 驚 不 敢 
X88n1645_005:0172a10	復食肉。又數年娶妻。妻家逼食。後乃無驗。然辯自五	復 食 肉 又 數 年 娶 妻 妻 家 逼 食 後 乃 無 驗 然 辯 自 五 
X88n1645_005:0172a11	六年來臭。常有大瘡洪爛。終身不能愈。或恐以破戒	六 年 來 臭 常 有 大 瘡 洪 爛 終 身 不 能 愈 或 恐 以 破 戒 
X88n1645_005:0172a12	之故也。臨。昔與辯同直東宮。見其自說云爾(右二出冥報記)。	之 故 也 臨 昔 與 辯 同 直 東 宮 見 其 自 說 云 爾 右 二 出 冥 報 記 
X88n1645_005:0172a13	坊州○上柱國。王懷智。至顯慶初亡歿。其母孫氏。及	坊 州 上 柱 國 王 懷 智 至 顯 慶 初 亡 歿 其 母 孫 氏 及 
X88n1645_005:0172a14	弟懷善。懷表。並存。至四年六月。雍州高陵有一人。失	弟 懷 善 懷 表 並 存 至 四 年 六 月 雍 州 高 陵 有 一 人 失 
X88n1645_005:0172a15	其姓名。死經七日。背上已爛而甦。此人於地下見懷	其 姓 名 死 經 七 日 背 上 已 爛 而 甦 此 人 於 地 下 見 懷 
X88n1645_005:0172a16	智云。現任泰山錄事。遣此人執筆口授為書。謂之曰。	智 云 現 任 泰 山 錄 事 遣 此 人 執 筆 口 授 為 書 謂 之 曰 
X88n1645_005:0172a17	汝雖合死。今方便放汝歸家。宜為我持此書至坊州。	汝 雖 合 死 今 方 便 放 汝 歸 家 宜 為 我 持 此 書 至 坊 州 
X88n1645_005:0172a18	訪我家通人。兼白我娘。懷智今為泰山錄事參軍。幸	訪 我 家 通 人 兼 白 我 娘 懷 智 今 為 泰 山 錄 事 參 軍 幸 
X88n1645_005:0172a19	蒙安泰。但家中曾貸寺家木作門。此既功德物。請早	蒙 安 泰 但 家 中 曾 貸 寺 家 木 作 門 此 既 功 德 物 請 早 
X88n1645_005:0172a20	酬償之。弟懷善即死。不合久住。速作經像救助。不然	酬 償 之 弟 懷 善 即 死 不 合 久 住 速 作 經 像 救 助 不 然 
X88n1645_005:0172a21	恐無濟理。此人既甦之後。即齎書送其舍。所論家事。	恐 無 濟 理 此 人 既 甦 之 後 即 齎 書 送 其 舍 所 論 家 事 
X88n1645_005:0172a22	無不闇合。至經三日。懷善遂即暴死。合州道俗聞者。	無 不 闇 合 至 經 三 日 懷 善 遂 即 暴 死 合 州 道 俗 聞 者 
X88n1645_005:0172a23	莫不增修功德。鄜州人勳衛侯智純說之(出冥報拾遺)。	莫 不 增 修 功 德 鄜 州 人 勳 衛 侯 智 純 說 之 出 冥 報 拾 遺 
X88n1645_005:0172a24	汾州○孝義縣。懸泉村。劉摩兒。至顯慶四年八月二	汾 州 孝 義 縣 懸 泉 村 劉 摩 兒 至 顯 慶 四 年 八 月 二 
X88n1645_005:0172b01	十七日。遇患而終。其男師保。明日又死。父子平生行	十 七 日 遇 患 而 終 其 男 師 保 明 日 又 死 父 子 平 生 行 
X88n1645_005:0172b02	皆險詖。其比隣有祁隴威。因採樵被車輾死。經數日	皆 險 詖 其 比 隣 有 祁 隴 威 因 採 樵 被 車 輾 死 經 數 日 
X88n1645_005:0172b03	而甦。乃見摩兒男師保。在鑊湯中。須臾之間。皮肉俱	而 甦 乃 見 摩 兒 男 師 保 在 鑊 湯 中 須臾之間 皮 肉 俱 
X88n1645_005:0172b04	盡無復人形。惟見白骨。如此良久。還復本形。隴威問	盡 無 復 人 形 惟 見 白 骨 如 此 良 久 還 復 本 形 隴 威 問 
X88n1645_005:0172b05	其故。對曰。為我射獵。故受此罪。又問保曰。卿父何在。	其 故 對 曰 為 我 射 獵 故 受 此 罪 又 問 保 曰 卿 父 何 在 
X88n1645_005:0172b06	對曰。我父罪重。不可卒見。卿既即還。請白家中。為修	對 曰 我 父 罪 重 不 可 卒 見 卿 既 即 還 請 白 家 中 為 修 
X88n1645_005:0172b07	齋福。言訖。被使催促。前至府舍。見館宇崇峻。執杖者	齋 福 言 訖 被 使 催 促 前 至 府 舍 見 館 宇 崇 峻 執 杖 者 
X88n1645_005:0172b08	二十餘人。一官問曰。汝比有何福業。對曰。隴威去年	二 十 餘 人 一 官 問 曰 汝 比 有 何 福 業 對 曰 隴 威 去 年 
X88n1645_005:0172b09	正月。在獨村看讀一切經。脫衫一領布施。兼受五戒。	正 月 在 獨 村 看 讀 一 切 經 脫 衫 一 領 布 施 兼 受 五 戒 
X88n1645_005:0172b10	至今不犯。官人乃云。若如所云。無量功德。何須來此。	至 今 不 犯 官 人 乃 云 若 如 所 云 無量功德 何 須 來 此 
X88n1645_005:0172b11	乃索簿勘。見簿曰。其人合死不虗。側注云。受戒布施	乃 索 簿 勘 見 簿 曰 其 人 合 死 不 虗 側 注 云 受 戒 布 施 
X88n1645_005:0172b12	福助。更合延壽。乃遣人送還。當即甦活(出冥報記○詖音祕險詖	福 助 更 合 延 壽 乃 遣 人 送 還 當 即 甦 活 出 冥 報 記 詖 音 祕 險 詖 
X88n1645_005:0172b13	乃不平之謂)。	乃 不 平 之 謂 
X88n1645_005:0172b14	雍州○長安縣。高法眼。是隋代僕射高頴之玄孫。至	雍 州 長 安 縣 高 法 眼 是 隋 代 僕 射 高 頴 之 玄 孫 至 
X88n1645_005:0172b15	龍朔三年。正月二十五日。向中臺參選。日午還家。舍	龍 朔 三 年 正 月 二 十 五 日 向 中 臺 參 選 日 午 還 家 舍 
X88n1645_005:0172b16	在義寧坊居南隅。向街開門。化度寺東。即是高家。欲	在 義 寧 坊 居 南 隅 向 街 開 門 化 度 寺 東 即 是 高 家 欲 
X88n1645_005:0172b17	出子城西順義門。城內逢兩騎馬逐後。既出城已。漸	出 子 城 西 順 義 門 城 內 逢 兩 騎 馬 逐 後 既 出 城 已 漸 
X88n1645_005:0172b18	近逼之。出城門外道北。是普光寺。一人語騎馬人云。	近 逼 之 出 城 門 外 道 北 是 普 光 寺 一 人 語 騎 馬 人 云 
X88n1645_005:0172b19	汝走捉普光寺門。勿令此人入寺。恐難捉得。此人依	汝 走 捉 普 光 寺 門 勿 令 此 人 入 寺 恐 難 捉 得 此 人 依 
X88n1645_005:0172b20	語馳走守門。法眼怕。不得入寺。便向西走。復至西街	語 馳 走 守 門 法 眼 怕 不 得 入 寺 便 向 西 走 復 至 西 街 
X88n1645_005:0172b21	長城坊。南門道西。有會昌寺。復加四馬騎。便語前二	長 城 坊 南 門 道 西 有 會 昌 寺 復 加 四 馬 騎 便 語 前 二 
X88n1645_005:0172b22	乘馬人云。急守會昌寺門。此人依語。走捉寺門。法眼	乘 馬 人 云 急 守 會 昌 寺 門 此 人 依 語 走 捉 寺 門 法 眼 
X88n1645_005:0172b23	怕急。便語乘馬人云。汝是何人。敢逼於我。乘馬人云。	怕 急 便 語 乘 馬 人 云 汝 是 何 人 敢 逼 於 我 乘 馬 人 云 
X88n1645_005:0172b24	王遣我來取法眼。問云。何王遣來。乘馬人云。閻羅王	王 遣 我 來 取 法 眼 問 云 何 王 遣 來 乘 馬 人 云 閻 羅 王 
X88n1645_005:0172c01	遣來。法眼既聞閻羅王使來。審知是鬼。即共相拒。鬼	遣 來 法 眼 既 聞 閻 羅 王 使 來 審 知 是 鬼 即 共 相 拒 鬼 
X88n1645_005:0172c02	便大怒云。急截頭髮。却一鬼捉刀。即截法眼兩髻。附	便 大 怒 云 急 截 頭 髮 却 一 鬼 捉 刀 即 截 法 眼 兩 髻 附 
X88n1645_005:0172c03	肉落地。便至西街。悶絕落馬。暴死不覺。既至大街要	肉 落 地 便 至 西 街 悶 絕 落 馬 暴 死 不 覺 既 至 大 街 要 
X88n1645_005:0172c04	路。踟蹰之間。看人逾千。西街首。即是高宅。便喚家人	路 踟 蹰 之 間 看 人 逾 千 西 街 首 即 是 高 宅 便 喚 家 人 
X88n1645_005:0172c05	轝向舍。至明始甦。便語家內人云。吾入地獄。見閻羅	轝 向 舍 至 明 始 甦 便 語 家 內 人 云 吾 入 地 獄 見 閻 羅 
X88n1645_005:0172c06	王。昇大高座。瞋責吾云。汝何因向化度寺。明藏師房	王 昇 大 高 座 瞋 責 吾 云 汝 何 因 向 化 度 寺 明 藏 師 房 
X88n1645_005:0172c07	內。食常住僧果子。令吞四百顆熱鐵丸。當吞之時。咽	內 食 常 住 僧 果 子 令 吞 四 百 顆 熱 鐵 丸 當 吞 之 時 咽 
X88n1645_005:0172c08	喉閉縮。身體焦卷。變為紅色。吞盡乃甦。甦已。至二十	喉 閉 縮 身 體 焦 卷 變 為 紅 色 吞 盡 乃 甦 甦 已 至 二 十 
X88n1645_005:0172c09	六日。惺了之時。復有諸鬼來取法眼到王所。王語言。	六 日 惺 了 之 時 復 有 諸 鬼 來 取 法 眼 到 王 所 王 語 言 
X88n1645_005:0172c10	汝何因不敬三寶。說僧過惡。汝吞鐵丸盡已。宜受鐵	汝 何 因 不 敬 三 寶 說 僧 過 惡 汝 吞 鐵 丸 盡 已 宜 受 鐵 
X88n1645_005:0172c11	犂耕舌。至正月二十九日。既吞鐵丸了。甦惺。到正月	犂 耕 舌 至 正 月 二 十 九 日 既 吞 鐵 丸 了 甦 惺 到 正 月 
X88n1645_005:0172c12	三十日。平旦復死。至地獄。復受鐵犂耕舌。舌長數里。	三 十 日 平 旦 復 死 至 地 獄 復 受 鐵 犂 耕 舌 舌 長 數 里 
X88n1645_005:0172c13	傍人看見吐出一尺餘。王復語獄卒。此人以說三寶	傍 人 看 見 吐 出 一 尺 餘 王 復 語 獄 卒 此 人 以 說 三 寶 
X88n1645_005:0172c14	長短。以大鐵斧截却舌根。獄卒斫之不斷。王復語云。	長 短 以 大 鐵 斧 截 却 舌 根 獄 卒 斫 之 不 斷 王 復 語 云 
X88n1645_005:0172c15	以斧細剉其舌。將入鑊湯煑之。煑復不爛。王復怪問	以 斧 細 剉 其 舌 將 入 鑊 湯 煑 之 煑 復 不 爛 王 復 怪 問 
X88n1645_005:0172c16	所由。法眼啟王云。臣曾讀法華經。王復不信。令檢功	所 由 法 眼 啟 王 云 臣 曾 讀 法 華 經 王 復 不 信 令 檢 功 
X88n1645_005:0172c17	德簿。見案內有讀法華經一部。王檢知實。始放出獄。	德 簿 見 案 內 有 讀 法 華 經 一 部 王 檢 知 實 始 放 出 獄 
X88n1645_005:0172c18	其人現在。觀者如市。見者發心。合門信敬。勵志精勤。	其 人 現 在 觀 者 如 市 見 者 發 心 合 門 信 敬 勵 志 精 勤 
X88n1645_005:0172c19	誡誠無倦。京城道俗共知。不須引證。(出法苑。玄惲法師錄)又西	誡 誠 無 倦 京 城 道 俗 共 知 不 須 引 證 出 法 苑 玄 惲 法 師 錄 又 西 
X88n1645_005:0172c20	京勝光寺。沙門孝贄。親姻往來。數以寺果啖之。未幾	京 勝 光 寺 沙 門 孝 贄 親 姻 往 來 數 以 寺 果 啖 之 未 幾 
X88n1645_005:0172c21	得嘔血之疾。自云。每欲疾作。見赤衣使者。將往黑林	得 嘔 血 之 疾 自 云 每 欲 疾 作 見 赤 衣 使 者 將 往 黑 林 
X88n1645_005:0172c22	中。大風吹散肢節。頃之。又引向臺觀上。一人儀容可	中 大 風 吹 散 肢 節 頃 之 又 引 向 臺 觀 上 一 人 儀 容 可 
X88n1645_005:0172c23	畏。厲聲責之曰。何得以寺家果飼親姻。言已而失。贄	畏 厲 聲 責 之 曰 何 得 以 寺 家 果 飼 親 姻 言 已 而 失 贄 
X88n1645_005:0172c24	懼即計直償眾僧。月餘乃免(出冥報記○問。今時說僧過惡。偷盜僧物。及以	懼 即 計 直 償 眾 僧 月 餘 乃 免 出 冥 報 記 問 今 時 說 僧 過 惡 偷 盜 僧 物 及 以 
X88n1645_005:0173a01	僧物饋親朋亦多。何不見現報。答以惡業多故。猶如黑布。不見點汙。直至壽盡。自當見之)。	僧 物 饋 親 朋 亦 多 何 不 見 現 報 答 以 惡 業 多 故 猶 如 黑 布 不 見 點 汙 直 至 壽 盡 自 當 見 之 
X88n1645_005:0173a02	長安○城內通軌坊。龍朔三年。三衛劉公信。妻陳氏。	長 安 城 內 通 軌 坊 龍 朔 三 年 三 衛 劉 公 信 妻 陳 氏 
X88n1645_005:0173a03	母先亡。陳因患暴死。見人將入地獄。備見諸苦。不可	母 先 亡 陳 因 患 暴 死 見 人 將 入 地 獄 備 見 諸 苦 不 可 
X88n1645_005:0173a04	具述。末後見一地獄。石門牢固。有兩大鬼。形容偉壯。	具 述 末 後 見 一 地 獄 石 門 牢 固 有 兩 大 鬼 形 容 偉 壯 
X88n1645_005:0173a05	守門左右。怒目瞋陳。汝何人到此。見石門忽開。亡母	守 門 左 右 怒 目 瞋 陳 汝 何 人 到 此 見 石 門 忽 開 亡 母 
X88n1645_005:0173a06	在中受苦不可具說。受苦稍歇。近門。母子相見。遙得	在 中 受 苦 不 可 具 說 受 苦 稍 歇 近 門 母 子 相 見 遙 得 
X88n1645_005:0173a07	共語母語女言。汝還努力。為吾寫經。女問孃欲寫何	共 語 母 語 女 言 汝 還 努 力 為 吾 寫 經 女 問 孃 欲 寫 何 
X88n1645_005:0173a08	經。曰為吾寫法華。言訖。石門便閉。陳還得甦。具向夫	經 曰 為 吾 寫 法 華 言 訖 石 門 便 閉 陳 還 得 甦 具 向 夫 
X88n1645_005:0173a09	說。夫即憑妹夫。趙師子。欲寫法華。其師子。舊解寫經。	說 夫 即 憑 妹 夫 趙 師 子 欲 寫 法 華 其 師 子 舊 解 寫 經 
X88n1645_005:0173a10	有一經生。將一部新寫法華。未裝飾。其人先與他受	有 一 經 生 將 一 部 新 寫 法 華 未 裝 飾 其 人 先 與 他 受 
X88n1645_005:0173a11	雇寫經。經主姓范。此生將他法華。轉向趙師子處。質	雇 寫 經 經 主 姓 范 此 生 將 他 法 華 轉 向 趙 師 子 處 質 
X88n1645_005:0173a12	二百錢。施主不知質錢。師子復語婦舅云。今既貸經	二 百 錢 施 主 不 知 質 錢 師 子 復 語 婦 舅 云 今 既 貸 經 
X88n1645_005:0173a13	在家。有一部法華。兄贖取此經。向直一千錢。陳夫將	在 家 有 一 部 法 華 兄 贖 取 此 經 向 直 一 千 錢 陳 夫 將 
X88n1645_005:0173a14	四百錢贖得。裝飾周訖。在家為母供養。其妻陳氏。後	四 百 錢 贖 得 裝 飾 周 訖 在 家 為 母 供 養 其 妻 陳 氏 後 
X88n1645_005:0173a15	夢見母從女索經。吾先遣汝為吾寫一部法華。何因	夢 見 母 從 女 索 經 吾 先 遣 汝 為 吾 寫 一 部 法 華 何 因 
X88n1645_005:0173a16	迄今不得。女報母言。已為孃贖得一部法華。現裝飾	迄 今 不 得 女 報 母 言 已 為 孃 贖 得 一 部 法 華 現 裝 飾 
X88n1645_005:0173a17	了。在家供養。母語女言。正為此經。吾轉受苦。冥道中。	了 在 家 供 養 母 語 女 言 正 為 此 經 吾 轉 受 苦 冥 道 中 
X88n1645_005:0173a18	獄卒打吾脊破。汝看吾身瘡。獄官語云。汝何因取他	獄 卒 打 吾 脊 破 汝 看 吾 身 瘡 獄 官 語 云 汝 何 因 取 他 
X88n1645_005:0173a19	范家經。將為己經。汝何有福。甚大罪過。女見母說如	范 家 經 將 為 己 經 汝 何 有 福 甚 大 罪 過 女 見 母 說 如 
X88n1645_005:0173a20	此。更為母別寫法華。其經未了。女夢中復見母來催	此 更 為 母 別 寫 法 華 其 經 未 了 女 夢 中 復 見 母 來 催 
X88n1645_005:0173a21	經。即見一僧手捉一卷法華。語母云。汝女已為汝寫	經 即 見 一 僧 手 捉 一 卷 法 華 語 母 云 汝 女 已 為 汝 寫 
X88n1645_005:0173a22	經第一卷了。功德已成。何因復來敦逼。待寫了。何須	經 第 一 卷 了 功 德 已 成 何 因 復 來 敦 逼 待 寫 了 何 須 
X88n1645_005:0173a23	怱急。後寫經成。母來報女。因汝為吾寫經。今得出冥	怱 急 後 寫 經 成 母 來 報 女 因 汝 為 吾 寫 經 今 得 出 冥 
X88n1645_005:0173a24	道。好處受生。得汝恩力。故來報汝。汝當好住。善為婦	道 好 處 受 生 得 汝 恩 力 故 來 報 汝 汝 當 好 住 善 為 婦 
X88n1645_005:0173b01	禮。信心為本。言訖。悲淚共別。後時勘問。前法華主。果	禮 信 心 為 本 言 訖 悲 淚 共 別 後 時 勘 問 前 法 華 主 果 
X88n1645_005:0173b02	是姓范。范家雖不得經。其經已成。施福已滿。後人轉	是 姓 范 范 家 雖 不 得 經 其 經 已 成 施 福 已 滿 後 人 轉 
X88n1645_005:0173b03	質。自得罪咎。劉妻贖取。微得少福。然亡母不得力。陳	質 自 得 罪 咎 劉 妻 贖 取 微 得 少 福 然 亡 母 不 得 力 陳 
X88n1645_005:0173b04	氏夫劉公信。具向元休自說(出冥報拾遺)。	氏 夫 劉 公 信 具 向 元 休 自 說 出 冥 報 拾 遺 
X88n1645_005:0173b05	蕭氏○是司元大夫崔義起妻。乃蕭鏗女。鏗是僕射	蕭 氏 是 司 元 大 夫 崔 義 起 妻 乃 蕭 鏗 女 鏗 是 僕 射 
X88n1645_005:0173b06	之姪。蕭氏為人。妒忌多瞋。好打奴婢。不信業報。至麟	之 姪 蕭 氏 為 人 妒 忌 多 瞋 好 打 奴 婢 不 信 業 報 至 麟 
X88n1645_005:0173b07	德元年。從駕洛陽。到二年正月身亡。死在地獄。蕭氏	德 元 年 從 駕 洛 陽 到 二 年 正 月 身 亡 死 在 地 獄 蕭 氏 
X88n1645_005:0173b08	手下。常所愛婢。名閏玉。年可十八。雖是獠婢。容貌端	手 下 常 所 愛 婢 名 閏 玉 年 可 十 八 雖 是 獠 婢 容 貌 端 
X88n1645_005:0173b09	正。性識聰敏。信樂佛法。至二月。家內為夫人設三七	正 性 識 聰 敏 信 樂 佛 法 至 二 月 家 內 為 夫 人 設 三 七 
X88n1645_005:0173b10	日齋僧。正食時。夫人自來看。枷項鎖腰。獄卒衛從。餘	日 齋 僧 正 食 時 夫 人 自 來 看 枷 項 鎖 腰 獄 卒 衛 從 餘 
X88n1645_005:0173b11	人不知。惟此婢見。夫人魂靈。著此婢言音。共夫人生	人 不 知 惟 此 婢 見 夫 人 魂 靈 著 此 婢 言 音 共 夫 人 生 
X88n1645_005:0173b12	平語音無異。使傳語向家內大小云。吾適崔家已來。	平 語 音 無 異 使 傳 語 向 家 內 大 小 云 吾 適 崔 家 已 來 
X88n1645_005:0173b13	為性多瞋。橫生嫉妒。好打奴婢。兼不信因果。今至地	為 性 多 瞋 橫 生 嫉 妒 好 打 奴 婢 兼 不 信 因 果 今 至 地 
X88n1645_005:0173b14	獄。受罪極重。備經諸苦。不可具說。聞家內今三七日。	獄 受 罪 極 重 備 經 諸 苦 不 可 具 說 聞 家 內 今 三 七 日 
X88n1645_005:0173b15	為吾設齋。請求獄官。放一日假。暫來看齋。語汝男女。	為 吾 設 齋 請 求 獄 官 放 一 日 假 暫 來 看 齋 語 汝 男 女 
X88n1645_005:0173b16	合家大小。吾自共汝同住已來。身口意三毒。好瞋打	合 家 大 小 吾 自 共 汝 同 住 已 來 身 口 意 三 毒 好 瞋 打 
X88n1645_005:0173b17	汝。兼嫉妒大夫所看婢妾。種種不善。發起惡業。今受	汝 兼 嫉 妒 大 夫 所 看 婢 妾 種 種 不 善 發 起 惡 業 今 受 
X88n1645_005:0173b18	報苦。願汝男女合家大小。內外眷屬。從汝懺悔。願施	報 苦 願 汝 男 女 合 家 大 小 內 外 眷 屬 從 汝 懺 悔 願 施 
X88n1645_005:0173b19	歡喜。然汝男女。憶吾乳餔之恩。將吾生平受用資具。	歡 喜 然 汝 男 女 憶 吾 乳 餔 之 恩 將 吾 生 平 受 用 資 具 
X88n1645_005:0173b20	速捨修福。望拔冥苦。至七七日。為吾設齋。令此功德。	速 捨 修 福 望 拔 冥 苦 至 七 七 日 為 吾 設 齋 令 此 功 德 
X88n1645_005:0173b21	早得成就。吾至齋日。更請官人。望得復來。語大夫及	早 得 成 就 吾 至 齋 日 更 請 官 人 望 得 復 來 語 大 夫 及 
X88n1645_005:0173b22	兒女等。大夫生平急性多瞋。不得過分瞋打奴婢。勸	兒 女 等 大 夫 生 平 急 性 多 瞋 不 得 過 分 瞋 打 奴 婢 勸 
X88n1645_005:0173b23	信三寶。恭敬上下。修持齋戒。布施忍辱勿怠。臨去之	信 三 寶 恭 敬 上 下 修 持 齋 戒 布 施 忍 辱 勿 怠 臨 去 之 
