X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0958b14	　古德云眼是障道魔軍著境自迷回路　仙真	 古 德 云 眼 是 障 道 魔 軍 著 境 自 迷 回 路 仙 真 
X26n0574_001:0958b15	云眼觀心動著物迷真吾身非入六根皆歸敗壞	云 眼 觀 心 動 著 物 迷 真 吾 身 非 入 六 根 皆 歸 敗 壞 
X26n0574_001:0958b16	靜審四大都無實義惟有真空妙性長劫不壞之	靜 審 四 大 都 無 實 義 惟 有 真 空 妙 性 長 劫 不 壞 之 
X26n0574_001:0958b17	體湛然常在亦無脩證　釋氏云那伽長在定無	體 湛 然 常 在 亦 無 脩 證 釋 氏 云 那 伽 長 在 定 無 
X26n0574_001:0958b18	有不定之時　先師云定中境界靜裡乾坤自然	有 不 定 之 時 先 師 云 定 中 境 界 靜 裡 乾 坤 自 然 
X26n0574_001:0958b19	而然做作又不是也　既得定力有甚散亂如同	而 然 做 作 又 不 是 也 既 得 定 力 有 甚 散 亂 如 同 
X26n0574_001:0958b20	秋月圓陀陀光爍爍普天匝地無有不照著處說	秋 月 圓 陀 陀 光 爍 爍 普 天 匝 地 無 有 不 照 著 處 說 
X26n0574_001:0958b21	箇照著亦是自然非安想故　拾得又云吾心不	箇 照 著 亦 是 自 然 非 安 想 故 拾 得 又 云 吾 心 不 
X26n0574_001:0958b22	比月比月有圓缺一盞無油燈照得十方徹　山	比 月 比 月 有 圓 缺 一 盞 無 油 燈 照 得 十 方 徹 山 
X26n0574_001:0958b23	河大地不能隔礙光明洞耀逈脫根塵體露真常	河 大 地 不 能 隔 礙 光 明 洞 耀 逈 脫 根 塵 體 露 真 常 
X26n0574_001:0958b24	太無染污但離諸緣便是仙佛　理會麼○光明	太 無 染 污 但 離 諸 緣 便 是 仙 佛 理 會 麼 光 明 
X26n0574_001:0958c01	無少欠只怕起雲遮。	無 少 欠 只 怕 起 雲 遮 
X26n0574_001:0958c02	　遇境無心眼便明　　反觀自己見前程	 遇 境 無 心 眼 便 明 反 觀 自 己 見 前 程 
X26n0574_001:0958c03	　靈光射透長安道　　獨向蓬萊路上行	 靈 光 射 透 長 安 道 獨 向 蓬 萊 路 上 行 
X26n0574_001:0958c04	無無明。	無 無 明 
X26n0574_001:0958c05	無無明者萬緣不生也無明是黑暗不停之念一	無 無 明 者 萬 緣 不 生 也 無 明 是 黑 暗 不 停 之 念 一 
X26n0574_001:0958c06	切眾生盡有無明因有無明起多種差別百般煩	切 眾 生 盡 有 無 明 因 有 無 明 起 多 種 差 別 百 般 煩 
X26n0574_001:0958c07	惱皆是暗昧之心故令如是　道云暗昧心不止	惱 皆 是 暗 昧 之 心 故 令 如 是 道 云 暗 昧 心 不 止 
X26n0574_001:0958c08	地獄畜生本　釋云無明不見菩提路不覺將身	地 獄 畜 生 本 釋 云 無 明 不 見 菩 提 路 不 覺 將 身 
X26n0574_001:0958c09	落火坑　儒云寸心不昧萬法皆明　又廣成子	落 火 坑 儒 云 寸 心 不 昧 萬 法 皆 明 又 廣 成 子 
X26n0574_001:0958c10	云木去火則不灰人去情則不死　大顛云心處	云 木 去 火 則 不 灰 人 去 情 則 不 死 大 顛 云 心 處 
X26n0574_001:0958c11	六情如鳥投網造罪惡業如蛾赴燈出殻入殻轉	六 情 如 鳥 投 網 造 罪 惡 業 如 蛾 赴 燈 出 殻 入 殻 轉 
X26n0574_001:0958c12	轉不覺流浪經劫皆因無明而起因有無明有行	轉 不 覺 流 浪 經 劫 皆 因 無 明 而 起 因 有 無 明 有 行 
X26n0574_001:0958c13	因行有識因識有名色因名色有六入因六入有	因 行 有 識 因 識 有 名 色 因 名 色 有 六 入 因 六 入 有 
X26n0574_001:0958c14	觸因觸有受因受有愛因愛有取因取有有因有	觸 因 觸 有 受 因 受 有 愛 因 愛 有 取 因 取 有 有 因 有 
X26n0574_001:0958c15	有生因生有老死憂悲苦惱皆因無明為始於此	有 生 因 生 有 老 死 憂 悲 苦 惱 皆 因 無 明 為 始 於 此 
X26n0574_001:0958c16	親見無明降伏令死死中更死欺人不得諸漏自	親 見 無 明 降 伏 令 死 死 中 更 死 欺 人 不 得 諸 漏 自 
X26n0574_001:0958c17	盡煩惱永斷三毒自滅惡根自除須是直裁根源	盡 煩 惱 永 斷 三 毒 自 滅 惡 根 自 除 須 是 直 裁 根 源 
X26n0574_001:0958c18	莫顧枝稍華葉根若截斷華葉自死掃除心地不	莫 顧 枝 稍 華 葉 根 若 截 斷 華 葉 自 死 掃 除 心 地 不 
X26n0574_001:0958c19	見其身身盡無明盡塵垢亦盡萬劫塵沙數罪一	見 其 身 身 盡 無 明 盡 塵 垢 亦 盡 萬 劫 塵 沙 數 罪 一 
X26n0574_001:0958c20	時頓息輪迴生死一時脫兔　且道似個什麼	時 頓 息 輪迴生死 一 時 脫 兔 且 道 似 個 什 麼 
X26n0574_001:0958c21	　嗄　蜣蜋離糞彈　脫殻化金蟬　會麼。	 嗄 蜣 蜋 離 糞 彈 脫 殻 化 金 蟬 會 麼 
X26n0574_001:0958c22	　心間不昧性圓明　　徧界空空一坦平	 心 間 不 昧 性 圓 明 徧 界 空 空 一 坦 平 
X26n0574_001:0958c23	　寸草不生塵土盡　　一輪日向海中生	 寸 草 不 生 塵 土 盡 一 輪 日 向 海 中 生 
X26n0574_001:0958c24	亦無無明盡。	亦 無 無 明 盡 
X26n0574_001:0959a01	既掃除心地十八界必然清淨身尚忘却更有甚	既 掃 除 心 地 十 八 界 必 然 清 淨 身 尚 忘 却 更 有 甚 
X26n0574_001:0959a02	無明盡迷則顛倒妄想是無明業心悟則轉凡成	無 明 盡 迷 則 顛 倒 妄 想 是 無 明 業 心 悟 則 轉 凡 成 
X26n0574_001:0959a03	聖是圓明覺性都是一般心地只曾明與不明。	聖 是 圓 明 覺 性 都 是 一 般 心 地 只 曾 明 與 不 明 
X26n0574_001:0959a04	太上云同出而異名　永嘉云無明實性即佛性	太 上 云 同 出 而 異 名 永 嘉 云 無 明 實 性 即 佛 性 
X26n0574_001:0959a05	幻化空身即法身若執幻身是我即有無明有無	幻 化 空 身 即 法 身 若 執 幻 身 是 我 即 有 無 明 有 無 
X26n0574_001:0959a06	明即生三毒起三惡業三業昏暗六根內盲因此	明 即 生 三 毒 起 三 惡 業 三 業 昏 暗 六 根 內 盲 因 此 
X26n0574_001:0959a07	不見不知背覺合塵墮三惡道如有智慧之人能	不 見 不 知 背 覺 合 塵 墮 三 惡 道 如 有 智 慧 之 人 能 
X26n0574_001:0959a08	轉慳貪心為喜捨心轉瞋怒心為歡喜心轉愚痴	轉 慳 貪 心 為 喜 捨 心 轉 瞋 怒 心 為 歡 喜 心 轉 愚 痴 
X26n0574_001:0959a09	執著心為圓融脫洒心更改六賊為神通於是一	執 著 心 為 圓 融 脫 洒 心 更 改 六 賊 為 神 通 於 是 一 
X26n0574_001:0959a10	一轉得改得自然轉凡成聖凡夫即是聖人若轉	一 轉 得 改 得 自 然 轉 凡 成 聖 凡 夫 即 是 聖 人 若 轉 
X26n0574_001:0959a11	不得改不得聖人即是凡夫如何凡人被物轉聖	不 得 改 不 得 聖 人 即 是 凡 夫 如 何 凡 人 被 物 轉 聖 
X26n0574_001:0959a12	人能轉物百姓日用而不知終日忙忙被物所引	人 能 轉 物 百 姓 日 用 而 不 知 終 日 忙 忙 被 物 所 引 
X26n0574_001:0959a13	日久月深離家漸遠不得還鄉迷真失本也若是	日 久 月 深 離 家 漸 遠 不 得 還 鄉 迷 真 失 本 也 若 是 
X26n0574_001:0959a14	會萬物歸於自己豈得迷失真本矣　川老云終	會 萬 物 歸 於 自 己 豈 得 迷 失 真 本 矣 川 老 云 終 
X26n0574_001:0959a15	日忙忙那事無妨不求解脫不樂天堂但能一念	日 忙 忙 那 事 無 妨 不 求 解 脫 不 樂 天 堂 但 能 一 念 
X26n0574_001:0959a16	歸無念高步毗盧頂上行　又云終日吃飯不曾	歸 無 念 高 步 毗 盧 頂 上 行 又 云 終 日 吃 飯 不 曾 
X26n0574_001:0959a17	咬著一粒米終日著衣不曾掛著一縷絲　道云	咬 著 一 粒 米 終 日 著 衣 不 曾 掛 著 一 縷 絲 道 云 
X26n0574_001:0959a18	居塵不染塵在慾而無慾　身心一如內外無餘	居 塵 不 染 塵 在 慾 而 無 慾 身 心 一 如 內 外 無 餘 
X26n0574_001:0959a19	須是打成一片與空劫齊形影不存體露堂堂纔	須 是 打 成 一 片 與 空 劫 齊 形 影 不 存 體 露 堂 堂 纔 
X26n0574_001:0959a20	有纖塵徧界空生便墮生死但去反觀己身我身	有 纖 塵 徧 界 空 生 便 墮 生 死 但 去 反 觀 己 身 我 身 
X26n0574_001:0959a21	不實餘者皆空我身尚假有甚無明　且道如何	不 實 餘 者 皆 空 我 身 尚 假 有 甚 無 明 且 道 如 何 
X26n0574_001:0959a22	迷失真道　咦　雪迷樵子路雲遮採藥人。	迷 失 真 道 咦 雪 迷 樵 子 路 雲 遮 採 藥 人 
X26n0574_001:0959a23	　前途路逕黑漫漫　　無限江河萬嶺巑	 前 途 路 逕 黑 漫 漫 無 限 江 河 萬 嶺 巑 
X26n0574_001:0959a24	　若解轉身些子力　　堂堂大道坦然寬	 若 解 轉 身 些 子 力 堂 堂 大 道 坦 然 寬 
X26n0574_001:0959b01	乃至無老死。	乃 至 無 老 死 
X26n0574_001:0959b02	既得無更有甚憂苦老死脩行之人須要忘形忘	既 得 無 更 有 甚 憂 苦 老 死 脩 行 之 人 須 要 忘 形 忘 
X26n0574_001:0959b03	體我身既無有何無明無明既無生死亦斷　太	體 我 身 既 無 有 何 無 明 無 明 既 無 生 死 亦 斷 太 
X26n0574_001:0959b04	上云內觀其心心無其心外觀其形形無其形遠	上 云 內 觀 其 心 心 無 其 心 外 觀 其 形 形 無 其 形 遠 
X26n0574_001:0959b05	觀其物物無其物三者既悟惟見於空　金剛經	觀 其 物 物 無 其 物 三 者 既 悟 惟 見 於 空 金 剛 經 
X26n0574_001:0959b06	云無我相無人相無眾生相無壽者相　三者既	云 無 我 相 無 人 相 無 眾 生 相 無 壽 者 相 三 者 既 
X26n0574_001:0959b07	無四相皆空有何無明老死萬法自空即是仙佛	無 四 相 皆 空 有 何 無 明 老 死 萬 法 自 空 即 是 仙 佛 
X26n0574_001:0959b08	只這仙佛兩字也是多了亦乃強名且眾生顛倒	只 這 仙 佛 兩 字 也 是 多 了 亦 乃 強 名 且 眾 生 顛 倒 
X26n0574_001:0959b09	被目前幻境所惑習性所牽形影變動不能作主	被 目 前 幻 境 所 惑 習 性 所 牽 形 影 變 動 不 能 作 主 
X26n0574_001:0959b10	隨物流轉因執有我妄心不滅人我不除執著聲	隨 物 流 轉 因 執 有 我 妄 心 不 滅 人 我 不 除 執 著 聲 
X26n0574_001:0959b11	色墮落生死若是見性之人目前無法亦無眾生	色 墮 落 生 死 若 是 見 性 之 人 目 前 無 法 亦 無 眾 生 
X26n0574_001:0959b12	心佛及眾生本無差別平等真法界一體同觀萬	心 佛 及 眾 生 本 無 差 別 平 等 真 法 界 一 體 同 觀 萬 
X26n0574_001:0959b13	法歸一　且道怎地同觀為　仙真云雖則枝分	法 歸 一 且 道 怎 地 同 觀 為 仙 真 云 雖 則 枝 分 
X26n0574_001:0959b14	稍異到了萬葉歸根然則派列流差必竟百川還	稍 異 到 了 萬 葉 歸 根 然 則 派 列 流 差 必 竟 百 川 還 
X26n0574_001:0959b15	海　且太極未判混然一氣豈有二耶天地既分	海 且 太 極 未 判 混 然 一 氣 豈 有 二 耶 天 地 既 分 
X26n0574_001:0959b16	而有高下一生二二生三三生萬物皆一無所化	而 有 高 下 一 生 二 二 生 三 三 生 萬 物 皆 一 無 所 化 
X26n0574_001:0959b17	天也是道地也是道人也是道有情無情皆受道	天 也 是 道 地 也 是 道 人 也 是 道 有 情 無 情 皆 受 道 
X26n0574_001:0959b18	氣所生觀梢末則萬彚不等知根本則一槩無殊	氣 所 生 觀 梢 末 則 萬 彚 不 等 知 根 本 則 一 槩 無 殊 
X26n0574_001:0959b19	　釋云是法平等無有高下　仙真云平等不二	 釋 云 是 法 平 等 無有高下 仙 真 云 平 等 不 二 
X26n0574_001:0959b20	老是全真之丈夫　若識破這個道理生則從他	老 是 全 真 之 丈 夫 若 識 破 這 個 道 理 生 則 從 他 
X26n0574_001:0959b21	生老則從他老病則從他病死則從他死生老病	生 老 則 從 他 老 病 則 從 他 病 死 則 從 他 死 生 老 病 
X26n0574_001:0959b22	死不曾礙著我漚生漚滅○波飜浪瀼水本常然	死 不 曾 礙 著 我 漚 生 漚 滅 波 飜 浪 瀼 水 本 常 然 
X26n0574_001:0959b23	　大顛云到家底人不見有生死亦無生滅天堂	 大 顛 云 到 家 底 人 不 見 有 生 死 亦 無 生 滅 天 堂 
X26n0574_001:0959b24	地獄六道四生一切幻化於徹底人總無交涉自	地 獄 六 道 四 生 一 切 幻 化 於 徹 底 人 總 無 交 涉 自 
X26n0574_001:0959c01	然全身放下　古云諸行無常一切空即是如來	然 全 身 放 下 古 云 諸行無常 一 切 空 即 是 如 來 
X26n0574_001:0959c02	大圓覺　且道死了向其處去　會得麼　一輪	大 圓 覺 且 道 死 了 向 其 處 去 會 得 麼 一 輪 
X26n0574_001:0959c03	無影日　端在太虗中。	無 影 日 端 在 太 虗 中 
X26n0574_001:0959c04	　既太執分身　　無明幻境盡	 既 太 執 分 身 無 明 幻 境 盡 
X26n0574_001:0959c05	　觀空亦是空　　生死無由近	 觀 空 亦 是 空 生 死 無 由 近 
X26n0574_001:0959c06	亦無老死盡。	亦 無 老 死 盡 
X26n0574_001:0959c07	既無老死常劫如然豈有窮盡有盡者是幻境色	既 無 老 死 常 劫 如 然 豈 有 窮 盡 有 盡 者 是 幻 境 色 
X26n0574_001:0959c08	身無老死者是真空法相既不著有亦不滯空活	身 無 老 死 者 是 真 空 法 相 既 不 著 有 亦 不 滯 空 活 
X26n0574_001:0959c09	鱍鱍地轉轆轆地圓陀陀地光爍爍地豈有盡耶	鱍 鱍 地 轉 轆 轆 地 圓 陀 陀 地 光 爍 爍 地 豈 有 盡 耶 
X26n0574_001:0959c10	　且初行行人先要打當乾淨方有些兒相應處	 且 初 行 行 人 先 要 打 當 乾 淨 方 有 些 兒 相 應 處 
X26n0574_001:0959c11	　太上云損之又損之以至於無為無為而無不	 太 上 云 損 之 又 損 之 以 至 於 無 為 無 為 而 無 不 
X26n0574_001:0959c12	為　大顛云學道之人如剝芭蕉一般去一層又	為 大 顛 云 學 道 之 人 如 剝 芭 蕉 一 般 去 一 層 又 
X26n0574_001:0959c13	去一層直至去盡無下手處自然返本還源得五	去 一 層 直 至 去 盡 無 下 手 處 自 然 返 本 還 源 得 五 
X26n0574_001:0959c14	蘊空如未生相似燒了一般到空不空處脫體全	蘊 空 如 未 生 相 似 燒 了 一 般 到 空 不 空 處 脫 體 全 
X26n0574_001:0959c15	忘不存踪跡要通身手眼不立纖塵名字猶不可	忘 不 存 踪 跡 要 通 身 手 眼 不 立 纖 塵 名 字 猶 不 可 
X26n0574_001:0959c16	得何況其他十二因緣六度萬行頭陀苦行一時	得 何 況 其 他 十二因緣 六 度 萬 行 頭 陀 苦 行 一 時 
X26n0574_001:0959c17	頓脫如枯木死灰如百無一會底人　古云不是	頓 脫 如 枯 木 死 灰 如 百 無 一 會 底 人 古 云 不 是 
X26n0574_001:0959c18	息心除妄想都緣無事可思量　若更說生說死	息 心 除 妄 想 都 緣 無 事 可 思 量 若 更 說 生 說 死 
X26n0574_001:0959c19	說因說果說心說性　永嘉云心是根法是塵兩	說 因 說 果 說 心 說 性 永 嘉 云 心 是 根 法 是 塵 兩 
X26n0574_001:0959c20	種猶如鏡上痕痕垢盡除光始現　心法雙忘方	種 猶 如 鏡 上 痕 痕 垢 盡 除 光 始 現 心 法 雙 忘 方 
X26n0574_001:0959c21	到無生死之地　且道人法俱忘復是何物　理	到 無 生 死 之 地 且 道 人 法 俱 忘 復 是 何 物 理 
X26n0574_001:0959c22	會麼　灰飛烟滅家何處　水遠天長一色秋。	會 麼 灰 飛 烟 滅 家 何 處 水 遠 天 長 一 色 秋 
X26n0574_001:0959c23	　人法雙忘萬事休　　百川四海會源流	 人 法 雙 忘 萬 事 休 百 川 四 海 會 源 流 
X26n0574_001:0959c24	　猛然迸出寥天月　　照徹乾坤四大川	 猛 然 迸 出 寥 天 月 照 徹 乾 坤 四 大 川 
X26n0574_001:0960a01	無苦集滅道。	無 苦集滅道 
X26n0574_001:0960a02	既忘其形即得生死斷更無窮盡有甚苦集滅滅	既 忘 其 形 即 得 生 死 斷 更 無 窮 盡 有 甚 苦 集 滅 滅 
X26n0574_001:0960a03	道　先師云因有身心招眾苦能忘心體苦何生	道 先 師 云 因 有 身 心 招 眾 苦 能 忘 心 體 苦 何 生 
X26n0574_001:0960a04	　釋云身是眾苦之本心是惡業之根若能放下	 釋 云 身 是 眾 苦 之 本 心 是 惡 業 之 根 若 能 放 下 
X26n0574_001:0960a05	身心便登菩提彼岸　大顛云小乘之人日夜精	身 心 便 登 菩 提 彼 岸 大 顛 云 小 乘 之 人 日 夜 精 
X26n0574_001:0960a06	進六度萬行心外求法免此四諦出三界免輪迴	進 六 度 萬 行 心 外 求 法 免 此 四 諦 出 三 界 免 輪 迴 
X26n0574_001:0960a07	無有是處諸佛為大事因緣出現於世不以小乘	無 有 是 處 諸 佛 為 大 事 因 緣 出 現 於 世 不 以 小 乘 
X26n0574_001:0960a08	法濟度於眾生大乘之者學無為法端坐念實相	法 濟 度 於 眾 生 大 乘 之 者 學 無 為 法 端 坐 念 實 相 
X26n0574_001:0960a09	眾罪如霜露慧日能消除存於閑處收攝其心端	眾 罪 如 霜 露 慧 日 能 消 除 存 於 閑 處 收 攝 其 心 端 
X26n0574_001:0960a10	坐不動觀一切法皆無所有及觀四大有身非覺	坐 不 動 觀 一 切 法 皆 無 所 有 及 觀 四 大 有 身 非 覺 
X26n0574_001:0960a11	體無相乃明真自知空寂頓觀淨盡無功之功長	體 無 相 乃 明 真 自 知 空 寂 頓 觀 淨 盡 無 功 之 功 長 
X26n0574_001:0960a12	劫不壞無為之為而不為如如不動湛然常寂。	劫 不 壞 無 為 之 為 而 不 為 如 如 不 動 湛 然 常 寂 
X26n0574_001:0960a13	蓮經云諸法從本來常自寂滅相佛子行道已來	蓮 經 云 諸 法 從 本 來 常 自 寂 滅 相 佛 子 行 道 已 來 
X26n0574_001:0960a14	世得作佛　定慧力莊嚴無迷無悟無苦無樂無	世 得 作 佛 定 慧 力 莊 嚴 無 迷 無 悟 無 苦 無 樂 無 
X26n0574_001:0960a15	集無滅無道無得無慧無失本來無一物明鏡亦	集 無 滅 無 道 無 得 無 慧 無 失 本 來 無 一 物 明 鏡 亦 
X26n0574_001:0960a16	非臺到這裡脩證即無染污不得一超直入如來	非 臺 到 這 裡 脩 證 即 無 染 污 不 得 一 超 直 入 如 來 
X26n0574_001:0960a17	地　要見如來麼　如來似來不來似去不去送	地 要 見 如 來 麼 如 來 似 來 不 來 似 去 不 去 送 
X26n0574_001:0960a18	之即不得留之亦不住　會麼　竹密不妨流水	之 即 不 得 留 之 亦 不 住 會 麼 竹 密 不 妨 流 水 
X26n0574_001:0960a19	過　山高豈礙白雲飛。	過 山 高 豈 礙 白 雲 飛 
X26n0574_001:0960a20	　無苦集滅道幽哉　　頓然淨盡見如來	 無 苦集滅道 幽 哉 頓 然 淨 盡 見 如 來 
X26n0574_001:0960a21	　愚人外覓三十二　　共汝同行你不猜	 愚 人 外 覓 三 十 二 共 汝 同 行 你 不 猜 
X26n0574_001:0960a22	無智亦無得。	無 智 亦 無 得 
X26n0574_001:0960a23	自身尚假豈有得乎　道云實無所得為化眾生	自 身 尚 假 豈 有 得 乎 道 云 實 無 所 得 為 化 眾 生 
X26n0574_001:0960a24	名為得道　釋云亦無人亦無佛大千沙界海中	名 為 得 道 釋 云 亦 無 人 亦 無 佛 大 千 沙 界 海 中 
X26n0574_001:0960b01	漚一切聖賢如電拂　又云不是心不是佛不是	漚 一 切 聖 賢 如 電 拂 又 云 不 是 心 不 是 佛 不 是 
X26n0574_001:0960b02	物　大顛云到這般田地如賊入空室無物得偷	物 大 顛 云 到 這 般 田 地 如 賊 入 空 室 無 物 得 偷 
X26n0574_001:0960b03	　道經有云離種種邊名為妙道　釋又云自性	 道 經 有 云 離 種 種 邊 名 為 妙 道 釋 又 云 自 性 
X26n0574_001:0960b04	清淨實無一法可當情本來付有法付了然無法	清 淨 實 無 一 法 可 當 情 本 來 付 有 法 付 了 然 無 法 
X26n0574_001:0960b05	各各心自悟悟了無無法　無得無失無進無脩	各 各 心 自 悟 悟 了 無 無 法 無 得 無 失 無 進 無 脩 
X26n0574_001:0960b06	胸次纔有絲毫有得有失我能我會我悟我達我	胸 次 纔 有 絲 毫 有 得 有 失 我 能 我 會 我 悟 我 達 我 
X26n0574_001:0960b07	聰明我智慧盡是增上慢人我不除皆墮生死若	聰 明 我 智 慧 盡 是 增上慢人 我 不 除 皆 墮 生 死 若 
X26n0574_001:0960b08	是真實道人總不如是自有出身之路　且道如	是 真 實 道 人 總 不 如 是 自 有 出 身 之 路 且 道 如 
X26n0574_001:0960b09	何是出身之路　打教四邊淨　自好向前行。	何 是 出 身 之 路 打 教 四 邊 淨 自 好 向 前 行 
X26n0574_001:0960b10	　本來這箇沒纖塵　　只怕時人錯認真	 本 來 這 箇 沒 纖 塵 只 怕 時 人 錯 認 真 
X26n0574_001:0960b11	　放下了然無一物　　何方不是武陵春	 放 下 了 然 無 一 物 何 方 不 是 武 陵 春 
X26n0574_001:0960b12	以無所得故。	以 無 所 得 故 
X26n0574_001:0960b13	得無所得一體空虗　脩行人到這裡入大乘之	得 無 所 得 一 體 空 虗 脩 行 人 到 這 裡 入 大 乘 之 
X26n0574_001:0960b14	位眾生因甚輪轉不能休息因不曾見性尠於智	位 眾 生 因 甚 輪 轉 不 能 休 息 因 不 曾 見 性 尠 於 智 
X26n0574_001:0960b15	慧不能廣悟無量空義執著自己胸次學解悞却	慧 不 能 廣 悟 無 量 空 義 執 著 自 己 胸 次 學 解 悞 却 
X26n0574_001:0960b16	本心　大顛云從外入者不是家珍　仙真云學	本 心 大 顛 云 從 外 入 者 不 是 家 珍 仙 真 云 學 
X26n0574_001:0960b17	他心內言終是別人語　眾生被乾慧學解廣覽	他 心 內 言 終 是 別 人 語 眾 生 被 乾 慧 學 解 廣 覽 
X26n0574_001:0960b18	積習在心遂成我慢　古云若有絲毫便是塵塵	積 習 在 心 遂 成 我 慢 古 云 若 有 絲 毫 便 是 塵 塵 
X26n0574_001:0960b19	若不消只知傳說事塵若消盡諸境親見諸事親	若 不 消 只 知 傳 說 事 塵 若 消 盡 諸 境 親 見 諸 事 親 
X26n0574_001:0960b20	知如明眼人登高山無所見脩行人須是究竟到	知 如 明 眼 人 登 高 山 無 所 見 脩 行 人 須 是 究 竟 到 
X26n0574_001:0960b21	空劫齊不落第二見歸根得旨方有相應若是執	空 劫 齊 不 落 第 二 見 歸 根 得 旨 方 有 相 應 若 是 執 
X26n0574_001:0960b22	著人我便生輕易　善星比丘講得維摩經增上	著 人 我 便 生 輕 易 善 星 比 丘 講 得 維 摩 經 增 上 
X26n0574_001:0960b23	慢人我不除生陷地獄　雲光法師講得天華亂	慢 人 我 不 除 生 陷 地 獄 雲 光 法 師 講 得 天 華 亂 
X26n0574_001:0960b24	墜貪嗔不改墮落堰牛若要超佛越祖須是念念	墜 貪 嗔 不 改 墮 落 堰 牛 若 要 超 佛 越 祖 須 是 念 念 
X26n0574_001:0960c01	空寂世間幻化一切客塵惟太虗之體聲色不存	空 寂 世 間 幻 化 一 切 客 塵 惟 太 虗 之 體 聲 色 不 存 
X26n0574_001:0960c02	纖塵不立如虗空相似便是了事清淨安樂道人	纖 塵 不 立 如 虗 空 相 似 便 是 了 事 清 淨 安 樂 道 人 
X26n0574_001:0960c03	　要見清淨安樂道人麼　不掛一縷絲　頭頭	 要 見 清 淨 安 樂 道 人 麼 不 掛 一 縷 絲 頭 頭 
X26n0574_001:0960c04	自相遇。	自 相 遇 
X26n0574_001:0960c05	　赤膊條條不掛絲　　同行同坐阿誰知	 赤 膊 條 條 不 掛 絲 同 行 同 坐 阿 誰 知 
X26n0574_001:0960c06	　只認張三并李四　　不識你是甚家兒	 只 認 張 三 并 李 四 不 識 你 是 甚 家 兒 
X26n0574_001:0960c07	菩提薩埵。	菩 提 薩 埵 
X26n0574_001:0960c08	菩提薩埵者西天梵語也東土翻為人空法空。	菩 提 薩 埵 者 西 天 梵 語 也 東 土 翻 為 人 空 法 空 
X26n0574_001:0960c09	大顛有云了得人空名曰菩提了得法空名曰薩	大 顛 有 云 了 得 人 空 名 曰 菩 提 了 得 法 空 名 曰 薩 
X26n0574_001:0960c10	埵人法俱空名曰玅覺　若四果小乘著相脩行	埵 人 法 俱 空 名 曰 玅 覺 若 四 果 小 乘 著 相 脩 行 
X26n0574_001:0960c11	精進苦行及至脩無漏斷塵沙惑果行圓滿得四	精 進 苦 行 及 至 脩 無 漏 斷 塵 沙 惑 果 行 圓 滿 得 四 
X26n0574_001:0960c12	果阿羅漢如獐獨跳神通狹劣墮在聲聞辟支佛	果 阿 羅 漢 如 獐 獨 跳 神 通 狹 劣 墮 在 聲 聞 辟 支 佛 
X26n0574_001:0960c13	果不能接物利生若不見性不得到圓頓之位須	果 不 能 接 物 利 生 若 不 見 性 不 得 到 圓 頓 之 位 須 
X26n0574_001:0960c14	是見性若見性已反掌之間轉凡成聖自然機緣	是 見 性 若 見 性 已 反 掌 之 間 轉 凡 成 聖 自 然 機 緣 
X26n0574_001:0960c15	悟佛三昧知大道根源惟無師智自然智多種種	悟 佛 三 昧 知 大 道 根 源 惟 無 師 智 自 然 智 多 種 種 
X26n0574_001:0960c16	方便度諸迷悟同登彼岸更不受生教外別傳不	方 便 度 諸 迷 悟 同 登 彼 岸 更 不 受 生 教 外 別 傳 不 
X26n0574_001:0960c17	勞寸刃入圓頓無礙法門　且道如何是無礙法	勞 寸 刃 入 圓 頓 無 礙 法 門 且 道 如 何 是 無 礙 法 
X26n0574_001:0960c18	門　緬平一等七通八達。	門 緬 平 一 等 七 通 八 達 
X26n0574_001:0960c19	　眾水相合不分清　　眾火相聚一同明	 眾 水 相 合 不 分 清 眾 火 相 聚 一 同 明 
X26n0574_001:0960c20	　果必到家無異路　　坦然大道一般平	 果 必 到 家 無 異 路 坦 然 大 道 一 般 平 
X26n0574_001:0960c21	依般若波羅蜜多故。	依 般 若 波羅蜜多 故 
X26n0574_001:0960c22	此中間六箇字依前涅槃解說脩行得大智慧既	此 中 間 六 箇 字 依 前 涅 槃 解 說 脩 行 得 大 智 慧 既 
X26n0574_001:0960c23	有智慧必登彼岸而復太虗最尊最勝悟性般若	有 智 慧 必 登 彼 岸 而 復 太 虗 最 尊 最 勝 悟 性 般 若 
X26n0574_001:0960c24	天上天下無有及之　道云一日有為不如一時	天 上 天 下 無 有 及 之 道 云 一 日 有 為 不 如 一 時 
X26n0574_001:0961a01	無為　又云一年學教不如一日脩道　古德云	無 為 又 云 一 年 學 教 不 如 一 日 脩 道 古 德 云 
X26n0574_001:0961a02	千日學慧不如一日學般若　大顛云般若通透	千 日 學 慧 不 如 一 日 學 般 若 大 顛 云 般 若 通 透 
X26n0574_001:0961a03	大光明藏如人入海轉入轉深開佛知見悟佛知	大 光 明 藏 如 人 入 海 轉 入 轉 深 開 佛 知 見 悟 佛 知 
X26n0574_001:0961a04	見有大神通變化多般方便應現種種相隨機利	見 有大神通 變 化 多 般 方 便 應 現 種 種 相 隨 機 利 
X26n0574_001:0961a05	物不落第二一體同觀平等真法界無眾生可度	物 不 落 第 二 一 體 同 觀 平 等 真 法 界 無 眾 生 可 度 
