T85n2761_001:0253b02	勝鬘義記	勝 鬘 義 記 
T85n2761_001:0259c20	名為邊見也。所謂常見斷見者。列二見名也。	名 為 邊 見 也 所 謂 常 見 斷 見 者 列 二 見 名 也 
T85n2761_001:0259c21	見諸行無常者。釋斷見也。見五陰暫死便謂	見 諸行無常 者 釋 斷 見 也 見 五 陰 暫 死 便 謂 
T85n2761_001:0259c22	永滅。非正見者實非寂滅故言非也。見涅槃	永 滅 非 正 見 者 實 非 寂 滅 故 言 非 也 見 涅 槃 
T85n2761_001:0259c23	常者。五陰暫有便謂常存。以為涅槃也。非	常 者 五 陰 暫 有 便 謂 常 存 以 為 涅 槃 也 非 
T85n2761_001:0259c24	正見者。無常言常。是以言非也。妄相見故者。	正 見 者 無 常 言 常 是 以 言 非 也 妄 相 見 故 者 
T85n2761_001:0259c25	皆是虛妄非真見也。於身諸根者。五陰六情	皆 是 虛 妄 非 真 見 也 於 身 諸 根 者 五 陰 六 情 
T85n2761_001:0259c26	也。分別思惟者。知是五陰六情也。現在佛見	也 分 別 思 惟 者 知 是 五 陰 六 情 也 現 在 佛 見 
T85n2761_001:0259c27	壞也。於現五陰見死壞也。於有相續者。此死	壞 也 於 現 五 陰 見 死 壞 也 於 有 相 續 者 此 死 
T85n2761_001:0259c28	彼生也。不見者或生他方或得聖道。不見此	彼 生 也 不 見 者 或 生 他 方 或 得 聖 道 不 見 此 
T85n2761_001:0259c29	故便言永滅也。起斷之由因於此也。於心相	故 便 言 永 滅 也 起 斷 之 由 因 於 此 也 於 心 相 
T85n2761_001:0260a01	續者。欲明常見先明心體。是無常也。人天六	續 者 欲 明 常 見 先 明 心 體 是 無 常 也 人 天 六 
T85n2761_001:0260a02	道心心相續。此滅彼生念念不住。愚闇不解	道 心 心 相 續 此 滅 彼 生 念 念 不 住 愚 闇 不 解 
T85n2761_001:0260a03	者。無明凡夫不知相續也。不知剎那間意識	者 無 明 凡 夫 不 知 相 續 也 不 知 剎 那 間 意 識 
T85n2761_001:0260a04	境界者。不知心是念念生滅也。起於常見者。	境 界 者 不 知 心 是 念念生滅 也 起 於 常 見 者 
T85n2761_001:0260a05	不知念念計以為常也。若過若不及者。心實	不 知 念 念 計 以 為 常 也 若 過 若 不 及 者 心 實 
T85n2761_001:0260a06	無常便言是常。過於心實者心滅更生不見	無 常 便 言 是 常 過 於 心 實 者 心 滅 更 生 不 見 
T85n2761_001:0260a07	後續。便謂一心常存不改名不及也。陰雖未	後 續 便 謂 一 心 常 存 不 改 名 不 及 也 陰 雖 未 
T85n2761_001:0260a08	盡便謂已盡過陰實也。滅已更生而不能見	盡 便 謂 已 盡 過 陰 實 也 滅 已 更 生 而 不 能 見 
T85n2761_001:0260a09	名不及也。又一解心是無常計為是常名為	名 不 及 也 又 一 解 心 是 無 常 計 為 是 常 名 為 
T85n2761_001:0260a10	過也。五陰相續不知更生名不及也。又一解	過 也 五 陰 相 續 不 知 更 生 名 不 及 也 又 一 解 
T85n2761_001:0260a11	五陰相續。便謂永滅過相續理也。心體念念	五 陰 相 續 便 謂 永 滅 過 相 續 理 也 心 體 念 念 
T85n2761_001:0260a12	此滅彼生不知後念。便謂一常名為不及也。	此 滅 彼 生 不 知 後 念 便 謂 一 常 名 為 不 及 也 
T85n2761_001:0260a13	又一解計斷常人。皆是過失不及之事也。顛	又 一 解 計 斷 常 人 皆 是 過 失 不 及 之 事 也 顛 
T85n2761_001:0260a14	倒者稱名欲釋之。經少字眾生。於五受陰無	倒 者 稱 名 欲 釋 之 經 少 字 眾 生 於 五 受 陰 無 
T85n2761_001:0260a15	常常相訖不淨淨相倒四倒也。一切阿羅漢	常 常 相 訖 不 淨 淨 相 倒 四 倒 也 一 切 阿 羅 漢 
T85n2761_001:0260a16	者。釋二乘人見滅諦不圓也。於一切境界無	者 釋 二 乘 人 見 滅 諦 不 圓 也 於一切境界 無 
T85n2761_001:0260a17	作滅諦諦以種智為境界。及如來法身者。法	作 滅 諦 諦 以 種 智 為 境 界 及 如來法身 者 法 
T85n2761_001:0260a18	身無為之入滅諦也。本所不見者。二乘昔來	身 無 為 之 入 滅 諦 也 本所不見 者 二 乘 昔 來 
T85n2761_001:0260a19	始習觀作未能觀於無作滅也。或有眾生信	始 習 觀 作 未 能 觀 於 無 作 滅 也 或 有 眾 生 信 
T85n2761_001:0260a20	佛語故說淨波羅蜜。此明菩薩能信解知無	佛 語 故 說 淨波羅蜜 此 明 菩 薩 能 信 解 知 無 
T85n2761_001:0260a21	作滅也。是名正見者。法身之體常樂我淨。作	作 滅 也 是 名 正 見 者 法 身 之 體 常樂我淨 作 
T85n2761_001:0260a22	如是解可為真正也。真子者見正理而成聖	如 是 解 可 為 真 正 也 真 子 者 見 正 理 而 成 聖 
T85n2761_001:0260a23	弟子中真也。得法餘財者。於無常三乘言教	弟 子 中 真 也 得 法 餘 財 者 於 無 常 三 乘 言 教 
T85n2761_001:0260a24	之中。乃得聞於常住大乘也。將知此經必在	之 中 乃 得 聞 於 常 住 大 乘 也 將 知 此 經 必 在 
T85n2761_001:0260a25	法華涅槃經前也。世尊淨智者。此明二乘必	法 華 涅 槃 經 前 也 世 尊 淨 智 者 此 明 二 乘 必 
T85n2761_001:0260a26	能解知無作滅諦。無四住煩惱得為淨也。尚	能 解 知 無 作 滅 諦 無 四 住 煩 惱 得 為 淨 也 尚 
T85n2761_001:0260a27	非境界者。二乘始於斷三界四住猶有結業	非 境 界 者 二 乘 始 於 斷 三 界 四 住 猶 有 結 業 
T85n2761_001:0260a28	後邊身存。爾時未能觀無作諦也。況四依智	後 邊 身 存 爾 時 未 能 觀 無 作 諦 也 況 四 依 智 
T85n2761_001:0260a29	也。觀四作諦生死智也。以上況下耳。何以故	也 觀 四 作 諦 生 死 智 也 以 上 況 下 耳 何 以 故 
T85n2761_001:0260b01	者。何以作諦智不智無作諦也。三乘初業不	者 何 以 作 諦 智 不 智 無 作 諦 也 三 乘 初 業 不 
T85n2761_001:0260b02	愚於彼義當覺當得者。釋所以不知者也。捨	愚 於 彼 義 當 覺 當 得 者 釋 所 以 不 知 者 也 捨 
T85n2761_001:0260b03	後邊身得變易法身。便得知生死未盡觀諦	後 邊 身 得 變 易 法 身 便 得 知 生 死 未 盡 觀 諦 
T85n2761_001:0260b04	不周。更應觀諦修諸善行向佛涅槃。如來方	不 周 更 應 觀 諦 修諸善行 向 佛 涅 槃 如 來 方 
T85n2761_001:0260b05	便引至此處令其生解。昔未來知今始解悟	便 引 至 此 處 令 其 生 解 昔 未 來 知 今 始 解 悟 
T85n2761_001:0260b06	故名為初解。自在心名不愚也。未則圓解故	故 名 為 初 解 自 在 心 名 不 愚 也 未 則 圓 解 故 
T85n2761_001:0260b07	言當覺。將來必成無為法身名當得也。為彼	言 當 覺 將 來 必 成 無 為 法 身 名 當 得 也 為 彼 
T85n2761_001:0260b08	故世尊說四依者。為二乘人解無作諦。是以	故 世 尊 說 四 依 者 為 二 乘 人 解 無 作 諦 是 以 
T85n2761_001:0260b09	先為說作四諦也。此四依者是世間法者。還	先 為 說 作 四 諦 也 此 四 依 者 是 世 間 法 者 還 
T85n2761_001:0260b10	欲結成常住一依也。四諦有為不免三世也。	欲 結 成 常 住 一 依 也 四 諦 有 為 不 免 三 世 也 
T85n2761_001:0260b11	此句總漫未有所執甄一依也。一切依上者。	此 句 總 漫 未 有 所 執 甄 一 依 也 一 切 依 上 者 
T85n2761_001:0260b12	還昔上句出滅諦也。苦習道諦為一切也。滅	還 昔 上 句 出 滅 諦 也 苦 習 道 諦 為 一 切 也 滅 
T85n2761_001:0260b13	諦為一依也。無作無為勝三言上也。一切依	諦 為 一 依 也 無 作 無 為 勝 三 言 上 也 一 切 依 
T85n2761_001:0260b14	上者。直舉前句。出世間上上者。作滅聖諦在	上 者 直 舉 前 句 出 世 間 上 上 者 作 滅 聖 諦 在 
T85n2761_001:0260b15	凡夫上無作復勝稱為上上也。第一義依者。	凡 夫 上 無 作 復 勝 稱 為 上 上 也 第 一 義 依 者 
T85n2761_001:0260b16	常住湛然。所謂滅諦者列名也。	常 住 湛 然 所 謂 滅 諦 者 列 名 也 
T85n2761_001:0260b17	生死者依如來藏者。第十二經名也。有為生	生 死 者 依 如 來 藏 者 第 十 二 經 名 也 有 為 生 
T85n2761_001:0260b18	滅生死也。無為常存為藏也。此明眾生俱有	滅 生 死 也 無 為 常 存 為 藏 也 此 明 眾 生 俱 有 
T85n2761_001:0260b19	二法藏。方明顯生死將除義不久存故依藏	二 法 藏 方 明 顯 生 死 將 除 義 不 久 存 故 依 藏 
T85n2761_001:0260b20	也。以如來藏故說本際不可知者。非始造終	也 以 如 來 藏 故 說 本 際 不 可 知 者 非 始 造 終 
T85n2761_001:0260b21	成□知端者也。有如來藏故說本生死是名	成 知 端 者 也 有 如 來 藏 故 說 本 生 死 是 名 
T85n2761_001:0260b22	善說者。若言眾生有藏生死此說為善也。生	善 說 者 若 言 眾 生 有 藏 生 死 此 說 為 善 也 生 
T85n2761_001:0260b23	死生死者。前列後稱也。諸受根者。釋生者死	死 生 死 者 前 列 後 稱 也 諸 受 根 者 釋 生 者 死 
T85n2761_001:0260b24	五陰六情一時滅壞也。次第不受根起者。自	五 陰 六 情 一 時 滅 壞 也 次 第 不 受 根 起 者 自 
T85n2761_001:0260b25	死之後未更受生是名生死者。解生者死訖	死 之 後 未 更 受 生 是 名 生 死 者 解 生 者 死 訖 
T85n2761_001:0260b26	故結之。生死者欲明死者。更受後生故先	故 結 之 生 死 者 欲 明 死 者 更 受 後 生 故 先 
T85n2761_001:0260b27	列也。此二法是如來藏者。凡夫眾生有生有	列 也 此 二 法 是 如 來 藏 者 凡 夫 眾 生 有 生 有 
T85n2761_001:0260b28	死名為顛倒也。此章之初說諸眾生俱有二	死 名 為 顛 倒 也 此 章 之 初 說 諸 眾 生 俱 有 二 
T85n2761_001:0260b29	法。意在於此。世間言說故有死有生者。言如	法 意 在 於 此 世間言說 故 有 死 有 生 者 言 如 
T85n2761_001:0260c01	來藏。是生死者此是世間愚人之言。非是聖	來 藏 是 生 死 者 此 是 世 間 愚 人 之 言 非 是 聖 
T85n2761_001:0260c02	語也。又復一義世間諸法可說生藏。是出世	語 也 又 復 一 義 世 間 諸 法 可 說 生 藏 是 出 世 
T85n2761_001:0260c03	無為之法無生死也。死者諸根壞生者新諸	無 為 之 法 無 生 死 也 死 者 諸 根 壞 生 者 新 諸 
T85n2761_001:0260c04	根者。還明死者更變後生也。生者之死死者	根 者 還 明 死 者 更 變 後 生 也 生 者 之 死 死 者 
T85n2761_001:0260c05	更生三世。茲云無常之事現也。非如來藏有	更 生 三 世 茲 云 無 常 之 事 現 也 非 如 來 藏 有 
T85n2761_001:0260c06	生有死者。藏體湛然無六情諸根。真實常住	生 有 死 者 藏 體 湛 然 無 六 情 諸 根 真 實 常 住 
T85n2761_001:0260c07	非生死法也。離有相常住不變者。藏體如是	非 生 死 法 也 離 有 相 常 住 不 變 者 藏 體 如 是 
T85n2761_001:0260c08	故無生死。是依是時是建立者。超然像表者	故 無 生 死 是 依 是 時 是 建 立 者 超 然 像 表 者 
T85n2761_001:0260c09	如來藏也。如來能以眾生作歸依處。堅持獨	如 來 藏 也 如 來 能 以 眾 生 作 歸 依 處 堅 持 獨 
T85n2761_001:0260c10	立物不能爼也。不離不斷訖不思議佛法明	立 物 不 能 爼 也 不 離 不 斷 訖 不 思 議 佛 法 明 
T85n2761_001:0260c11	眾生佛性也。斷脫異外訖是如來藏明如來	眾 生 佛 性 也 斷 脫 異 外 訖 是 如 來 藏 明 如 來 
T85n2761_001:0260c12	佛性。煩惱為斷。無生死為脫。出三界為異。非	佛 性 煩 惱 為 斷 無 生 死 為 脫 出 三 界 為 異 非 
T85n2761_001:0260c13	念念故非有為。以上四絕為外也。外字應在	念 念 故 非 有 為 以 上 四 絕 為 外 也 外 字 應 在 
T85n2761_001:0260c14	後。有為法下一段藏體真實訖之此也。若無	後 有 為 法 下 一 段 藏 體 真 實 訖 之 此 也 若 無 
T85n2761_001:0260c15	如來藏者不得厭苦樂求涅槃者。此明佛性	如 來 藏 者 不 得 厭 苦 樂 求 涅 槃 者 此 明 佛 性 
T85n2761_001:0260c16	有益。於人佛性之體常樂我淨。生死之法苦	有 益 於 人 佛 性 之 體 常樂我淨 生 死 之 法 苦 
T85n2761_001:0260c17	惱眾多受之。既久生厭患心求覓樂法。欲以	惱 眾 多 受 之 既 久 生 厭 患 心 求 覓 樂 法 欲 以 
T85n2761_001:0260c18	自安由有佛性得生此心也。何以故者。何以	自 安 由 有 佛 性 得 生 此 心 也 何 以 故 者 何 以 
T85n2761_001:0260c19	有眾苦也。於此六識及心法智者。釋有多苦	有 眾 苦 也 於 此 六 識 及 心 法 智 者 釋 有 多 苦 
T85n2761_001:0260c20	也。心是主故名為法智也。剎那不住者。念念	也 心 是 主 故 名 為 法 智 也 剎 那 不 住 者 念 念 
T85n2761_001:0260c21	成形苦則眾多也。不種眾苦不得厭苦樂求	成 形 苦 則 眾 多 也 不 種 眾 苦 不 得 厭 苦 樂 求 
T85n2761_001:0260c22	涅槃者。勢極則及理數使然。此明佛性能生	涅 槃 者 勢 極 則 及 理 數 使 然 此 明 佛 性 能 生 
T85n2761_001:0260c23	厭苦心也。如來藏者。無前際不起不滅法也。	厭 苦 心 也 如 來 藏 者 無 前 際 不起不滅 法 也 
T85n2761_001:0260c24	非三世攝。前際為未來不起為現在滅為過	非 三 世 攝 前 際 為 未 來 不 起 為 現 在 滅 為 過 
T85n2761_001:0260c25	去。體是常存令人樂求。世尊如來藏者非我	去 體 是 常 存 令 人 樂 求 世 尊 如 來 藏 者 非 我 
T85n2761_001:0260c26	非眾生非命非人者。此明佛性常寂真實不	非 眾 生 非 命 非 人 者 此 明 佛 性 常 寂 真 實 不 
T85n2761_001:0260c27	如外道所計。我人眾生壽命虛妄常也。如來	如 外 道 所 計 我 人 眾 生 壽 命 虛 妄 常 也 如 來 
T85n2761_001:0260c28	藏者墮身見眾生者。計斷常人也。以五陰為	藏 者 墮 身 見 眾 生 者 計 斷 常 人 也 以 五 陰 為 
T85n2761_001:0260c29	我復名身見也。顛倒眾生者。是四倒人也。空	我 復 名 身 見 也 顛 倒 眾 生 者 是 四 倒 人 也 空 
T85n2761_001:0261a01	亂意眾生。是二乘人也。無四住分段為空謂	亂 意 眾 生 是 二 乘 人 也 無 四 住 分 段 為 空 謂 
T85n2761_001:0261a02	為小乘涅槃為亂也。非其境界者。上三種人	為 小 乘 涅 槃 為 亂 也 非 其 境 界 者 上 三 種 人 
T85n2761_001:0261a03	或累未除。不以佛性為境界也。	或 累 未 除 不 以 佛 性 為 境 界 也 
T85n2761_001:0261a04	是法界藏者。是第十三章經名也。十方不共	是 法 界 藏 者 是 第 十 三 章 經 名 也 十 方 不 共 
T85n2761_001:0261a05	慈悲等也。法身藏者佛性身也。出世間上上	慈 悲 等 也 法 身 藏 者 佛 性 身 也 出 世 間 上 上 
T85n2761_001:0261a06	藏者。無為常住也。自性清淨藏者。體非惑累	藏 者 無 為 常 住 也 自 性 清 淨 藏 者 體 非 惑 累 
T85n2761_001:0261a07	也。而客塵煩惱上煩惱所染者。煩惱可盡故	也 而 客塵煩惱 上 煩 惱 所 染 者 煩 惱 可 盡 故 
T85n2761_001:0261a08	言言客。障心不明為染也。剎那善心非煩惱	言 言 客 障 心 不 明 為 染 也 剎 那 善 心 非 煩 惱 
T85n2761_001:0261a09	所染者。煩惱以闇惑為體。心以慮解為體。雖	所 染 者 煩 惱 以 闇 惑 為 體 心 以 慮 解 為 體 雖 
T85n2761_001:0261a10	曰同處恒自失承也。又一解。善心以住煩惱	曰 同 處 恒 自 失 承 也 又 一 解 善 心 以 住 煩 惱 
T85n2761_001:0261a11	始生初不同時向得相染也。然有煩惱有煩	始 生 初 不 同 時 向 得 相 染 也 然 有 煩 惱 有 煩 
T85n2761_001:0261a12	惱染心者。雖不同時未能相免假名之道故	惱 染 心 者 雖 不 同 時 未 能 相 免 假 名 之 道 故 
T85n2761_001:0261a13	有染也。自性清淨心而有染者。迮事既爾達	有 染 也 自 性 清 淨 心 而 有 染 者 迮 事 既 爾 達 
T85n2761_001:0261a14	理可知。眾生雖有清淨佛性。未免煩惱名為	理 可 知 眾 生 雖 有 清 淨 佛 性 未 免 煩 惱 名 為 
T85n2761_001:0261a15	染也。難可了知者。淨不應染染不應淨說言	染 也 難可了知 者 淨 不 應 染 染 不 應 淨 說 言 
T85n2761_001:0261a16	清淨有言有染言隱理玄非是學地所能解	清 淨 有 言 有 染 言 隱 理 玄 非 是 學 地 所 能 解 
T85n2761_001:0261a17	也。如實知見者。佛具五眼。一切種智眾善	也 如實知見 者 佛 具 五 眼 一切種智 眾 善 
T85n2761_001:0261a18	所歸達解諸法乃能知耳。問於佛時。諮佛取	所 歸 達 解 諸 法 乃 能 知 耳 問 於 佛 時 諮 佛 取 
T85n2761_001:0261a19	定以之為問。如是如是者。向諮今可明其不	定 以 之 為 問 如是如是 者 向 諮 今 可 明 其 不 
T85n2761_001:0261a20	謬也。唯信佛語者。大士利智得後受行。二乘	謬 也 唯 信 佛 語 者 大 士 利 智 得 後 受 行 二 乘 
T85n2761_001:0261a21	智劣信而未解。隨信信增上者。上品信忍也。	智 劣 信 而 未 解 隨 信 信 增 上 者 上 品 信 忍 也 
T85n2761_001:0261a22	隨順法智者。順忍人也。而得究竟者。具上二	隨 順 法 智 者 順 忍 人 也 而 得 究 竟 者 具 上 二 
T85n2761_001:0261a23	忍信有佛性不沒退轉也。觀察諸法施六根	忍 信 有 佛 性 不 沒 退 轉 也 觀 察 諸 法 施 六 根 
T85n2761_001:0261a24	也。若知學地有此觀智。當知佛地必有佛性	也 若 知 學 地 有 此 觀 智 當 知 佛 地 必 有 佛 性 
T85n2761_001:0261a25	大明智也。觀察業報者。若知學地有因有果。	大 明 智 也 觀 察 業 報 者 若 知 學 地 有 因 有 果 
T85n2761_001:0261a26	亦能解知有佛性果萬善因也。觀察阿羅漢	亦 能 解 知 有 佛 性 果 萬 善 因 也 觀 察 阿 羅 漢 
T85n2761_001:0261a27	眼者。小乘經云。羅漢無眼。今見有眼。知非究	眼 者 小 乘 經 云 羅 漢 無 眼 今 見 有 眼 知 非 究 
T85n2761_001:0261a28	竟必有佛性常覺不眠也。觀察心自在樂者。	竟 必 有 佛 性 常 覺 不 眠 也 觀 察 心 自 在 樂 者 
T85n2761_001:0261a29	得自在者。心則受樂。三禪之中亦有樂根。故	得 自 在 者 心 則 受 樂 三 禪 之 中 亦 有 樂 根 故 
T85n2761_001:0261b01	知必有佛性之樂也。觀察聖自在通者。若三	知 必 有 佛 性 之 樂 也 觀 察 聖 自 在 通 者 若 三 
T85n2761_001:0261b02	乘聖人學地常有自在神通。故知佛地必有	乘 聖 人 學 地 常 有 自 在 神 通 故 知 佛 地 必 有 
T85n2761_001:0261b03	佛性大神通也。是究竟者入大乘道。染信佛	佛 性 大 神 通 也 是 究 竟 者 入 大 乘 道 染 信 佛 
T85n2761_001:0261b04	性不退轉者。則能具修萬善向佛也。因信如	性 不 退 轉 者 則 能 具 修 萬 善 向 佛 也 因 信 如 
T85n2761_001:0261b05	來者。得如是大利益不謗染義者。因由信佛	來 者 得 如 是 大 利 益 不 謗 染 義 者 因 由 信 佛 
T85n2761_001:0261b06	語知有佛性。復得解知大乘之道不沒言非	語 知 有 佛 性 復 得 解 知 大 乘 之 道 不 沒 言 非 
T85n2761_001:0261b07	也。	也 
T85n2761_001:0261b08	更有餘大利益者。第十四經名也。佛去世後	更 有 餘 大 利 益 者 第 十 四 經 名 也 佛 去 世 後 
T85n2761_001:0261b09	降伏惡人。令法等流一切信行也。離自毀傷	降 伏 惡 人 令 法 等 流 一 切 信 行 也 離 自 毀 傷 
T85n2761_001:0261b10	者。不謗大乘也。生大功德者。生大乘法也。自	者 不 謗 大 乘 也 生 大 功 德 者 生 大 乘 法 也 自 
T85n2761_001:0261b11	成就甚深法智者。無生忍人也。隨順法智者。	成 就 甚 深 法 智 者 無 生 忍 人 也 隨 順 法 智 者 
T85n2761_001:0261b12	順忍人也。仰惟世尊唯佛所知者。信忍人也。	順 忍 人 也 仰 惟 世 尊 唯 佛 所 知 者 信 忍 人 也 
T85n2761_001:0261b13	此三忍人聞佛性大乘則能受行也。諸餘眾	此 三 忍 人 聞 佛 性 大 乘 則 能 受 行 也 諸 餘 眾 
T85n2761_001:0261b14	生者。此下明於非法人也。堅著妄說者。說有	生 者 此 下 明 於 非 法 人 也 堅 著 妄 說 者 說 有 
T85n2761_001:0261b15	三乘因果各別也。違背正法者。不順一乘也。	三 乘 因 果 各 別 也 違 背 正 法 者 不 順 一 乘 也 
T85n2761_001:0261b16	習諸外道者。修學外道經記論也。腐敗種子	習 諸 外 道 者 修 學 外 道 經 記 論 也 腐 敗 種 子 
T85n2761_001:0261b17	者。無力能成佛法身也。其若燋種不能生依	者 無 力 能 成 佛 法 身 也 其 若 燋 種 不 能 生 依 
T85n2761_001:0261b18	也。王力天龍鬼神力者。斯力能剬假諸國王	也 王 力 天 龍 鬼 神 力 者 斯 力 能 剬 假 諸 國 王 
T85n2761_001:0261b19	護法天神摧伏之也。頂禮佛足者。諸佛可之	護 法 天 神 摧 伏 之 也 頂禮佛足 者 諸 佛 可 之 
T85n2761_001:0261b20	也。第十五經無別文。自總上所說以為多也。	也 第 十 五 經 無 別 文 自 總 上 所 說 以 為 多 也 
T85n2761_001:0261b21	過眼境界者。目不及處也。具足念佛者。十力	過 眼 境 界 者 目 不 及 處 也 具 足 念 佛 者 十 力 
T85n2761_001:0261b22	無畏相好光明內外諸德也。	無 畏 相 好 光 明 內 外 諸 德 也 
T85n2761_001:0261b23	慧掌蘊	慧 掌 蘊 
T85n2761_001:0261b24	勝鬘義記一卷	勝 鬘 義 記 一 卷 
