X54n0873_001:0330a03	 肇論序	 肇 論 序 
X54n0873_006:0362b05	為菩薩時。名曰儒童。於然燈佛所。已入涅槃。儒童菩	為 菩 薩 時 名 曰 儒 童 於 然 燈 佛 所 已 入 涅 槃 儒 童 菩 
X54n0873_006:0362b06	薩。時於七住初獲無生忍。進修三位。	薩 時 於 七 住 初 獲 無 生 忍 進 修 三 位 
X54n0873_006:0362b07	難意謂涅槃妙道既是一。則三乘所證不應有差。	難 意 謂 涅 槃 妙 道 既 是 一 則 三 乘 所 證 不 應 有 差 
X54n0873_006:0362b08	引放光義。金剛亦同。謂一切聖賢皆以無為法而	引 放 光 義 金 剛 亦 同 謂 一 切 聖 賢 皆 以 無 為 法 而 
X54n0873_006:0362b09	有差別。所謂證異也。儒童於然燈佛所已入涅槃。	有 差 別 所 謂 證 異 也 儒 童 於 然 燈 佛 所 已 入 涅 槃 
X54n0873_006:0362b10	而又云時於七住獲無生法忍。圓教七住。即權教	而 又 云 時 於 七 住 獲 無生法忍 圓 教 七 住 即 權 教 
X54n0873_006:0362b11	七地。故言既入涅槃。則已證極果。如何後又進修	七 地 故 言 既 入 涅 槃 則 已 證 極 果 如 何 後 又 進 修 
X54n0873_006:0362b12	三位耶。此疑涅槃未為極證也。此引證意。下正難。	三 位 耶 此 疑 涅 槃 未 為 極 證 也 此 引 證 意 下 正 難 
X54n0873_006:0362b13	若涅槃一也。則不應有三。如其有三。則非究竟。究竟	若 涅 槃 一 也 則 不 應 有 三 如 其 有 三 則 非 究 竟 究 竟 
X54n0873_006:0362b14	之道。而有升降之殊。眾經異說。何以取中耶。	之 道 而 有 升 降 之 殊 眾 經 異 說 何 以 取 中 耶 
X54n0873_006:0362b15	此正難差也。若一。則不應有三。有三。則非究竟矣。	此 正 難 差 也 若 一 則 不 應 有 三 有 三 則 非 究 竟 矣 
X54n0873_006:0362b16	既曰究竟之道。而有升降之不同。教有明言。又何	既 曰 究 竟 之 道 而 有 升 降 之 不 同 教 有 明 言 又 何 
X54n0873_006:0362b17	以折中耶。	以 折 中 耶 
X54n0873_006:0362b18	辯差第九	辯 差 第 九 
X54n0873_006:0362b19	無名曰。然究竟之道。理無差也。法華經云。第一大道	無 名 曰 然 究 竟 之 道 理 無 差 也 法 華 經 云 第 一 大 道 
X54n0873_006:0362b20	無有兩正。吾以方便為怠慢者。於一乘道分別說三。	無 有 兩 正 吾 以 方 便 為 怠 慢 者 於 一 乘 道 分 別 說 三 
X54n0873_006:0362b21	三車出火宅。即其事也。	三 車 出 火 宅 即 其 事 也 
X54n0873_006:0362b22	此領難意理本一也。然有三乘者。乃即一之三。權	此 領 難 意 理 本 一 也 然 有 三 乘 者 乃 即 一 之 三 權 
X54n0873_006:0362b23	實之義耳。正法華云。是一乘道。寂然之地。無有二	實 之 義 耳 正 法 華 云 是 一 乘 道 寂 然 之 地 無 有 二 
X54n0873_006:0362b24	上。論正與經上。皆極果也。妙法華云。佛為求道者。	上 論 正 與 經 上 皆 極 果 也 妙 法 華 云 佛 為 求 道 者 
X54n0873_006:0362c01	中路懈廢。為止息故。以方便力。於一乘道分別說	中 路 懈 廢 為 止 息 故 以 方 便 力 於 一 乘 道 分 別 說 
X54n0873_006:0362c02	三。火宅喻先許三車。及諸子出宅。皆等賜一大車。	三 火 宅 喻 先 許 三 車 及 諸 子 出 宅 皆 等 賜 一 大 車 
X54n0873_006:0362c03	是則本無有三。三非實法也。	是 則 本 無 有 三 三 非 實 法 也 
X54n0873_006:0362c04	以俱出生死。故同稱無為。所乘不一。故有三名。統其	以 俱 出 生 死 故 同 稱 無 為 所 乘 不 一 故 有 三 名 統 其 
X54n0873_006:0362c05	會歸。一而已矣。	會 歸 一 而 已 矣 
X54n0873_006:0362c06	此言三乘會歸一極。以申答意也。	此 言 三 乘 會 歸 一 極 以 申 答 意 也 
X54n0873_006:0362c07	而難云。三乘之道。皆因無為而有差別。此以人三。三	而 難 云 三 乘 之 道 皆 因 無 為 而有差別 此 以 人 三 三 
X54n0873_006:0362c08	於無為。非無為有三也。故放光云。涅槃有差別耶。答	於 無 為 非 無 為 有 三 也 故 放 光 云 涅 槃 有 差 別 耶 答 
X54n0873_006:0362c09	曰無差別。但如來結習都盡。聲聞結習不盡耳。	曰 無 差 別 但 如 來 結 習 都 盡 聲 聞 結 習 不 盡 耳 
X54n0873_006:0362c10	此正答難意。但人有三。而涅槃之道本無三也。所	此 正 答 難 意 但 人 有 三 而 涅 槃 之 道 本 無 三 也 所 
X54n0873_006:0362c11	以有差者。但如來煩惱無明結習已盡。三乘未盡	以 有 差 者 但 如 來 煩 惱 無 明 結 習 已 盡 三 乘 未 盡 
X54n0873_006:0362c12	故有差耳。以結習盡處。心契無為。名為涅槃。故下	故 有 差 耳 以 結 習 盡 處 心 契 無 為 名 為 涅 槃 故 下 
X54n0873_006:0362c13	以喻明。	以 喻 明 
X54n0873_006:0362c14	請以近喻。以況遠旨。如人斬木。去尺無尺。去寸無寸。	請 以 近 喻 以 況 遠 旨 如 人 斬 木 去 尺 無 尺 去 寸 無 寸 
X54n0873_006:0362c15	脩短在於尺寸。不在無也。	脩 短 在 於 尺 寸 不 在 無 也 
X54n0873_006:0362c16	此喻最顯。言無無長短。意旨更妙。此法本不異。	此 喻 最 顯 言 無 無 長 短 意 旨 更 妙 此 法 本 不 異 
X54n0873_006:0362c17	夫以羣生萬端。識根不一。智鑒有淺深。德行有厚薄。	夫 以 羣 生 萬 端 識 根 不 一 智 鑒 有 淺 深 德 行 有 厚 薄 
X54n0873_006:0362c18	所以俱之彼岸。而升降不同。彼岸豈異。異自我耳。然	所 以 俱 之 彼 岸 而 升 降 不 同 彼 岸 豈 異 異 自 我 耳 然 
X54n0873_006:0362c19	則眾經殊辯。其致不乖。	則 眾 經 殊 辯 其 致 不 乖 
X54n0873_006:0362c20	此明法本不異。異在於機。智有淺深。德有厚薄。正	此 明 法 本 不 異 異 在 於 機 智 有 淺 深 德 有 厚 薄 正 
X54n0873_006:0362c21	不一之所以也。彼岸豈異。正示法一。眾經隨機之	不 一 之 所 以 也 彼 岸 豈 異 正 示 法 一 眾 經 隨 機 之 
X54n0873_006:0362c22	說。故不乖耳。	說 故 不 乖 耳 
X54n0873_006:0362c23	責異第十	責 異 第 十 
X54n0873_006:0362c24	謂無為之理既一。如何能證之人有三。蓋躡前致	謂 無 為 之 理 既 一 如 何 能 證 之 人 有 三 蓋 躡 前 致 
X54n0873_006:0363a01	難也。故云責異。	難 也 故 云 責 異 
X54n0873_006:0363a02	有名曰。俱出火宅。則無患一也。同出生死。則無為一	有 名 曰 俱 出 火 宅 則 無 患 一 也 同 出 生 死 則 無 為 一 
X54n0873_006:0363a03	也。(此領旨也)而云彼岸無異。異自我耳。(此興疑也)彼岸。則無為	也 此 領 旨 也 而 云 彼 岸 無 異 異 自 我 耳 此 興 疑 也 彼 岸 則 無 為 
X54n0873_006:0363a04	岸也。我則體(證也)無為者也。(立難意。下申難)請問我與無為。為	岸 也 我 則 體 證 也 無 為 者 也 立 難 意 下 申 難 請 問 我 與 無 為 為 
X54n0873_006:0363a05	一為異。若我即無為。無為亦即我。不得言無為無異。	一 為 異 若 我 即 無 為 無 為 亦 即 我 不 得 言 無 為 無 異 
X54n0873_006:0363a06	異自我也。(言我與無為既一。則無彼此之分。故不可言異自於我)若我異無為。	異 自 我 也 言 我 與 無 為 既 一 則 無 彼 此 之 分 故 不 可 言 異 自 於 我 若 我 異 無 為 
X54n0873_006:0363a07	我則非無為。(我是眾生。自屬有為。故非無為)無為自無為。(自一向無為)我	我 則 非 無 為 我 是 眾 生 自 屬 有 為 故 非 無 為 無 為 自 無 為 自 一 向 無 為 我 
X54n0873_006:0363a08	自常有為。(我在生死。則一向有為)冥會之致。又滯而不通。(無為有為	自 常 有 為 我 在 生 死 則 一 向 有 為 冥 會 之 致 又 滯 而 不 通 無 為 有 為 
X54n0873_006:0363a09	條然各別。故難通會)然則我與無為。一亦無三。(若生死涅槃。本來平等一際。如	條 然 各 別 故 難 通 會 然 則 我 與 無 為 一 亦 無 三 若 生死涅槃 本 來 平 等 一 際 如 
X54n0873_006:0363a10	此既一。則畢竟無三)異亦無三。(若生死與涅槃。本來不同。則生死自生死。涅槃自涅槃。何有三	此 既 一 則 畢 竟 無 三 異 亦 無 三 若 生 死 與 涅 槃 本 來 不 同 則 生 死 自 生 死 涅 槃 自 涅 槃 何 有 三 
X54n0873_006:0363a11	乘之設)三乘之名。何由而生也(進退推之。一亦無三。異亦無三。如此則三乘之	乘 之 設 三 乘 之 名 何 由 而 生 也 進 退 推 之 一 亦 無 三 異 亦 無 三 如 此 則 三 乘 之 
X54n0873_006:0363a12	名。何由而生耶)。	名 何 由 而 生 耶 
X54n0873_006:0363a13	會異第十一	會 異 第 十 一 
X54n0873_006:0363a14	名家執異以難非一。故無名會通無二。	名 家 執 異 以 難 非 一 故 無 名 會 通 無 二 
X54n0873_006:0363a15	無名曰。夫止此而此。(意謂迷時涅槃即生死)適彼而彼。(悟時生死即涅	無 名 曰 夫 止 此 而 此 意 謂 迷 時 涅 槃 即 生 死 適 彼 而 彼 悟 時 生 死 即 涅 
X54n0873_006:0363a16	槃)所以同於得者得亦得之。(證則三乘同證)同於失者失亦	槃 所 以 同 於 得 者 得 亦 得 之 證 則 三 乘 同 證 同 於 失 者 失 亦 
X54n0873_006:0363a17	失之。(迷則六道同迷)我適無為。我即無為。無為雖一。何乖不	失 之 迷 則 六 道 同 迷 我 適 無 為 我 即 無 為 無 為 雖 一 何 乖 不 
X54n0873_006:0363a18	一耶。	一 耶 
X54n0873_006:0363a19	此言生死涅槃本無二致。迷悟同源。以人證法。法	此 言 生死涅槃 本 無 二 致 迷 悟 同 源 以 人 證 法 法 
X54n0873_006:0363a20	則在人。故曰我適無為。我即無為。人大則法亦隨	則 在 人 故 曰 我 適 無 為 我 即 無 為 人 大 則 法 亦 隨 
X54n0873_006:0363a21	大。機小則法亦隨小。是則無為雖一。何妨因人而	大 機 小 則 法 亦 隨 小 是 則 無 為 雖 一 何 妨 因 人 而 
X54n0873_006:0363a22	有三耶。	有 三 耶 
X54n0873_006:0363a23	譬猶三鳥出網。同適無患之域。無患雖同。而鳥鳥各	譬 猶 三 鳥 出 網 同 適 無 患 之 域 無 患 雖 同 而 鳥 鳥 各 
X54n0873_006:0363a24	異。不可以鳥鳥各異。謂無患亦異。又不可以無患既	異 不 可 以 鳥 鳥 各 異 謂 無 患 亦 異 又 不 可 以 無 患 既 
X54n0873_006:0363b01	一。而一於眾鳥也。然則鳥即無患。無患即鳥。無患豈	一 而 一 於 眾 鳥 也 然 則 鳥 即 無 患 無 患 即 鳥 無 患 豈 
X54n0873_006:0363b02	異。異自鳥耳。	異 異 自 鳥 耳 
X54n0873_006:0363b03	此喻顯法一而人異也。鳥喻眾生。網喻生死。無患	此 喻 顯 法 一 而 人 異 也 鳥 喻 眾 生 網 喻 生 死 無 患 
X54n0873_006:0363b04	喻涅槃。謂眾鳥出網。無患一而鳥鳥異。異謂飛有	喻 涅 槃 謂 眾 鳥 出 網 無 患 一 而 鳥 鳥 異 異 謂 飛 有 
X54n0873_006:0363b05	遠近也。此以無患喻涅槃最妙。	遠 近 也 此 以 無 患 喻 涅 槃 最 妙 
X54n0873_006:0363b06	如是三乘眾生。俱越妄想之樊。同適無為之境。無為	如 是 三 乘 眾 生 俱 越 妄 想 之 樊 同 適 無 為 之 境 無 為 
X54n0873_006:0363b07	雖同。而乘乘各異。不可以乘乘各異。謂無為亦異。又	雖 同 而 乘 乘 各 異 不 可 以 乘 乘 各 異 謂 無 為 亦 異 又 
X54n0873_006:0363b08	不可以無為既一。而一於三乘也。然則我即無為。無	不 可 以 無 為 既 一 而 一 於 三 乘 也 然 則 我 即 無 為 無 
X54n0873_006:0363b09	為即我。無為豈異。異自我耳。	為 即 我 無 為 豈 異 異 自 我 耳 
X54n0873_006:0363b10	法合甚明。謂眾生同出生死。所證涅槃是一。但根	法 合 甚 明 謂 眾 生 同 出 生 死 所 證 涅 槃 是 一 但 根 
X54n0873_006:0363b11	有大小。智有淺深。故證有高下。此是異在人。不在	有 大 小 智 有 淺 深 故 證 有 高 下 此 是 異 在 人 不 在 
X54n0873_006:0363b12	法也。	法 也 
X54n0873_006:0363b13	所以無患雖同。而升虗有遠近。無為雖一。而幽鑒有	所 以 無 患 雖 同 而 升 虗 有 遠 近 無 為 雖 一 而 幽 鑒 有 
X54n0873_006:0363b14	淺深。無為即乘也。乘即無為也。此非我異無為。以未	淺 深 無 為 即 乘 也 乘 即 無 為 也 此 非 我 異 無 為 以 未 
X54n0873_006:0363b15	盡無為。故有三耳。	盡 無 為 故 有 三 耳 
X54n0873_006:0363b16	此喻法雙結生死涅槃本來不二。但出生死之人。	此 喻 法 雙 結 生死涅槃 本 來 不 二 但 出 生 死 之 人 
X54n0873_006:0363b17	未盡無為之理。故有三乘之分。非有三法以待人	未 盡 無 為 之 理 故 有 三 乘 之 分 非 有 三 法 以 待 人 
X54n0873_006:0363b18	也。此論正義。特顯生死涅槃不二之旨。學人不可	也 此 論 正 義 特 顯 生死涅槃 不 二 之 旨 學 人 不 可 
X54n0873_006:0363b19	以迷悟三一求之。	以 迷 悟 三 一 求 之 
X54n0873_006:0363b20	詰漸第十二	詰 漸 第 十 二 
X54n0873_006:0363b21	詰。難也。由前云未盡有三。是為漸義。故此詰之。	詰 難 也 由 前 云 未 盡 有 三 是 為 漸 義 故 此 詰 之 
X54n0873_006:0363b22	有名曰。萬累滋彰。本於妄想。妄想既祛。則萬累都息。	有 名 曰 萬 累 滋 彰 本 於 妄 想 妄 想 既 祛 則 萬 累 都 息 
X54n0873_006:0363b23	(此言三乘斷惑同)二乘得盡智。菩薩得無生智。(此言三乘智同)是時	 此 言 三 乘 斷 惑 同 二 乘 得 盡 智 菩 薩 得 無 生 智 此 言 三 乘 智 同 是 時 
X54n0873_006:0363b24	妄想都盡。結縛永除。結縛既除。則心無為。(此言三乘證理同)	妄 想 都 盡 結 縛 永 除 結 縛 既 除 則 心 無 為 此 言 三 乘 證 理 同 
X54n0873_006:0363c01	心既無為。理無餘翳。	心 既 無 為 理 無 餘 翳 
X54n0873_006:0363c02	此詰三乘斷惑證智證理皆同。同則不應取果有	此 詰 三 乘 斷 惑 證 智 證 理 皆 同 同 則 不 應 取 果 有 
X54n0873_006:0363c03	異也。萬累指枝末煩惱。妄想指根本煩惱。根本既	異 也 萬 累 指 枝 末 煩 惱 妄 想 指 根本煩惱 根 本 既 
X54n0873_006:0363c04	斷。則枝末不生。故云都息。二乘盡智等。新疏引大	斷 則 枝 末 不 生 故 云 都 息 二 乘 盡 智 等 新 疏 引 大 
X54n0873_006:0363c05	品說三乘之人共十一智。第九名盡智。謂苦已盡	品 說 三乘之人 共 十 一 智 第 九 名 盡 智 謂 苦 已 盡 
X54n0873_006:0363c06	見等。第十名無生智。謂苦已見而不更見等。則前	見 等 第 十 名 無 生 智 謂 苦 已 見 而 不 更 見 等 則 前 
X54n0873_006:0363c07	之十智聲聞皆有。盡智在已辦地得之。今云菩薩	之 十 智 聲 聞 皆 有 盡 智 在 已 辦 地 得 之 今 云 菩 薩 
X54n0873_006:0363c08	得無生智者。二地已上。第九菩薩地。阿鞞跋致。如	得 無 生 智 者 二 地 已 上 第 九 菩 薩 地 阿鞞跋致 如 
X54n0873_006:0363c09	實知諸法本自不生。今亦無滅。名無生智。不共二	實 知 諸 法 本 自 不 生 今 亦 無 滅 名 無 生 智 不 共 二 
X54n0873_006:0363c10	乘也。上引聲聞亦證無生。今言菩薩不共者。以二	乘 也 上 引 聲 聞 亦 證 無 生 今 言 菩 薩 不 共 者 以 二 
X54n0873_006:0363c11	乘但盡生死名為無生。菩薩乃達諸法寂滅無生。	乘 但 盡 生 死 名 為 無 生 菩 薩 乃 達 諸 法 寂 滅 無 生 
X54n0873_006:0363c12	故不共耳。通言三乘斷惑證理皆同。而取果不應	故 不 共 耳 通 言 三 乘 斷 惑 證 理 皆 同 而 取 果 不 應 
X54n0873_006:0363c13	有異。此乃名家約義以難。其實三乘斷惑不同。以	有 異 此 乃 名 家 約 義 以 難 其 實 三 乘 斷 惑 不 同 以 
X54n0873_006:0363c14	二乘斷見思。菩薩斷塵沙。伏無明。霄壤有異。豈可	二 乘 斷 見 思 菩 薩 斷 塵 沙 伏 無 明 霄 壤 有 異 豈 可 
X54n0873_006:0363c15	同哉。學者不可不知也。	同 哉 學 者 不 可 不 知 也 
X54n0873_006:0363c16	經曰。是諸聖智不相違背。不出不在。(應作生字)其實俱空。	經 曰 是 諸 聖 智 不 相 違 背 不 出 不 在 應 作 生 字 其 實 俱 空 
X54n0873_006:0363c17	又曰。無為大道。平等不二。	又 曰 無 為 大 道 平 等 不 二 
X54n0873_006:0363c18	此引證三乘證理不異也。疏引放光云。聲聞辟支	此 引 證 三 乘 證 理 不 異 也 疏 引 放 光 云 聲 聞 辟 支 
X54n0873_006:0363c19	佛。菩薩佛世尊。是諸聖智不相違背。乃至云不出	佛 菩 薩 佛 世 尊 是 諸 聖 智 不 相 違 背 乃 至 云 不 出 
X54n0873_006:0363c20	不在其實空者。無有差殊。今在字宜是生字。智論	不 在 其 實 空 者 無 有 差 殊 今 在 字 宜 是 生 字 智 論 
X54n0873_006:0363c21	解云。因邊不起。名為不出。緣邊不起。名為不生。又	解 云 因 邊 不 起 名 為 不 出 緣 邊 不 起 名 為 不 生 又 
X54n0873_006:0363c22	曰下。亦義引大品三慧品。須菩提白佛言。世尊。無	曰 下 亦 義 引 大 品 三 慧 品 須 菩 提 白 佛 言 世 尊 無 
X54n0873_006:0363c23	為法中可得差別不。佛言不也。故義言大道平等	為 法 中 可 得 差 別 不 佛 言 不 也 故 義 言 大 道 平 等 
X54n0873_006:0363c24	無二。	無 二 
X54n0873_006:0364a01	既曰無二。則不容心異。不體(證也)則已。體應窮微。而曰	既 曰 無 二 則 不 容 心 異 不 體 證 也 則 已 體 應 窮 微 而 曰 
X54n0873_006:0364a02	體而未盡。是所未悟也。	體 而 未 盡 是 所 未 悟 也 
X54n0873_006:0364a03	言既所證之理不二。則能證之心又何容異。以不	言 既 所 證 之 理 不 二 則 能 證 之 心 又 何 容 異 以 不 
X54n0873_006:0364a04	異之心。證不二之理。不證則已。證則窮微徹底。而	異 之 心 證 不 二 之 理 不 證 則 已 證 則 窮 微 徹 底 而 
X54n0873_006:0364a05	曰體而未盡。是所未悟也。	曰 體 而 未 盡 是 所 未 悟 也 
X54n0873_006:0364a06	明漸第十三	明 漸 第 十 三 
X54n0873_006:0364a07	言結習不可頓盡。無為不可頓證。譬如磨鏡。垢盡	言 結 習 不 可 頓 盡 無 為 不 可 頓 證 譬 如 磨 鏡 垢 盡 
X54n0873_006:0364a08	明現。	明 現 
X54n0873_006:0364a09	無名曰。無為無二。則已然矣。(領難理無差)結是重惑。可謂	無 名 曰 無 為 無 二 則 已 然 矣 領 難 理 無 差 結 是 重 惑 可 謂 
X54n0873_006:0364a10	頓盡。亦所未喻。(經云。理須頓悟。乘悟併消。事因漸除。因次第盡)經曰。三箭中	頓 盡 亦 所 未 喻 經 云 理 須 頓 悟 乘 悟 併 消 事 因 漸 除 因 次 第 盡 經 曰 三 箭 中 
X54n0873_006:0364a11	的。三獸渡河。中渡無異。而有淺深之殊者。為力不同	的 三 獸 渡 河 中 渡 無 異 而 有 淺 深 之 殊 者 為 力 不 同 
X54n0873_006:0364a12	故也。	故 也 
X54n0873_006:0364a13	二喻疏引毗婆沙論之義。云猶如一的。若木若鐵。	二 喻 疏 引 毗 婆 沙 論 之 義 云 猶 如 一 的 若 木 若 鐵 
X54n0873_006:0364a14	眾箭所中。一無為體。為三想所行。又云。於甚深十	眾 箭 所 中 一 無 為 體 為 三 想 所 行 又 云 於 甚 深 十 
X54n0873_006:0364a15	二因緣河。能盡其底。是名為佛。二乘不爾。如三獸	二 因 緣 河 能 盡 其 底 是 名 為 佛 二 乘 不 爾 如 三 獸 
X54n0873_006:0364a16	渡河。謂象馬兔。兔則騰擲而渡。馬或盡底。或不盡	渡 河 謂 象 馬 兔 兔 則 騰 擲 而 渡 馬 或 盡 底 或 不 盡 
X54n0873_006:0364a17	底。香象於一切時。無不盡底。	底 香 象 於一切時 無 不 盡 底 
X54n0873_006:0364a18	三乘眾生。俱濟緣起之津。同鑒四諦之的。絕偽即真。	三 乘 眾 生 俱 濟 緣 起 之 津 同 鑒 四 諦 之 的 絕 偽 即 真 
X54n0873_006:0364a19	同升無為。然則所乘不一者。亦以智力不同故也。	同 升 無 為 然 則 所 乘 不 一 者 亦 以 智 力 不 同 故 也 
X54n0873_006:0364a20	此法合也。緣起十二因緣。乃廣四諦而說。故四諦	此 法 合 也 緣 起 十二因緣 乃 廣 四 諦 而 說 故 四 諦 
X54n0873_006:0364a21	有生滅。無生無作。無量。四種不同。故是三乘同觀。	有 生 滅 無 生 無 作 無 量 四 種 不 同 故 是 三 乘 同 觀 
X54n0873_006:0364a22	故云俱濟同鑒。而斷惑證真。同升無為。亦各證自	故 云 俱 濟 同 鑒 而 斷 惑 證 真 同 升 無 為 亦 各 證 自 
X54n0873_006:0364a23	乘。故所乘不一。亦以智力不同故也○下舉例難	乘 故 所 乘 不 一 亦 以 智 力 不 同 故 也 下 舉 例 難 
X54n0873_006:0364a24	盡。	盡 
X54n0873_006:0364b01	夫羣有雖眾。然其量有涯。正使智猶身子。辯若滿願。	夫 羣 有 雖 眾 然 其 量 有 涯 正 使 智 猶 身 子 辯 若 滿 願 
X54n0873_006:0364b02	窮才極慮。莫窺其畔。	窮 才 極 慮 莫 窺 其 畔 
X54n0873_006:0364b03	此舉有為之法難盡。以例無為不可頓窮也。言萬	此 舉 有 為 之 法 難 盡 以 例 無 為 不 可 頓 窮 也 言 萬 
X54n0873_006:0364b04	物難多。各有涯量。直使智慧如身子。辯才如滿慈。	物 難 多 各 有 涯 量 直 使 智 慧 如 身 子 辯 才 如 滿 慈 
X54n0873_006:0364b05	窮其才。極其慮。亦莫能窺其邊。有為如此。況無為	窮 其 才 極 其 慮 亦 莫 能 窺 其 邊 有 為 如 此 況 無 為 
X54n0873_006:0364b06	乎。涅槃云。佛言。我與彌勒等共論世諦。舍利弗等	乎 涅 槃 云 佛 言 我 與 彌 勒 等 共 論 世 諦 舍 利 弗 等 
X54n0873_006:0364b07	都不識知。何況出世第一義諦。	都 不 識 知 何 況 出 世 第一義諦 
X54n0873_006:0364b08	況乎虗無之數。(妙也)重玄之域。其道無涯。欲之頓盡耶。	況 乎 虗 無 之 數 妙 也 重 玄 之 域 其 道 無 涯 欲 之 頓 盡 耶 
X54n0873_006:0364b09	此法合也。虗無重玄。用老子文。玄之又玄。故曰重	此 法 合 也 虗 無 重 玄 用 老 子 文 玄 之 又 玄 故 曰 重 
X54n0873_006:0364b10	玄。皆況涅槃無為之義。言有為之數。二乘之智。尚	玄 皆 況 涅 槃 無 為 之 義 言 有 為 之 數 二 乘 之 智 尚 
X54n0873_006:0364b11	不能窮。況涅槃無為之道乎。譬如大海無涯。而操	不 能 窮 況 涅 槃 無 為 之 道 乎 譬 如 大 海 無 涯 而 操 
X54n0873_006:0364b12	舟有里數。太虗寥廓。而翔翮有遠近。三乘之人。於	舟 有 里 數 太 虗 寥 廓 而 翔 翮 有 遠 近 三乘之人 於 
X54n0873_006:0364b13	涅槃之道。亦猶是也。	涅 槃 之 道 亦 猶 是 也 
X54n0873_006:0364b14	書不云乎。為學者日益。為道者日損。為道者為於無	書 不 云 乎 為 學 者 日 益 為 道 者 日 損 為 道 者 為 於 無 
X54n0873_006:0364b15	為者也。為於無為而曰日損。此豈頓得之謂。要損之	為 者 也 為 於 無 為 而 曰 日 損 此 豈 頓 得 之 謂 要 損 之 
X54n0873_006:0364b16	又損之。以至於無損耳。經喻螢日。智用可知矣。	又 損 之 以 至 於 無 損 耳 經 喻 螢 日 智 用 可 知 矣 
X54n0873_006:0364b17	引老子為學日益。為道日損。損之又損。至於無損	引 老 子 為 學 日 益 為 道 日 損 損 之 又 損 至 於 無 損 
X54n0873_006:0364b18	以明漸斷漸證之義。至於無損者。至無可損為極	以 明 漸 斷 漸 證 之 義 至 於 無 損 者 至 無 可 損 為 極 
X54n0873_006:0364b19	證耳。螢日。放光義云。二乘之智如螢火虫。不敢作	證 耳 螢 日 放 光 義 云 二 乘 之 智 如 螢 火 虫 不 敢 作 
X54n0873_006:0364b20	念徧照閻浮。菩薩之智譬如日出。徧照閻浮。生盲	念 徧 照 閻 浮 菩 薩 之 智 譬 如 日 出 徧 照 閻 浮 生 盲 
X54n0873_006:0364b21	之人。皆得利益等。	之 人 皆 得 利 益 等 
X54n0873_006:0364b22	譏動第十四	譏 動 第 十 四 
X54n0873_006:0364b23	如前所云。既以取捨為心。損益為行。是則尚求之	如 前 所 云 既 以 取 捨 為 心 損 益 為 行 是 則 尚 求 之 
X54n0873_006:0364b24	心擾動未息。何以動擾之心。證不動無為之理乎。	心 擾 動 未 息 何 以 動 擾 之 心 證 不 動 無 為 之 理 乎 
X54n0873_006:0364c01	故譏以詰之。	故 譏 以 詰 之 
X54n0873_006:0364c02	有名曰。經稱法身已上。入無為境。心不可以智知。形	有 名 曰 經 稱 法 身 已 上 入 無 為 境 心 不 可 以 智 知 形 
X54n0873_006:0364c03	不可以象測。體絕陰入。心智寂滅。(上明無為之理)而復云進	不 可 以 象 測 體 絕 陰 入 心 智 寂 滅 上 明 無 為 之 理 而 復 云 進 
X54n0873_006:0364c04	修三位。積德彌廣。(此明好尚之心)夫進修本(因也)於好尚。積德	修 三 位 積 德 彌 廣 此 明 好 尚 之 心 夫 進 修 本 因 也 於 好 尚 積 德 
X54n0873_006:0364c05	生(起也)於涉求。好尚則取捨情現。涉求則損益交陳。既	生 起 也 於 涉 求 好 尚 則 取 捨 情 現 涉 求 則 損 益 交 陳 既 
X54n0873_006:0364c06	以取捨為心。損益為體。(言體究行也)而曰體絕陰入。心智	以 取 捨 為 心 損 益 為 體 言 體 究 行 也 而 曰 體 絕 陰 入 心 智 
X54n0873_006:0364c07	寂滅。此文乖致殊。而會之一人。無異指南為北。以曉	寂 滅 此 文 乖 致 殊 而 會 之 一 人 無 異 指 南 為 北 以 曉 
X54n0873_006:0364c08	迷夫。	迷 夫 
X54n0873_006:0364c09	此躡前進修損益以興難也。經稱法身已上。謂初	此 躡 前 進 修 損 益 以 興 難 也 經 稱 法 身 已 上 謂 初 
X54n0873_006:0364c10	登地。已契法身。證真如理。故云入無為境。以無分	登 地 已 契 法 身 證 真 如 理 故 云 入 無 為 境 以 無 分 
X54n0873_006:0364c11	別智現身益物。故云心不可以智知。形不可以象	別 智 現 身 益 物 故 云 心 不 可 以 智 知 形 不 可 以 象 
X54n0873_006:0364c12	測。至七地頓捨藏識。故云體絕陰入。證平等真如。	測 至 七 地 頓 捨 藏 識 故 云 體 絕 陰 入 證 平 等 真 如 
X54n0873_006:0364c13	故云心智寂滅。自此復進修三位。方成佛果。此引	故 云 心 智 寂 滅 自 此 復 進 修 三 位 方 成 佛 果 此 引 
X54n0873_006:0364c14	經按定。下申難意。謂進修積德。本於好尚涉求。凡	經 按 定 下 申 難 意 謂 進 修 積 德 本 於 好 尚 涉 求 凡 
X54n0873_006:0364c15	好尚則取捨未忘。涉求則損益交陳。既有取捨損	好 尚 則 取 捨 未 忘 涉 求 則 損 益 交 陳 既 有 取 捨 損 
X54n0873_006:0364c16	益之心。則動擾未息。而又曰體絕陰入。心智寂滅。	益 之 心 則 動 擾 未 息 而 又 曰 體 絕 陰 入 心 智 寂 滅 
X54n0873_006:0364c17	此則文乖於理。如何會之一人。以動心而取靜理。	此 則 文 乖 於 理 如 何 會 之 一 人 以 動 心 而 取 靜 理 
