X63n1255_001:0737b06	禪家龜鑑	禪 家 龜 鑑 
X63n1255_001:0745a16	臨濟喝。德山棒。皆徹證無生。透頂透底大機大用。自	臨 濟 喝 德 山 棒 皆 徹 證 無 生 透 頂 透 底 大 機 大 用 自 
X63n1255_001:0745a17	在無方。全身出沒全身擔荷。退守文殊普賢大人境	在 無 方 全 身 出 沒 全 身 擔 荷 退 守 文 殊 普 賢 大 人 境 
X63n1255_001:0745a18	界。然據實而論。此二師亦不免偷心鬼子。	界 然 據 實 而 論 此 二 師 亦 不 免 偷 心 鬼 子 
X63n1255_001:0745a19	凜凜吹毛。不犯鋒鋩。　爍爍寒光珠媚水。寥寥雲	凜 凜 吹 毛 不 犯 鋒 鋩 爍 爍 寒 光 珠 媚 水 寥 寥 雲 
X63n1255_001:0745a20	散月行天。	散 月 行 天 
X63n1255_001:0745a21	大丈夫見佛見祖如冤家。若著佛求被佛縛。若著祖	大 丈 夫 見 佛 見 祖 如 冤 家 若 著 佛 求 被 佛 縛 若 著 祖 
X63n1255_001:0745a22	求被祖縛。有求皆苦。不如無事。	求 被 祖 縛 有 求 皆 苦 不 如 無 事 
X63n1255_001:0745a23	佛祖如冤者。結上無風起浪也。有求皆苦者。結上	佛 祖 如 冤 者 結 上 無 風 起 浪 也 有 求 皆 苦 者 結 上 
X63n1255_001:0745a24	當體便是也。不如無事者。結上動念即乖也。到此	當 體 便 是 也 不 如 無 事 者 結 上 動 念 即 乖 也 到 此 
X63n1255_001:0745b01	坐斷天下人舌頭。生死迅輪庶幾停息也。扶危定	坐 斷 天 下 人 舌 頭 生 死 迅 輪 庶 幾 停 息 也 扶 危 定 
X63n1255_001:0745b02	亂。如丹霞燒木佛。雲門喫狗子。老母不見佛。皆是	亂 如 丹 霞 燒 木 佛 雲 門 喫 狗 子 老 母 不 見 佛 皆 是 
X63n1255_001:0745b03	摧邪顯正底手段。然畢竟如何。　常憶江南三月	摧 邪 顯 正 底 手 段 然 畢 竟 如 何 常 憶 江 南 三 月 
X63n1255_001:0745b04	裏。鷓鴣啼處百花香。	裏 鷓 鴣 啼 處 百 花 香 
X63n1255_001:0745b05	神光不昧萬古徽猷。入此門來莫存知解。	神 光 不 昧 萬 古 徽 猷 入 此 門 來 莫 存 知 解 
X63n1255_001:0745b06	神光不昧者。結上昭昭靈靈也。萬古徽猷者。結上	神 光 不 昧 者 結 上 昭 昭 靈 靈 也 萬 古 徽 猷 者 結 上 
X63n1255_001:0745b07	本不生滅也。莫存知解者。結上不可守名生解也。	本 不 生 滅 也 莫 存 知 解 者 結 上 不 可 守 名 生 解 也 
X63n1255_001:0745b08	門者有凡聖出入義。如荷澤所謂。知之一字眾妙	門 者 有 凡 聖 出 入 義 如 荷 澤 所 謂 知 之 一 字 眾 妙 
X63n1255_001:0745b09	之門也。吁起於名狀不得。結於莫存知解。一篇葛	之 門 也 吁 起 於 名 狀 不 得 結 於 莫 存 知 解 一 篇 葛 
X63n1255_001:0745b10	藤。一句都破也。然始終一解。中舉萬行。如世典之	藤 一 句 都 破 也 然 始 終 一 解 中 舉 萬 行 如 世 典 之 
X63n1255_001:0745b11	三義也。知解二字佛法之大害。故時舉而終之。荷	三 義 也 知 解 二 字 佛 法 之 大 害 故 時 舉 而 終 之 荷 
X63n1255_001:0745b12	澤神會禪師不得為曹溪嫡子者以此也。因而頌	澤 神 會 禪 師 不 得 為 曹 溪 嫡 子 者 以 此 也 因 而 頌 
X63n1255_001:0745b13	曰。如斯舉唱明宗旨。笑殺西來碧眼僧。然畢竟如	曰 如 斯 舉 唱 明 宗 旨 笑 殺 西 來 碧 眼 僧 然 畢 竟 如 
X63n1255_001:0745b14	何。　孤輪獨照江山靜。自笑一聲天地驚。	何 孤 輪 獨 照 江 山 靜 自 笑 一 聲 天 地 驚 
X63n1255_001:0745b16	禪家龜鑑(終)	禪 家 龜 鑑 終 
