X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_008:0663a16	信十住等位。由淺而深。由生而熟。由勉而安。自有	信 十 住 等 位 由 淺 而 深 由 生 而 熟 由 勉 而 安 自 有 
X14n0295_008:0663a17	次第重歷。則為爛飯重嚼。何異學生念書已熟。又	次 第 重 歷 則 為 爛 飯 重 嚼 何 異 學 生 念 書 已 熟 又 
X14n0295_008:0663a18	復重溫一遍。大修行人。恐難與童蒙。學究同論也。	復 重 溫 一 遍 大 修 行 人 恐 難 與 童 蒙 學 究 同 論 也 
X14n0295_008:0663a19	是種種地皆以金剛(至)清淨修證漸次深入。	是 種 種 地 皆 以 金 剛 至 清 淨 修 證 漸 次 深 入 
X14n0295_008:0663a20	金剛。即金剛乾慧心也。種種地。十四位也。十喻者。	金 剛 即 金 剛 乾 慧 心 也 種 種 地 十 四 位 也 十 喻 者 
X14n0295_008:0663a21	幻人陽燄水月空華谷響乾城夢影像化奢摩他	幻 人 陽 燄 水 月 空 華 谷 響 乾 城 夢 影 像 化 奢 摩 他 
X14n0295_008:0663a22	毗婆舍那。此云正觀了法。如此則頓忘情解。纖塵	毗 婆 舍 那 此 云 正 觀 了 法 如 此 則 頓 忘 情 解 纖 塵 
X14n0295_008:0663a23	不立。故曰。清淨修證。	不 立 故 曰 清 淨 修 證 
X14n0295_008:0663a24	阿難如是皆以三增進故(至)若他觀者名為邪觀。	阿 難 如 是 皆 以 三 增 進 故 至 若 他 觀 者 名 為 邪 觀 
X14n0295_008:0663b01	三增進三漸次也。聖位資之。以成就五十五位。信	三 增 進 三 漸 次 也 聖 位 資 之 以 成 就 五 十 五 位 信 
X14n0295_008:0663b02	住地行向為五十。乾慧位及四加行為五十五。	住 地 行 向 為 五 十 乾 慧 位 及 四 加 行 為 五 十 五 
X14n0295_008:0663b03	爾時文殊師利法王子(至)身心快然得大饒益。	爾 時 文 殊 師 利 法 王 子 至 身 心 快 然 得 大 饒 益 
X14n0295_008:0663b04	阿難自敘。大眾聞經獲益。開示密印。至增上妙理。	阿 難 自 敘 大 眾 聞 經 獲 益 開 示 密 印 至 增 上 妙 理 
X14n0295_008:0663b05	通指前經奧義。印證藏心。清淨含覆。一切決了。是	通 指 前 經 奧 義 印 證 藏 心 清 淨 含 覆 一 切 決 了 是 
X14n0295_008:0663b06	謂密印般怛囉義也。以明心見性為因。等妙極證	謂 密 印 般 怛 囉 義 也 以 明 心 見 性 為 因 等 妙 極 證 
X14n0295_008:0663b07	為果。情解兩忘。心慮灰凝。細惑頓斷。是謂禪那進	為 果 情 解 兩 忘 心 慮 灰 凝 細 惑 頓 斷 是 謂 禪 那 進 
X14n0295_008:0663b08	修。增上妙理。修道所斷俱生細惑。大乘八地永伏。	修 增 上 妙 理 修道所斷 俱 生 細 惑 大 乘 八 地 永 伏 
X14n0295_008:0663b09	至佛地方斷。小乘分二果。分為九地。地各九品。初	至 佛 地 方 斷 小 乘 分 二 果 分 為 九 地 地 各 九 品 初 
X14n0295_008:0663b10	果斷欲界前六品而證二果。斷後三品而證三果。	果 斷 欲 界 前 六 品 而 證 二 果 斷 後 三 品 而 證 三 果 
X14n0295_008:0663b11	斷上三界各九品而證無學。今此增上頓斷。故言	斷 上 三 界 各 九 品 而 證 無 學 今 此 增 上 頓 斷 故 言 
X14n0295_008:0663b12	三界六品。其餘三品必須佛地方斷。雖三果能斷	三 界 六 品 其 餘 三 品 必 須 佛 地 方 斷 雖 三 果 能 斷 
X14n0295_008:0663b13	九品。特分段漸伏而已。	九 品 特 分 段 漸 伏 而 已 
X14n0295_008:0663b14	△精研七趣品第二十八	 精 研 七 趣 品 第 二 十 八 
X14n0295_008:0663b15	前說真淨妙心。本來周徧。則法界一真。萬物一	前 說 真 淨 妙 心 本 來 周 徧 則 法 界 一 真 萬 物 一 
X14n0295_008:0663b16	體。宜無諸趣之異。其如方今現有。乃常情所疑	體 宜 無 諸 趣 之 異 其 如 方 今 現 有 乃 常 情 所 疑 
X14n0295_008:0663b17	故。或執諸趣而迷妙圓之體。或執妙圓而撥諸	故 或 執 諸 趣 而 迷 妙 圓 之 體 或 執 妙 圓 而 撥 諸 
X14n0295_008:0663b18	趣之業。以致失錯墮落。故特請問。欲人詳明。而	趣 之 業 以 致 失 錯 墮 落 故 特 請 問 欲 人 詳 明 而 
X14n0295_008:0663b19	知所戒備也。	知 所 戒 備 也 
X14n0295_008:0663b20	△獄趣	 獄 趣 
X14n0295_008:0663b21	世尊若此妙明真淨妙心(至)為是眾生妄習生起。	世 尊 若 此 妙 明 真 淨 妙 心 至 為 是 眾 生 妄 習 生 起 
X14n0295_008:0663b22	自妄發生。非本來有。	自 妄 發 生 非 本 來 有 
X14n0295_008:0663b23	世尊如寶蓮香比丘尼(至)歡喜頂戴謹潔無犯。	世 尊 如 寶 蓮 香 比 丘 尼 至 歡 喜 頂 戴 謹 潔 無 犯 
X14n0295_008:0663b24	不斷三業。各各有私。眾同分中。非無定處。	不 斷 三 業 各 各 有 私 眾 同 分 中 非 無 定 處 
X14n0295_008:0663c01	佛告阿難快哉斯問(至)男女二根自然流液。	佛 告 阿 難 快 哉 斯 問 至 男 女 二 根 自 然 流 液 
X14n0295_008:0663c02	性動於內曰情。故情為內分。情人之陰氣。有欲者	性 動 於 內 曰 情 故 情 為 內 分 情 人 之 陰 氣 有 欲 者 
X14n0295_008:0663c03	也。因諸愛染而起。能滋愛水。潤業潤生。輪迴不斷。	也 因 諸 愛 染 而 起 能 滋 愛 水 潤 業 潤 生 輪 迴 不 斷 
X14n0295_008:0663c04	職由於此。	職 由 於 此 
X14n0295_008:0663c05	阿難諸愛雖別流結是同(至)自然從墜此名內分。	阿 難 諸 愛 雖 別 流 結 是 同 至 自 然 從 墜 此 名 內 分 
X14n0295_008:0663c06	水性潤下。故情積之業。多從淪墜。	水 性 潤 下 故 情 積 之 業 多 從 淪 墜 
X14n0295_008:0663c07	阿難外分即是眾生分外(至)自然超越此名外分。	阿 難 外 分 即 是 眾 生 分 外 至 自 然 超 越 此 名 外 分 
X14n0295_008:0663c08	意緣於外曰想。故想為外分。想人之陽氣。有冀者	意 緣 於 外 曰 想 故 想 為 外 分 想 人 之 陽 氣 有 冀 者 
X14n0295_008:0663c09	也。故因渴仰而復。以陽積故。能生勝氣。吳興云。外	也 故 因 渴 仰 而 復 以 陽 積 故 能 生 勝 氣 吳 興 云 外 
X14n0295_008:0663c10	分不出三界。雖云聖境冥現。但是勝氣之習。非真	分 不 出 三 界 雖 云 聖 境 冥 現 但 是 勝 氣 之 習 非 真 
X14n0295_008:0663c11	聖境也。	聖 境 也 
X14n0295_008:0663c12	阿難一切世間生死相續(至)無食無飲經百千劫。	阿 難 一切世間 生 死 相 續 至 無 食 無 飲 經 百 千 劫 
X14n0295_008:0663c13	雖得水飲。亦化為火。故能害己。	雖 得 水 飲 亦 化 為 火 故 能 害 己 
X14n0295_008:0663c14	九情一想下洞火輪(至)重生無間二種地獄。	九 情 一 想 下 洞 火 輪 至 重 生 無 間 二 種 地 獄 
X14n0295_008:0663c15	洞火輪即入熱獄。入風火交過地。謂超寒獄入熱	洞 火 輪 即 入 熱 獄 入 風 火 交 過 地 謂 超 寒 獄 入 熱 
X14n0295_008:0663c16	獄。熱獄第八。曰五無間。	獄 熱 獄 第 八 曰 五 無 間 
X14n0295_008:0663c17	純情即沉入阿鼻獄(至)更生十方阿鼻地獄。	純 情 即 沉 入 阿 鼻 獄 至 更 生 十 方 阿鼻地獄 
X14n0295_008:0663c18	阿鼻此云無間。謂受罪苦具身量劫數壽命五者。	阿 鼻 此 云 無 間 謂 受 罪 苦 具 身 量 劫 數 壽 命 五 者 
X14n0295_008:0663c19	皆無遮間。名五無間。此惟情量最重者墜入。劫壞	皆 無 遮 間 名 五 無 間 此 惟 情 量 最 重 者 墜 入 劫 壞 
X14n0295_008:0663c20	乃出。若兼謗大乘等罪。此劫雖壞。更入十方阿鼻	乃 出 若 兼 謗 大 乘 等 罪 此 劫 雖 壞 更 入 十 方 阿 鼻 
X14n0295_008:0663c21	地獄。永無出期。	地 獄 永 無 出 期 
X14n0295_008:0663c22	循造惡業雖則自招眾同分中兼有元地。	循 造 惡 業 雖 則 自 招 眾 同 分 中 兼 有 元 地 
X14n0295_008:0663c23	答前問。為有定處。純情所造。雖則自招。同業所感。	答 前 問 為 有 定 處 純 情 所 造 雖 則 自 招 同 業 所 感 
X14n0295_008:0663c24	不無定處。各隨元由也。	不 無 定 處 各 隨 元 由 也 
X14n0295_008:0664a01	阿難此等皆是眾生自業所感造十習因受六交報。	阿 難 此 等 皆 是 眾 生 自 業 所 感 造 十 習 因 受 六 交 報 
X14n0295_008:0664a02	△十因	 十 因 
X14n0295_008:0664a03	十習之業。皆先言所感之境。次言所報之事。	十 習 之 業 皆 先 言 所 感 之 境 次 言 所 報 之 事 
X14n0295_008:0664a04	云何十因阿難一者婬習(至)菩薩見欲如避火坑。	云 何 十 因 阿 難 一 者 婬 習 至 菩 薩 見 欲 如 避 火 坑 
X14n0295_008:0664a05	如來為導師。故色目以警之。菩薩為行人。故深怖	如 來 為 導 師 故 色 目 以 警 之 菩 薩 為 行 人 故 深 怖 
X14n0295_008:0664a06	以避之。二習具彼此。與交字相暎。	以 避 之 二 習 具 彼 此 與 交 字 相 暎 
X14n0295_008:0664a07	二者貪習交計發於相吸(至)菩薩見貪如避瘴海。	二 者 貪 習 交 計 發 於 相 吸 至 菩 薩 見 貪 如 避 瘴 海 
X14n0295_008:0664a08	貪因愛心計着。吸取而發。吸積風為寒風。結水為	貪 因 愛 心 計 着 吸 取 而 發 吸 積 風 為 寒 風 結 水 為 
X14n0295_008:0664a09	氷。故有積寒凍裂之境。吒吒波波羅羅。忍寒之聲。	氷 故 有 積 寒 凍 裂 之 境 吒 吒 波 波 羅 羅 忍 寒 之 聲 
X14n0295_008:0664a10	青赤白蓮。寒氷之色。此為寒氷地獄。	青 赤 白 蓮 寒 氷 之 色 此 為 寒 氷 地 獄 
X14n0295_008:0664a11	三者慢習交陵發於相持(至)菩薩見慢如避巨溺。	三 者 慢 習 交 陵 發 於 相 持 至 菩 薩 見 慢 如 避 巨 溺 
X14n0295_008:0664a12	慢者自見自是。先己後人。謂上無可事之君。下無	慢 者 自 見 自 是 先 己 後 人 謂 上 無 可 事 之 君 下 無 
X14n0295_008:0664a13	可使之民。中無可交之友。輕世傲物。浩然長往。如	可 使 之 民 中 無 可 交 之 友 輕 世 傲 物 浩 然 長 往 如 
X14n0295_008:0664a14	水之馳流不息。莫可挽回。驕佚奔波。馳流不息之	水 之 馳 流 不 息 莫 可 挽 回 驕 佚 奔 波 馳 流 不 息 之 
X14n0295_008:0664a15	像也。慢為魔民。魔能害物。故血河灰河。熱沙毒海。	像 也 慢 為 魔 民 魔 能 害 物 故 血 河 灰 河 熱 沙 毒 海 
X14n0295_008:0664a16	以成其毒。慢能滋痴。堅明立礙。故融銅灌鐵。以食	以 成 其 毒 慢 能 滋 痴 堅 明 立 礙 故 融 銅 灌 鐵 以 食 
X14n0295_008:0664a17	其報。癡水西國水名。	其 報 癡 水 西 國 水 名 
X14n0295_008:0664a18	四者瞋習交衝發於相忤(至)菩薩見瞋如避誅戮。	四 者 瞋 習 交 衝 發 於 相 忤 至 菩 薩 見 瞋 如 避 誅 戮 
X14n0295_008:0664a19	心屬火。氣屬金。瞋者以心使氣。而反動其心。加之	心 屬 火 氣 屬 金 瞋 者 以 心 使 氣 而 反 動 其 心 加 之 
X14n0295_008:0664a20	衝擊牴牾。則心火轉盛。金氣轉剛。故曰。心熱發火	衝 擊 牴 牾 則 心 火 轉 盛 金 氣 轉 剛 故 曰 心 熱 發 火 
X14n0295_008:0664a21	鑄氣為金也。斷刑曰宮。肉刑曰割。	鑄 氣 為 金 也 斷 刑 曰 宮 肉 刑 曰 割 
X14n0295_008:0664a22	五者詐習交誘發於相調(至)菩薩見詐如畏豺狼。	五 者 詐 習 交 誘 發 於 相 調 至 菩 薩 見 詐 如 畏 豺 狼 
X14n0295_008:0664a23	詐習因奸智起惡。而漸漸滋蔓。如水浸田。草木滋	詐 習 因 奸 智 起 惡 而 漸 漸 滋 蔓 如 水 浸 田 草 木 滋 
X14n0295_008:0664a24	長。由調引相延。故感繩木延引之報。	長 由 調 引 相 延 故 感 繩 木 延 引 之 報 
X14n0295_008:0664b01	六者誑習交欺發於相罔(至)見諸虗妄如臨毒壑。	六 者 誑 習 交 欺 發 於 相 罔 至 見 諸 虗 妄 如 臨 毒 壑 
X14n0295_008:0664b02	見習有五。一薩迦耶。此云身見。謂執身有我。種種	見 習 有 五 一 薩 迦 耶 此 云 身 見 謂 執 身 有 我 種 種 
X14n0295_008:0664b03	計着。二邊見。於一切法。執斷執常。三邪見。邪悟錯	計 着 二 邊 見 於一切法 執 斷 執 常 三 邪 見 邪 悟 錯 
X14n0295_008:0664b04	解。撥無因果。四見取。非果計果。如以非想為涅槃。	解 撥無因果 四 見 取 非 果 計 果 如 以 非 想 為 涅 槃 
X14n0295_008:0664b05	五戒禁取。非因計因。如以持牛犬戒為生天因。五	五 戒 禁 取 非 因 計 因 如 以 持 牛 犬 戒 為 生 天 因 五 
X14n0295_008:0664b06	者總名惡見。順邪反正。故云發於違拒。出生相反。	者 總 名 惡 見 順 邪 反 正 故 云 發 於 違 拒 出 生 相 反 
X14n0295_008:0664b07	由其違反。故感王吏執證之境。權作推鞠之報。路	由 其 違 反 故 感 王 吏 執 證 之 境 權 作 推 鞠 之 報 路 
X14n0295_008:0664b08	人相見。一去一迴。喻所見違反也。五惡見能陷法	人 相 見 一 去 一 迴 喻 所 見 違 反 也 五 惡 見 能 陷 法 
X14n0295_008:0664b09	身。故名見坑。	身 故 名 見 坑 
X14n0295_008:0664b10	九者枉習交加發於誣謗(至)菩薩見枉如遭霹靂。	九 者 枉 習 交 加 發 於 誣 謗 至 菩 薩 見 枉 如 遭 霹 靂 
X14n0295_008:0664b11	排擠剉也。漉瀝也。衡橫也。謂迫蹙其體。瀝漉其血。	排 擠 剉 也 漉 瀝 也 衡 橫 也 謂 迫 蹙 其 體 瀝 漉 其 血 
X14n0295_008:0664b12	又以迫隘苦具。橫衝而度。	又 以 迫 隘 苦 具 橫 衝 而 度 
X14n0295_008:0664b13	十者訟習交諠發於藏覆(至)如戴高山履於巨海。	十 者 訟 習 交 諠 發 於 藏 覆 至 如 戴 高 山 履 於 巨 海 
X14n0295_008:0664b14	訟非官訟。公發其覆之謂也。	訟 非 官 訟 公 發 其 覆 之 謂 也 
X14n0295_008:0664b15	△六報(六報多有不可曲解。故但存其本文)	 六 報 六 報 多 有 不 可 曲 解 故 但 存 其 本 文 
X14n0295_008:0664b16	阿難一切眾生六識造業(至)受無量苦經無量劫。	阿 難 一 切 眾 生 六 識 造 業 至 受 無 量 苦 經 無 量 劫 
X14n0295_008:0664b17	△極重	 極 重 
X14n0295_008:0664b18	六根各造及彼所作兼境兼根是人則入八無間獄。	六 根 各 造 及 彼 所 作 兼 境 兼 根 是 人 則 入 八 無 間 獄 
X14n0295_008:0664b19	△次重即八熱獄	 次 重 即 八 熱 獄 
X14n0295_008:0664b20	同於六根。具造十因。兼境兼根。名惡業同造。其罪	同 於 六 根 具 造 十 因 兼 境 兼 根 名 惡 業 同 造 其 罪 
X14n0295_008:0664b21	極重。故入阿鼻。具五無間。各造則有先後間歇。故	極 重 故 入 阿 鼻 具 五 無 間 各 造 則 有 先 後 間 歇 故 
X14n0295_008:0664b22	為次重。入八無間。有心而不及犯。則不兼境。無心	為 次 重 入 八 無 間 有 心 而 不 及 犯 則 不 兼 境 無 心 
X14n0295_008:0664b23	而誤犯。則不兼根。故作特犯兼二者。	而 誤 犯 則 不 兼 根 故 作 特 犯 兼 二 者 
X14n0295_008:0664b24	身口意三作殺盜婬是人則入十八地獄。	身 口 意 三 作 殺 盜 婬 是 人 則 入 十 八 地 獄 
X14n0295_008:0664c01	三重罪以不遍六。不具十故。又次於前十八鬲子	三 重 罪 以 不 遍 六 不 具 十 故 又 次 於 前 十 八 鬲 子 
X14n0295_008:0664c02	地獄。皆大獄所分。又次重。	地 獄 皆 大 獄 所 分 又 次 重 
X14n0295_008:0664c03	三業不兼中間或為一殺一盜(至)則入三十六地獄。	三 業 不 兼 中 間 或 為 一 殺 一 盜 至 則 入 三 十 六 地 獄 
X14n0295_008:0664c04	△稍輕	 稍 輕 
X14n0295_008:0664c05	見見一根單犯一條是人則入一百八地獄。	見 見 一 根 單 犯 一 條 是 人 則 入 一 百 八 地 獄 
X14n0295_008:0664c06	△次輕	 次 輕 
X14n0295_008:0664c07	由是眾生別作別造(至)獄想發生非本來有。	由 是 眾 生 別 作 別 造 至 獄 想 發 生 非 本 來 有 
X14n0295_008:0664c08	上文五節。惡業不同。即別作別造也。所感獄報。各	上 文 五 節 惡 業 不 同 即 別 作 別 造 也 所 感 獄 報 各 
X14n0295_008:0664c09	從其類。即入同分地也。妄想發生。並酬阿難前所	從 其 類 即 入 同 分 地 也 妄 想 發 生 並 酬 阿 難 前 所 
X14n0295_008:0664c10	疑問。	疑 問 
X14n0295_008:0664c11	△鬼趣(六報之後。罪畢受形)	 鬼 趣 六 報 之 後 罪 畢 受 形 
X14n0295_008:0664c12	復次阿難是諸眾生(至)後還罪畢受諸鬼形。	復 次 阿 難 是 諸 眾 生 至 後 還 罪 畢 受 諸 鬼 形 
X14n0295_008:0664c13	非破律儀。無正犯也。犯菩薩戒。無正因也。毀佛涅	非 破 律 儀 無 正 犯 也 犯 菩 薩 戒 無 正 因 也 毀 佛 涅 
X14n0295_008:0664c14	槃。無正果也。三者不正。諸餘皆邪。故為墮獄入鬼。	槃 無 正 果 也 三 者 不 正 諸 餘 皆 邪 故 為 墮 獄 入 鬼 
X14n0295_008:0664c15	若於本因貪物為罪(至)則妙圓明本無所有。	若 於 本 因 貪 物 為 罪 至 則 妙 圓 明 本 無 所 有 
X14n0295_008:0664c16	△畜生趣	 畜 生 趣 
X14n0295_008:0664c17	復次阿難鬼業既盡(至)生於世間多為咎徵。	復 次 阿 難 鬼 業 既 盡 至 生 於 世 間 多 為 咎 徵 
X14n0295_008:0664c18	凶事前驗。如商羊舞水。	凶 事 前 驗 如 商 羊 舞 水 
X14n0295_008:0664c19	畜魅之鬼畜死報盡(至)生於世間多為食類。	畜 魅 之 鬼 畜 死 報 盡 至 生 於 世 間 多 為 食 類 
X14n0295_008:0664c20	充餽之物。	充 餽 之 物 
X14n0295_008:0664c21	綿幽之鬼幽消報盡生於世間多為服類。	綿 幽 之 鬼 幽 消 報 盡 生 於 世 間 多 為 服 類 
X14n0295_008:0664c22	吞蚌狐貂馬牛之物。	吞 蚌 狐 貂 馬 牛 之 物 
X14n0295_008:0664c23	和精之鬼和消報盡生於世間多為應類。	和 精 之 鬼 和 消 報 盡 生 於 世 間 多 為 應 類 
X14n0295_008:0664c24	社燕寒鴈之類。	社 燕 寒 鴈 之 類 
X14n0295_008:0665a01	明靈之鬼明消報盡生於世間多為休徵。	明 靈 之 鬼 明 消 報 盡 生 於 世 間 多 為 休 徵 
X14n0295_008:0665a02	麟鳳之類。	麟 鳳 之 類 
X14n0295_008:0665a03	依人之鬼人亡報盡生於世間多為循類。	依 人 之 鬼 人 亡 報 盡 生 於 世 間 多 為 循 類 
X14n0295_008:0665a04	猶犬鷄豚之類。馴服於人者。	猶 犬 鷄 豚 之 類 馴 服 於 人 者 
X14n0295_008:0665a05	阿難是等皆以業火乾枯(至)皆為浮虗妄想凝結。	阿 難 是 等 皆 以 業 火 乾 枯 至 皆 為 浮 虗 妄 想 凝 結 
X14n0295_008:0665a06	△人趣	 人 趣 
X14n0295_008:0665a07	復次阿難從是畜生(至)生人道中參合達類。	復 次 阿 難 從 是 畜 生 至 生 人 道 中 參 合 達 類 
X14n0295_008:0665a08	文明達三類。皆便巧雜伎。世智辨聰者。非大賢大	文 明 達 三 類 皆 便 巧 雜 伎 世 智 辨 聰 者 非 大 賢 大 
X14n0295_008:0665a09	聖也。	聖 也 
X14n0295_008:0665a10	是等皆以宿債畢酬(至)此輩名為可憐愍者。	是 等 皆 以 宿 債 畢 酬 至 此 輩 名 為 可 憐 愍 者 
X14n0295_008:0665a11	△仙趣	 仙 趣 
X14n0295_008:0665a12	阿難復有誤人不依正覺(至)報盡還來散入諸趣。	阿 難 復 有 誤 人 不 依 正 覺 至 報 盡 還 來 散 入 諸 趣 
X14n0295_009:0665a19	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X14n0295_009:0665a20	卷第九	卷 第 九 
X14n0295_009:0665a21	淮海參佛弟子蘊空居士陸西星述旨	淮 海 參 佛 弟 子 蘊 空 居 士 陸 西 星 述 旨 
X14n0295_009:0665a22	廣陵後學　陳遇時　校定	廣 陵 後 學 陳 遇 時 校 定 
X14n0295_009:0665a23	△天趣	 天 趣 
X14n0295_009:0665a24	諸天皆相躡增升。種種不一。各以類聚。若或使之。	諸 天 皆 相 躡 增 升 種 種 不 一 各 以 類 聚 若 或 使 之 
X14n0295_009:0665b01	而實無使之者。自食其報。當如是也。如今審戶三	而 實 無 使 之 者 自 食 其 報 當 如 是 也 如 今 審 戶 三 
X14n0295_009:0665b02	等九則。誰能定之。由己之物力致然也。若乃巨富	等 九 則 誰 能 定 之 由 己 之 物 力 致 然 也 若 乃 巨 富 
X14n0295_009:0665b03	之家不消等則。竟稱上上戶矣。故後云。此但示凡	之 家 不 消 等 則 竟 稱 上 上 戶 矣 故 後 云 此 但 示 凡 
X14n0295_009:0665b04	識升進。若深智體之。亦可頓證。不消漸進。其說良	識 升 進 若 深 智 體 之 亦 可 頓 證 不 消 漸 進 其 說 良 
X14n0295_009:0665b05	是。	是 
X14n0295_009:0665b06	△欲界六天	 欲界六天 
X14n0295_009:0665b07	四天王天忉利天須燄摩天	四天王天 忉 利 天 須 燄 摩 天 
X14n0295_009:0665b08	兜率天樂變化天他化自在天	兜 率 天 樂變化天 他化自在天 
X14n0295_009:0665b09	△四天王天	 四天王天 
X14n0295_009:0665b10	阿難諸世間人不求常住(至)如是一類名四天王天。	阿 難 諸 世 間 人 不 求 常 住 至 如 是 一 類 名 四天王天 
X14n0295_009:0665b11	未能離欲。但能窒欲。使愛水不流。則湛性澄瑩。故	未 能 離 欲 但 能 窒 欲 使 愛 水 不 流 則 湛 性 澄 瑩 故 
X14n0295_009:0665b12	命終之後。能生初天。夫六天皆由修五戒十善而	命終之後 能 生 初 天 夫 六 天 皆 由 修 五 戒 十 善 而 
X14n0295_009:0665b13	致。今但約欲微增勝者而言。蓋以欲愛為輪迴根	致 今 但 約 欲 微 增 勝 者 而 言 蓋 以 欲 愛 為 輪 迴 根 
X14n0295_009:0665b14	本。前之淪墜。固始于此。此之超騰。亦始于此。若使	本 前 之 淪 墜 固 始 于 此 此 之 超 騰 亦 始 于 此 若 使 
X14n0295_009:0665b15	初心未能成就禪定智慧。但能疾斷根本。亦庶乎	初 心 未 能 成 就 禪 定 智 慧 但 能 疾 斷 根 本 亦 庶 乎 
X14n0295_009:0665b16	輪迴可出而生天可冀矣。	輪 迴 可 出 而 生 天 可 冀 矣 
X14n0295_009:0665b17	△忉利天	 忉 利 天 
X14n0295_009:0665b18	於己妻房婬愛微薄(至)如是一類名忉利天。	於 己 妻 房 婬 愛 微 薄 至 如 是 一 類 名 忉 利 天 
X14n0295_009:0665b19	日月居西彌山腰。忉利居其頂上。此天愛薄于前。	日 月 居 西 彌 山 腰 忉 利 居 其 頂 上 此 天 愛 薄 于 前 
X14n0295_009:0665b20	故報居其上。以澄瑩增明故。能超而增勝。不得全	故 報 居 其 上 以 澄 瑩 增 明 故 能 超 而 增 勝 不 得 全 
X14n0295_009:0665b21	味者。未全清淨之味。以尚有微愛在也。	味 者 未 全 清 淨 之 味 以 尚 有 微 愛 在 也 
X14n0295_009:0665b22	△須燄摩天　　一名時分天	 須 燄 摩 天 一 名 時 分 天 
X14n0295_009:0665b23	逢欲暫交去無思憶(至)如是一類名須燄摩天。	逢 欲 暫 交 去 無 思 憶 至 如 是 一 類 名 須 燄 摩 天 
X14n0295_009:0665b24	六欲下二名地居天。上四名空居天。不須日月而	六 欲 下 二 名 地 居 天 上 四 名 空 居 天 不 須 日 月 而 
X14n0295_009:0665c01	常明。但以蓮華開合而分晝夜。故又名時分天。	常 明 但 以 蓮 華 開 合 而 分 晝 夜 故 又 名 時 分 天 
X14n0295_009:0665c02	△兜率陀天　　一名知足天	 兜 率 陀 天 一 名 知 足 天 
X14n0295_009:0665c03	一切時靜有應觸來(至)如是一類名兜率陀天。	一 切 時 靜 有 應 觸 來 至 如 是 一 類 名 兜 率 陀 天 
X14n0295_009:0665c04	天有內院外院。三災至三禪。而此不及者。約內院	天 有 內 院 外 院 三 災 至 三 禪 而 此 不 及 者 約 內 院 
X14n0295_009:0665c05	言之。精微不接。皆內院事也。	言 之 精 微 不 接 皆 內 院 事 也 
X14n0295_009:0665c06	△樂變化天	 樂變化天 
X14n0295_009:0665c07	我無欲心應汝行事(至)如是一類名樂變化天。	我 無 欲 心 應 汝 行 事 至 如 是 一 類 名 樂變化天 
X14n0295_009:0665c08	諸天皆有報境。而此天樂自變化以受用。越於下	諸 天 皆 有 報 境 而 此 天 樂 自 變 化 以 受 用 越 於 下 
X14n0295_009:0665c09	天。故名越化。	天 故 名 越 化 
X14n0295_009:0665c10	△他化自在天	 他化自在天 
X14n0295_009:0665c11	無世間心同世行事(至)如是一類名他化自在天。	無 世 間 心 同 世 行 事 至 如 是 一 類 名 他化自在天 
X14n0295_009:0665c12	諸欲樂境不勞自化。皆由他化而自在受用。名他	諸 欲 樂 境 不 勞 自 化 皆 由 他 化 而 自 在 受 用 名 他 
X14n0295_009:0665c13	化自在。	化 自 在 
X14n0295_009:0665c14	阿難如是六天形雖出動(至)自此已還名為欲界。	阿 難 如 是 六 天 形 雖 出 動 至 自 此 已 還 名 為 欲 界 
X14n0295_009:0665c15	雖出塵擾。未能絕欲。	雖 出 塵 擾 未 能 絕 欲 
X14n0295_009:0665c16	△色界十八天	 色 界 十 八 天 
X14n0295_009:0665c17	初禪三天二禪三天三禪三天	初禪三天 二禪三天 三禪三天 
X14n0295_009:0665c18	四禪九天	四 禪 九 天 
X14n0295_009:0665c19	△初禪三天梵眾梵輔大梵	 初禪三天 梵 眾 梵 輔 大 梵 
X14n0295_009:0665c20	阿難世間一切所修心人(至)如是一類名梵眾天。	阿 難 世 間 一 切 所 修 心 人 至 如 是 一 類 名 梵 眾 天 
X14n0295_009:0665c21	不假禪那等者。言此人雖非正修真三摩地。無正	不 假 禪 那 等 者 言 此 人 雖 非 正 修 真 三 摩 地 無 正 
X14n0295_009:0665c22	智慧。但修六行伏欲。使愛染不生。則不留欲界麤	智 慧 但 修 六 行 伏 欲 使 愛 染 不 生 則 不 留 欲 界 麤 
X14n0295_009:0665c23	惑。不染淨報現前。故應念而生梵世。初名梵眾。則	惑 不 染 淨 報 現 前 故 應 念 而 生 梵 世 初 名 梵 眾 則 
X14n0295_009:0665c24	兆庶而已。梵輔則王臣也。大梵則天王也。	兆 庶 而 已 梵 輔 則 王 臣 也 大 梵 則 天 王 也 
X14n0295_009:0666a01	欲習既除離欲心現(至)如是一類名梵輔天。	欲 習 既 除 離 欲 心 現 至 如 是 一 類 名 梵 輔 天 
X14n0295_009:0666a02	初天但能執身伏欲。此天又得定戒相應。以順律	初 天 但 能 執 身 伏 欲 此 天 又 得 定 戒 相 應 以 順 律 
X14n0295_009:0666a03	儀行梵德。故超之也。	儀 行 梵 德 故 超 之 也 
