T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0323b01	經。阿難至信難於此　五受質誠難。人身難	經 阿 難 至 信 難 於 此 五 受 質 誠 難 人 身 難 
T85n2767_001:0323b02	得者。涅槃三十四云。佛於一時取地少土	得 者 涅 槃 三 十 四 云 佛 於 一 時 取 地 少 土 
T85n2767_001:0323b03	置於爪上。問迦葉曰。我此土多一切十方大	置 於 爪 上 問 迦 葉 曰 我 此 土 多 一 切 十 方 大 
T85n2767_001:0323b04	地土多。迦葉菩薩而白佛言。一切十方大地	地 土 多 迦 葉 菩 薩 而 白 佛 言 一 切 十 方 大 地 
T85n2767_001:0323b05	土多。如來爪上少不足言。佛言。迦葉捨於	土 多 如 來 爪 上 少 不 足 言 佛 言 迦 葉 捨 於 
T85n2767_001:0323b06	人身還得人身者。如爪上土。捨於人身得三	人 身 還 得 人 身 者 如 爪 上 土 捨 於 人 身 得 三 
T85n2767_001:0323b07	惡身。如一切十方大地土也。三寶中信敬尊	惡 身 如 一 切 十 方 大 地 土 也 三 寶 中 信 敬 尊 
T85n2767_001:0323b08	重亦難可得者。即為三難。佛寶難得者。涅槃	重 亦 難 可 得 者 即 為 三 難 佛 寶 難 得 者 涅 槃 
T85n2767_001:0323b09	第二云。芥子投針鋒佛出難於是。又法華經	第 二 云 芥 子 投 針 鋒 佛 出 難 於 是 又 法 華 經 
T85n2767_001:0323b10	第一卷云。諸佛與出世懸遠值遇難。法寶難	第 一 卷 云 諸 佛 與 出 世 懸 遠 值 遇 難 法 寶 難 
T85n2767_001:0323b11	得者。彼經云。正使出於世說是法復難。無量	得 者 彼 經 云 正 使 出 於 世 說 是 法 復 難 無 量 
T85n2767_001:0323b12	無數劫。聞是法亦難。能聽是法者斯人亦復	無 數 劫 聞 是 法 亦 難 能 聽 是 法 者 斯 人 亦 復 
T85n2767_001:0323b13	難。僧寶難得者。如此中說聞彼藥師如來名	難 僧 寶 難 得 者 如 此 中 說 聞 彼 藥 師 如 來 名 
T85n2767_001:0323b14	號復難。於是者雖舉六難意明第六。聞藥師	號 復 難 於 是 者 雖 舉 六 難 意 明 第 六 聞 藥 師 
T85n2767_001:0323b15	如來名難。今既得聞正應信受。	如 來 名 難 今 既 得 聞 正 應 信 受 
T85n2767_001:0323b16	經。阿難至亦不究盡　六劫窮盡讚舉藥師	經 阿 難 至 亦 不 究 盡 六 劫 窮 盡 讚 舉 藥 師 
T85n2767_001:0323b17	如來利他行願說難可盡勸物定信。無量菩	如 來 利 他 行 願 說 難 可 盡 勸 物 定 信 無 量 菩 
T85n2767_001:0323b18	薩行者。謂彼如來本昔行無量利他菩薩行。	薩 行 者 謂 彼 如 來 本 昔 行 無 量 利 他 菩 薩 行 
T85n2767_001:0323b19	無量諸巧便者。謂今得佛已後。以無量後得	無 量 諸 巧 便 者 謂 今 得 佛 已 後 以 無 量 後 得 
T85n2767_001:0323b20	慈悲方便利益三乘。無量曠大願者。謂彼如	慈 悲 方 便 利 益 三 乘 無 量 曠 大 願 者 謂 彼 如 
T85n2767_001:0323b21	來非唯有十二大願。乃有無量曠大願利益	來 非 唯 有 十 二 大 願 乃 有 無 量 曠 大 願 利 益 
T85n2767_001:0323b22	眾生故應專信。	眾 生 故 應 專 信 
T85n2767_001:0323b23	經。爾時眾中至合掌曲躬　四救脫閏生文	經 爾 時 眾 中 至 合 掌 曲 躬 四 救 脫 閏 生 文 
T85n2767_001:0323b24	分為四。一明清人。二明正清。三勸病修供。四	分 為 四 一 明 清 人 二 明 正 清 三 勸 病 修 供 四 
T85n2767_001:0323b25	結勸供養。此則初也。救脫者標請也。斯人	結 勸 供 養 此 則 初 也 救 脫 者 標 請 也 斯 人 
T85n2767_001:0323b26	悲纏蠢頰慈被合靈救見厄頃及恒沙脫當難	悲 纏 蠢 頰 慈 被 合 靈 救 見 厄 頃 及 恒 沙 脫 當 難 
T85n2767_001:0323b27	念。過塵劫故名救脫。即從等者如前辨也。	念 過 塵 劫 故 名 救 脫 即 從 等 者 如 前 辨 也 
T85n2767_001:0323b28	經。白言至啼泣圍繞　二明正請文分為四。	經 白 言 至 啼 泣 圍 繞 二 明 正 請 文 分 為 四 
T85n2767_001:0323b29	一躬纏嬰疾。二使者追魂。三染淨授王。四隨	一 躬 纏 嬰 疾 二 使 者 追 魂 三 染 淨 授 王 四 隨 
T85n2767_001:0323c01	業處斷。此則初也。	業 處 斷 此 則 初 也 
T85n2767_001:0323c02	經。其人至法王之前　二使者追魂。閻摩者	經 其 人 至 法 王 之 前 二 使 者 追 魂 閻 摩 者 
T85n2767_001:0323c03	唐本云琰魔。宋本名閻羅。音有輕重。此云靜	唐 本 云 琰 魔 宋 本 名 閻 羅 音 有 輕 重 此 云 靜 
T85n2767_001:0323c04	息。以靜息罪人令後過不起前過易滅故名靜	息 以 靜 息 罪 人 令 後 過 不 起 前 過 易 滅 故 名 靜 
T85n2767_001:0323c05	息。如將罪人至彼王前恐其拒諱。更增忘語	息 如 將 罪 人 至 彼 王 前 恐 其 拒 諱 更 增 忘 語 
T85n2767_001:0323c06	罪無由息。便以神力化作罪人。本昔為罪處	罪 無 由 息 便 以 神 力 化 作 罪 人 本 昔 為 罪 處 
T85n2767_001:0323c07	所相狀令其即伏。由伏罪故不起拒諱忘語	所 相 狀 令 其 即 伏 由 伏 罪 故 不 起 拒 諱 忘 語 
T85n2767_001:0323c08	之罪靜息後過令不滋蔓故名靜息。又以正	之 罪 靜 息 後 過 令 不 滋 蔓 故 名 靜 息 又 以 正 
T85n2767_001:0323c09	法勸諸罪人。令於前罪生重慚愧罪得易滅	法 勸 諸 罪 人 令 於 前 罪 生 重 慚 愧 罪 得 易 滅 
T85n2767_001:0323c10	故稱法主。是鬼趣攝在於地下五百踰繕那	故 稱 法 主 是 鬼 趣 攝 在 於 地 下 五 百 踰 繕 那 
T85n2767_001:0323c11	別有住處。廣如瑜伽俱舍論說。諸鬼本處。琰	別 有 住 處 廣 如 瑜 伽 俱 舍 論 說 諸 鬼 本 處 琰 
T85n2767_001:0323c12	魔王國於此贍部洲下過五百踰繕那有琰魔	魔 王 國 於 此 贍 部 洲 下 過 五 百 踰 繕 那 有 琰 魔 
T85n2767_001:0323c13	王國。從廣量等。從此展轉散居餘處。或有端	王 國 從 廣 量 等 從 此 展 轉 散 居 餘 處 或 有 端 
T85n2767_001:0323c14	嚴具大威德受諸富樂如自在天。或有飢羸	嚴 具 大 威 德 受 諸 富 樂 如 自 在 天 或 有 飢 羸 
T85n2767_001:0323c15	顏貌醜陋。如是等類廣說。如經引其神識置	顏 貌 醜 陋 如是等類 廣 說 如 經 引 其 神 識 置 
T85n2767_001:0323c16	於閻摩法王之前者。若有患人決定便死。則	於 閻 摩 法 王 之 前 者 若 有 患 人 決 定 便 死 則 
T85n2767_001:0323c17	受鬼身容可閻王別遣兒為使而引取之。如	受 鬼 身 容 可 閻 王 別 遣 兒 為 使 而 引 取 之 如 
T85n2767_001:0323c18	未定死。則不受鬼身。何有鬼身得引生人之	未 定 死 則 不 受 鬼 身 何 有 鬼 身 得 引 生 人 之 
T85n2767_001:0323c19	識。不可人之識在別鬼身中。若不在鬼使身	識 不 可 人 之 識 在 別 鬼 身 中 若 不 在 鬼 使 身 
T85n2767_001:0323c20	中識心既不孤遊。云何引得至閻摩王前。當	中 識 心 既 不 孤 遊 云 何 引 得 至 閻 摩 王 前 當 
T85n2767_001:0323c21	知此是藥師如來。及經之威力。令彼患人第	知 此 是 藥 師 如 來 及 經 之 威 力 令 彼 患 人 第 
T85n2767_001:0323c22	六意識見分之上起此三種解行。相分一為	六 意 識 見 分 之 上 起 此 三 種 解 行 相 分 一 為 
T85n2767_001:0323c23	閻摩王。二為王使。三為己身。為自神識所依	閻 摩 王 二 為 王 使 三 為 己 身 為 自 神 識 所 依 
T85n2767_001:0323c24	隨使而行至閻王前。其實神識未曾離身。若	隨 使 而 行 至 閻 王 前 其 實 神 識 未 曾 離 身 若 
T85n2767_001:0323c25	是本識隨行捨處。則成死屍不可說離身。若	是 本 識 隨 行 捨 處 則 成 死 屍 不 可 說 離 身 若 
T85n2767_001:0323c26	是六七等識。依本識故而得現起。若離本識	是 六 七 等 識 依 本 識 故 而 得 現 起 若 離 本 識 
T85n2767_001:0323c27	無種子故。無由得生。是故八識俱無離身孤	無 種 子 故 無 由 得 生 是 故 八 識 俱 無 離 身 孤 
T85n2767_001:0323c28	行之理。如人夢中師僧父母遣使來喚。夢見	行 之 理 如 人 夢 中 師 僧 父 母 遣 使 來 喚 夢 見 
T85n2767_001:0323c29	己身。隨使而行達至師僧或父母前。當知師	己 身 隨 使 而 行 達 至 師 僧 或 父 母 前 當 知 師 
T85n2767_001:0324a01	僧或復父母。使人己身皆是第六意識是分	僧 或 復 父 母 使 人 己 身 皆 是 第六意識 是 分 
T85n2767_001:0324a02	之上現此三種相分。似有去來實無去來。所	之 上 現 此 三 種 相 分 似 有 去 來 實 無 去 來 所 
T85n2767_001:0324a03	以然者。以一切心及心所取境之時。非如燈	以 然 者 以 一 切 心 及 心 所 取 境 之 時 非 如 燈 
T85n2767_001:0324a04	明舒光照物。但如明鏡遠照影現鏡中如人	明 舒 光 照 物 但 如 明 鏡 遠 照 影 現 鏡 中 如 人 
T85n2767_001:0324a05	在地遠見日月此亦如是。藥師如來及經威	在 地 遠 見 日 月 此 亦 如 是 藥 師 如 來 及 經 威 
T85n2767_001:0324a06	力。令彼患人見。如此相似有往來實無往來	力 令 彼 患 人 見 如 此 相 似 有 往 來 實 無 往 來 
T85n2767_001:0324a07	故。涅槃經第九卷云。若有聞是大涅槃經言。	故 涅 槃 經 第 九 卷 云 若 有 聞 是 大 涅 槃 經 言 
T85n2767_001:0324a08	我不用發菩提心誹謗正法。是人夢中見羅	我 不 用 發菩提心 誹謗正法 是 人 夢 中 見 羅 
T85n2767_001:0324a09	剎像。心中怖懅羅剎語言。咄善男子。汝今	剎 像 心 中 怖 懅 羅 剎 語 言 咄 善 男 子 汝 今 
T85n2767_001:0324a10	若不發菩提心當斷汝命。是人惶怖。覺已即	若 不 發菩提心 當 斷 汝 命 是 人 惶 怖 覺 已 即 
T85n2767_001:0324a11	發菩提之心。是人命終。若在三惡及在人天	發 菩提之心 是 人 命 終 若 在 三 惡 及 在 人 天 
T85n2767_001:0324a12	續復憶念菩提之心。以是義故。是大涅槃威	續 復 憶 念 菩提之心 以是義故 是 大 涅 槃 威 
T85n2767_001:0324a13	神力故。能令未發菩提心者作菩提因。	神 力 故 能 令 未 發菩提心 者 作 菩 提 因 
T85n2767_001:0324a14	經。此人至閻摩法王　三染淨授王。同生神	經 此 人 至 閻 摩 法 王 三 染 淨 授 王 同 生 神 
T85n2767_001:0324a15	者。若約實而言神即識也。同生神者。即阿賴	者 若 約 實 而 言 神 即 識 也 同 生 神 者 即 阿 賴 
T85n2767_001:0324a16	耶識。以賴耶識是壽生之意。與身同時而生	耶 識 以 賴 耶 識 是 壽 生 之 意 與 身 同 時 而 生 
T85n2767_001:0324a17	故名同生。隨其所作。若福一切皆書者。謂隨	故 名 同 生 隨 其 所 作 若 福 一 切 皆 書 者 謂 隨 
T85n2767_001:0324a18	諸眾生所生罪福皆悉熏在阿賴耶識中。或	諸 眾 生 所 生 罪 福 皆 悉 熏 在 阿賴耶識 中 或 
T85n2767_001:0324a19	是閻摩王為令罪人無有忘。伏本所作故。作	是 閻 摩 王 為 令 罪 人 無 有 忘 伏 本 所 作 故 作 
T85n2767_001:0324a20	同生神。從生已來害其罪福。或是藥師如來	同 生 神 從 生 已 來 害 其 罪 福 或 是 藥 師 如 來 
T85n2767_001:0324a21	及經威力。現作同生神書其罪福盡持授與	及 經 威 力 現 作 同 生 神 書 其 罪 福 盡 持 授 與 
T85n2767_001:0324a22	閻摩法王者。謂由阿賴耶識中。具有罪福種	閻 摩 法 王 者 謂 由 阿賴耶識 中 具 有 罪 福 種 
T85n2767_001:0324a23	子為因緣。藥師如來及經之威力為增上緣。	子 為 因 緣 藥 師 如 來 及 經 之 威 力 為 增 上 緣 
T85n2767_001:0324a24	令罪福相各現於患人第六意識之上。令閻	令 罪 福 相 各 現 於 患 人 第六意識 之 上 令 閻 
T85n2767_001:0324a25	摩王他心智盡見患人罪福之相。或閻摩化	摩 王 他 心 智 盡 見 患 人 罪 福 之 相 或 閻 摩 化 
T85n2767_001:0324a26	作同生或佛及經現同生神。	作 同 生 或 佛 及 經 現 同 生 神 
T85n2767_001:0324a27	經。時閻摩至處分之　四隨業處斷　謂閻	經 時 閻 摩 至 處 分 之 四 隨 業 處 斷 謂 閻 
T85n2767_001:0324a28	摩王推問其人取其口實算計所作。答罪若	摩 王 推 問 其 人 取 其 口 實 算 計 所 作 答 罪 若 
T85n2767_001:0324a29	福。隨其罪福。或多或少。而處斷之。謂罪多	福 隨 其 罪 福 或 多 或 少 而 處 斷 之 謂 罪 多 
T85n2767_001:0324b01	者。處入三惡趣。若福多者。斷令往人天。	者 處 入 三 惡 趣 若 福 多 者 斷 令 往 人 天 
T85n2767_001:0324b02	經。若能至供養　三勸病修供文分為四。一	經 若 能 至 供 養 三 勸 病 修 供 文 分 為 四 一 
T85n2767_001:0324b03	正為修供。二緣此魂歸。三剋日定生。四親經	正 為 修 供 二 緣 此 魂 歸 三 剋 日 定 生 四 親 經 
T85n2767_001:0324b04	過息。此則初也。謂有若然為此病人歸依彼	過 息 此 則 初 也 謂 有 若 然 為 此 病 人 歸 依 彼 
T85n2767_001:0324b05	佛。如法供養者必當稱遂也。	佛 如 法 供 養 者 必 當 稱 遂 也 
T85n2767_001:0324b06	經。即得至憶知　二緣此魂歸即得還復者。	經 即 得 至 憶 知 二 緣 此 魂 歸 即 得 還 復 者 
T85n2767_001:0324b07	謂有實死雖復修福識不得還。或有因修福	謂 有 實 死 雖 復 修 福 識 不 得 還 或 有 因 修 福 
T85n2767_001:0324b08	故。彼白王使所引之識得還身中二理不定。	故 彼 白 王 使 所 引 之 識 得 還 身 中 二 理 不 定 
T85n2767_001:0324b09	如從夢覺者。如在夢中明了自見。此亦即是	如 從 夢 覺 者 如 在 夢 中 明 了 自 見 此 亦 即 是 
T85n2767_001:0324b10	以夢類夢故稱為如。	以 夢 類 夢 故 稱 為 如 
T85n2767_001:0324b11	經。或經至四十九日　三剋日定生。謂病人	經 或 經 至 四 十 九 日 三 剋 日 定 生 謂 病 人 
T85n2767_001:0324b12	神識得迴還時。或經七日或復乃至四十九	神 識 得 迴 還 時 或 經 七 日 或 復 乃 至 四 十 九 
T85n2767_001:0324b13	日。	日 
T85n2767_001:0324b14	經。神識還已至不造惡業　四親經過息。謂	經 神 識 還 已 至 不 造 惡 業 四 親 經 過 息 謂 
T85n2767_001:0324b15	識還之時皆自憶知。善不善業所得果報。由	識 還 之 時 皆 自 憶 知 善不善業 所 得 果 報 由 
T85n2767_001:0324b16	自證見業果報故乃至失命不造惡業。	自 證 見 業 果 報 故 乃 至 失 命 不 造 惡 業 
T85n2767_001:0324b17	經。是故至如來　四結勸供養。謂勸一切信	經 是 故 至 如 來 四 結 勸 供 養 謂 勸 一 切 信 
T85n2767_001:0324b18	男女等。乃至盡形應當供養藥師如來。	男 女 等 乃 至 盡 形 應 當 供 養 藥 師 如 來 
T85n2767_001:0324b19	經。爾時至如來也　五示病救方丈分為二。	經 爾 時 至 如 來 也 五 示 病 救 方 丈 分 為 二 
T85n2767_001:0324b20	一阿難問。二救脫答。此則初也。	一 阿 難 問 二 救 脫 答 此 則 初 也 
T85n2767_001:0324b21	經。救脫至重病　二救脫答文分為二。一明	經 救 脫 至 重 病 二 救 脫 答 文 分 為 二 一 明 
T85n2767_001:0324b22	脫病。二明除難就初文中文分為六。一脫苦。	脫 病 二 明 除 難 就 初 文 中 文 分 為 六 一 脫 苦 
T85n2767_001:0324b23	二持齋。三修功。四造像。五續明。六造幡。此	二 持 齋 三 修 功 四 造 像 五 續 明 六 造 幡 此 
T85n2767_001:0324b24	則初也。	則 初 也 
T85n2767_001:0324b25	經。當為至八分齋　二持齋。謂七日夜為於	經 當 為 至 八 分 齋 二 持 齋 謂 七 日 夜 為 於 
T85n2767_001:0324b26	患人修行八禁。	患 人 修 行 八 禁 
T85n2767_001:0324b27	經。當以飲食至比丘僧　三為修功文分為	經 當 以 飲 食 至 比 丘 僧 三 為 修 功 文 分 為 
T85n2767_001:0324b28	三。一教供養。二教禮懺。三教諷誦。此則初	三 一 教 供 養 二 教 禮 懺 三 教 諷 誦 此 則 初 
T85n2767_001:0324b29	也。當以飲食供養比丘者。是供僧寶。	也 當 以 飲 食 供 養 比 丘 者 是 供 僧 寶 
T85n2767_001:0324c01	經。晝夜至如來　二教禮懺。六時禮拜者。是	經 晝 夜 至 如 來 二 教 禮 懺 六 時 禮 拜 者 是 
T85n2767_001:0324c02	供佛寶。	供 佛 寶 
T85n2767_001:0324c03	經。四十九遍讀誦此經　三教諷誦讀。誦此	經 四 十 九 遍 讀 誦 此 經 三 教 諷 誦 讀 誦 此 
T85n2767_001:0324c04	經者。是供法寶。	經 者 是 供 法 寶 
T85n2767_001:0324c05	經。然四十九燈至大如車輪　四然燈。四十	經 然 四 十 九 燈 至 大 如 車 輪 四 然 燈 四 十 
T85n2767_001:0324c06	九者。總舉大數故。隨願往生經云。燃四十九	九 者 總 舉 大 數 故 隨 願 往 生 經 云 燃 四 十 九 
T85n2767_001:0324c07	照諸幽冥。苦痛眾生蒙此光明。皆得相見。緣	照 諸 幽 冥 苦 痛 眾 生 蒙 此 光 明 皆 得 相 見 緣 
T85n2767_001:0324c08	此福德拔彼眾生悉得休息。造像七軀。明置	此 福 德 拔 彼 眾 生 悉 得 休 息 造 像 七 軀 明 置 
T85n2767_001:0324c09	像安燈方法。謂造七軀像。像別自處一座。又	像 安 燈 方 法 謂 造 七 軀 像 像 別 自 處 一 座 又 
T85n2767_001:0324c10	造七輪燈。其輪形量大如車輪。一一像座。前	造 七 輪 燈 其 輪 形 量 大 如 車 輪 一 一 像 座 前 
T85n2767_001:0324c11	各置一輪燈。一一輪上各置七盞燈。如此供	各 置 一 輪 燈 一 一 輪 上 各 置 七 盞 燈 如 此 供 
T85n2767_001:0324c12	養已。依然燈功德經得四種利益。一獲福無	養 已 依 然 燈 功 德 經 得 四 種 利 益 一 獲 福 無 
T85n2767_001:0324c13	量。二二臨終明耀。三死得生天。四當成正	量 二 二 臨 終 明 耀 三 死 得 生 天 四 當 成 正 
T85n2767_001:0324c14	覺。獲福無量者。若有四眾發清淨心為求福	覺 獲 福 無 量 者 若 有 四 眾 發 清 淨 心 為 求 福 
T85n2767_001:0324c15	故。或於塔廟諸形像前而設供養。奉施燈明。	故 或 於 塔 廟 諸 形 像 前 而 設 供 養 奉 施 燈 明 
T85n2767_001:0324c16	乃至以少燈炷。或膏油塗然持以奉施其明	乃 至 以 少 燈 炷 或 膏 油 塗 然 持 以 奉 施 其 明 
T85n2767_001:0324c17	唯照道之一階。舍利弗如此福德非是一切	唯 照 道 之 一 階 舍 利 弗 如 此 福 德 非 是 一 切 
T85n2767_001:0324c18	聲聞緣覺所能了知。唯佛如來乃能知也。舍	聲 聞 緣 覺 所 能 了 知 唯 佛 如 來 乃 能 知 也 舍 
T85n2767_001:0324c19	利弗照道一階福德尚爾。何況全照一階道	利 弗 照 道 一 階 福 德 尚 爾 何 況 全 照 一 階 道 
T85n2767_001:0324c20	也。或二三四階道。或及塔身一級二級乃至	也 或 二 三 四 階 道 或 及 塔 身 一 級 二 級 乃 至 
T85n2767_001:0324c21	多級。一面二面乃至四面。及佛形像。舍利	多 級 一 面 二 面 乃 至 四 面 及 佛 形 像 舍 利 
T85n2767_001:0324c22	弗彼所然燈。或時速滅。或風吹滅。或油盡滅。	弗 彼 所 然 燈 或 時 速 滅 或 風 吹 滅 或 油 盡 滅 
T85n2767_001:0324c23	或炷盡滅。或俱盡滅。譬如諸龍以瞋恚故。出	或 炷 盡 滅 或 俱 盡 滅 譬 如 諸 龍 以 瞋 恚 故 出 
T85n2767_001:0324c24	雲垂布。於中起電起已尋滅如是。少時於佛	雲 垂 布 於 中 起 電 起 已 尋 滅 如 是 少 時 於 佛 
T85n2767_001:0324c25	塔廟奉施燈明。所得果報福德之聚。唯佛能	塔 廟 奉 施 燈 明 所 得 果 報 福 德 之 聚 唯 佛 能 
T85n2767_001:0324c26	知。臨終明耀者。謂信男女等。於佛塔廟施燈	知 臨 終 明 耀 者 謂 信 男 女 等 於 佛 塔 廟 施 燈 
T85n2767_001:0324c27	明。已臨命終時。得三種明。彼善男子善女人	明 已 臨命終時 得 三 種 明 彼 善 男 子 善 女 人 
T85n2767_001:0324c28	等。臨命終時。先所作福悉皆現前憶念善法	等 臨命終時 先 所 作 福 悉 皆 現 前 憶 念 善 法 
T85n2767_001:0324c29	而不忘失。是為一明。因此便能念知自己。先	而 不 忘 失 是 為 一 明 因 此 便 能 念 知 自 己 先 
T85n2767_001:0325a01	於佛所殖諸善業。又於命終時得如是念。我	於 佛 所 殖 諸 善 業 又 於 命 終 時 得 如 是 念 我 
T85n2767_001:0325a02	於佛像塔廟等前。已曾供養作是念。已心生	於 佛 像 塔 廟 等 前 已曾供養 作 是 念 已 心 生 
T85n2767_001:0325a03	踊悅。是為二明。因此便能起念佛覺。又於命	踊 悅 是 為 二 明 因 此 便 能 起 念 佛 覺 又 於 命 
T85n2767_001:0325a04	終時見餘眾生奉行布施。是他作已起。如是	終 時 見 餘 眾 生 奉 行 布 施 是 他 作 已 起 如 是 
T85n2767_001:0325a05	念我。亦曾於佛支提所奉施燈明。我令亦當	念 我 亦 曾 於 佛 支 提 所 奉 施 燈 明 我 令 亦 當 
T85n2767_001:0325a06	復行布施得欣喜心已無有死苦。是為三明。	復 行 布 施 得 欣 喜 心 已 無 有 死 苦 是 為 三 明 
T85n2767_001:0325a07	因此便得念法之心死得生天者。謂信男女	因 此 便 得 念 法 之 心 死 得 生 天 者 謂 信 男 女 
T85n2767_001:0325a08	等。於佛塔廟施燈明已死便生於三十三天。	等 於 佛 塔 廟 施 燈 明 已 死 便 生 於 三十三天 
T85n2767_001:0325a09	生彼天已於五種事而得清淨。一者得身清	生 彼 天 已 於 五 種 事 而 得 清 淨 一 者 得 身 清 
T85n2767_001:0325a10	淨。二者於諸天中得殊勝威德。三者常得清	淨 二 者 於 諸 天 中 得 殊 勝 威 德 三 者 常 得 清 
T85n2767_001:0325a11	淨念慧。四者常得聞於稱意之聲。五者所得	淨 念 慧 四 者 常 得 聞 於 稱 意 之 聲 五 者 所 得 
T85n2767_001:0325a12	眷屬常稱彼意心得欣喜。得成正覺者。如偈	眷 屬 常 稱 彼 意 心 得 欣 喜 得 成 正 覺 者 如 偈 
T85n2767_001:0325a13	說言。牟尼牛王清淨眼。以好燈明照彼塔。得	說 言 牟 尼 牛 王 清 淨 眼 以 好 燈 明 照 彼 塔 得 
T85n2767_001:0325a14	於無漏無上道。其身光明照十方。見四真諦	於 無 漏 無 上 道 其 身 光 明 照 十 方 見 四 真 諦 
T85n2767_001:0325a15	具十力。不共之法亦究竟。得遍見眼成善逝。	具 十 力 不 共 之 法 亦 究 竟 得 遍 見 眼 成 善 逝 
T85n2767_001:0325a16	此果皆由布施燈。	此 果 皆 由 布 施 燈 
T85n2767_001:0325a17	經。或復至不絕　五續明。謂經七七日也。	經 或 復 至 不 絕 五 續 明 謂 經 七 七 日 也 
T85n2767_001:0325a18	經。當造至四十九尺　六造幡。謂造五色續	經 當 造 至 四 十 九 尺 六 造 幡 謂 造 五 色 續 
T85n2767_001:0325a19	命神幡長四十九尺故。隨願往生經云。幡蓋	命 神 幡 長 四 十 九 尺 故 隨 願 往 生 經 云 幡 蓋 
T85n2767_001:0325a20	供養已。隨心所願至成菩提。幡隨風轉破碎	供 養 已 隨 心 所 願 至 成 菩 提 幡 隨 風 轉 破 碎 
T85n2767_001:0325a21	都盡。至成微塵風吹幡塵。其福無量。幡一轉	都 盡 至 成 微 塵 風 吹 幡 塵 其 福 無 量 幡 一 轉 
T85n2767_001:0325a22	時。轉輪王位。乃至吹塵小王之位。其福無	時 轉輪王位 乃 至 吹 塵 小 王 之 位 其 福 無 
T85n2767_001:0325a23	量。問。唐宋二本明放四十九。生何獨隨文闕	量 問 唐 宋 二 本 明 放 四 十 九 生 何 獨 隨 文 闕 
T85n2767_001:0325a24	而不載。答。此文在於譯家。義准合有。	而 不 載 答 此 文 在 於 譯 家 義 准 合 有 
T85n2767_001:0325a25	經。復次至王等　二明除難文分為六。一災	經 復 次 至 王 等 二 明 除 難 文 分 為 六 一 災 
T85n2767_001:0325a26	興王境。二七難侵民。三皇帝垂慈。四宜修上	興 王 境 二 七 難 侵 民 三 皇 帝 垂 慈 四 宜 修 上 
T85n2767_001:0325a27	供。五肅清役勵。六帝壽遐延。此則初也。言	供 五 肅 清 役 勵 六 帝 壽 遐 延 此 則 初 也 言 
T85n2767_001:0325a28	灌頂者。謂最大國太子初登位時。諸小國王	灌 頂 者 謂 最 大 國 太 子 初 登 位 時 諸 小 國 王 
T85n2767_001:0325a29	及諸群臣。各取四大海水灌其頭頂名灌頂	及 諸 群 臣 各 取 四 大 海 水 灌 其 頭 頂 名 灌 頂 
T85n2767_001:0325b01	王。	王 
T85n2767_001:0325b02	經。若災難起時至不雨難　二七難侵民。問。	經 若 災 難 起 時 至 不 雨 難 二 七 難 侵 民 問 
T85n2767_001:0325b03	何故七難俱時出現。答。金光明經第六卷說。	何 故 七 難 俱 時 出 現 答 金 光 明 經 第 六 卷 說 
T85n2767_001:0325b04	由王暴虐不修善事。諸天即便捨離。是王令	由 王 暴 虐 不 修 善 事 諸 天 即 便 捨 離 是 王 令 
T85n2767_001:0325b05	其國敗生大愁惱。兄弟姊妹眷屬妻子孤迸	其 國 敗 生 大 愁 惱 兄 弟 姊 妹 眷 屬 妻 子 孤 迸 
T85n2767_001:0325b06	流離身亦亡滅。流星數墮二日並現。他方惡	流 離 身 亦 亡 滅 流 星 數 墮 二 日 並 現 他 方 惡 
T85n2767_001:0325b07	賊侵掠其土人民飢餓多諸疾疫。所重大臣	賊 侵 掠 其 土 人 民 飢 餓 多 諸 疾 疫 所 重 大 臣 
T85n2767_001:0325b08	捨離薨亡。象馬車乘一念喪滅。諸家財產國	捨 離 薨 亡 象 馬 車 乘 一 念 喪 滅 諸 家 財 產 國 
T85n2767_001:0325b09	土所有互相劫奪刀兵而死。五星諸宿違失	土 所 有 互 相 劫 奪 刀 兵 而 死 五 星 諸 宿 違 失 
T85n2767_001:0325b10	常度諸惡疾。疫流遍其國。諸受竉錄所任大	常 度 諸 惡 疾 疫 流 遍 其 國 諸 受 竉 錄 所 任 大 
T85n2767_001:0325b11	臣及諸群僚專行非法。如是行惡偏受恩遇	臣 及 諸 群 僚 專 行 非 法 如 是 行 惡 偏 受 恩 遇 
T85n2767_001:0325b12	修善法者。日日衰滅。於行惡者而生恭敬。見	修 善 法 者 日 日 衰 滅 於 行 惡 者 而 生 恭 敬 見 
T85n2767_001:0325b13	修善者。心不顧錄惡星變動羅剎亂行三災	修 善 者 心 不 顧 錄 惡 星 變 動 羅 剎 亂 行 三 災 
T85n2767_001:0325b14	並現。七難便起。今此七難配為三災。初一	並 現 七 難 便 起 今 此 七 難 配 為 三 災 初 一 
T85n2767_001:0325b15	難是疾疫。次四難是刀兵。後二難是飢饉。	難 是 疾 疫 次 四 難 是 刀 兵 後 二 難 是 飢 饉 
T85n2767_001:0325b16	經。爾時至諸繫閉　三皇帝垂慈。謂剎利大	經 爾 時 至 諸 繫 閉 三 皇 帝 垂 慈 謂 剎 利 大 
T85n2767_001:0325b17	王。應於一切起慈悲心。放諸囚禁。	王 應 於 一 切 起 慈 悲 心 放 諸 囚 禁 
