T22n1423_001:0206b23	五分比丘尼戒本	五 分 比丘尼戒 本 
T22n1423_001:0212b28	比丘尼應諸比丘尼邊悔過：『我墮可呵法，今	比 丘 尼 應 諸比丘尼 邊 悔 過 我 墮 可 呵 法 今 
T22n1423_001:0212b29	向諸阿姨悔過。』是名悔過法。「若比丘尼，無	向 諸 阿 姨 悔 過 是 名 悔 過 法 若 比 丘 尼 無 
T22n1423_001:0212c01	病，自為乞魚食。是比丘尼應諸比丘尼邊悔	病 自 為 乞 魚 食 是 比 丘 尼 應 諸比丘尼 邊 悔 
T22n1423_001:0212c02	過：『我墮可呵法，今向諸阿姨悔過。』是名悔	過 我 墮 可 呵 法 今 向 諸 阿 姨 悔 過 是 名 悔 
T22n1423_001:0212c03	過法。「若比丘尼，無病，自為乞肉食。是比丘	過 法 若 比 丘 尼 無 病 自 為 乞 肉 食 是 比 丘 
T22n1423_001:0212c04	尼應諸比丘尼邊悔過：『我墮可呵法，今向諸	尼 應 諸比丘尼 邊 悔 過 我 墮 可 呵 法 今 向 諸 
T22n1423_001:0212c05	阿姨悔過。』是名悔過法。」「諸大姊！已說八波	阿 姨 悔 過 是 名 悔 過 法 諸 大 姊 已 說 八 波 
T22n1423_001:0212c06	羅提提舍尼法。今問，諸大姊是中清淨不？」(第二、	羅 提 提 舍 尼 法 今 問 諸 大 姊 是 中 清 淨 不 第 二 
T22n1423_001:0212c07	第三亦如是說)「諸大姊是中清淨，默然故，是事如是	第 三 亦 如 是 說 諸 大 姊 是 中 清 淨 默 然 故 是 事 如 是 
T22n1423_001:0212c08	持。」	持 
T22n1423_001:0212c09	「諸大姊！是眾學法，半月半月戒經中說。「不	 諸 大 姊 是 眾 學 法 半月半月 戒 經 中 說 不 
T22n1423_001:0212c10	高著下衣，應當學。「不下著下衣，應當學。「不	高 著 下 衣 應 當 學 不 下 著 下 衣 應 當 學 不 
T22n1423_001:0212c11	參差著下衣，應當學。「不如多羅葉著下衣，應	參 差 著 下 衣 應 當 學 不 如 多 羅 葉 著 下 衣 應 
T22n1423_001:0212c12	當學。「不為象鼻著下衣，應當學。「不如圓	當 學 不 為 象 鼻 著 下 衣 應 當 學 不 如 圓 
T22n1423_001:0212c13	[木*奈]著下衣，應當學。「不細襵著下衣，應當學。	[木奈] 著 下 衣 應 當 學 不 細 襵 著 下 衣 應 當 學 
T22n1423_001:0212c14	「不高披衣，應當學。「不下披衣，應當學。「不參	 不 高 披 衣 應 當 學 不 下 披 衣 應 當 學 不 參 
T22n1423_001:0212c15	差披衣，應當學。(一十)「好覆身入白衣舍，應當學。	差 披 衣 應 當 學 一 十 好 覆 身 入 白 衣 舍 應 當 學 
T22n1423_001:0212c16	「好覆身入白衣舍坐，應當學。「不反抄衣著	 好 覆 身 入 白 衣 舍 坐 應 當 學 不 反 抄 衣 著 
T22n1423_001:0212c17	右肩上入白衣舍，應當學。「不反抄衣著右	右 肩 上 入 白 衣 舍 應 當 學 不 反 抄 衣 著 右 
T22n1423_001:0212c18	肩上白衣舍坐，應當學。「不反抄衣著左肩上	肩 上 白 衣 舍 坐 應 當 學 不 反 抄 衣 著 左 肩 上 
T22n1423_001:0212c19	入白衣舍，應當學。「不反抄衣著左肩上白衣	入 白 衣 舍 應 當 學 不 反 抄 衣 著 左 肩 上 白 衣 
T22n1423_001:0212c20	舍坐，應當學。「不左右反抄衣著兩肩上入白	舍 坐 應 當 學 不 左 右 反 抄 衣 著 兩 肩 上 入 白 
T22n1423_001:0212c21	衣舍，應當學。「不左右反抄衣著兩肩上白衣	衣 舍 應 當 學 不 左 右 反 抄 衣 著 兩 肩 上 白 衣 
T22n1423_001:0212c22	舍坐，應當學。「不搖身入白衣舍，應當學。「不	舍 坐 應 當 學 不 搖 身 入 白 衣 舍 應 當 學 不 
T22n1423_001:0212c23	搖身白衣舍坐，應當學。(二十)「不搖頭入白衣舍，	搖 身 白 衣 舍 坐 應 當 學 二 十 不 搖 頭 入 白 衣 舍 
T22n1423_001:0212c24	應當學。「不搖頭白衣舍坐，應當學。「不搖肩	應 當 學 不 搖 頭 白 衣 舍 坐 應 當 學 不 搖 肩 
T22n1423_001:0212c25	入白衣舍，應當學。「不搖肩白衣舍坐，應當學。	入 白 衣 舍 應 當 學 不 搖 肩 白 衣 舍 坐 應 當 學 
T22n1423_001:0212c26	「不携手入白衣舍，應當學。「不携手白衣舍坐，	 不 携 手 入 白 衣 舍 應 當 學 不 携 手 白 衣 舍 坐 
T22n1423_001:0212c27	應當學。「不隱人入白衣舍，應當學。「不隱人	應 當 學 不 隱 人 入 白 衣 舍 應 當 學 不 隱 人 
T22n1423_001:0212c28	白衣舍坐，應當學。「不扠腰入白衣舍，應當學。	白 衣 舍 坐 應 當 學 不 扠 腰 入 白 衣 舍 應 當 學 
T22n1423_001:0212c29	「不扠腰白衣舍坐，應當學。(三十)「不拄頰入白	 不 扠 腰 白 衣 舍 坐 應 當 學 三 十 不 拄 頰 入 白 
T22n1423_001:0213a01	衣舍，應當學。「不拄頰白衣舍坐，應當學。「不	衣 舍 應 當 學 不 拄 頰 白 衣 舍 坐 應 當 學 不 
T22n1423_001:0213a02	掉臂入白衣舍，應當學。「不掉臂白衣舍坐，	掉 臂 入 白 衣 舍 應 當 學 不 掉 臂 白 衣 舍 坐 
T22n1423_001:0213a03	應當學。「不高視入白衣舍，應當學。「不高視	應 當 學 不 高 視 入 白 衣 舍 應 當 學 不 高 視 
T22n1423_001:0213a04	白衣舍坐，應當學。「不左右顧視入白衣舍，應	白 衣 舍 坐 應 當 學 不 左 右 顧 視 入 白 衣 舍 應 
T22n1423_001:0213a05	當學。「不左右顧視白衣舍坐，應當學。「不蹲	當 學 不 左 右 顧 視 白 衣 舍 坐 應 當 學 不 蹲 
T22n1423_001:0213a06	行入白衣舍，應當學。「不蹲行白衣舍坐，應當	行 入 白 衣 舍 應 當 學 不 蹲 行 白 衣 舍 坐 應 當 
T22n1423_001:0213a07	學。(四十)「不企行入白衣舍，應當學。「不企行	學 四 十 不 企 行 入 白 衣 舍 應 當 學 不 企 行 
T22n1423_001:0213a08	白衣舍坐，應當學。「不覆頭入白衣舍，應當學。	白 衣 舍 坐 應 當 學 不 覆 頭 入 白 衣 舍 應 當 學 
T22n1423_001:0213a09	「不覆頭白衣舍坐，應當學。「不戲笑入白衣舍，	 不 覆 頭 白 衣 舍 坐 應 當 學 不 戲 笑 入 白 衣 舍 
T22n1423_001:0213a10	應當學。「不戲笑白衣舍坐，應當學。「不高聲	應 當 學 不 戲 笑 白 衣 舍 坐 應 當 學 不 高 聲 
T22n1423_001:0213a11	入白衣舍，應當學。「不高聲白衣舍坐，應當學。	入 白 衣 舍 應 當 學 不 高 聲 白 衣 舍 坐 應 當 學 
T22n1423_001:0213a12	「庠序入白衣舍，應當學。(五十)「庠序白衣舍坐，	 庠 序 入 白 衣 舍 應 當 學 五 十 庠 序 白 衣 舍 坐 
T22n1423_001:0213a13	應當學。「一心受食，應當學。「不溢鉢受食，	應 當 學 一 心 受 食 應 當 學 不 溢 鉢 受 食 
T22n1423_001:0213a14	應當學。「羹飯俱食，應當學。「不於鉢中處處	應 當 學 羹 飯 俱 食 應 當 學 不 於 鉢 中 處 處 
T22n1423_001:0213a15	取食，應當學。「不刳中央食，應當學。「不曲指	取 食 應 當 學 不 刳 中 央 食 應 當 學 不 曲 指 
T22n1423_001:0213a16	抆鉢食，應當學。「不嗅食食，應當學。「諦視	抆 鉢 食 應 當 學 不 嗅 食 食 應 當 學 諦 視 
T22n1423_001:0213a17	鉢食，應當學。「不棄飯食，應當學。「不以食手	鉢 食 應 當 學 不 棄 飯 食 應 當 學 不 以 食 手 
T22n1423_001:0213a18	捉淨飲器，應當學。(六十)「不吸食食，應當學。「不嚼	捉 淨 飲 器 應 當 學 六 十 不 吸 食 食 應 當 學 不 嚼 
T22n1423_001:0213a19	食作聲，應當學。「不舐取食，應當學。「不滿手	食 作 聲 應 當 學 不 舐 取 食 應 當 學 不 滿 手 
T22n1423_001:0213a20	食，應當學。「不大張口食，應當學。「飯未至不	食 應 當 學 不 大 張 口 食 應 當 學 飯 未 至 不 
T22n1423_001:0213a21	張口待，應當學。「不脹頰食，應當學。「不嚙半	張 口 待 應 當 學 不 脹 頰 食 應 當 學 不 嚙 半 
T22n1423_001:0213a22	食，應當學。「不縮鼻食，應當學。「不含食語，應	食 應 當 學 不 縮 鼻 食 應 當 學 不 含 食 語 應 
T22n1423_001:0213a23	當學。(七十)「不舒臂取食，應當學。「不振手食，應	當 學 七 十 不 舒 臂 取 食 應 當 學 不 振 手 食 應 
T22n1423_001:0213a24	當學。「不吐舌舐食，應當學。「不全吞食，應當	當 學 不 吐 舌 舐 食 應 當 學 不 全 吞 食 應 當 
T22n1423_001:0213a25	學。「不揣飯遙擲口中，應當學。「不以鉢中有	學 不 揣 飯 遙 擲 口 中 應 當 學 不 以 鉢 中 有 
T22n1423_001:0213a26	食水灑白衣屋內，應當學。「不以飯覆羹更望	食 水 灑 白 衣 屋 內 應 當 學 不 以 飯 覆 羹 更 望 
T22n1423_001:0213a27	得，應當學。「不嫌呵食，應當學。「不為己索益	得 應 當 學 不 嫌 呵 食 應 當 學 不 為 己 索 益 
T22n1423_001:0213a28	食，應當學。「不嫌心視比坐鉢，應當學。(八十)「不	食 應 當 學 不 嫌 心 視 比 坐 鉢 應 當 學 八 十 不 
T22n1423_001:0213a29	立大小便，除病，應當學。「不大小便淨水中，	立 大 小 便 除 病 應 當 學 不 大 小 便 淨 水 中 
T22n1423_001:0213b01	除病，應當學。「不大小便生草菜上，除病，應	除 病 應 當 學 不 大 小 便 生 草 菜 上 除 病 應 
T22n1423_001:0213b02	當學。「人著履，不應為說法，除病，應當學。	當 學 人 著 履 不 應 為 說 法 除 病 應 當 學 
T22n1423_001:0213b03	「人著革屣，不應為說法，除病，應當學。「人現	 人 著 革 屣 不 應 為 說 法 除 病 應 當 學 人 現 
T22n1423_001:0213b04	胸，不應為說法，除病，應當學。「人坐、比丘尼	胸 不 應 為 說 法 除 病 應 當 學 人 坐 比 丘 尼 
T22n1423_001:0213b05	立，不應為說法，除病，應當學。「人在高座、比	立 不 應 為 說 法 除 病 應 當 學 人 在 高 座 比 
T22n1423_001:0213b06	丘尼在下，不應為說法，除病，應當學。「人臥、	丘 尼 在 下 不 應 為 說 法 除 病 應 當 學 人 臥 
T22n1423_001:0213b07	比丘尼坐，不應為說法，除，病應當學。「人在	比 丘 尼 坐 不 應 為 說 法 除 病 應 當 學 人 在 
T22n1423_001:0213b08	前、比丘尼在後，不應為說法，除病，應當學。(九十)	前 比 丘 尼 在 後 不 應 為 說 法 除 病 應 當 學 九 十 
T22n1423_001:0213b09	「人在道中、比丘尼在道外，不應為說法，除病，	 人 在 道 中 比 丘 尼 在 道 外 不 應 為 說 法 除 病 
T22n1423_001:0213b10	應當學。「不為覆頭人說法，除病，應當學。「不	應 當 學 不 為 覆 頭 人 說 法 除 病 應 當 學 不 
T22n1423_001:0213b11	為反抄衣人說法，除，病應當學。「不為左右	為 反 抄 衣 人 說 法 除 病 應 當 學 不 為 左 右 
T22n1423_001:0213b12	抄衣人說法，除病，應當學。「不為持蓋覆身	抄 衣 人 說 法 除 病 應 當 學 不 為 持 蓋 覆 身 
T22n1423_001:0213b13	人說法，除病，應當學。「不為騎乘人說法，除	人 說 法 除 病 應 當 學 不 為 騎 乘 人 說 法 除 
T22n1423_001:0213b14	病，應當學。「不為拄杖人說法，除病，應當學。	病 應 當 學 不 為 拄 杖 人 說 法 除 病 應 當 學 
T22n1423_001:0213b15	「不為捉刀人說法，除病，應當學。「不為捉弓	 不 為 捉 刀 人 說 法 除 病 應 當 學 不 為 捉 弓 
T22n1423_001:0213b16	箭人說法，除病，應當學。「樹過人，不得上，除	箭 人 說 法 除 病 應 當 學 樹 過 人 不 得 上 除 
T22n1423_001:0213b17	大因緣，應當學。因緣者，惡獸諸難，是名大	大 因 緣 應 當 學 因 緣 者 惡 獸 諸 難 是 名 大 
T22n1423_001:0213b18	因緣。(一百)」「諸大姊！已說眾學法。今問，諸大姊	因 緣 一 百 諸 大 姊 已 說 眾 學 法 今 問 諸 大 姊 
T22n1423_001:0213b19	是中清淨不？」(第二、第三亦如是說)	是 中 清 淨 不 第 二 第 三 亦 如 是 說 
T22n1423_001:0213b20	「諸大姊是中清淨，默然故，是事如是持。」	 諸 大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0213b21	「諸大姊，已說戒經序、已說八波羅夷法、已說	 諸 大 姊 已 說 戒 經 序 已 說 八波羅夷 法 已 說 
T22n1423_001:0213b22	十七僧伽婆尸沙法、已說三十尼薩耆波逸	十 七 僧伽婆尸沙法 已 說 三 十 尼 薩 耆 波 逸 
T22n1423_001:0213b23	提法、已說二百一十波逸提法、已說八波羅	提 法 已 說 二 百 一 十 波 逸 提 法 已 說 八 波 羅 
T22n1423_001:0213b24	提提舍尼法、已說眾學戒法。是法入佛戒經	提 提 舍 尼 法 已 說 眾 學 戒 法 是 法 入 佛 戒 經 
T22n1423_001:0213b25	中，半月半月波羅提木叉中說。及餘隨道	中 半月半月 波羅提木叉 中 說 及 餘 隨 道 
T22n1423_001:0213b26	法。是中諸大姊，一心和合歡喜不諍，如水乳	法 是 中 諸 大 姊 一 心 和 合 歡 喜 不 諍 如 水 乳 
T22n1423_001:0213b27	合，安樂行。應當學。」	合 安 樂 行 應 當 學 
T22n1423_001:0213b28	「毘婆尸如來、應、正遍知，為寂靜僧略說波羅	 毘 婆 尸 如 來 應 正 遍 知 為 寂 靜 僧 略 說 波 羅 
T22n1423_001:0213b29	提木叉：	提 木 叉 
T22n1423_001:0213c01	「『忍辱第一道，　　涅槃佛稱最，	 忍 辱 第 一 道 涅 槃 佛 稱 最 
T22n1423_001:0213c02	　　出家惱他人，　　不名為沙門。』	 出 家 惱 他 人 不 名 為 沙 門 
T22n1423_001:0213c03	「尸棄如來、應、正遍知，為寂靜僧略說波羅提	 尸棄如來 應 正 遍 知 為 寂 靜 僧 略 說 波 羅 提 
T22n1423_001:0213c04	木叉：	木 叉 
T22n1423_001:0213c05	「『譬如明眼人，　　能避險惡道，	 譬 如 明 眼 人 能 避 險 惡 道 
T22n1423_001:0213c06	　　世有聰明人，　　能遠離諸惡。』	 世 有 聰 明 人 能 遠 離 諸 惡 
T22n1423_001:0213c07	「比葉婆如來、應、正遍知，為寂靜僧略說波羅	 比 葉 婆 如 來 應 正 遍 知 為 寂 靜 僧 略 說 波 羅 
T22n1423_001:0213c08	提木叉：	提 木 叉 
T22n1423_001:0213c09	「『不惱不說過，　　如戒所說行，	 不 惱 不 說 過 如戒所說行 
T22n1423_001:0213c10	　　飯食知節量，　　常樂在閑處，	 飯 食 知 節 量 常樂在閑處 
T22n1423_001:0213c11	　　心寂樂精進，　　是名諸佛教。』	 心 寂 樂 精 進 是 名 諸 佛 教 
T22n1423_001:0213c12	「拘留孫如來、應、正遍知，為寂靜僧略說波羅	 拘 留 孫 如 來 應 正 遍 知 為 寂 靜 僧 略 說 波 羅 
T22n1423_001:0213c13	提木叉：	提 木 叉 
T22n1423_001:0213c14	「『譬如蜂採花，　　不壞色與香，	 譬 如 蜂 採 花 不 壞 色 與 香 
T22n1423_001:0213c15	　　但取其味去。　　比丘入聚落，	 但 取 其 味 去 比 丘 入 聚 落 
T22n1423_001:0213c16	　　不破壞他事，　　不觀作不作，	 不破壞他事 不 觀 作 不 作 
T22n1423_001:0213c17	　　但自觀身行，　　諦視善不善。』	 但 自 觀 身 行 諦 視 善 不 善 
T22n1423_001:0213c18	「拘那含牟尼如來、應、正遍知，為寂靜僧略說	 拘 那 含 牟 尼 如 來 應 正 遍 知 為 寂 靜 僧 略 說 
T22n1423_001:0213c19	波羅提木叉：	波羅提木叉 
T22n1423_001:0213c20	「『欲得好心莫放逸，　　聖人善法當勤學，	 欲 得 好 心 莫 放 逸 聖 人 善 法 當 勤 學 
T22n1423_001:0213c21	　　若有知寂一心人，　　爾乃無復憂愁患。』	 若 有 知 寂 一 心 人 爾 乃 無 復 憂 愁 患 
T22n1423_001:0213c22	「迦葉如來、應、正遍知，為寂靜僧略說波羅提	 迦 葉 如 來 應 正 遍 知 為 寂 靜 僧 略 說 波 羅 提 
T22n1423_001:0213c23	木叉：	木 叉 
T22n1423_001:0213c24	「『一切惡莫作，　　當具足善法，	 一切惡莫作 當具足善法 
T22n1423_001:0213c25	　　自淨其志意，　　是則諸佛教。』	 自淨其志意 是 則 諸 佛 教 
T22n1423_001:0213c26	「釋迦牟尼如來、應、正遍知，為寂靜僧略說波	 釋 迦 牟 尼 如 來 應 正 遍 知 為 寂 靜 僧 略 說 波 
T22n1423_001:0213c27	羅提木叉：	羅 提 木 叉 
T22n1423_001:0213c28	「『護身為善哉，　　能護口亦善，	 護 身 為 善 哉 能 護 口 亦 善 
T22n1423_001:0213c29	　　護意為善哉，　　護一切亦善，	 護 意 為 善 哉 護 一 切 亦 善 
T22n1423_001:0214a01	　　比丘護一切，　　便得離眾苦。	 比 丘 護 一 切 便 得 離 眾 苦 
T22n1423_001:0214a02	　　比丘守口意，　　身不犯眾惡，	 比 丘 守 口 意 身 不 犯 眾 惡 
T22n1423_001:0214a03	　　是三業道淨，　　得聖所得道。	 是 三 業 道 淨 得 聖 所 得 道 
T22n1423_001:0214a04	　　若人打罵不還報，　　於嫌恨人心不恨，	 若 人 打 罵 不 還 報 於 嫌 恨 人 心 不 恨 
T22n1423_001:0214a05	　　於瞋人中心常淨，　　見人為惡自不作。』」	 於 瞋 人 中 心 常 淨 見 人 為 惡 自 不 作 
T22n1423_001:0214a06	「七佛為世尊，　　能救護世間，	 七 佛 為 世 尊 能 救 護 世 間 
T22n1423_001:0214a07	　所可說戒經，　　我已廣說竟。	 所 可 說 戒 經 我 已 廣 說 竟 
T22n1423_001:0214a08	　諸佛及弟子，　　恭敬是戒經，	 諸 佛 及 弟 子 恭 敬 是 戒 經 
T22n1423_001:0214a09	　恭敬戒經已，　　各各相恭敬，	 恭 敬 戒 經 已 各 各 相 恭 敬 
T22n1423_001:0214a10	　慚愧得具足，　　能得無為道。」	 慚 愧 得 具 足 能 得 無 為 道 
T22n1423_001:0214a11	「諸大姊！已說波羅提木叉竟，僧一心得布	 諸 大 姊 已 說波羅提木叉 竟 僧 一 心 得 布 
T22n1423_001:0214a12	薩。」	薩 
T22n1423_001:0214a13	五分比丘尼戒本	五 分 比丘尼戒 本 
