T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_002:0415b29	「世尊！於後末世像法起時，若有眾生，為	 世 尊 於 後 末 世 像 法 起 時 若 有 眾 生 為 
T14n0451_002:0415c01	諸病苦之所逼惱，身形羸瘦，不能飲食，喉	諸 病 苦 之 所 逼 惱 身 形 羸 瘦 不 能 飲 食 喉 
T14n0451_002:0415c02	脣乾燥，目視皆暗，死相現前，父母、親屬、朋友、	脣 乾 燥 目 視 皆 暗 死 相 現 前 父 母 親 屬 朋 友 
T14n0451_002:0415c03	知識，啼泣圍繞。身臥本處，見彼琰魔法王之	知 識 啼 泣 圍 繞 身 臥 本 處 見 彼 琰 魔 法 王 之 
T14n0451_002:0415c04	使，引其神識，將至王所。然諸有情，有俱生	使 引 其 神 識 將 至 王 所 然 諸 有 情 有 俱 生 
T14n0451_002:0415c05	神，隨其所作善惡之業，悉皆記錄，授與彼	神 隨 其 所 作 善 惡 之 業 悉 皆 記 錄 授 與 彼 
T14n0451_002:0415c06	王，王即依法問其所作，隨彼罪福，而處斷	王 王 即 依 法 問 其 所 作 隨 彼 罪 福 而 處 斷 
T14n0451_002:0415c07	之。是時，病人親屬、知識，若能為彼歸依諸	之 是 時 病 人 親 屬 知 識 若 能 為 彼 歸 依 諸 
T14n0451_002:0415c08	佛，種種莊嚴，如法供養。而彼神識，或經七日，	佛 種 種 莊 嚴 如 法 供 養 而 彼 神 識 或 經 七 日 
T14n0451_002:0415c09	或二七日，乃至七七日，如從夢覺，復本精	或 二 七 日 乃 至 七 七 日 如 從 夢 覺 復 本 精 
T14n0451_002:0415c10	神，皆自憶知善、不善業所得果報，由自證	神 皆 自 憶 知 善 不 善 業 所 得 果 報 由 自 證 
T14n0451_002:0415c11	見業報不虛，乃至命難亦不造惡。是故，淨	見 業 報 不 虛 乃 至 命 難 亦 不 造 惡 是 故 淨 
T14n0451_002:0415c12	信男子、女人，皆應受持七佛名號，隨力所	信 男 子 女 人 皆 應 受 持 七 佛 名 號 隨 力 所 
T14n0451_002:0415c13	能，恭敬供養。」	能 恭敬供養 
T14n0451_002:0415c14	爾時，具壽阿難問救脫菩薩曰：「善男子！恭	爾 時 具 壽 阿 難 問 救 脫 菩 薩 曰 善 男 子 恭 
T14n0451_002:0415c15	敬供養彼七如來，其法云何？」救脫菩薩言：「大	敬 供 養 彼 七 如 來 其 法 云 何 救 脫 菩 薩 言 大 
T14n0451_002:0415c16	德！若有病人及餘災厄，欲令脫者，當為	德 若 有 病 人 及 餘 災 厄 欲 令 脫 者 當 為 
T14n0451_002:0415c17	其人七日七夜持八戒齋；應以飲食，及餘	其 人 七日七夜 持 八 戒 齋 應 以 飲 食 及 餘 
T14n0451_002:0415c18	資具，隨其所有，供佛及僧；晝夜六時，恭敬	資 具 隨 其 所 有 供 佛 及 僧 晝 夜 六 時 恭 敬 
T14n0451_002:0415c19	禮拜七佛如來，讀誦此經四十九遍；然四	禮 拜 七 佛 如 來 讀 誦 此 經 四 十 九 遍 然 四 
T14n0451_002:0415c20	十九燈，造彼如來形像七軀，一一像前各置	十 九 燈 造 彼 如 來 形 像 七 軀 一 一 像 前 各 置 
T14n0451_002:0415c21	七燈，其七燈狀圓若車輪，乃至四十九夜，光	七 燈 其 七 燈 狀 圓 若 車 輪 乃 至 四 十 九 夜 光 
T14n0451_002:0415c22	明不絕；造雜綵幡四十九首，并一長幡四十	明 不 絕 造 雜 綵 幡 四 十 九 首 并 一 長 幡 四 十 
T14n0451_002:0415c23	九尺；放四十九生。如是即能離災厄難，不	九 尺 放 四 十 九 生 如 是 即 能 離 災 厄 難 不 
T14n0451_002:0415c24	為諸橫、惡鬼所持。大德阿難！是為供養如	為 諸 橫 惡 鬼 所 持 大德阿難 是 為 供 養 如 
T14n0451_002:0415c25	來法式。若有於此七佛之中，隨其一佛稱	來 法 式 若 有 於 此 七 佛 之 中 隨 其 一 佛 稱 
T14n0451_002:0415c26	名供養者，皆得如是無量功德，所求願滿，	名 供 養 者 皆 得 如 是 無量功德 所 求 願 滿 
T14n0451_002:0415c27	何況盡能具足供養？	何 況 盡 能 具 足 供 養 
T14n0451_002:0415c28	「復次，大德阿難！若剎帝利灌頂王等，災難起	 復 次 大德阿難 若 剎 帝 利 灌 頂 王 等 災 難 起 
T14n0451_002:0415c29	時，所謂：人眾疾疫難、他國侵逼難、自界叛逆	時 所 謂 人 眾 疾 疫 難 他 國 侵 逼 難 自 界 叛 逆 
T14n0451_002:0416a01	難、星宿變怪難、日月薄蝕難、非時風雨難、過	難 星 宿 變 怪 難 日 月 薄 蝕 難 非 時 風 雨 難 過 
T14n0451_002:0416a02	時不雨難，彼剎帝利灌頂王等，爾時當於	時 不 雨 難 彼 剎 帝 利 灌 頂 王 等 爾 時 當 於 
T14n0451_002:0416a03	一切有情起慈悲心，放大恩赦，脫諸幽厄、	一切有情 起 慈 悲 心 放 大 恩 赦 脫 諸 幽 厄 
T14n0451_002:0416a04	苦惱眾生，如前法式，供養諸佛。由此善根	苦 惱 眾 生 如 前 法 式 供 養 諸 佛 由 此 善 根 
T14n0451_002:0416a05	及彼如來本願力故，令其國界即得安隱，	及 彼 如 來 本 願 力 故 令 其 國 界 即 得 安 隱 
T14n0451_002:0416a06	風雨順時，穀稼成熟，國內眾生無病安樂，	風 雨 順 時 穀 稼 成 熟 國 內 眾 生 無 病 安 樂 
T14n0451_002:0416a07	又無暴惡藥叉等神共相惱亂，一切惡相悉	又 無 暴 惡 藥 叉 等 神 共 相 惱 亂 一 切 惡 相 悉 
T14n0451_002:0416a08	皆隱沒。而剎帝利灌頂王等，皆得增益壽	皆 隱 沒 而 剎 帝 利 灌 頂 王 等 皆 得 增 益 壽 
T14n0451_002:0416a09	命、色力，無病自在。「大德阿難！若帝后妃主、	命 色 力 無 病 自 在 大德阿難 若 帝 后 妃 主 
T14n0451_002:0416a10	儲君王子、大臣輔相、宮中婇女、百官黎庶，為	儲 君 王 子 大 臣 輔 相 宮 中 婇 女 百 官 黎 庶 為 
T14n0451_002:0416a11	病所苦，及餘厄難，亦應敬造七佛形像，讀	病 所 苦 及 餘 厄 難 亦 應 敬 造 七 佛 形 像 讀 
T14n0451_002:0416a12	誦此經，然燈造幡，放諸生命，至誠供養，燒	誦 此 經 然 燈 造 幡 放 諸 生 命 至 誠 供 養 燒 
T14n0451_002:0416a13	香散花，即得病苦銷除，解脫眾難。」	香 散 花 即 得 病 苦 銷 除 解 脫 眾 難 
T14n0451_002:0416a14	爾時，具壽阿難問救脫菩薩言：「善男子！	爾 時 具 壽 阿 難 問 救 脫 菩 薩 言 善 男 子 
T14n0451_002:0416a15	云何已盡之命而可增益？」救脫菩薩言：「大	云 何 已 盡 之 命 而 可 增 益 救 脫 菩 薩 言 大 
T14n0451_002:0416a16	德！仁豈不聞如來說有九橫死耶？由是	德 仁 豈 不 聞 如 來 說 有 九 橫 死 耶 由 是 
T14n0451_002:0416a17	世尊為說呪藥，隨事救療，然燈造幡，修諸	世 尊 為 說 呪 藥 隨 事 救 療 然 燈 造 幡 修 諸 
T14n0451_002:0416a18	福業，以修福故，得延壽命。」阿難問言：「九	福 業 以 修 福 故 得 延 壽 命 阿 難 問 言 九 
T14n0451_002:0416a19	橫云何？」救脫菩薩言：「一者，若諸有情，得病	橫 云 何 救 脫 菩 薩 言 一 者 若 諸 有 情 得 病 
T14n0451_002:0416a20	雖輕，然無醫藥及看病者，設復遇醫，不	雖 輕 然 無 醫 藥 及 看 病 者 設 復 遇 醫 不 
T14n0451_002:0416a21	授其藥，實不應死，而便橫死；又信世間邪	授 其 藥 實 不 應 死 而 便 橫 死 又 信 世 間 邪 
T14n0451_002:0416a22	魔外道、妖孽之師，妄說禍福，便生恐動，心	魔 外 道 妖 孽 之 師 妄 說 禍 福 便 生 恐 動 心 
T14n0451_002:0416a23	不自正，卜問吉凶，殺諸眾生，求神解奏，呼	不 自 正 卜 問 吉 凶 殺 諸 眾 生 求 神 解 奏 呼 
T14n0451_002:0416a24	召魍魎，請福祈恩，欲冀延年，終不能得，	召 魍 魎 請 福 祈 恩 欲 冀 延 年 終 不 能 得 
T14n0451_002:0416a25	愚迷倒見，遂令橫死，入於地獄，無有出期。	愚 迷 倒 見 遂 令 橫 死 入 於 地 獄 無 有 出 期 
T14n0451_002:0416a26	二者，橫為王法之所誅戮。三者，畋獵嬉戲，耽	二 者 橫 為 王 法 之 所 誅 戮 三 者 畋 獵 嬉 戲 耽 
T14n0451_002:0416a27	婬嗜酒，放逸無度，橫為非人奪其精氣。	婬 嗜 酒 放 逸 無 度 橫 為 非 人 奪其精氣 
T14n0451_002:0416a28	四者，橫為火焚。五者，橫為水溺。六者，橫為	四 者 橫 為 火 焚 五 者 橫 為 水 溺 六 者 橫 為 
T14n0451_002:0416a29	種種惡獸所噉。七者，橫墮山崖。八者，橫為	種 種 惡 獸 所 噉 七 者 橫 墮 山 崖 八 者 橫 為 
T14n0451_002:0416b01	毒藥、厭禱、呪詛、起屍鬼等之所中害。九者，飢	毒 藥 厭 禱 呪 詛 起 屍 鬼 等 之 所 中 害 九 者 飢 
T14n0451_002:0416b02	渴所困，不得飲食，而便橫死。是為如來略	渴 所 困 不 得 飲 食 而 便 橫 死 是 為 如 來 略 
T14n0451_002:0416b03	說橫死有此九種，其餘復有無量諸橫，難	說 橫 死 有 此 九 種 其 餘 復 有 無 量 諸 橫 難 
T14n0451_002:0416b04	可具說。	可 具 說 
T14n0451_002:0416b05	「復次，阿難！彼琰魔王，簿錄世間所有名籍。若	 復 次 阿 難 彼 琰 魔 王 簿 錄 世 間 所 有 名 籍 若 
T14n0451_002:0416b06	諸有情，不孝、五逆、毀辱三寶、壞君臣法、破	諸 有 情 不 孝 五 逆 毀 辱 三 寶 壞 君 臣 法 破 
T14n0451_002:0416b07	於禁戒，琰魔法王隨罪輕重，考而罰之。是	於 禁 戒 琰 魔 法 王 隨 罪 輕 重 考 而 罰 之 是 
T14n0451_002:0416b08	故，我今勸諸有情，然燈造幡，放生修福，令	故 我 今 勸 諸 有 情 然 燈 造 幡 放 生 修 福 令 
T14n0451_002:0416b09	度苦厄，不遭眾難。」爾時，眾中有十二藥叉	度 苦 厄 不 遭 眾 難 爾 時 眾 中 有 十 二 藥 叉 
T14n0451_002:0416b10	大將，俱在會坐。其名曰：	大 將 俱 在 會 坐 其 名 曰 
T14n0451_002:0416b11	　宮毘羅大將，　　跋折羅大將，	 宮 毘 羅 大 將 跋 折 羅 大 將 
T14n0451_002:0416b12	　迷企羅大將，　　頞儞羅大將，	 迷 企 羅 大 將 頞 儞 羅 大 將 
T14n0451_002:0416b13	　末儞羅大將，　　娑儞羅大將，	 末 儞 羅 大 將 娑 儞 羅 大 將 
T14n0451_002:0416b14	　因陀羅大將，　　波夷羅大將，	 因 陀 羅 大 將 波 夷 羅 大 將 
T14n0451_002:0416b15	　薄呼羅大將，　　真達羅大將，	 薄 呼 羅 大 將 真 達 羅 大 將 
T14n0451_002:0416b16	　朱杜羅大將，　　毘羯羅大將。	 朱 杜 羅 大 將 毘 羯 羅 大 將 
T14n0451_002:0416b17	此十二藥叉大將，一一各有七千藥叉以為	此 十 二 藥 叉 大 將 一 一 各 有 七 千 藥 叉 以 為 
T14n0451_002:0416b18	眷屬，同時舉聲，白佛言：「世尊！我等今者，蒙	眷 屬 同 時 舉 聲 白 佛 言 世 尊 我 等 今 者 蒙 
T14n0451_002:0416b19	佛威力，得聞七佛如來名號，於諸惡趣無	佛 威 力 得 聞 七 佛 如 來 名 號 於 諸 惡 趣 無 
T14n0451_002:0416b20	復怖畏。我等相率，皆同一心，乃至盡形，歸	復 怖 畏 我 等 相 率 皆 同 一 心 乃 至 盡 形 歸 
T14n0451_002:0416b21	佛、法、僧，誓當荷負一切有情，為作義利，饒益	佛 法 僧 誓 當 荷 負 一切有情 為 作 義 利 饒 益 
T14n0451_002:0416b22	安樂。隨於何處城邑、聚落、空閑林中，若有此	安 樂 隨 於 何 處 城 邑 聚 落 空 閑 林 中 若 有 此 
T14n0451_002:0416b23	經流布讀誦，或復受持七佛名號，恭敬供	經 流 布 讀 誦 或 復 受 持 七 佛 名 號 恭 敬 供 
T14n0451_002:0416b24	養者，我等眷屬衛護是人，令脫眾難，所	養 者 我 等 眷 屬 衛 護 是 人 令 脫 眾 難 所 
T14n0451_002:0416b25	有願求悉令滿足。或有疾厄，求度脫者，	有 願 求 悉 令 滿 足 或 有 疾 厄 求 度 脫 者 
T14n0451_002:0416b26	亦應讀誦此經，以五色縷，結我名字，得	亦 應 讀 誦 此 經 以 五 色 縷 結 我 名 字 得 
T14n0451_002:0416b27	如願已，然後解結。」爾時，世尊讚諸藥叉	如 願 已 然 後 解 結 爾 時 世 尊 讚 諸 藥 叉 
T14n0451_002:0416b28	大將言：「善哉！善哉！大藥叉將！汝等念報	大 將 言 善 哉 善 哉 大 藥 叉 將 汝 等 念 報 
T14n0451_002:0416b29	七佛如來恩德者，常應如是利益、安樂一	七 佛 如 來 恩 德 者 常 應 如 是 利 益 安 樂 一 
T14n0451_002:0416c01	切有情。」	切 有 情 
T14n0451_002:0416c02	爾時，會中有多天眾，智慧尠少，作如是念：	爾 時 會 中 有 多 天 眾 智 慧 尠 少 作如是念 
T14n0451_002:0416c03	「云何過是殑伽河沙諸佛世界現在如來，	 云 何 過 是 殑 伽 河 沙 諸 佛 世 界 現 在 如 來 
T14n0451_002:0416c04	暫聞名者，便獲無邊殊勝功德？」爾時，釋迦牟	暫 聞 名 者 便 獲 無 邊 殊 勝 功 德 爾 時 釋 迦 牟 
T14n0451_002:0416c05	尼如來，知諸天眾心之所念，即入警召一	尼 如 來 知 諸 天 眾 心 之 所 念 即 入 警 召 一 
T14n0451_002:0416c06	切如來甚深妙定。纔入定已，一切三千大	切 如 來 甚 深 妙 定 纔 入 定 已 一 切 三 千 大 
T14n0451_002:0416c07	千世界六種震動，雨天妙花及天香末。彼	千 世 界 六種震動 雨 天 妙 花 及 天 香 末 彼 
T14n0451_002:0416c08	七如來見是相已，各從其國來至索訶世	七 如 來 見 是 相 已 各 從 其 國 來 至 索 訶 世 
T14n0451_002:0416c09	界，與釋迦如來共相問訊。時，佛世尊由其	界 與 釋 迦 如 來 共 相 問 訊 時 佛 世 尊 由 其 
T14n0451_002:0416c10	先世本願力故，各各自於天寶莊嚴師子座	先 世 本 願 力 故 各 各 自 於 天 寶 莊 嚴 師 子 座 
T14n0451_002:0416c11	上隨處安坐，諸菩薩眾，天龍八部，人、非人等，	上 隨 處 安 坐 諸 菩 薩 眾 天 龍 八 部 人 非 人 等 
T14n0451_002:0416c12	國王、王子、中宮、妃主，并諸大臣、婆羅門、長者、	國 王 王 子 中 宮 妃 主 并 諸 大 臣 婆 羅 門 長 者 
T14n0451_002:0416c13	居士，前後圍遶而為說法。時，諸天眾見彼如	居 士 前 後 圍 遶 而 為 說 法 時 諸 天 眾 見 彼 如 
T14n0451_002:0416c14	來皆已雲集，生大希有，疑惑便除。時，諸大	來 皆 已 雲 集 生 大 希 有 疑 惑 便 除 時 諸 大 
T14n0451_002:0416c15	眾，歎未曾有，同聲讚言：「善哉！善哉！釋迦如	眾 歎 未 曾 有 同 聲 讚 言 善 哉 善 哉 釋 迦 如 
T14n0451_002:0416c16	來！饒益我等，為除疑念，令彼如來皆至於	來 饒 益 我 等 為 除 疑 念 令 彼 如 來 皆 至 於 
T14n0451_002:0416c17	此。」時，諸大眾各隨自力，以妙香華、及眾瓔	此 時 諸 大 眾 各 隨 自 力 以 妙 香 華 及 眾 瓔 
T14n0451_002:0416c18	珞、諸天伎樂供養如來，右遶七匝，合掌禮敬，	珞 諸 天 伎 樂 供養如來 右 遶 七 匝 合 掌 禮 敬 
T14n0451_002:0416c19	讚言：「希有！希有！諸佛如來甚深境界不可	讚 言 希 有 希 有 諸佛如來 甚 深 境 界 不 可 
T14n0451_002:0416c20	思議，由先願力，善巧方便，共現如是奇	思 議 由 先 願 力 善巧方便 共 現 如 是 奇 
T14n0451_002:0416c21	異之相。」爾時，大眾各各發願，願諸眾生皆	異 之 相 爾 時 大 眾 各 各 發 願 願 諸 眾 生 皆 
T14n0451_002:0416c22	得如是如來勝定。	得 如 是 如 來 勝 定 
T14n0451_002:0416c23	爾時，曼殊室利即從座起，合掌恭敬，遶佛	爾 時 曼 殊 室 利 即 從 座 起 合掌恭敬 遶 佛 
T14n0451_002:0416c24	七匝，禮雙足已，白言：「世尊！善哉！善哉！如	七 匝 禮 雙 足 已 白 言 世 尊 善 哉 善 哉 如 
T14n0451_002:0416c25	來定力不可思議，由本願力，方便善巧，成	來 定 力 不可思議 由 本 願 力 方便善巧 成 
T14n0451_002:0416c26	就眾生。惟願為說大力神呪，能令來世	就 眾 生 惟 願 為 說 大 力 神 呪 能 令 來 世 
T14n0451_002:0416c27	薄福眾生，病惱所纏、日月星辰所有厄難、疫	薄 福 眾 生 病 惱 所 纏 日 月 星 辰 所 有 厄 難 疫 
T14n0451_002:0416c28	病怨惡、及行險道、遭諸恐怖，為作歸依，令	病 怨 惡 及 行 險 道 遭 諸 恐 怖 為 作 歸 依 令 
T14n0451_002:0416c29	得安隱。彼諸眾生，於此神呪，若自書、教	得 安 隱 彼 諸 眾 生 於 此 神 呪 若 自 書 教 
T14n0451_002:0417a01	人書，受持讀誦，廣為他說，常蒙諸佛之所	人 書 受持讀誦 廣 為 他 說 常 蒙 諸 佛 之 所 
T14n0451_002:0417a02	護念，佛自現身，令願滿足，不墮惡趣，亦無	護 念 佛 自 現 身 令 願 滿 足 不 墮 惡 趣 亦 無 
T14n0451_002:0417a03	橫死。」時，諸如來讚曼殊室利言：「善哉！善哉！	橫 死 時 諸 如 來 讚 曼 殊 室 利 言 善 哉 善 哉 
T14n0451_002:0417a04	此是我等威神之力，令汝勸請，哀愍眾生，	此 是 我 等 威 神 之 力 令 汝 勸 請 哀 愍 眾 生 
T14n0451_002:0417a05	離諸苦難，為說神呪。汝應諦聽，善思念之，	離 諸 苦 難 為 說 神 呪 汝 應 諦 聽 善思念之 
T14n0451_002:0417a06	我當為說。曼殊室利！有大神呪名曰如來	我 當 為 說 曼 殊 室 利 有 大 神 呪 名 曰 如 來 
T14n0451_002:0417a07	定力琉璃光，若有男子、女人，書寫、讀誦，恭	定 力 琉 璃 光 若 有 男 子 女 人 書 寫 讀 誦 恭 
T14n0451_002:0417a08	敬供養，於諸含識起大悲心，所有願求皆	敬 供 養 於 諸 含 識 起大悲心 所 有 願 求 皆 
T14n0451_002:0417a09	得滿足，諸佛現身而為護念，離眾障惱，	得 滿 足 諸 佛 現 身 而 為 護 念 離 眾 障 惱 
T14n0451_002:0417a10	當生佛國。」時七如來以一音聲，即說呪	當 生 佛 國 時 七 如 來 以 一 音 聲 即 說 呪 
T14n0451_002:0417a11	曰：	曰 
T14n0451_002:0417a12	「但姪他　具謎具謎[醫酉+言]尼謎膩呬(上)　末	 但 姪 他 具 謎 具 謎 [醫酉言] 尼 謎 膩 呬 上 末 
T14n0451_002:0417a13	底末底　馺[多*頁]怛他揭多三摩地頞提瑟恥帝	底 末 底 馺 [多頁] 怛 他 揭 多 三 摩 地 頞 提 瑟 恥 帝 
T14n0451_002:0417a14	　頞帝末帝波例　波跛輸但儞　薩婆波跛那	 頞 帝 末 帝 波 例 波 跛 輸 但 儞 薩 婆 波 跛 那 
T14n0451_002:0417a15	世也　勃睇勃圖　唱答謎隖謎矩謎　佛	世 也 勃 睇 勃 圖 唱 答 謎 隖 謎 矩 謎 佛 
T14n0451_002:0417a16	鐸器怛羅　鉢里輸但儞曇謎昵曇謎　謎嚕	鐸 器 怛 羅 鉢 里 輸 但 儞 曇 謎 昵 曇 謎 謎 嚕 
T14n0451_002:0417a17	謎嚕　謎嚧尸朅囇薩婆哥羅　蜜栗覩(丁庾)	謎 嚕 謎 嚧 尸 朅 囇 薩 婆 哥 羅 蜜 栗 覩 丁 庾 
T14n0451_002:0417a18	　尼婆[口*賴]儞　勃提蘇勃睇　佛陀陀頞提	 尼 婆 [口賴] 儞 勃 提 蘇 勃 睇 佛 陀 陀 頞 提 
T14n0451_002:0417a19	瑟侘泥娜曷[口*洛]叉覩謎　薩婆提婆　三謎頞	瑟 侘 泥 娜 曷 [口洛] 叉 覩 謎 薩 婆 提 婆 三 謎 頞 
T14n0451_002:0417a20	三謎三曼捼(奴和)漢[口*闌]覩謎薩婆佛陀菩提薩	三 謎 三 曼 捼 奴 和 漢 [口闌] 覩 謎 薩 婆 佛 陀 菩 提 薩 
T14n0451_002:0417a21	埵　苫謎苫謎　鉢喇苦謎曼　覩謎　薩	埵 苫 謎 苫 謎 鉢 喇 苦 謎 曼 覩 謎 薩 
T14n0451_002:0417a22	婆伊底隖波達婆薩婆毘何大也　薩婆薩埵	婆 伊 底 隖 波 達 婆 薩 婆 毘 何 大 也 薩 婆 薩 埵 
T14n0451_002:0417a23	難者晡[口*闌]泥晡[口*闌]泥(去)晡[口*闌]也謎　薩	難 者 晡 [口闌]泥晡[口闌]泥去晡[口闌] 也 謎 薩 
T14n0451_002:0417a24	婆阿舍　薜琉璃也　鉢唎底婆細　薩婆	婆 阿 舍 薜 琉 璃 也 鉢 唎 底 婆 細 薩 婆 
T14n0451_002:0417a25	波跛　著楊羯囇莎訶」	波 跛 著 楊 羯 囇 莎 訶 
T14n0451_002:0417a26	爾時，七佛說此呪時，光明普照，大地震動，	爾 時 七 佛 說 此 呪 時 光明普照 大 地 震 動 
T14n0451_002:0417a27	種種神變，一時俱現。時，諸大眾見此事已，	種 種 神 變 一 時 俱 現 時 諸 大 眾 見 此 事 已 
T14n0451_002:0417a28	各各隨力，以天香花、塗香、末香奉上彼佛，	各 各 隨 力 以 天 香 花 塗 香 末 香 奉 上 彼 佛 
T14n0451_002:0417a29	咸唱善哉，右遶七匝。彼佛世尊同聲唱言：	咸 唱 善 哉 右 遶 七 匝 彼 佛 世 尊 同 聲 唱 言 
T14n0451_002:0417b01	「汝等一切人天大眾，應如是知：若有善男	 汝 等 一 切 人 天 大 眾 應 如 是 知 若 有 善 男 
T14n0451_002:0417b02	子、善女人，若王、王子、妃后、大臣、寮庶之類，若	子 善 女 人 若 王 王 子 妃 后 大 臣 寮 庶 之 類 若 
T14n0451_002:0417b03	於此呪，受持、讀誦、聽聞、演說，以妙香花供	於 此 呪 受 持 讀 誦 聽 聞 演 說 以 妙 香 花 供 
T14n0451_002:0417b04	養經卷，著新淨衣，在清淨處，持八戒齋，於	養 經 卷 著 新 淨 衣 在 清 淨 處 持 八 戒 齋 於 
T14n0451_002:0417b05	諸含識常生慈愍，如是供養，得無量福。若	諸 含 識 常 生 慈 愍 如 是 供 養 得 無 量 福 若 
T14n0451_002:0417b06	復有人，有所祈願，應當造此七佛形像，	復 有 人 有 所 祈 願 應 當 造 此 七 佛 形 像 
T14n0451_002:0417b07	可於靜處，以諸香華、懸繒幡蓋、上妙飲食、	可 於 靜 處 以 諸 香 華 懸 繒 幡 蓋 上 妙 飲 食 
T14n0451_002:0417b08	及諸伎樂，而為供養，并復供養菩薩諸天，	及 諸 伎 樂 而 為 供 養 并 復 供 養 菩 薩 諸 天 
T14n0451_002:0417b09	在佛像前端坐誦呪，於七日中持八戒齋，	在 佛 像 前 端 坐 誦 呪 於七日中 持 八 戒 齋 
T14n0451_002:0417b10	誦滿一千八遍，彼諸如來及諸菩薩悉皆護	誦 滿 一 千 八 遍 彼 諸 如 來 及 諸 菩 薩 悉 皆 護 
T14n0451_002:0417b11	念，執金剛菩薩并諸釋梵四天王等，亦來	念 執 金 剛 菩 薩 并 諸 釋 梵 四 天 王 等 亦 來 
T14n0451_002:0417b12	擁衛此人，所有五無間罪，一切業障悉皆	擁 衛 此 人 所 有 五無間罪 一 切 業 障 悉 皆 
T14n0451_002:0417b13	消滅，無病延年，亦無橫死及諸疾疫，他方賊	消 滅 無 病 延 年 亦 無 橫 死 及 諸 疾 疫 他 方 賊 
T14n0451_002:0417b14	盜欲來侵境，鬪諍戰陣，言訟讐隙，飢儉旱	盜 欲 來 侵 境 鬪 諍 戰 陣 言 訟 讐 隙 飢 儉 旱 
T14n0451_002:0417b15	澇，如是等怖，一切皆除，共起慈心猶如父	澇 如 是 等 怖 一 切 皆 除 共 起 慈 心 猶 如 父 
T14n0451_002:0417b16	母，有所願求，無不遂意。」	母 有 所 願 求 無 不 遂 意 
T14n0451_002:0417b17	爾時，執金剛菩薩、釋梵四天王從座而起，	爾 時 執 金 剛 菩 薩 釋 梵 四 天 王 從座而起 
T14n0451_002:0417b18	合掌恭敬，禮釋迦牟尼佛足，白言：「世尊！我	合掌恭敬 禮 釋 迦 牟 尼 佛 足 白 言 世 尊 我 
T14n0451_002:0417b19	等大眾，皆已得聞諸佛本願殊勝功德，及見	等 大 眾 皆 已 得 聞 諸 佛 本 願 殊 勝 功 德 及 見 
T14n0451_002:0417b20	諸佛慈悲至此，令我眾生親承供養。世尊！若	諸 佛 慈 悲 至 此 令 我 眾 生 親 承 供 養 世 尊 若 
T14n0451_002:0417b21	於其處，有此經典，及七佛名、陀羅尼法，流通	於 其 處 有 此 經 典 及 七 佛 名 陀 羅 尼 法 流 通 
T14n0451_002:0417b22	供養，乃至書寫，我等悉皆承佛威力，即往	供 養 乃 至 書 寫 我 等 悉 皆 承 佛 威 力 即 往 
T14n0451_002:0417b23	其處擁護於彼。國王大臣、城邑聚落、男	其 處 擁 護 於 彼 國 王 大 臣 城邑聚落 男 
T14n0451_002:0417b24	子女人，勿令眾苦及諸疾病之所惱亂，常	子 女 人 勿 令 眾 苦 及 諸 疾 病 之 所 惱 亂 常 
T14n0451_002:0417b25	得安隱，財食豐足。我等即是報諸佛恩。世	得 安 隱 財 食 豐 足 我 等 即 是 報 諸 佛 恩 世 
T14n0451_002:0417b26	尊！我等親於佛前，自立要誓：若有淨信男	尊 我 等 親 於 佛 前 自 立 要 誓 若 有 淨 信 男 
T14n0451_002:0417b27	子、女人，憶念我者，應誦此呪。」即說呪曰：	子 女 人 憶 念 我 者 應 誦 此 呪 即 說 呪 曰 
T14n0451_002:0417b28	「但姪他　惡寠莫寠　呾羅寠　麼麼	 但 姪 他 惡 寠 莫 寠 呾 羅 寠 麼 麼 
T14n0451_002:0417b29	寠具曬　訶呼(去)　醯(去)　末囉末囉末囉	寠 具 曬 訶 呼 去 醯 去 末 囉 末 囉 末 囉 
T14n0451_002:0417c01	　緊樹曬布曬　莎訶	 緊 樹 曬 布 曬 莎 訶 
T14n0451_002:0417c02	「若有淨信男子、女人、國王、王子、大臣、輔相、中	 若 有 淨 信 男 子 女 人 國 王 王 子 大 臣 輔 相 中 
T14n0451_002:0417c03	宮、婇女，誦七佛名及此神呪，讀誦書寫，恭	宮 婇 女 誦 七 佛 名 及 此 神 呪 讀 誦 書 寫 恭 
T14n0451_002:0417c04	敬供養，現世皆得無病長壽，離眾苦惱，	敬 供 養 現 世 皆 得 無 病 長 壽 離 眾 苦 惱 
T14n0451_002:0417c05	不墮三途，得不退轉，乃至菩提。彼諸佛土，	不 墮 三 途 得不退轉 乃至菩提 彼 諸 佛 土 
T14n0451_002:0417c06	隨意受生，常見諸佛，得宿命智，念定總持，	隨 意 受 生 常見諸佛 得 宿 命 智 念 定 總 持 
T14n0451_002:0417c07	無不具足。若患鬼瘧等病，當書此呪，繫	無 不 具 足 若 患 鬼 瘧 等 病 當 書 此 呪 繫 
T14n0451_002:0417c08	之肘後，病若差已，置清淨處。」爾時，執金剛	之 肘 後 病 若 差 已 置 清 淨 處 爾 時 執 金 剛 
T14n0451_002:0417c09	菩薩詣七佛所，右遶三匝，各申禮敬，白言：	菩 薩 詣 七 佛 所 右 遶 三 匝 各 申 禮 敬 白 言 
