X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_008:0252c20	又以己心成佛所履。若依非依。如登高山身入虗空	又 以 己 心 成 佛 所 履 若 依 非 依 如 登 高 山 身 入 虗 空 
X16n0308_008:0252c21	下有微礙名為頂地。	下 有 微 礙 名 為 頂 地 
X16n0308_008:0252c22	此位躡上十向義來。言十向中。法界量滅十方全	此 位 躡 上 十 向 義 來 言 十 向 中 法 界 量 滅 十 方 全 
X16n0308_008:0252c23	成自心。故此位即以自心。成佛所履。謂體觀自心。	成 自 心 故 此 位 即 以 自 心 成 佛 所 履 謂 體 觀 自 心 
X16n0308_008:0252c24	即佛境界。親依法性。為諸佛所踐履也。但以心相	即 佛 境 界 親 依 法 性 為 諸 佛 所 踐 履 也 但 以 心 相 
X16n0308_008:0253a01	未能全忘。不能實即佛境。故曰若依非依。如登下	未 能 全 忘 不 能 實 即 佛 境 故 曰 若 依 非 依 如 登 下 
X16n0308_008:0253a02	乃喻明若依非依之相。如登高山。身入虗空者。喻	乃 喻 明 若 依 非 依 之 相 如 登 高 山 身 入 虗 空 者 喻 
X16n0308_008:0253a03	體親自心即佛境界。親依法性。上云若依是也。下	體 親 自 心 即 佛 境 界 親 依 法 性 上 云 若 依 是 也 下 
X16n0308_008:0253a04	有微礙。喻心相未能全忘。不能實即佛境。親依法	有 微 礙 喻 心 相 未 能 全 忘 不 能 實 即 佛 境 親 依 法 
X16n0308_008:0253a05	性。上云非依是也。以是義故。名為頂地(唯識此位。入明增定。	性 上 云 非 依 是 也 以是義故 名 為 頂 地 唯 識 此 位 入 明 增 定 
X16n0308_008:0253a06	發上尋伺。重觀名等四法皆唯識變。今則惟以加行漸增智力。體觀自心。即佛境耳。問。三向中本覺湛然。	發 上 尋 伺 重 觀 名 等 四 法 皆 唯 識 變 今 則 惟 以 加 行 漸 增 智 力 體 觀 自 心 即 佛 境 耳 問 三 向 中 本 覺 湛 然 
X16n0308_008:0253a07	覺齊佛覺。四向中精真發明。地如佛地。義略似於煖頂二地。前後淺深。如何分別。答。三向但是體中具照。	覺 齊 佛 覺 四 向 中 精 真 發 明 地 如 佛 地 義 略 似 於 煖 頂 二 地 前 後 淺 深 如 何 分 別 答 三 向 但 是 體 中 具 照 
X16n0308_008:0253a08	四向方乃以理融事。故曰齊曰如。宛有二相。至此則言為言成。要泯異體。此前後淺深。其相不難辦也)。	四 向 方 乃 以 理 融 事 故 曰 齊 曰 如 宛 有 二 相 至 此 則 言 為 言 成 要 泯 異 體 此 前 後 淺 深 其 相 不 難 辦 也 
X16n0308_008:0253a09	三忍位。	三 忍 位 
X16n0308_008:0253a10	心佛二同善得中道。如忍事人非懷非出名為忍地。	心 佛 二 同 善 得 中 道 如 忍 事 人 非 懷 非 出 名 為 忍 地 
X16n0308_008:0253a11	煖位以佛覺為己心。而猶未能。頂位以自心為佛	煖 位 以 佛 覺 為 己 心 而 猶 未 能 頂 位 以 自 心 為 佛 
X16n0308_008:0253a12	境。而亦未能。故此位則心佛二同。善得中道。言心	境 而 亦 未 能 故 此 位 則 心 佛 二 同 善 得 中 道 言 心 
X16n0308_008:0253a13	佛二同者。謂佛覺泯同因心。因心泯同佛境。雖心	佛 二 同 者 謂 佛 覺 泯 同 因 心 因 心 泯 同 佛 境 雖 心 
X16n0308_008:0253a14	佛歷然。而因果融即也。因果融即。二俱不捨。常於	佛 歷 然 而 因 果 融 即 也 因 果 融 即 二 俱 不 捨 常 於 
X16n0308_008:0253a15	加行心中。見佛業用。亦於諸佛行處。洞徹自心。故	加 行 心 中 見 佛 業 用 亦 於 諸 佛 行 處 洞 徹 自 心 故 
X16n0308_008:0253a16	曰善得中道。雖曰善得。亦唯心中了了。吐露不出。	曰 善 得 中 道 雖 曰 善 得 亦 唯 心 中 了 了 吐 露 不 出 
X16n0308_008:0253a17	故曰如忍事人。忍事人者。善能忍事。即喻善得中	故 曰 如 忍 事 人 忍 事 人 者 善 能 忍 事 即 喻 善 得 中 
X16n0308_008:0253a18	道人也。非懷非出者。亦欲訴向於他。而不能啟齒。	道 人 也 非 懷 非 出 者 亦 欲 訴 向 於 他 而 不 能 啟 齒 
X16n0308_008:0253a19	喻善得中道者。心中了了。亦欲說向於人。但以心	喻 善 得 中 道 者 心 中 了 了 亦 欲 說 向 於 人 但 以 心 
X16n0308_008:0253a20	佛二同。實無能得所得。而吐露不出。以是義故。名	佛 二 同 實 無 能 得 所 得 而 吐 露 不 出 以是義故 名 
X16n0308_008:0253a21	為忍地(唯識此位入印順定。發下如實觀。印定四法是空。今則唯以加行決定智力。印前心佛相	為 忍 地 唯 識 此 位 入 印 順 定 發 下 如 實 觀 印 定 四 法 是 空 今 則 唯 以 加 行 決 定 智 力 印 前 心 佛 相 
X16n0308_008:0253a22	即義耳)。四世第一位。	即 義 耳 四 世第一位 
X16n0308_008:0253a23	數量銷滅。迷覺中道。二無所目。名世第一地。	數 量 銷 滅 迷 覺 中 道 二 無 所 目 名 世 第 一 地 
X16n0308_008:0253a24	前三位位位遷變名世數。中邊各別名間量。故此	前 三 位 位 位 遷 變 名 世 數 中 邊 各 別 名 間 量 故 此 
X16n0308_008:0253b01	位則數量銷滅。以加行位滿。無可遷變。邊中不立。	位 則 數 量 銷 滅 以 加 行 位 滿 無 可 遷 變 邊 中 不 立 
X16n0308_008:0253b02	間量叵得故。正以無可遷變。間量叵得。故云迷覺	間 量 叵 得 故 正 以 無 可 遷 變 間 量 叵 得 故 云 迷 覺 
X16n0308_008:0253b03	中道。二無所目。言迷覺中道者。謂煖頂二位。迷於	中 道 二 無 所 目 言 迷 覺 中 道 者 謂 煖 頂 二 位 迷 於 
X16n0308_008:0253b04	中道。以煖位以佛覺為己心。頂位以自心為佛境。	中 道 以 煖 位 以 佛 覺 為 己 心 頂 位 以 自 心 為 佛 境 
X16n0308_008:0253b05	各墮一邊故。至忍位。則覺於中道。以經中明言善	各 墮 一 邊 故 至 忍 位 則 覺 於 中 道 以 經 中 明 言 善 
X16n0308_008:0253b06	得中道故也。二無所目者。迷覺兩忘。中邊不立。迷	得 中 道 故 也 二 無 所 目 者 迷 覺 兩 忘 中 邊 不 立 迷 
X16n0308_008:0253b07	覺兩忘故。超變易之世數。中邊不立故。絕彼此之	覺 兩 忘 故 超 變 易 之 世 數 中 邊 不 立 故 絕 彼 此 之 
X16n0308_008:0253b08	間量。以是易故。名世第一地。言世第一者。謂此人	間 量 以 是 易 故 名 世 第 一 地 言 世 第 一 者 謂 此 人 
X16n0308_008:0253b09	在世間中。稱為第一。意顯入地則是出世人矣。(惟識	在 世 間 中 稱 為 第 一 意 顯 入 地 則 是 出 世 人 矣 惟 識 
X16n0308_008:0253b10	此位入無間定。發上如實觀。印二取空。今則唯以加行成就智力。於前三無所著耳。問。此上四加。既不同	此 位 入 無 間 定 發 上 如 實 觀 印 二 取 空 今 則 唯 以 加 行 成 就 智 力 於 前 三 無 所 著 耳 問 此 上 四 加 既 不 同 
X16n0308_008:0253b11	於惟識。而附引唯識者何也。答。名既同彼。若不對校。恐致混亂。故附引彼說。使權實偏圓。瓜豆分明可別)	於 惟 識 而 附 引 唯 識 者 何 也 答 名 既 同 彼 若 不 對 校 恐 致 混 亂 故 附 引 彼 說 使 權 實 偏 圓 瓜 豆 分 明 可 別 
X16n0308_008:0253b12	瓔珞等經。多不列此四位者。以此四位。在向地兩	瓔 珞 等 經 多 不 列 此 四 位 者 以 此 四 位 在 向 地 兩 
X16n0308_008:0253b13	楹之間。應是十向出心。初地入心。合前合後。無不	楹 之 間 應 是 十 向 出 心 初 地 入 心 合 前 合 後 無 不 
X16n0308_008:0253b14	可者。後之等覺倣此。通前四加行竟。	可 者 後 之 等 覺 倣 此 通 前 四 加 行 竟 
X16n0308_008:0253b15	八十地(地有三義。一者位置義。謂從初至十。位置不同。如地本是一而高下不等。二者堅實	八 十 地 地 有 三 義 一 者 位 置 義 謂 從 初 至 十 位 置 不 同 如 地 本 是 一 而 高 下 不 等 二 者 堅 實 
X16n0308_008:0253b16	義。謂地地皆以真如為體。不動不壞。如地載華嶽振河海。不重不洩。三者生長義。以地地皆能生長佛地	義 謂 地 地 皆 以 真 如 為 體 不 動 不 壞 如 地 載 華 嶽 振 河 海 不 重 不 洩 三 者 生 長 義 以 地 地 皆 能 生 長 佛 地 
X16n0308_008:0253b17	功德。如地能生長萬物。問。加行已得地名。與此何別。答。前之位置。約行位漸深。此之位置。約果位漸勝。前	功 德 如 地 能 生 長 萬 物 問 加 行 已 得 地 名 與 此 何 別 答 前 之 位 置 約 行 位 漸 深 此 之 位 置 約 果 位 漸 勝 前 
X16n0308_008:0253b18	之堅實。約行力堅固。此之堅實。約果體真常。前之生長。約行地力用。此之生長。約佛地功德。雖各具三義。	之 堅 實 約 行 力 堅 固 此 之 堅 實 約 果 體 真 常 前 之 生 長 約 行 地 力 用 此 之 生 長 約 佛 地 功 德 雖 各 具 三 義 
X16n0308_008:0253b19	而淺深勝劣不同。若通論前後諸位。更為一喻。如人欲入大海。採取眾寶。必先學習水法。及櫓棹之技。三	而 淺 深 勝 劣 不 同 若 通 論 前 後 諸 位 更 為 一 喻 如 人 欲 入 大 海 採 取 眾 寶 必 先 學 習 水 法 及 櫓 棹 之 技 三 
X16n0308_008:0253b20	漸是也。水法既精。櫓棹又熟。乾慧是也。十信如擇日起行。住行向位。如備辦資糧。四加行如從淺至深。漸	漸 是 也 水 法 既 精 櫓 棹 又 熟 乾 慧 是 也 十 信 如 擇 日 起 行 住 行 向 位 如 備 辦 資 糧 四 加 行 如 從 淺 至 深 漸 
X16n0308_008:0253b21	入大海。十地位如從劣向勝。漸歷寶所。等覺位如乍到最勝諸珍寶處。妙覺位如已得眾寶。從海而還。徧	入 大 海 十 地 位 如 從 劣 向 勝 漸 歷 寶 所 等 覺 位 如 乍 到 最 勝 諸 珍 寶 處 妙 覺 位 如 已 得 眾 寶 從 海 而 還 徧 
X16n0308_008:0253b22	濟窘乏。六十聖位。法喻歷然可對。今明十地)十。一歡喜地。二離垢地。	濟 窘 乏 六 十 聖 位 法 喻 歷 然 可 對 今 明 十 地 十 一 歡 喜 地 二 離 垢 地 
X16n0308_008:0253b23	三發光地。四燄慧地。五難勝地。六現前地。七遠行	三 發 光 地 四 燄 慧 地 五 難 勝 地 六 現 前 地 七 遠 行 
X16n0308_008:0253b24	地。八不動地。九善慧地。十法雲地。初。	地 八 不 動 地 九 善 慧 地 十 法 雲 地 初 
X16n0308_008:0253c01	阿難。是善男子。於大菩提。善得通達。覺通如來。盡佛	阿 難 是 善 男 子 於 大 菩 提 善 得 通 達 覺 通 如 來 盡 佛 
X16n0308_008:0253c02	境界。名歡喜地。	境 界 名 歡 喜 地 
X16n0308_008:0253c03	此位迷覺中道。二無所目。此位當下離念。真如現	此 位 迷 覺 中 道 二 無 所 目 此 位 當 下 離 念 真 如 現 
X16n0308_008:0253c04	前。故云於大菩提。善得通達。以真如即菩提體故。	前 故 云 於 大 菩 提 善 得 通 達 以 真 如 即 菩 提 體 故 
X16n0308_008:0253c05	言大菩提者。五菩提中(一發心菩提。位當十信。二伏心菩提。位當三賢。三明	言 大 菩 提 者 五 菩 提 中 一 發 心 菩 提 位 當 十 信 二 伏 心 菩 提 位 當 三 賢 三 明 
X16n0308_008:0253c06	心菩提。位當前七地。四出到菩提。位當後三地。五無上菩提。位當佛果)應是無上菩	心 菩 提 位 當 前 七 地 四 出 到 菩 提 位 當 後 三 地 五 無上菩提 位 當 佛 果 應 是 無 上 菩 
X16n0308_008:0253c07	提。但是通達。未即實證。論實證方入初地。乃乍得	提 但 是 通 達 未 即 實 證 論 實 證 方 入 初 地 乃 乍 得 
X16n0308_008:0253c08	明心菩提也。乍得明心菩提。即能通達無上菩提。	明 心 菩 提 也 乍 得 明 心 菩 提 即 能 通 達 無上菩提 
X16n0308_008:0253c09	如因一隙之明。便能領略萬象。故稱善得。覺通二	如 因 一 隙 之 明 便 能 領 略 萬 象 故 稱 善 得 覺 通 二 
X16n0308_008:0253c10	句乃釋成上二句義。言所謂於大菩提善得通達	句 乃 釋 成 上 二 句 義 言 所 謂 於 大 菩 提 善 得 通 達 
X16n0308_008:0253c11	者。蓋以能覺之智。遙通如來之智。所覺之理。該盡	者 蓋 以 能 覺 之 智 遙 通 如 來 之 智 所 覺 之 理 該 盡 
X16n0308_008:0253c12	諸佛境界故也。結名歡喜地者。經論異釋。難以俱	諸佛境界 故 也 結 名 歡 喜 地 者 經 論 異 釋 難 以 俱 
X16n0308_008:0253c13	錄。今依金光明云。昔所未得而今始得。如其所願	錄 今 依 金 光 明 云 昔 所 未 得 而 今 始 得 如 其 所 願 
X16n0308_008:0253c14	悉皆成就。生極喜樂。故彼經即以極喜為名。	悉 皆 成 就 生 極 喜 樂 故 彼 經 即 以 極 喜 為 名 
X16n0308_008:0253c15	二離垢地。	二 離 垢 地 
X16n0308_008:0253c16	異性入同。同性亦滅。名離垢地。	異 性 入 同 同 性 亦 滅 名 離 垢 地 
X16n0308_008:0253c17	上位通達佛境。無復九界異生之性。名為異性入	上 位 通 達 佛 境 無 復 九 界 異 生 之 性 名 為 異 性 入 
X16n0308_008:0253c18	同。此位以生佛對立。生性不有。佛境奚存。故將同	同 此 位 以 生 佛 對 立 生 性 不 有 佛 境 奚 存 故 將 同 
X16n0308_008:0253c19	性亦滅。結名離垢地者。諸經論中。多約離破戒垢。	性 亦 滅 結 名 離 垢 地 者 諸 經 論 中 多 約 離 破 戒 垢 
X16n0308_008:0253c20	今則唯以證佛境空。名為離垢。以有佛境當情。猶	今 則 唯 以 證 佛 境 空 名 為 離 垢 以 有 佛 境 當 情 猶 
X16n0308_008:0253c21	為微細念相。依然真如中垢故。三發光地。	為 微 細 念 相 依 然 真 如 中 垢 故 三 發 光 地 
X16n0308_008:0253c22	淨極明生。名發光地。	淨 極 明 生 名 發 光 地 
X16n0308_008:0253c23	淨極二字躡上。以上位同性亦滅。離佛念垢。名曰	淨 極 二 字 躡 上 以 上 位 同 性 亦 滅 離 佛 念 垢 名 曰 
X16n0308_008:0253c24	淨極。此位真如精純。靈鑑無礙。故曰明生。譬如古	淨 極 此 位 真 如 精 純 靈 鑑 無 礙 故 曰 明 生 譬 如 古 
X16n0308_008:0254a01	鏡重磨。光彩煥發。以是義故。名發光地。經文最明。	鏡 重 磨 光 彩 煥 發 以是義故 名 發 光 地 經 文 最 明 
X16n0308_008:0254a02	無煩異說。四燄慧地。	無 煩 異 說 四 燄 慧 地 
X16n0308_008:0254a03	明極覺滿。名燄慧地。	明 極 覺 滿 名 燄 慧 地 
X16n0308_008:0254a04	明極二字躡上。以自覺理智圓滿。故云明極。此位	明 極 二 字 躡 上 以 自 覺 理 智 圓 滿 故 云 明 極 此 位 
X16n0308_008:0254a05	依自覺理智。起正法燄。生方便慧。燒盡眾生煩惱。	依 自 覺 理 智 起 正 法 燄 生 方 便 慧 燒 盡 眾 生 煩 惱 
X16n0308_008:0254a06	成就化他功德。故曰覺滿。譬如明上復生餘燄。故	成 就 化 他 功 德 故 曰 覺 滿 譬 如 明 上 復 生 餘 燄 故 
X16n0308_008:0254a07	以燄慧為名。諸經多謂以菩提分法。燒煩惱薪。唯	以 燄 慧 為 名 諸 經 多 謂 以 菩提分法 燒 煩 惱 薪 唯 
X16n0308_008:0254a08	是自利。今以上位發光。似惟自覺。此名燄慧。應兼	是 自 利 今 以 上 位 發 光 似 惟 自 覺 此 名 燄 慧 應 兼 
X16n0308_008:0254a09	覺他。且經中明言覺滿。若唯自利。豈當此稱。圓人	覺 他 且 經 中 明 言 覺 滿 若 唯 自 利 豈 當 此 稱 圓 人 
X16n0308_008:0254a10	無定。各以現文釋之。不必強同。五難勝地。	無 定 各 以 現 文 釋 之 不 必 強 同 五 難 勝 地 
X16n0308_008:0254a11	一切同異。所不能至。名難勝地。	一 切 同 異 所 不 能 至 名 難 勝 地 
X16n0308_008:0254a12	三地自覺理同。四地覺他法異。故承言一切同異。	三 地 自 覺 理 同 四 地 覺 他 法 異 故 承 言 一 切 同 異 
X16n0308_008:0254a13	此位則自覺覺他二俱不立。故云所不能至。蓋以	此 位 則 自覺覺他 二 俱 不 立 故 云 所 不 能 至 蓋 以 
X16n0308_008:0254a14	有異有同。有自有他。有能覺有所覺。儼屬有為功	有 異 有 同 有 自 有 他 有 能 覺 有 所 覺 儼 屬 有 為 功 
X16n0308_008:0254a15	用。二俱不立。乃超出有為。故有為功用。所不能至。	用 二 俱 不 立 乃 超 出 有 為 故 有 為 功 用 所 不 能 至 
X16n0308_008:0254a16	至尚不能。況於勝乎。以是義故。名難勝地。唯識謂	至 尚 不 能 況 於 勝 乎 以是義故 名 難 勝 地 唯 識 謂 
X16n0308_008:0254a17	此地真俗兩智。行相相違。合令相應。極難勝故。然	此 地 真 俗 兩 智 行 相 相 違 合 令 相 應 極 難 勝 故 然 
X16n0308_008:0254a18	彼真俗。略似此經同異。正脈云。彼乃合之最勝。此	彼 真 俗 略 似 此 經 同 異 正 脈 云 彼 乃 合 之 最 勝 此 
X16n0308_008:0254a19	則逈脫難齊。旨趣各別。但相似而已。六現前地。	則 逈 脫 難 齊 旨 趣 各 別 但 相 似 而 已 六 現 前 地 
X16n0308_008:0254a20	無為真如。性淨明露。名現前地。	無 為 真 如 性 淨 明 露 名 現 前 地 
X16n0308_008:0254a21	初地即證真如。但是有為。以是有作功用分顯故	初 地 即 證 真 如 但 是 有 為 以 是 有 作 功 用 分 顯 故 
X16n0308_008:0254a22	也。至上位同異不至。超出有為功用。即契無為真	也 至 上 位 同 異 不 至 超 出 有 為 功 用 即 契 無 為 真 
X16n0308_008:0254a23	如。但是性淨。尚未明露。以有功習影尚未盡故。至	如 但 是 性 淨 尚 未 明 露 以 有 功 習 影 尚 未 盡 故 至 
X16n0308_008:0254a24	此則有功習盡。無為理著。故云性淨明露。結名現	此 則 有 功 習 盡 無 為 理 著 故 云 性 淨 明 露 結 名 現 
X16n0308_008:0254b01	前地者。即以無為真如。明明現前為名。唯識云。此	前 地 者 即 以 無 為 真 如 明 明 現 前 為 名 唯 識 云 此 
X16n0308_008:0254b02	位證得無染淨真如。謂此真如本性無染。亦不可	位 證 得 無 染 淨 真 如 謂 此 真 如 本 性 無 染 亦 不 可 
X16n0308_008:0254b03	說後方淨故。然既曰本性無染。略似此中性淨。既	說 後 方 淨 故 然 既 曰 本 性 無 染 略 似 此 中 性 淨 既 
X16n0308_008:0254b04	曰證得。略似此中明露。但性相偏圓。經論異旨。不	曰 證 得 略 似 此 中 明 露 但 性 相 偏 圓 經 論 異 旨 不 
X16n0308_008:0254b05	得全同。七遠行地。	得 全 同 七 遠 行 地 
X16n0308_008:0254b06	盡真如際名遠行地。	盡 真 如 際 名 遠 行 地 
X16n0308_008:0254b07	上位無為真如。方以明露。無分別智。未能遠行。以	上 位 無 為 真 如 方 以 明 露 無分別智 未 能 遠 行 以 
X16n0308_008:0254b08	為理所障故。至此位則盡真如際。然真如無際。以	為 理 所 障 故 至 此 位 則 盡 真 如 際 然 真 如 無 際 以 
X16n0308_008:0254b09	諸法為際。蓋以無分限之理。全徧有分限之事故。	諸 法 為 際 蓋 以 無 分 限 之 理 全 徧 有 分 限 之 事 故 
X16n0308_008:0254b10	此當理事門中理徧於事門也。理既徧於事中。智	此 當 理 事 門 中 理 徧 於 事 門 也 理 既 徧 於 事 中 智 
X16n0308_008:0254b11	亦隨徧。以理智不異。如珠與光。故能盡真如際。結	亦 隨 徧 以 理 智 不 異 如 珠 與 光 故 能 盡 真 如 際 結 
X16n0308_008:0254b12	名遠行地者。即以智能遠行為名。華嚴云。此地修	名 遠 行 地 者 即 以 智 能 遠 行 為 名 華 嚴 云 此 地 修 
X16n0308_008:0254b13	十方便慧。謂雖修空無相無願三昧而慈悲不捨	十 方 便 慧 謂 雖 修 空無相無願 三 昧 而 慈 悲 不 捨 
X16n0308_008:0254b14	眾生。雖知諸佛平等法而常樂供佛。雖入觀空智	眾 生 雖 知 諸 佛 平 等 法 而 常 樂 供 佛 雖 入 觀 空 智 
X16n0308_008:0254b15	門而勤集福德。雖遠離三界而莊嚴三界。乃至雖	門 而 勤 集 福 德 雖 遠 離 三 界 而 莊 嚴 三 界 乃 至 雖 
X16n0308_008:0254b16	知三世唯是一念而隨眾生種種劫數意解分別	知 三 世 唯 是 一 念 而 隨 眾 生 種 種 劫 數 意 解 分 別 
X16n0308_008:0254b17	度脫。據此則不捨眾生。常樂供佛。勤集福德。莊嚴	度 脫 據 此 則 不 捨 眾 生 常 樂 供 佛 勤 集 福 德 莊 嚴 
X16n0308_008:0254b18	三界。乃至隨眾度脫等。正今經盡真如際也。	三 界 乃 至 隨 眾 度 脫 等 正 今 經 盡 真 如 際 也 
X16n0308_008:0254b19	八不動地。	八 不 動 地 
X16n0308_008:0254b20	一真如心名不動地。	一 真 如 心 名 不 動 地 
X16n0308_008:0254b21	上位盡真如際。不捨一法。此位不捨一法。盡真如	上 位 盡 真 如 際 不 捨 一 法 此 位 不 捨 一 法 盡 真 如 
X16n0308_008:0254b22	際。蓋以有分限之事。全同無分限之理。此當理事	際 蓋 以 有 分 限 之 事 全 同 無 分 限 之 理 此 當 理 事 
X16n0308_008:0254b23	門中事徧於理門也。事既徧於理中。全事全理。故	門 中 事 徧 於 理 門 也 事 既 徧 於 理 中 全 事 全 理 故 
X16n0308_008:0254b24	云一真如心。據此則雖徧行一切法。不離真如際。	云 一 真 如 心 據 此 則 雖 徧 行 一 切 法 不 離 真 如 際 
X16n0308_008:0254c01	由此所以名不動地。華嚴云。入一切法。本來無生	由 此 所 以 名 不 動 地 華 嚴 云 入 一 切 法 本來無生 
X16n0308_008:0254c02	等。即此中一真如心義也。灌頂云。三漸所獲無生	等 即 此 中 一 真 如 心 義 也 灌 頂 云 三 漸 所 獲 無 生 
X16n0308_008:0254c03	法忍。至此方得親證。圓成無惑矣。九善慧地二。	法 忍 至 此 方 得 親 證 圓 成 無 惑 矣 九 善 慧 地 二 
X16n0308_008:0254c04	一正明本位。二總結修習。初。	一 正 明 本 位 二 總 結 修 習 初 
X16n0308_008:0254c05	發真如用名善慧地。	發 真 如 用 名 善 慧 地 
X16n0308_008:0254c06	此位正脈所釋。明如指掌。今全用之。正脈云。前位	此 位 正 脈 所 釋 明 如 指 掌 今 全 用 之 正 脈 云 前 位 
X16n0308_008:0254c07	是得真如全體。此位是發真如大用。稱體起用。自	是 得 真 如 全 體 此 位 是 發 真 如 大 用 稱 體 起 用 自 
X16n0308_008:0254c08	然之理。華嚴金光。多指功行。而此經似說本真自	然 之 理 華 嚴 金 光 多 指 功 行 而 此 經 似 說 本 真 自 
X16n0308_008:0254c09	體自用。前位如一塵一毛。皆清淨本然。此位則一	體 自 用 前 位 如 一 塵 一 毛 皆 清 淨 本 然 此 位 則 一 
X16n0308_008:0254c10	塵一毛。皆周徧法界。互涉互入。即徧即包等。具足	塵 一 毛 皆 周 徧 法 界 互 涉 互 入 即 徧 即 包 等 具 足 
X16n0308_008:0254c11	十玄業用。故云發真如用也。結名善慧地者。應即	十 玄 業 用 故 云 發 真 如 用 也 結 名 善 慧 地 者 應 即 
X16n0308_008:0254c12	法界無障礙智耳。(問。七行之塵界互現。五向之依正互涉。與斯何異。答。五地以前。	法 界 無障礙智 耳 問 七 行 之 塵 界 互 現 五 向 之 依 正 互 涉 與 斯 何 異 答 五 地 以 前 
X16n0308_008:0254c13	俱屬有功用行。況在行向。豈能同此。是知七行由於行增上力。五向由於願增上力。然亦乘悟併發。如觀	俱 屬 有 功 用 行 況 在 行 向 豈 能 同 此 是 知 七 行 由 於 行 增 上 力 五 向 由 於 願 增 上 力 然 亦 乘 悟 併 發 如 觀 
X16n0308_008:0254c14	音之二勝三用皆圓通已後即發也)又云。詳此十聖行相。與華嚴多	音 之 二 勝 三 用 皆 圓 通 已 後 即 發 也 又 云 詳 此 十 聖 行 相 與 華 嚴 多 
X16n0308_008:0254c15	所不同。故推聖言以求至理。非敢妄生去取。按華	所 不 同 故 推 聖 言 以 求 至 理 非 敢 妄 生 去 取 按 華 
X16n0308_008:0254c16	嚴唯識金光。皆言此地具四無礙辦。為大法師。最	嚴 唯 識 金 光 皆 言 此 地 具 四 無 礙 辦 為 大 法 師 最 
X16n0308_008:0254c17	善說法。資中曰。華嚴明此菩薩具四無礙智。作大	善 說 法 資 中 曰 華 嚴 明 此 菩 薩 具 四無礙智 作 大 
X16n0308_008:0254c18	法師。演說無量阿僧祇句義。無有窮盡。故名發真	法 師 演 說 無量阿僧祇 句 義 無 有 窮 盡 故 名 發 真 
X16n0308_008:0254c19	如用。予謂說法固亦可以說為發用。然方是大用	如 用 予 謂 說 法 固 亦 可 以 說 為 發 用 然 方 是 大 用 
X16n0308_008:0254c20	中一。故今謂是十玄業用。而說法自寓於中矣。此	中 一 故 今 謂 是 十 玄 業 用 而 說 法 自 寓 於 中 矣 此 
X16n0308_008:0254c21	上皆依正脈。亦少有更減字句。唯中間答詞不同。	上 皆 依 正 脈 亦 少 有 更 減 字 句 唯 中 間 答 詞 不 同 
X16n0308_008:0254c22	若對前二位言。則彼為理事無礙。此為事事無礙	若 對 前 二 位 言 則 彼 為 理 事 無 礙 此 為 事 事 無 礙 
X16n0308_008:0254c23	用也。二總結修習。	用 也 二 總 結 修 習 
X16n0308_008:0254c24	阿難。是諸菩薩從此已往修習畢功功德圓滿。亦目	阿 難 是 諸 菩 薩 從 此 已 往 修 習 畢 功 功 德 圓 滿 亦 目 
X16n0308_008:0255a01	此地名修習位。	此 地 名 修 習 位 
X16n0308_008:0255a02	是諸菩薩者。但是渾言。尚未指定。從此已往者。乃	是 諸 菩 薩 者 但 是 渾 言 尚 未 指 定 從 此 已 往 者 乃 
X16n0308_008:0255a03	指定二地已來諸菩薩也。以自二地。乃入修位。至	指 定 二 地 已 來 諸 菩 薩 也 以 自 二 地 乃 入 修 位 至 
X16n0308_008:0255a04	六地。即入無為。有作行畢。七地增進無為。八地一	六 地 即 入 無 為 有 作 行 畢 七 地 增 進 無 為 八 地 一 
X16n0308_008:0255a05	真如心。無作之行亦竟。故云修習畢功。訖於九地。	真 如 心 無 作 之 行 亦 竟 故 云 修 習 畢 功 訖 於 九 地 
X16n0308_008:0255a06	已獲全體大用。故云功德圓滿。意顯十地為修習	已 獲 全 體 大 用 故 云 功 德 圓 滿 意 顯 十 地 為 修 習 
X16n0308_008:0255a07	出心。諸經論中多收於修習位中。今捨出存正。故	出 心 諸 經 論 中 多 收 於 修 習 位 中 今 捨 出 存 正 故 
X16n0308_008:0255a08	亦目此地已前名修習位。然既曰亦目。非是定指	亦 目 此 地 已 前 名 修 習 位 然 既 曰 亦 目 非 是 定 指 
X16n0308_008:0255a09	此地為修習位盡。但亦可目耳。是知究竟修盡。不	此 地 為 修 習 位 盡 但 亦 可 目 耳 是 知 究 竟 修 盡 不 
X16n0308_008:0255a10	唯十地。應兼等覺。以既未到佛地。不可便說無修。	唯 十 地 應 兼 等 覺 以 既 未 到 佛 地 不 可 便 說 無 修 
X16n0308_008:0255a11	但證意多而修意少也。十法雲地。	但 證 意 多 而 修 意 少 也 十 法 雲 地 
X16n0308_008:0255a12	慈陰妙雲覆涅槃海名法雲地。	慈 陰 妙 雲 覆 涅 槃 海 名 法 雲 地 
X16n0308_008:0255a13	上言修習畢功。功德圓滿。應即取證涅槃。而所以	上 言 修 習 畢 功 功 德 圓 滿 應 即 取 證 涅 槃 而 所 以 
X16n0308_008:0255a14	不取涅槃者。蓋為利益有情。故曰慈陰妙雲覆涅	不 取 涅 槃 者 蓋 為 利 益 有 情 故 曰 慈 陰 妙 雲 覆 涅 
