X57n0975_001:0509a06	 隨緣集敘	 隨 緣 集 敘 
X57n0975_003:0530c03	解目行足。自行可以遄征。義貫詞宏。化他因之不壅。	解 目 行 足 自 行 可 以 遄 征 義 貫 詞 宏 化 他 因 之 不 壅 
X57n0975_003:0530c04	二者不可兼得。吾寧先行。而後其言。伊輪上人。參研	二 者 不 可 兼 得 吾 寧 先 行 而 後 其 言 伊 輪 上 人 參 研 
X57n0975_003:0530c05	教苑。閱歷三宗。以為滔滔者。天下皆是也。故率易祿	教 苑 閱 歷 三 宗 以 為 滔 滔 者 天 下 皆 是 也 故 率 易 祿 
X57n0975_003:0530c06	而難畜。乙卯。從予稟法華之旨。遂謂息心有地。決志	而 難 畜 乙 卯 從 予 稟 法 華 之 旨 遂 謂 息 心 有 地 決 志 
X57n0975_003:0530c07	依隨。如迦文之遍歷阿羅諸遷。而枯坐雪山頂上。無	依 隨 如 迦 文 之 遍 歷 阿 羅 諸 遷 而 枯 坐 雪 山 頂 上 無 
X57n0975_003:0530c08	盡之翱翔濟洞五宗。而降心兜率室中。數年來。慧解	盡 之 翱 翔 濟 洞 五 宗 而 降 心 兜 率 室 中 數 年 來 慧 解 
X57n0975_003:0530c09	日深。而辯說未進。稽其舉措。步步實地。而不汲汲於	日 深 而 辯 說 未 進 稽 其 舉 措 步 步 實 地 而 不 汲 汲 於 
X57n0975_003:0530c10	語言文字間。此固先行後言之用心也。但未免單輪	語 言 文 字 間 此 固 先 行 後 言 之 用 心 也 但 未 免 單 輪 
X57n0975_003:0530c11	隻翼之誚耳。雖然。覺場十弟。豈俱身子滿慈。孔門四	隻 翼 之 誚 耳 雖 然 覺 場 十 弟 豈 俱 身 子 滿 慈 孔 門 四 
X57n0975_003:0530c12	科。非必宰予子貢各取其一端之長而已。因以天溪	科 非 必 宰 予 子 貢 各 取 其 一 端 之 長 而 已 因 以 天 溪 
X57n0975_003:0530c13	和尚所傳衣拂。用付與之。韓子曰。水大者。物之大小	和 尚 所 傳 衣 拂 用 付 與 之 韓 子 曰 水 大 者 物 之 大 小 
X57n0975_003:0530c14	畢浮。然則慧深者。言之淺深皆當爾。其精進自行。使	畢 浮 然 則 慧 深 者 言 之 淺 深 皆 當 爾 其 精 進 自 行 使 
X57n0975_003:0530c15	義貫而詞聯。自然時至。理彰可發辯才而揮化矣。定	義 貫 而 詞 聯 自 然 時 至 理 彰 可 發 辯 才 而 揮 化 矣 定 
X57n0975_003:0530c16	慧雙弘。政在子遄征無已而已耳。	慧 雙 弘 政 在 子 遄 征 無 已 而 已 耳 
X57n0975_003:0530c18	隨緣集源流	隨 緣 集 源 流 
X57n0975_004:0530c21	隨緣集尺牘	隨 緣 集 尺 牘 
X57n0975_004:0530c23	嘉禾楞嚴講寺靈耀全彰著	嘉 禾 楞 嚴 講 寺 靈 耀 全 彰 著 
X57n0975_004:0530c24	與等菴法師	與 等 菴 法 師 
X57n0975_004:0531a01	前遣龍賓。數名供役。原從賈人。售得梁極。詫為真清	前 遣 龍 賓 數 名 供 役 原 從 賈 人 售 得 梁 極 詫 為 真 清 
X57n0975_004:0531a02	烟也。弟案無襲固隨。即試之色香。俱贗。因知舉世間	烟 也 弟 案 無 襲 固 隨 即 試 之 色 香 俱 贗 因 知 舉 世 間 
X57n0975_004:0531a03	無往而非贗也。一日賣得三担。誠然哉。比聞天壽大	無 往 而 非 贗 也 一 日 賣 得 三 担 誠 然 哉 比 聞 天 壽 大 
X57n0975_004:0531a04	興土木。歡喜無量。前日龍賓。正可付梓人彈線。亦一	興 土 木 歡喜無量 前 日 龍 賓 正 可 付 梓 人 彈 線 亦 一 
X57n0975_004:0531a05	助也。委檢書篋。得朱提三星。寄充圬者一菜。師必笑	助 也 委 檢 書 篋 得 朱 提 三 星 寄 充 圬 者 一 菜 師 必 笑 
X57n0975_004:0531a06	我傾家施也。笑笑。	我 傾 家 施 也 笑 笑 
X57n0975_004:0531a07	又	又 
X57n0975_004:0531a08	中秋前。一扎奉訊。託友人郵。致省來書。知為殷仲堪	中 秋 前 一 扎 奉 訊 託 友 人 郵 致 省 來 書 知 為 殷 仲 堪 
X57n0975_004:0531a09	浮沉矣。沒痛痒漢。不可託些小事業。有如是夫聞軼	浮 沉 矣 沒 痛 痒 漢 不 可 託 些 小 事 業 有 如 是 夫 聞 軼 
X57n0975_004:0531a10	凡師。回首甚好。然賴餘生為善知識。勸導淨業。今吾	凡 師 回 首 甚 好 然 賴 餘 生 為 善 知 識 勸 導 淨 業 今 吾 
X57n0975_004:0531a11	師又餘生之善知識也。入室時。當嚴加督率。母令鞭	師 又 餘 生 之 善 知 識 也 入 室 時 當 嚴 加 督 率 母 令 鞭 
X57n0975_004:0531a12	策少緩。犯人苗稼總之。渠能做得一日好人。吾與師	策 少 緩 犯 人 苗 稼 總 之 渠 能 做 得 一 日 好 人 吾 與 師 
X57n0975_004:0531a13	甚有功德。若造一日業。則使之生者。皆有罪退。不啻	甚 有 功 德 若 造 一 日 業 則 使 之 生 者 皆 有 罪 退 不 啻 
X57n0975_004:0531a14	如黃魯直活庸人之惜而已也。	如 黃 魯 直 活 庸 人 之 惜 而 已 也 
X57n0975_004:0531a15	復徹公	復 徹 公 
X57n0975_004:0531a16	尊稿出塵手筆也。而六即頌句尤超脫。鍾竟陵謂。僧	尊 稿 出 塵 手 筆 也 而 六 即 頌 句 尤 超 脫 鍾 竟 陵 謂 僧 
X57n0975_004:0531a17	詩句似生。意似脫。正非文士所能。湊泊處者是也。而	詩 句 似 生 意 似 脫 正 非 文 士 所 能 湊 泊 處 者 是 也 而 
X57n0975_004:0531a18	猥命刪潤。豈多欲漆斷紋琴。削方竹杖耶。胡亂點竄	猥 命 刪 潤 豈 多 欲 漆 斷 紋 琴 削 方 竹 杖 耶 胡 亂 點 竄 
X57n0975_004:0531a19	幾首。聊博南屏社中笑我有點。金成鐵手耳。	幾 首 聊 博 南 屏 社 中 笑 我 有 點 金 成 鐵 手 耳 
X57n0975_004:0531a20	又	又 
X57n0975_004:0531a21	承以。誵訛數端。下問正問。道於盲也。即於明窓展讀。	承 以 誵 訛 數 端 下 問 正 問 道 於 盲 也 即 於 明 窓 展 讀 
X57n0975_004:0531a22	對之經論悉皆明顯淺近。初非誵訛隱深事也。良由	對 之 經 論 悉 皆 明 顯 淺 近 初 非 誵 訛 隱 深 事 也 良 由 
X57n0975_004:0531a23	近人不讀古教。古教翻為新奇。亦可慨矣。隨問答去。	近 人 不 讀 古 教 古 教 翻 為 新 奇 亦 可 慨 矣 隨 問 答 去 
X57n0975_004:0531a24	聊以塞問。未能思七得五。庶幾思七得三。脫有未愜	聊 以 塞 問 未 能 思 七 得 五 庶 幾 思 七 得 三 脫 有 未 愜 
X57n0975_004:0531b01	尊意處。不妨書來再商。	尊 意 處 不 妨 書 來 再 商 
X57n0975_004:0531b02	與王晉侯	與 王 晉 侯 
X57n0975_004:0531b03	足下妙年天縱。志學名成。纔離竹馬。便列賢書。抑廣	足 下 妙 年 天 縱 志 學 名 成 纔 離 竹 馬 便 列 賢 書 抑 廣 
X57n0975_004:0531b04	額屠兒耶。吾知九烈君已染兄外服。李揆之頭。頭第	額 屠 兒 耶 吾 知 九 烈 君 已 染 兄 外 服 李 揆 之 頭 頭 第 
X57n0975_004:0531b05	一非獨步矣。如弟寒微仄劣。寡學無才。豈能與諸兄。	一 非 獨 步 矣 如 弟 寒 微 仄 劣 寡 學 無 才 豈 能 與 諸 兄 
X57n0975_004:0531b06	竝驅中原哉。亦雄飛雌伏。各自適耳。管城子十名。遣	竝 驅 中 原 哉 亦 雄 飛 雌 伏 各 自 適 耳 管 城 子 十 名 遣 
X57n0975_004:0531b07	供指揮。是雖眇小丈夫。然吾兄吐萬言。以徼君相之	供 指 揮 是 雖 眇 小 丈 夫 然 吾 兄 吐 萬 言 以 徼 君 相 之 
X57n0975_004:0531b08	知。渠亦有記述不忘之助。勿嫌其禿。而退之塚也。	知 渠 亦 有 記 述 不 忘 之 助 勿 嫌 其 禿 而 退 之 塚 也 
X57n0975_004:0531b09	與四弟	與 四 弟 
X57n0975_004:0531b10	汝不能力耕。勉事舌耕。苦守青氈。雖似下策。然古之	汝 不 能 力 耕 勉 事 舌 耕 苦 守 青 氈 雖 似 下 策 然 古 之 
X57n0975_004:0531b11	甯越。今皆可為禮。不云乎。教學之相長也。則不可耑。	甯 越 今 皆 可 為 禮 不 云 乎 教 學 之 相 長 也 則 不 可 耑 
X57n0975_004:0531b12	靠課幾句。子曰。過生世當。潛心墳典。志希上進。則我	靠 課 幾 句 子 曰 過 生 世 當 潛 心 墳 典 志 希 上 進 則 我 
X57n0975_004:0531b13	雖失之東隅。汝可收之桑榆。渾以上人企予望之。佯	雖 失 之 東 隅 汝 可 收 之 桑 榆 渾 以 上 人 企 予 望 之 佯 
X57n0975_004:0531b14	瘖假盲。不汝勞也。	瘖 假 盲 不 汝 勞 也 
X57n0975_004:0531b15	與學人	與 學 人 
X57n0975_004:0531b16	比聞。爾輩率以絜較後先。為參學事。此錮疾也。大抵	比 聞 爾 輩 率 以 絜 較 後 先 為 參 學 事 此 錮 疾 也 大 抵 
X57n0975_004:0531b17	學人。要以學力虗實為忻戚。不當以位次前後為榮	學 人 要 以 學 力 虗 實 為 忻 戚 不 當 以 位 次 前 後 為 榮 
X57n0975_004:0531b18	辱。憶先師門下。象龍蹴踏。余相從一十八年。求一悅	辱 憶 先 師 門 下 象 龍 蹴 踏 余 相 從 一 十 八 年 求 一 悅 
X57n0975_004:0531b19	眾都講不可得。今雖無似。然於教觀門頭。實亦當仁	眾 都 講 不 可 得 今 雖 無 似 然 於 教 觀 門 頭 實 亦 當 仁 
X57n0975_004:0531b20	不讓。而彼時頭首龍象。亦有瞢瞢無聞者。崔烈身居	不 讓 而 彼 時 頭 首 龍 象 亦 有 瞢 瞢 無 聞 者 崔 烈 身 居 
X57n0975_004:0531b21	相位。人皆嫌其銅臭。辱莫大焉。庾君每處下位。諸生	相 位 人 皆 嫌 其 銅 臭 辱 莫 大 焉 庾 君 每 處 下 位 諸 生 
X57n0975_004:0531b22	執經。就問者麇集。由是以下位為貴榮。可知矣。職位	執 經 就 問 者 麇 集 由 是 以 下 位 為 貴 榮 可 知 矣 職 位 
X57n0975_004:0531b23	先後。何足憑哉。倘有此疾。急先治之。然後參學。	先 後 何 足 憑 哉 倘 有 此 疾 急 先 治 之 然 後 參 學 
X57n0975_004:0531b24	復學人	復 學 人 
X57n0975_004:0531c01	省問。玄籤序中。三事俱屬法門。不決之疑。略為示明。	省 問 玄 籤 序 中 三 事 俱 屬 法 門 不 決 之 疑 略 為 示 明 
X57n0975_004:0531c02	其一問。天王越在陝郛之明年甲辰歲者。或指祿山	其 一 問 天 王 越 在 陝 郛 之 明 年 甲 辰 歲 者 或 指 祿 山 
X57n0975_004:0531c03	稱亂玄宗播遷事。則非也。此是唐代宗。廣德元年。吐	稱 亂 玄 宗 播 遷 事 則 非 也 此 是 唐 代 宗 廣 德 元 年 吐 
X57n0975_004:0531c04	蕃寇亂。上避入陝。郭子儀為元帥。平亂復辟。乃癸卯	蕃 寇 亂 上 避 入 陝 郭 子 儀 為 元 帥 平 亂 復 辟 乃 癸 卯 
X57n0975_004:0531c05	歲也。次年甲辰。普門師作序。故云越在陝郛之明年	歲 也 次 年 甲 辰 普 門 師 作 序 故 云 越 在 陝 郛 之 明 年 
X57n0975_004:0531c06	甲辰歲也。即輔行序末。永泰首元。亦代宗年號。代宗	甲 辰 歲 也 即 輔 行 序 末 永 泰 首 元 亦 代 宗 年 號 代 宗 
X57n0975_004:0531c07	立四年。改元永泰。故云永泰首元。又云興唐八葉之	立 四 年 改 元 永 泰 故 云 永 泰 首 元 又 云 興 唐 八 葉 之 
X57n0975_004:0531c08	四載也。其二問。十子既往者。或指關中十子。或指十	四 載 也 其 二 問 十 子 既 往 者 或 指 關 中 十 子 或 指 十 
X57n0975_004:0531c09	大弟子。或指菩薩子。所謂一國三公。吾誰適從耶。獨	大 弟 子 或 指 菩 薩 子 所 謂 一 國 三 公 吾 誰 適 從 耶 獨 
X57n0975_004:0531c10	天溪老人指定章安大師名灌頂。乃第十灌頂王子	天 溪 老 人 指 定 章 安 大 師 名 灌 頂 乃 第 十 灌 頂 王 子 
X57n0975_004:0531c11	位。故曰十子。則於序文。起伏脉絡。貫通千古特識也。	位 故 曰 十 子 則 於 序 文 起 伏 脉 絡 貫 通 千 古 特 識 也 
X57n0975_004:0531c12	不必更有疑議。其三問。普門子三字者。或言普是其	不 必 更 有 疑 議 其 三 問 普 門 子 三 字 者 或 言 普 是 其 
X57n0975_004:0531c13	名。據序中。普早歲在塵句也。門子二字。即門人之謂。	名 據 序 中 普 早 歲 在 塵 句 也 門 子 二 字 即 門 人 之 謂 
X57n0975_004:0531c14	儒禮以嫡子當門者。為門子。據束晳補亡詩內粲粲	儒 禮 以 嫡 子 當 門 者 為 門 子 據 束 晳 補 亡 詩 內 粲 粲 
X57n0975_004:0531c15	門子句也。或云門是其名。據統記中列門師二字也。	門 子 句 也 或 云 門 是 其 名 據 統 記 中 列 門 師 二 字 也 
X57n0975_004:0531c16	然皆摸象。射覆法耳。須知普門二字皆是其名。子字	然 皆 摸 象 射 覆 法 耳 須 知 普 門 二 字 皆 是 其 名 子 字 
X57n0975_004:0531c17	即弟子之謂。字曰元浩。義興人。初業儒。與梁肅友。後	即 弟 子 之 謂 字 曰 元 浩 義 興 人 初 業 儒 與 梁 肅 友 後 
X57n0975_004:0531c18	為荊溪入室弟子。文苑英華第七百二十六卷內。梁	為 荊 溪 入 室 弟 子 文 苑 英 華 第 七 百 二 十 六 卷 內 梁 
X57n0975_004:0531c19	肅送沙門鑒虗歸越序云。東南高僧有普門元浩。予	肅 送 沙 門 鑒 虗 歸 越 序 云 東 南 高 僧 有 普 門 元 浩 予 
X57n0975_004:0531c20	甚深之友也。相遇之際。幸說鄙夫。擾擾俗狀。且當澡	甚 深 之 友 也 相 遇 之 際 幸 說 鄙 夫 擾 擾 俗 狀 且 當 澡 
X57n0975_004:0531c21	灌心垢。再期於無何之鄉。明文宛在。非胸臆談也。他	灌 心 垢 再 期 於 無 何 之 鄉 明 文 宛 在 非 胸 臆 談 也 他 
X57n0975_004:0531c22	日統紀中亦當註清。以除後疑。因屬法門關係。不惜	日 統 紀 中 亦 當 註 清 以 除 後 疑 因 屬 法 門 關 係 不 惜 
X57n0975_004:0531c23	委示。古人問一得三。子亦問三得四矣。	委 示 古 人 問 一 得 三 子 亦 問 三 得 四 矣 
X57n0975_004:0531c24	又	又 
X57n0975_004:0532a01	閱汝輩來問若于條。強半淺易典故。或法門名相。異	閱 汝 輩 來 問 若 于 條 強 半 淺 易 典 故 或 法 門 名 相 異 
X57n0975_004:0532a02	日留心教部。染指書史。當自瞭然。不必瑣答。姑擇稍	日 留 心 教 部 染 指 書 史 當 自 瞭 然 不 必 瑣 答 姑 擇 稍 
X57n0975_004:0532a03	隱深可疑。互出不同者。數條書去。其一問。乃今台賢	隱 深 可 疑 互 出 不 同 者 數 條 書 去 其 一 問 乃 今 台 賢 
X57n0975_004:0532a04	濟洞。各有法派。故一稽名。而祖孫父子尊卑不濫。何	濟 洞 各 有 法 派 故 一 稽 名 而 祖 孫 父 子 尊 卑 不 濫 何 
X57n0975_004:0532a05	六朝唐床之際。字派混濫。如天台大師名智顗。而弟	六 朝 唐 床 之 際 字 派 混 濫 如 天 台 大 師 名 智 顗 而 弟 
X57n0975_004:0532a06	子亦名智越智朗等耶。答古人重在德業道行。不屑	子 亦 名 智 越 智 朗 等 耶 答 古 人 重 在 德 業 道 行 不 屑 
X57n0975_004:0532a07	屑於名字行派之間。較絜等級。故四明慈雲同出寶	屑 於 名 字 行 派 之 間 較 絜 等 級 故 四 明 慈 雲 同 出 寶 
X57n0975_004:0532a08	雲門下。而一名智禮。一名遵式之不同也。推其行派。	雲 門 下 而 一 名 智 禮 一 名 遵 式 之 不 同 也 推 其 行 派 
X57n0975_004:0532a09	昉於明太祖分封二十五王。於洪武十八年。天書廟	昉 於 明 太 祖 分 封 二 十 五 王 於 洪 武 十 八 年 天 書 廟 
X57n0975_004:0532a10	授之時。各籓俱賜二十字系派。如燕籓則曰高瞻祁	授 之 時 各 籓 俱 賜 二 十 字 系 派 如 燕 籓 則 曰 高 瞻 祁 
X57n0975_004:0532a11	見。佑厚載翊。常由慈和怡。伯仲簡靜。廸先献正。玉牒	見 佑 厚 載 翊 常 由 慈 和 怡 伯 仲 簡 靜 廸 先 献 正 玉 牒 
X57n0975_004:0532a12	分光。天潢衍派也。夫禮樂征伐。自天子出。自君作古。	分 光 天 潢 衍 派 也 夫 禮 樂 征 伐 自 天 子 出 自 君 作 古 
X57n0975_004:0532a13	法門亦皆仿之。以立字派。則台賢濟洞法派。皆始於	法 門 亦 皆 仿 之 以 立 字 派 則 台 賢 濟 洞 法 派 皆 始 於 
X57n0975_004:0532a14	明初。不可貴之於上古也。其二問。日觀二字。此問不	明 初 不 可 貴 之 於 上 古 也 其 二 問 日 觀 二 字 此 問 不 
X57n0975_004:0532a15	清。為復問。人乎。地乎。法門乎日觀有三出不同。今俱	清 為 復 問 人 乎 地 乎 法 門 乎 日 觀 有 三 出 不 同 今 俱 
X57n0975_004:0532a16	為書出一。是地名。太山東南之地。名日觀。昔秦始王	為 書 出 一 是 地 名 太 山 東 南 之 地 名 日 觀 昔 秦 始 王 
X57n0975_004:0532a17	封禪至此。刻石銘之。後漢武帝亦至其地。探得玉策。	封 禪 至 此 刻 石 銘 之 後 漢 武 帝 亦 至 其 地 探 得 玉 策 
X57n0975_004:0532a18	出文苑英華八百七十八卷。崔融少室山少姨廟記。	出 文 苑 英 華 八 百 七 十 八 卷 崔 融 少 室 山 少 姨 廟 記 
X57n0975_004:0532a19	二是人名。南宋既沒。有溫日觀者。隱於西湖之瑪瑙	二 是 人 名 南 宋 既 沒 有 溫 日 觀 者 隱 於 西 湖 之 瑪 瑙 
X57n0975_004:0532a20	寺側。善畫葡萄博酒。夜常大哭。元丞相脫脫欲一見	寺 側 善 畫 葡 萄 博 酒 夜 常 大 哭 元 丞 相 脫 脫 欲 一 見 
X57n0975_004:0532a21	之。不可得出遺史。三是法門。佛令韋提希夫人。修十	之 不 可 得 出 遺 史 三 是 法 門 佛 令 韋 提 希 夫 人 修 十 
X57n0975_004:0532a22	六妙觀。往生西方。第一日觀。第二水地。乃至十六上	六 妙 觀 往 生 西 方 第 一 日 觀 第 二 水 地 乃 至 十 六 上 
X57n0975_004:0532a23	品上生觀。佛言。欲生西方。先觀落日。狀如懸皷。心想	品 上 生 觀 佛 言 欲 生 西 方 先 觀 落 日 狀 如 懸 皷 心 想 
X57n0975_004:0532a24	不亂。開目閉目。常見紅日。名為日觀。出方等時。佛說	不 亂 開 目 閉 目 常 見 紅 日 名 為 日 觀 出 方 等 時 佛 說 
X57n0975_004:0532b01	觀無量壽佛經此可謂問一得三虗往實歸也。其三	觀 無 量 壽 佛 經 此 可 謂 問 一 得 三 虗 往 實 歸 也 其 三 
X57n0975_004:0532b02	問。予詩中。四月桃花嫩三春桂子紅者。四月桃花。白	問 予 詩 中 四 月 桃 花 嫩 三 春 桂 子 紅 者 四 月 桃 花 白 
X57n0975_004:0532b03	樂天遊廬山大林寺詩云。人間四月芳菲盡。山寺桃	樂 天 遊 廬 山 大 林 寺 詩 云 人 間 四 月 芳 菲 盡 山 寺 桃 
X57n0975_004:0532b04	花始盛開。每恨春歸無覓處。不知轉入此中來。是也。	花 始 盛 開 每 恨 春 歸 無 覓 處 不 知 轉 入 此 中 來 是 也 
X57n0975_004:0532b05	出白樂天長慶全集。及文苑英華第七百一十一卷。	出 白 樂 天 長 慶 全 集 及 文 苑 英 華 第 七 百 一 十 一 卷 
X57n0975_004:0532b06	三春桂子者。桂有三種。有菌桂牡桂。出賓宜韶欽等	三 春 桂 子 者 桂 有 三 種 有 菌 桂 牡 桂 出 賓 宜 韶 欽 等 
X57n0975_004:0532b07	州。三四月開花。今南方八月開花者。但名桂而已。出	州 三 四 月 開 花 今 南 方 八 月 開 花 者 但 名 桂 而 已 出 
X57n0975_004:0532b08	胡赤坡癸籤。其四問。三多二字。此有兩出。若緣覺人	胡 赤 坡 癸 籤 其 四 問 三 多 二 字 此 有 兩 出 若 緣 覺 人 
X57n0975_004:0532b09	能侵習氣者。由百千萬世觀因緣。及見佛聞法。作福	能 侵 習 氣 者 由 百 千 萬 世 觀 因 緣 及 見佛聞法 作 福 
X57n0975_004:0532b10	多故。云深觀緣起。久種三多。福慧既隆。預侵二習。是	多 故 云 深 觀 緣 起 久 種 三 多 福 慧 既 隆 預 侵 二 習 是 
X57n0975_004:0532b11	也。此三多屬小乘。出四教儀集註第六卷末。若華嚴	也 此 三 多 屬 小 乘 出 四 教 儀 集 註 第 六 卷 末 若 華 嚴 
X57n0975_004:0532b12	云。無邊福聚。極善清淨。(句)虗空法界。靡不觀察。(句)十	云 無 邊 福 聚 極 善 清 淨 句 虗 空 法 界 靡 不 觀 察 句 十 
X57n0975_004:0532b13	方世界。一切國土。所有佛興。咸勤供養。(句)清涼疏云。	方 世 界 一 切 國 土 所 有 佛 興 咸 勤 供 養 句 清 涼 疏 云 
X57n0975_004:0532b14	一淨福清淨。二智觀法界。三近勝緣。是為三多。出華	一 淨 福 清 淨 二 智 觀 法 界 三 近 勝 緣 是 為 三 多 出 華 
X57n0975_004:0532b15	嚴經世主妙嚴品卷五之一。讚如來師子座中。光流	嚴 經 世 主 妙 嚴 品 卷 五 之 一 讚 如 來 師 子 座 中 光 流 
X57n0975_004:0532b16	菩薩之德也。此屬大乘三多。如詳解中所云。三多之	菩 薩 之 德 也 此 屬 大 乘 三 多 如 詳 解 中 所 云 三 多 之 
X57n0975_004:0532b17	妙行遽階者是也。其五問。囝字音義者。此是閩中。鄉	妙 行 遽 階 者 是 也 其 五 問 囝 字 音 義 者 此 是 閩 中 鄉 
X57n0975_004:0532b18	語。音蹇。蹇即子也。閩中子呼父為郎罷。(音擺)父呼子為	語 音 蹇 蹇 即 子 也 閩 中 子 呼 父 為 郎 罷 音 擺 父 呼 子 為 
X57n0975_004:0532b19	囝。出胡孝轅癸籤。彼有郎罷別囝囝別郎罷詩。而月	囝 出 胡 孝 轅 癸 籤 彼 有 郎 罷 別 囝 囝 別 郎 罷 詩 而 月 
X57n0975_004:0532b20	泉詩社中。有郎罷歸來呼囝。食阿婆睡。起問姑蠶。即	泉 詩 社 中 有 郎 罷 歸 來 呼 囝 食 阿 婆 睡 起 問 姑 蠶 即 
X57n0975_004:0532b21	此也。其六問。客秋素先來書。內有百病作楚。竟為精	此 也 其 六 問 客 秋 素 先 來 書 內 有 百 病 作 楚 竟 為 精 
X57n0975_004:0532b22	衛矣。句不知精衛是何物者。盤古以後。軒轅時。王生	衛 矣 句 不 知 精 衛 是 何 物 者 盤 古 以 後 軒 轅 時 王 生 
X57n0975_004:0532b23	一女。甚美麗。名精衛公主。及長雅好神仙之道。遂訣	一 女 甚 美 麗 名 精 衛 公 主 及 長 雅 好 神 仙 之 道 遂 訣 
X57n0975_004:0532b24	父母。至海求仙。至中途。遇一男子。亦甚美麗。遂起欲	父 母 至 海 求 仙 至 中 途 遇 一 男 子 亦 甚 美 麗 遂 起 欲 
X57n0975_004:0532c01	念。我至海求得仙道。回來當與此人為夫婦。海仙知	念 我 至 海 求 得 仙 道 回 來 當 與 此 人 為 夫 婦 海 仙 知 
X57n0975_004:0532c02	之。即作諸魔眾病。以懲其心。精衛不堪。即退求道之	之 即 作 諸 魔 眾 病 以 懲 其 心 精 衛 不 堪 即 退 求 道 之 
X57n0975_004:0532c03	心。而返出開闢異跡。今素先書謂。不甚眾病。竟如精	心 而 返 出 開 闢 異 跡 今 素 先 書 謂 不 甚 眾 病 竟 如 精 
X57n0975_004:0532c04	衛公主。退參學求道之心也。其七問。三花者。漢世有	衛 公 主 退 參 學 求 道 之 心 也 其 七 問 三 花 者 漢 世 有 
X57n0975_004:0532c05	道士。自外國來。將貝多子。於嵩山東太室四麓下。之	道 士 自 外 國 來 將 貝 多 子 於 嵩 山 東 太 室 四 麓 下 之 
X57n0975_004:0532c06	有四樹。一年三花。白色香美。李詩云。二室凌青天。三	有 四 樹 一 年 三 花 白 色 香 美 李 詩 云 二 室 凌 青 天 三 
X57n0975_004:0532c07	花含紫烟者。是也。其他所云。三種花三色花者。皆無	花 含 紫 烟 者 是 也 其 他 所 云 三 種 花 三 色 花 者 皆 無 
X57n0975_004:0532c08	稽之談老莊所謂子姑妄言之。吾姑妄聽之者也。況	稽 之 談 老 莊 所 謂 子 姑 妄 言 之 吾 姑 妄 聽 之 者 也 況 
X57n0975_004:0532c09	此出屠赤水。瑜伽召請道士類中。三花九煉天曹。未	此 出 屠 赤 水 瑜 伽 召 請 道 士 類 中 三 花 九 煉 天 曹 未 
X57n0975_004:0532c10	許標名之句。則赤水博學之人。言必據古。自當用外	許 標 名 之 句 則 赤 水 博 學 之 人 言 必 據 古 自 當 用 外 
X57n0975_004:0532c11	國道士典故。方為親切。然李詩云。二室凌青天者。嵩	國 道 士 典 故 方 為 親 切 然 李 詩 云 二 室 凌 青 天 者 嵩 
X57n0975_004:0532c12	山東名太室。西名少室。相去十七里耳。總在嵩山。故	山 東 名 太 室 西 名 少 室 相 去 十 七 里 耳 總 在 嵩 山 故 
X57n0975_004:0532c13	李詩以二室三花為嵩山。寫照對也。其八問。天生來	李 詩 以 二 室 三 花 為 嵩 山 寫 照 對 也 其 八 問 天 生 來 
X57n0975_004:0532c14	書中有瓶碎可喜句。不知何意者。夫世人能碎千金	書 中 有 瓶 碎 可 喜 句 不 知 何 意 者 夫 世 人 能 碎 千 金 
X57n0975_004:0532c15	之璧。而不能不失聲於墮甑。故墮甑不顧者。即為世	之 璧 而 不 能 不 失 聲 於 墮 甑 故 墮 甑 不 顧 者 即 為 世 
X57n0975_004:0532c16	間曠遠之夫也。不顧已奇矣。而復云瓶碎而善者。當	間 曠 遠 之 夫 也 不 顧 已 奇 矣 而 復 云 瓶 碎 而 善 者 當 
X57n0975_004:0532c17	知屬譬喻也。昔有二女。各持一瓶出城。二皆打碎。而	知 屬 譬 喻 也 昔 有 二 女 各 持 一 瓶 出 城 二 皆 打 碎 而 
X57n0975_004:0532c18	一喜一憂。憂者酪瓶以未[穀禾+牛]酪出。故碎則憂。此喻破	一 喜 一 憂 憂 者 酪 瓶 以 未 [穀禾牛] 酪 出 故 碎 則 憂 此 喻 破 
X57n0975_004:0532c19	戒未得道命終則失道故憂。喜者漿瓶已[穀禾+牛]出酪。喻	戒 未 得 道 命 終 則 失 道 故 憂 喜 者 漿 瓶 已 [穀禾牛] 出 酪 喻 
X57n0975_004:0532c20	已持戒。命在固善。命終亦閒。如死法思法兩種羅漢。	已 持 戒 命 在 固 善 命 終 亦 閒 如 死 法 思 法 兩 種 羅 漢 
X57n0975_004:0532c21	以死為喜。葢命終即得無餘涅槃。必無退轉。故云瓶	以 死 為 喜 葢 命 終 即 得 無餘涅槃 必 無 退 轉 故 云 瓶 
X57n0975_004:0532c22	碎而喜也。出大經會疏十六卷梵行品。其九問。三平	碎 而 喜 也 出 大 經 會 疏 十 六 卷 梵 行 品 其 九 問 三 平 
X57n0975_004:0532c23	兩滿文義者。此是尋常方言。從來官倉收米。皆用斛	兩 滿 文 義 者 此 是 尋 常 方 言 從 來 官 倉 收 米 皆 用 斛 
X57n0975_004:0532c24	一斛。秪容五斗。而旗軍求多之法。斛斛必皆踢實過	一 斛 秪 容 五 斗 而 旗 軍 求 多 之 法 斛 斛 必 皆 踢 實 過 
