X13n0284_001:0196a06	 重刻	 重 刻 
X13n0284_002:0213c04	非空為法界如前說若從而如來藏妙明心元是	非 空 為 法 界 如 前 說 若 從 而 如 來 藏 妙 明 心 元 是 
X13n0284_002:0213c05	即非即處悟入者名為不可思議亦有亦空門此	即 非 即 處 悟 入 者 名 為 不可思議 亦 有 亦 空 門 此 
X13n0284_002:0213c06	亦有亦空門亦即是餘三門乃至亦有亦空為法	亦 有 亦 空 門 亦 即 是 餘 三 門 乃 至 亦 有 亦 空 為 法 
X13n0284_002:0213c07	界如前說復次初聞常住真心性淨明體又聞有	界 如 前 說 復 次 初 聞 常 住 真 心 性 淨 明 體 又 聞 有 
X13n0284_002:0213c08	三摩提名大佛頂首楞嚴王爾時徵心所在覓心	三 摩 提 名 大 佛 頂 首 楞 嚴 王 爾 時 徵 心 所 在 覓 心 
X13n0284_002:0213c09	了不可得即入空門一切世界因果因心成體即	了 不 可 得 即 入 空 門 一切世界 因 果 因 心 成 體 即 
X13n0284_002:0213c10	入有門無是見者無非見者即入非有非空門見	入 有 門 無 是 見 者 無 非 見 者 即 入 非 有 非 空 門 見 
X13n0284_002:0213c11	與見緣并所想相如虗空華本無所有此見及緣	與 見 緣 并 所 想 相 如 虗 空 華 本 無 所 有 此 見 及 緣 
X13n0284_002:0213c12	元是菩提妙淨明體即入亦空亦有門一一門相	元 是 菩 提 妙 淨 明 體 即 入 亦 空 亦 有 門 一 一 門 相 
X13n0284_002:0213c13	互融互攝例如前說略示門相竟。二以門攝	互 融 互 攝 例 如 前 說 略 示 門 相 竟 二 以 門 攝 
X13n0284_002:0213c14	二十五聖者若論所觀二十五境若通若別每境	二 十 五 聖 者 若 論 所 觀 二 十 五 境 若 通 若 別 每 境 
X13n0284_002:0213c15	各具一十六門且如約一內色則有析空觀四門	各 具 一 十 六 門 且 如 約 一 內 色 則 有 析 空 觀 四 門 
X13n0284_002:0213c16	體空觀四門次第三觀四門一心三觀四門約外	體 空 觀 四 門 次 第 三 觀 四 門 一 心 三 觀 四 門 約 外 
X13n0284_002:0213c17	色亦如是約內外色亦如是乃至識大通別亦如	色 亦 如 是 約 內 外 色 亦 如 是 乃 至 識 大 通 別 亦 如 
X13n0284_002:0213c18	是何可具論今就二十五聖已成法門攝歸一十	是 何 可 具 論 今 就 二 十 五 聖 已 成 法 門 攝 歸 一 十 
X13n0284_002:0213c19	六門令修行者知此一十六門攝法無遺亦知各	六 門 令 修 行 者 知 此 一 十 六 門 攝 法 無 遺 亦 知 各 
X13n0284_002:0213c20	各厝足進修之地言十六門攝諸聖者若論所通	各 厝 足 進 修 之 地 言 十 六 門 攝 諸 聖 者 若 論 所 通 
X13n0284_002:0213c21	無非如來藏性妙體若能通門雜用四教不專一	無 非 如 來 藏 性 妙 體 若 能 通 門 雜 用 四 教 不 專 一 
X13n0284_002:0213c22	途憍陳那於佛音聲悟明四諦迹同藏教有門而	途 憍 陳 那 於 佛 音 聲 悟 明 四 諦 迹 同 藏 教 有 門 而 
X13n0284_002:0213c23	妙音密圓則密悟如來藏中性音真空性空真音	妙 音 密 圓 則 密 悟 如 來 藏 中 性 音 真 空 性 空 真 音 
X13n0284_002:0213c24	清淨本然周徧法界隨眾生心應所知量或作生	清 淨 本 然 周 徧 法 界 隨 眾 生 心 應 所 知 量 或 作 生 
X13n0284_002:0214a01	滅四諦解或作無生四諦解或作無量四諦解或	滅 四 諦 解 或 作 無 生 四 諦 解 或 作 無 量 四 諦 解 或 
X13n0284_002:0214a02	作無作四諦解一一皆是循業發現也餘所悟理	作 無 作 四 諦 解 一 一 皆 是 循 業 發 現 也 餘 所 悟 理 
X13n0284_002:0214a03	類此可知尼沙陀厭離不淨迹是藏教有門香嚴	類 此 可 知 尼 沙 陀 厭 離 不 淨 迹 是 藏 教 有 門 香 嚴 
X13n0284_002:0214a04	諦觀諸有為相因推香氣四性無生迹是通教空	諦 觀 諸 有 為 相 因 推 香 氣 四 性 無 生 迹 是 通 教 空 
X13n0284_002:0214a05	門藥王分別藥味初似藏教有門後是圓教非空	門 藥 王 分 別 藥 味 初 似 藏 教 有 門 後 是 圓 教 非 空 
X13n0284_002:0214a06	非有門跋陀忽悟水因初是別教空門迦葉唯以	非 有 門 跋 陀 忽 悟 水 因 初 是 別 教 空 門 迦 葉 唯 以 
X13n0284_002:0214a07	空寂修於滅盡迹是藏教空門那律樂見炤明金	空 寂 修 於 滅 盡 迹 是 藏 教 空 門 那 律 樂 見 炤 明 金 
X13n0284_002:0214a08	剛三昧迹是通教有門周利調出入息迹是藏教	剛 三 昧 迹 是 通 教 有 門 周 利 調 出 入 息 迹 是 藏 教 
X13n0284_002:0214a09	有門憍梵一味清淨心地法門迹是通教亦有亦	有 門 憍 梵 一 味 清 淨 心 地 法 門 迹 是 通 教 亦 有 亦 
X13n0284_002:0214a10	空門畢陵無痛痛覺迹是通教非有非空門須菩	空 門 畢 陵 無 痛 痛 覺 迹 是 通 教 非 有 非 空 門 須 菩 
X13n0284_002:0214a11	提曠劫知空迹是通教空門舍利弗心見清淨迹	提 曠 劫 知 空 迹 是 通 教 空 門 舍 利 弗 心 見 清 淨 迹 
X13n0284_002:0214a12	是通教有門普賢心聞發明是圓教有門孫陀觀	是 通 教 有 門 普 賢 心 聞 發 明 是 圓 教 有 門 孫 陀 觀 
X13n0284_002:0214a13	鼻端白迹是通教有門滿慈法音降魔徧用四教	鼻 端 白 迹 是 通 教 有 門 滿 慈 法 音 降 魔 徧 用 四 教 
X13n0284_002:0214a14	四門波離持戒修身迹是藏教有門目連心光發	四 門 波 離 持 戒 修 身 迹 是 藏 教 有 門 目 連 心 光 發 
X13n0284_002:0214a15	宣迹是通教有門烏芻瑟摩觀火初是通教有門	宣 迹 是 通 教 有 門 烏 芻 瑟 摩 觀 火 初 是 通 教 有 門 
X13n0284_002:0214a16	持地初勤苦行是藏教事度亦屬有門月光修習	持 地 初 勤 苦 行 是 藏 教 事 度 亦 屬 有 門 月 光 修 習 
X13n0284_002:0214a17	水觀是圓教有門瑠璃觀羣動性是圓教亦有亦	水 觀 是 圓 教 有 門 瑠 璃 觀 羣 動 性 是 圓 教 亦 有 亦 
X13n0284_002:0214a18	空門虗空藏觀察虗空無邊是圓教空門彌勒初	空 門 虗 空 藏 觀 察 虗 空 無 邊 是 圓 教 空 門 彌 勒 初 
X13n0284_002:0214a19	修唯心識定是別教非有非空門大勢至都攝六	修 唯 心 識 定 是 別 教 非 有 非 空 門 大 勢 至 都 攝 六 
X13n0284_002:0214a20	根念佛三昧是圓教有門觀音從聞思修亦是圓	根 念佛三昧 是 圓 教 有 門 觀 音 從 聞 思 修 亦 是 圓 
X13n0284_002:0214a21	教有門故曰歸元性無二方便有多門也。三總	教 有 門 故 曰 歸 元 性 無 二 方 便 有 多 門 也 三 總 
X13n0284_002:0214a22	示入門觀者若信行利根聞說即悟得悟方法難	示 入 門 觀 者 若 信 行 利 根 聞 說 即 悟 得 悟 方 法 難 
X13n0284_002:0214a23	可示人經云狂心頓歇歇即菩提譬如利刀截紙	可 示 人 經 云 狂 心 頓 歇 歇 即 菩 提 譬 如 利 刀 截 紙 
X13n0284_002:0214a24	一下千張何容分別若約法行觀門則四四十六	一 下 千 張 何 容 分 別 若 約 法 行 觀 門 則 四 四 十 六 
X13n0284_002:0214b01	各須十意今不具述且約觀音耳門圓通圓教有	各 須 十 意 今 不 具 述 且 約 觀 音 耳 門 圓 通 圓 教 有 
X13n0284_002:0214b02	門以示其概言十意者第一觀不思議境第二真	門 以 示 其 概 言 十 意 者 第 一 觀 不思議境 第 二 真 
X13n0284_002:0214b03	正發菩提心第三善巧安心止觀第四破法徧第	正 發菩提心 第 三 善 巧 安 心 止 觀 第 四 破 法 徧 第 
X13n0284_002:0214b04	五識通塞第六道品調適第七對治助開第八知	五 識 通 塞 第 六 道 品 調 適 第 七 對 治 助 開 第 八 知 
X13n0284_002:0214b05	位次第九能安忍第十離法愛此之十意上根唯	位 次 第 九 能 安 忍 第 十 離 法 愛 此 之 十 意 上 根 唯 
X13n0284_002:0214b06	用一中根用二至七下根具用十上根用一者但	用 一 中 根 用 二 至 七 下 根 具 用 十 上 根 用 一 者 但 
X13n0284_002:0214b07	觀不思議境即能圓具十法不俟傳傳用耳非無	觀 不思議境 即 能 圓 具 十 法 不 俟 傳 傳 用 耳 非 無 
X13n0284_002:0214b08	下九意也中根用二至七亦復如是今此觀音法	下 九 意 也 中 根 用 二 至 七 亦復如是 今 此 觀 音 法 
X13n0284_002:0214b09	門通被三根方是常修學淺深同說之法仍作二	門 通 被 三 根 方 是 常 修 學 淺 深 同 說 之 法 仍 作 二 
X13n0284_002:0214b10	意分別一約上根二約下根約上根者始終但觀	意 分 別 一 約 上 根 二 約 下 根 約 上 根 者 始 終 但 觀 
X13n0284_002:0214b11	不思議境而十意圓收謂此現前一念聞性即是	不思議境 而 十 意 圓 收 謂 此 現 前 一 念 聞 性 即 是 
X13n0284_002:0214b12	不思議境具足十界五陰諸法既具十界五陰即	不思議境 具 足 十 界 五 陰 諸 法 既 具 十 界 五 陰 即 
X13n0284_002:0214b13	是具足百界千如三千性相理具事造無不炳然	是 具 足 百 界 千 如 三 千 性 相 理 具 事 造 無 不 炳 然 
X13n0284_002:0214b14	今總云入流亡所者入十界道滅之流亡十界苦	今 總 云 入 流 亡 所 者 入 十 界 道 滅 之 流 亡 十 界 苦 
X13n0284_002:0214b15	集之所也別云動靜二相了然不生者即是觀色	集 之 所 也 別 云 動 靜 二 相 了 然 不 生 者 即 是 觀 色 
X13n0284_002:0214b16	陰不可思議圓超劫濁破佛界中九界妄色顯九	陰 不可思議 圓 超 劫 濁 破 佛 界 中 九 界 妄 色 顯 九 
X13n0284_002:0214b17	界中佛界真善妙色也聞所聞盡者即是觀受陰	界 中 佛 界 真 善 妙 色 也 聞 所 聞 盡 者 即 是 觀 受 陰 
X13n0284_002:0214b18	不可思議圓超見濁破佛界中九界邪受顯九界	不可思議 圓 超 見 濁 破 佛 界 中 九 界 邪 受 顯 九 界 
X13n0284_002:0214b19	中佛界正受也覺所覺空者即是觀想陰不可思	中 佛 界 正 受 也 覺 所 覺 空 者 即 是 觀 想 陰 不 可 思 
X13n0284_002:0214b20	議圓超煩惱濁破佛界中九界妄想顯九界中佛	議 圓 超 煩 惱 濁 破 佛 界 中 九 界 妄 想 顯 九 界 中 佛 
X13n0284_002:0214b21	界妙想也空所空滅者即是觀行陰不可思議圓	界 妙 想 也 空 所 空 滅 者 即 是 觀 行 陰 不可思議 圓 
X13n0284_002:0214b22	超眾生濁破佛界中九界妄行顯九界中佛界不	超 眾 生 濁 破 佛 界 中 九 界 妄 行 顯 九 界 中 佛 界 不 
X13n0284_002:0214b23	思議行也忽然超越者即是觀識陰不可思議圓	思 議 行 也 忽 然 超 越 者 即 是 觀 識 陰 不可思議 圓 
X13n0284_002:0214b24	超命濁破佛界中九界妄識顯九界中佛界真識	超 命 濁 破 佛 界 中 九 界 妄 識 顯 九 界 中 佛 界 真 識 
X13n0284_002:0214c01	也於此不思議觀圓具下九意者破佛界中九界	也 於 此 不 思 議 觀 圓 具 下 九 意 者 破 佛 界 中 九 界 
X13n0284_002:0214c02	五陰是拔自他苦集顯九界中佛界五陰是與自	五 陰 是 拔 自 他 苦 集 顯 九 界 中 佛 界 五 陰 是 與 自 
X13n0284_002:0214c03	他道滅即菩提心由圓止觀方有破顯即善巧安	他 道 滅 即 菩 提 心 由 圓 止 觀 方 有 破 顯 即 善 巧 安 
X13n0284_002:0214c04	心破惑無不盡即破法徧知佛界即九界悉有苦	心 破 惑 無 不 盡 即 破 法 徧 知 佛 界 即 九 界 悉 有 苦 
X13n0284_002:0214c05	集名塞知九界即佛界悉有道滅名通是識通塞	集 名 塞 知 九 界 即 佛 界 悉 有 道 滅 名 通 是 識 通 塞 
X13n0284_002:0214c06	聞性是圓心念處一念處一切念處法爾具足正	聞 性 是 圓 心 念 處 一 念 處 一 切 念 處 法 爾 具 足 正 
X13n0284_002:0214c07	勤如意根力覺道等是道品調適修時三業必皆	勤 如 意 根 力 覺 道 等 是 道 品 調 適 修 時 三 業 必 皆 
X13n0284_002:0214c08	精進是對治助開於五陰境雖復乘悟併銷仍是	精 進 是 對 治 助 開 於 五 陰 境 雖 復 乘 悟 併 銷 仍 是 
X13n0284_002:0214c09	滅從色除次第不亂即知位次善得圓通法門非	滅 從 色 除 次 第 不 亂 即 知 位 次 善 得 圓 通 法 門 非 
X13n0284_002:0214c10	復內外強輭諸魔所能擾動即是安忍超越世出	復 內 外 強 輭 諸 魔 所 能 擾 動 即 是 安 忍 超 越 世 出 
X13n0284_002:0214c11	世間即離法愛上根如此中根從二至七各該十	世 間 即 離 法 愛 上 根 如 此 中 根 從 二 至 七 各 該 十 
X13n0284_002:0214c12	意例亦可知二約下根者第一觀不思議境即指	意 例 亦 可 知 二 約 下 根 者 第 一 觀 不思議境 即 指 
X13n0284_002:0214c13	現前一念聞性本圓本通本常不可思議心佛眾	現 前 一 念 聞 性 本 圓 本 通 本 常 不可思議 心 佛 眾 
X13n0284_002:0214c14	生三無差別若迷此本聞循聲流轉則十界苦集	生 三無差別 若 迷 此 本 聞 循 聲 流 轉 則 十 界 苦 集 
X13n0284_002:0214c15	浩然無涯若棄於生滅守此真常則十界道滅宛	浩 然 無 涯 若 棄 於 生 滅 守 此 真 常 則 十 界 道 滅 宛 
X13n0284_002:0214c16	爾無缺故知三千性相理具事造總不離此現前	爾 無 缺 故 知 三 千 性 相 理 具 事 造 總 不 離 此 現 前 
X13n0284_002:0214c17	一念聞性經云彼佛教我從聞思修入三摩地聞	一 念 聞 性 經 云 彼 佛 教 我 從 聞 思 修 入 三 摩 地 聞 
X13n0284_002:0214c18	即是境從此思修是觀等十意也第二真正發菩	即 是 境 從 此 思 修 是 觀 等 十 意 也 第 二 真 正 發 菩 
X13n0284_002:0214c19	提心者謂既知此圓通常性十界無殊迷則苦集	提 心 者 謂 既 知 此 圓 通 常 性 十 界 無 殊 迷 則 苦 集 
X13n0284_002:0214c20	浩然悟則道滅宛爾故興同體慈悲願作無緣與	浩 然 悟 則 道 滅 宛 爾 故 興 同 體 慈 悲 願 作 無 緣 與 
X13n0284_002:0214c21	拔經云我於彼佛發菩提心菩提心秪是悲智雙	拔 經 云 我 於 彼 佛 發菩提心 菩 提 心 秪 是 悲 智 雙 
X13n0284_002:0214c22	運上求自性佛道名智下化自性眾生名悲也問	運 上 求 自 性 佛 道 名 智 下 化 自 性 眾 生 名 悲 也 問 
X13n0284_002:0214c23	曰經文先發心後受教今胡次第顛倒答曰菩提	曰 經 文 先 發 心 後 受 教 今 胡 次 第 顛 倒 答 曰 菩 提 
X13n0284_002:0214c24	心者非止一發自有受教前之發心發心方可受	心 者 非 止 一 發 自 有 受 教 前 之 發 心 發 心 方 可 受 
X13n0284_002:0215a01	教自有受教後之發心即是依教重發大願豈受	教 自 有 受 教 後 之 發 心 即 是 依 教 重 發 大 願 豈 受 
X13n0284_002:0215a02	教前許有發心而觀境後反不許更發心耶特以	教 前 許 有 發 心 而 觀 境 後 反 不 許 更 發 心 耶 特 以 
X13n0284_002:0215a03	先有發心之文故不更贅耳第三安心止觀者入	先 有 發 心 之 文 故 不 更 贅 耳 第 三 安 心 止 觀 者 入 
X13n0284_002:0215a04	流是三止止於三諦亡所是三觀破於三惑乃至	流 是 三 止 止 於 三 諦 亡 所 是 三 觀 破 於 三 惑 乃 至 
X13n0284_002:0215a05	別就五陰破惑顯諦皆是善巧止觀也第四破法	別 就 五 陰 破 惑 顯 諦 皆 是 善 巧 止 觀 也 第 四 破 法 
X13n0284_002:0215a06	徧者即以圓頓止觀破五陰諸法無有不盡也第	徧 者 即 以 圓 頓 止 觀 破 五 陰 諸 法 無 有 不 盡 也 第 
X13n0284_002:0215a07	五識通塞者動靜二相是塞了然不生是通盡聞	五 識 通 塞 者 動 靜 二 相 是 塞 了 然 不 生 是 通 盡 聞 
X13n0284_002:0215a08	而住是塞不住即通空覺不極是塞極圓即通生	而 住 是 塞 不 住 即 通 空 覺 不 極 是 塞 極 圓 即 通 生 
X13n0284_002:0215a09	滅未滅是塞既滅即通寂滅現前精妙未圓是塞	滅 未 滅 是 塞 既 滅 即 通 寂 滅 現 前 精 妙 未 圓 是 塞 
X13n0284_002:0215a10	忽然超越是通也第六道品調適者復為二一約	忽 然 超 越 是 通 也 第 六 道 品 調 適 者 復 為 二 一 約 
X13n0284_002:0215a11	橫具二約豎歷橫具者圓念處觀能滅惡生善即	橫 具 二 約 豎 歷 橫 具 者 圓 念 處 觀 能 滅 惡 生 善 即 
X13n0284_002:0215a12	四正勤能成神足即四如意能生善根即五根能	四 正 勤 能 成 神 足 即 四 如 意 能 生 善 根 即 五 根 能 
X13n0284_002:0215a13	摧五障即五力能分別道用即七覺能安隱道中	摧 五 障 即 五 力 能 分 別 道 用 即 七 覺 能 安 隱 道 中 
X13n0284_002:0215a14	行即八正則有觀行道品相似道品分證道品淺	行 即 八 正 則 有 觀 行 道 品 相 似 道 品 分 證 道 品 淺 
X13n0284_002:0215a15	深不同二約豎歷者從聞思修是念處所入既寂	深 不 同 二 約 豎 歷 者 從 聞 思 修 是 念 處 所 入 既 寂 
X13n0284_002:0215a16	是從正勤得如意動靜二相了然不生即五根五	是 從 正 勤 得 如 意 動 靜 二 相 了 然 不 生 即 五 根 五 
X13n0284_002:0215a17	力如是漸增聞所聞盡去即七覺八正也第七對	力 如 是 漸 增 聞 所 聞 盡 去 即 七 覺 八 正 也 第 七 對 
X13n0284_002:0215a18	治助開者或正道多障亦須用下文道場持呪等	治 助 開 者 或 正 道 多 障 亦 須 用 下 文 道 場 持 呪 等 
X13n0284_002:0215a19	事文雖不說理必不無且因中若不用呪助修果	事 文 雖 不 說 理 必 不 無 且 因 中 若 不 用 呪 助 修 果 
X13n0284_002:0215a20	上何乃現形說呪較他菩薩獨為盛乎第八知位	上 何 乃 現 形 說 呪 較 他 菩 薩 獨 為 盛 乎 第 八 知 位 
X13n0284_002:0215a21	次者如漸增不住等皆由明識位次故不起增上	次 者 如 漸 增 不 住 等 皆 由 明 識 位 次 故 不 起 增 上 
X13n0284_002:0215a22	慢自謂滿足以濫極聖也第九能安忍者若被強	慢 自 謂 滿 足 以 濫 極 聖 也 第 九 能 安 忍 者 若 被 強 
X13n0284_002:0215a23	輭諸魔所動何以有進無退第十離法愛者亦即	輭 諸 魔 所 動 何 以 有 進 無 退 第 十 離 法 愛 者 亦 即 
X13n0284_002:0215a24	盡聞不住之不住字空覺極圓之極字生滅既滅	盡 聞 不 住 之 不 住 字 空 覺 極 圓 之 極 字 生 滅 既 滅 
X13n0284_002:0215b01	之滅字皆於相似順道法愛無貪著也有門既爾	之 滅 字 皆 於 相 似 順 道 法 愛 無 貪 著 也 有 門 既 爾 
X13n0284_002:0215b02	餘三門悉有十意亦復如是觀聞性境既爾餘二	餘 三 門 悉 有 十 意 亦復如是 觀 聞 性 境 既 爾 餘 二 
X13n0284_002:0215b03	十四境悉可以此圓妙十意修入亦復如是善學	十 四 境 悉 可 以 此 圓 妙 十 意 修 入 亦復如是 善 學 
X13n0284_002:0215b04	者貴在得意不俟言之多也明入體門竟。	者 貴 在 得 意 不 俟 言 之 多 也 明 入 體 門 竟 
X13n0284_002:0215b05	八明如來藏性徧為眾經體者夫此藏性乃眾生	八 明 如 來 藏 性 徧 為 眾 經 體 者 夫 此 藏 性 乃 眾 生 
X13n0284_002:0215b06	本有性德諸佛出世種種說法無非欲令悟此藏	本 有 性 德 諸佛出世 種 種 說 法 無 非 欲 令 悟 此 藏 
X13n0284_002:0215b07	性一切別圓諸教縱有種種異名如前所陳究竟	性 一 切 別 圓 諸 教 縱 有 種種異名 如 前 所 陳 究 竟 
X13n0284_002:0215b08	終無異體但根利者即令速悟根鈍者亦令漸悟	終 無 異 體 但 根 利 者 即 令 速 悟 根 鈍 者 亦 令 漸 悟 
X13n0284_002:0215b09	耳一切藏通諸教雖且約如實空義令出生死而	耳 一 切 藏 通 諸 教 雖 且 約 如 實 空 義 令 出 生 死 而 
X13n0284_002:0215b10	空義亦實不離此體但根利者即令於空而見藏	空 義 亦 實 不 離 此 體 但 根 利 者 即 令 於 空 而 見 藏 
X13n0284_002:0215b11	體根鈍者先令證於偏空而密入此體耳故不惟	體 根 鈍 者 先 令 證 於 偏 空 而 密 入 此 體 耳 故 不 惟 
X13n0284_002:0215b12	一實相印即是此體而小乘三印亦依此體而得	一實相印 即 是 此 體 而 小 乘 三 印 亦 依 此 體 而 得 
X13n0284_002:0215b13	成就但遠近紆直巧拙永異如甸服侯服要服荒	成 就 但 遠 近 紆 直 巧 拙 永 異 如 甸 服 侯 服 要 服 荒 
X13n0284_002:0215b14	服其去天子處有近遠其來朝覲路有夷險而普	服 其 去 天 子 處 有 近 遠 其 來 朝 覲 路 有 夷 險 而 普 
X13n0284_002:0215b15	天之下莫非王土率土之濱莫非王臣故得徧為	天 之 下 莫 非 王 土 率 土 之 濱 莫 非 王 臣 故 得 徧 為 
X13n0284_002:0215b16	諸經體也。	諸 經 體 也 
X13n0284_002:0215b17	九徧為諸行體者又三意初泛明諸行同異二別	九 徧 為 諸 行 體 者 又 三 意 初 泛 明 諸 行 同 異 二 別 
X13n0284_002:0215b18	明依經修行三獨顯此經行法。初意者夫秉教	明 依 經 修 行 三 獨 顯 此 經 行 法 初 意 者 夫 秉 教 
X13n0284_002:0215b19	修行不出信法兩行兩行並通四教三藏信法以	修 行 不 出 信 法 兩 行 兩 行 並 通 四 教 三 藏 信 法 以 
X13n0284_002:0215b20	藏性中空義為體通教信法以藏性空義兼含不	藏 性 中 空 義 為 體 通 教 信 法 以 藏 性 空 義 兼 含 不 
X13n0284_002:0215b21	空為體別圓二教並以如來藏性全體為體又橫	空 為 體 別 圓 二 教 並 以 如 來 藏 性 全 體 為 體 又 橫 
X13n0284_002:0215b22	論諸行即是六度四攝等各就當教論體若豎論	論 諸 行 即 是 六 度 四 攝 等 各 就 當 教 論 體 若 豎 論 
X13n0284_002:0215b23	諸行藏通外內凡位以相似空義為體分證以去	諸 行 藏 通 外 內 凡 位 以 相 似 空 義 為 體 分 證 以 去 
X13n0284_002:0215b24	以如實空義為體別三十心圓五品十信皆以相	以 如 實 空 義 為 體 別 三 十 心 圓 五 品 十 信 皆 以 相 
X13n0284_002:0215c01	似藏性為體別地圓住以上皆以如實藏性為體	似 藏 性 為 體 別 地 圓 住 以 上 皆 以 如 實 藏 性 為 體 
X13n0284_002:0215c02	橫行有體故廣豎行有體故高法華經云其車高	橫 行 有 體 故 廣 豎 行 有 體 故 高 法 華 經 云 其 車 高 
X13n0284_002:0215c03	廣此之謂也。二別明依經修行者諸經多有別	廣 此 之 謂 也 二 別 明 依 經 修 行 者 諸 經 多 有 別 
X13n0284_002:0215c04	明行法尅日制時勤身策苦以期果證此經亦然	明 行 法 尅 日 制 時 勤 身 策 苦 以 期 果 證 此 經 亦 然 
X13n0284_002:0215c05	今先約諸經所明不出四種所謂常行常坐半行	今 先 約 諸 經 所 明 不 出 四 種 所 謂 常 行 常 坐 半 行 
X13n0284_002:0215c06	半坐非行非坐也常行名佛立三昧出賢護經常	半 坐 非 行 非 坐 也 常 行 名 佛 立 三 昧 出 賢 護 經 常 
X13n0284_002:0215c07	坐名一行三昧出文殊般若經半行半坐如方等	坐 名 一行三昧 出 文 殊 般 若 經 半 行 半 坐 如 方 等 
X13n0284_002:0215c08	法華二種三昧出方等法華二經非行非坐即前	法 華 二 種 三 昧 出 方 等 法 華 二 經 非 行 非 坐 即 前 
X13n0284_002:0215c09	三種三昧之所不攝悉入此中此復有二一者依	三 種 三 昧 之 所 不 攝 悉 入 此 中 此 復 有 二 一 者 依 
X13n0284_002:0215c10	經所制三昧如大悲心呪行法等二者隨自意三	經 所 制 三 昧 如 大 悲 心 呪 行 法 等 二 者 隨 自 意 三 
X13n0284_002:0215c11	昧即是歷法觀察如覺意三昧等此四三昧惟約	昧 即 是 歷 法 觀 察 如 覺 意 三 昧 等 此 四 三 昧 惟 約 
X13n0284_002:0215c12	大乘引證而藏通教中亦明常行等方法若藏教	大 乘 引 證 而 藏 通 教 中 亦 明 常 行 等 方 法 若 藏 教 
X13n0284_002:0215c13	四三昧但用偏空義為體通教四三昧用即空義	四 三 昧 但 用 偏 空 義 為 體 通 教 四 三 昧 用 即 空 義 
X13n0284_002:0215c14	為體別圓四三昧均如來藏性為體別行次第觀	為 體 別 圓 四 三 昧 均 如 來 藏 性 為 體 別 行 次 第 觀 
X13n0284_002:0215c15	於三義圓行直下知其一體是為異也若三昧無	於 三 義 圓 行 直 下 知 其 一 體 是 為 異 也 若 三 昧 無 
X13n0284_002:0215c16	體便同無益苦行縱使緣三寶境孱有滅惡生善	體 便 同 無 益 苦 行 縱 使 緣 三 寶 境 孱 有 滅 惡 生 善 
X13n0284_002:0215c17	功能而為益則微為因則遠然行者雖不達此行	功 能 而 為 益 則 微 為 因 則 遠 然 行 者 雖 不 達 此 行 
X13n0284_002:0215c18	體而種種諸行並不出於藏性之外若無藏性何	體 而 種 種 諸 行 並 不 出 於 藏 性 之 外 若 無 藏 性 何 
X13n0284_002:0215c19	處得有諸行如無虗空何處得有染淨世界故此	處 得 有 諸 行 如 無 虗 空 何 處 得 有 染 淨 世 界 故 此 
X13n0284_002:0215c20	藏性徧為諸行體也。三獨顯此經行法者泛明	藏 性 徧 為 諸 行 體 也 三 獨 顯 此 經 行 法 者 泛 明 
X13n0284_002:0215c21	信法二行即是二十五圓通門離此藏性決定無	信 法 二 行 即 是 二 十 五 圓 通 門 離 此 藏 性 決 定 無 
X13n0284_002:0215c22	體別明安立道場者三七不寐即是制令常行百	體 別 明 安 立 道 場 者 三 七 不 寐 即 是 制 令 常 行 百 
X13n0284_002:0215c23	日安居即是制令常坐四種清淨明誨即五緣中	日 安 居 即 是 制 令 常 坐 四 種 清 淨 明 誨 即 五 緣 中 
X13n0284_002:0215c24	持戒清淨然香閒居即閒居淨處及息緣務選持	持 戒 清 淨 然 香 閒 居 即 閒 居 淨 處 及 息 緣 務 選 持 
X13n0284_002:0216a01	戒清淨者第一沙門為師即令親近教授知識同	戒 清 淨 者 第 一 沙 門 為 師 即 令 親 近 教 授 知 識 同 
X13n0284_002:0216a02	會有一不清淨者道場多不成就即令親近同行	會 有 一 不 清 淨 者 道 場 多 不 成 就 即 令 親 近 同 行 
X13n0284_002:0216a03	知識著新淨衣即衣具足但略不言飲食外護理	知 識 著 新 淨 衣 即 衣 具 足 但 略 不 言 飲 食 外 護 理 
X13n0284_002:0216a04	決不無也心滅貪婬即訶五欲及滅五葢貪為上	決 不 無 也 心 滅 貪 婬 即 訶 五 欲 及 滅 五 葢 貪 為 上 
X13n0284_002:0216a05	首故獨說之端坐安居必調五事求最上乘發菩	首 故 獨 說 之 端 坐 安 居 必 調 五 事 求 最 上 乘 發 菩 
X13n0284_002:0216a06	薩願即行五法如此二十五種方便各有事義及	薩 願 即 行 五 法 如 此 二 十 五 種 方 便 各 有 事 義 及 
X13n0284_002:0216a07	以觀法具如止觀廣明而壇儀供具皆表不思議	以 觀 法 具 如 止 觀 廣 明 而 壇 儀 供 具 皆 表 不 思 議 
X13n0284_002:0216a08	境亦表圓具十乘若不達此如來藏體則諸行徒	境 亦 表 圓 具 十 乘 若 不 達 此 如 來 藏 體 則 諸 行 徒 
X13n0284_002:0216a09	施況端坐百日尤為正修要務乃一經宗體茫然	施 況 端 坐 百 日 尤 為 正 修 要 務 乃 一 經 宗 體 茫 然 
X13n0284_002:0216a10	不辨所秉戒律未必成就徒事觀美將欲何為亦	不 辨 所 秉 戒 律 未 必 成 就 徒 事 觀 美 將 欲 何 為 亦 
