X67n1304_001:0322c06	 虗堂錄序	 虗 堂 錄 序 
X67n1304_005:0359b21	固閉玄關穿鑿解穽。向依經離經處狗囓枯骨。於佛	固 閉 玄 關 穿 鑿 解 穽 向 依 經 離 經 處 狗 囓 枯 骨 於 佛 
X67n1304_005:0359b22	冤魔說邊鷂過新羅。故來取覆同安。要達其中妙理。	冤 魔 說 邊 鷂 過 新 羅 故 來 取 覆 同 安 要 達 其 中 妙 理 
X67n1304_005:0359b23	若非老婆心切。爭肯如斯與說。欲圖見性識心。不免	若 非 老 婆 心 切 爭 肯 如 斯 與 說 欲 圖 見 性 識 心 不 免 
X67n1304_005:0359b24	多唇恃舌。所以向他道。孤峰逈秀不挂煙蘿。片月橫	多 唇 恃 舌 所 以 向 他 道 孤 峰 逈 秀 不 挂 煙 蘿 片 月 橫 
X67n1304_005:0359c01	空白雲自異。只如同安恁麼道。還解得這僧疑情麼。	空 白 雲 自 異 只 如 同 安 恁 麼 道 還 解 得 這 僧 疑 情 麼 
X67n1304_005:0359c02	若也舌頭上無十字關。脚跟下無五色線。自然開口	若 也 舌 頭 上 無 十 字 關 脚 跟 下 無 五 色 線 自 然 開 口 
X67n1304_005:0359c03	道著舉步踏著。方信佛本無冤魔本無說。著甚做依	道 著 舉 步 踏 著 方 信 佛 本 無 冤 魔 本 無 說 著 甚 做 依 
X67n1304_005:0359c04	經解義。他幾曾離經一字。子細點檢將來。這僧大似	經 解 義 他 幾 曾 離 經 一 字 子 細 點 檢 將 來 這 僧 大 似 
X67n1304_005:0359c05	驅雷捉電捕影追風。審空花濃淡論兔角短長。枉恁	驅 雷 捉 電 捕 影 追 風 審 空 花 濃 淡 論 兔 角 短 長 枉 恁 
X67n1304_005:0359c06	狐疑虗勞心力。是他同安優遊平易不共你忙。搖廣	狐 疑 虗 勞 心 力 是 他 同 安 優 遊 平 易 不 共 你 忙 搖 廣 
X67n1304_005:0359c07	長舌出險崖句。任渠攀仰縱汝登臨。應須越格超宗	長 舌 出 險 崖 句 任 渠 攀 仰 縱 汝 登 臨 應 須 越 格 超 宗 
X67n1304_005:0359c08	莫使磕天撞地。還知麼。有心用處還應錯。無意看時	莫 使 磕 天 撞 地 還 知 麼 有 心 用 處 還 應 錯 無 意 看 時 
X67n1304_005:0359c09	却宛然。頌曰。	却 宛 然 頌 曰 
X67n1304_005:0359c10	雲自高飛水自流(彼此不相干)。海天空濶漾虗舟(隨流方得	雲 自 高 飛 水 自 流 彼 此 不 相 干 海 天 空 濶 漾 虗 舟 隨 流 方 得 
X67n1304_005:0359c11	妙)。夜深不向蘆灣宿(風力扶帆行不棹)。逈出中間與兩頭	妙 夜 深 不 向 蘆 灣 宿 風 力 扶 帆 行 不 棹 逈 出 中 間 與 兩 頭 
X67n1304_005:0359c12	(笛聲喚月下滄洲)。	 笛 聲 喚 月 下 滄 洲 
X67n1304_005:0359c13	師云。雲本無心出岫高飛遠颺而普廕群萌。水非有	師 云 雲 本 無 心 出 岫 高 飛 遠 颺 而 普 廕 群 萌 水 非 有 
X67n1304_005:0359c14	意興波駕險乘虗而令達彼岸。既恁海天空濶獨漾	意 興 波 駕 險 乘 虗 而 令 達 彼 岸 既 恁 海 天 空 濶 獨 漾 
X67n1304_005:0359c15	虗舟。當從花藏優遊頓拋浮世。休愁魔說莫結佛冤。	虗 舟 當 從 花 藏 優 遊 頓 拋 浮 世 休 愁 魔 說 莫 結 佛 冤 
X67n1304_005:0359c16	不即不離兮性本如如。無增無減兮情非逸逸。運慈	不 即 不 離 兮 性 本 如 如 無增無減 兮 情 非 逸 逸 運 慈 
X67n1304_005:0359c17	航於島嶼。撥短棹於蘆灣。既能不涉春秋。爭肯經停	航 於 島 嶼 撥 短 棹 於 蘆 灣 既 能 不 涉 春 秋 爭 肯 經 停 
X67n1304_005:0359c18	宿夜。這邊那畔不滯其蹤。內外中間匪留其跡。非止	宿 夜 這 邊 那 畔 不 滯 其 蹤 內 外 中 間 匪 留 其 跡 非 止 
X67n1304_005:0359c19	隨流得妙。況兼住岸不迷。塞斷狂瀾抉殘怒浪。放詞	隨 流 得 妙 況 兼 住 岸 不 迷 塞 斷 狂 瀾 抉 殘 怒 浪 放 詞 
X67n1304_005:0359c20	源之浩瀚。縱性水之澄渟。直饒絕點純清。未免天機	源 之 浩 瀚 縱 性 水 之 澄 渟 直 饒 絕 點 純 清 未 免 天 機 
X67n1304_005:0359c21	漏泄。不必尋言逐句。應須捨妄歸真。休因一句隨他	漏 泄 不 必 尋 言 逐 句 應 須 捨 妄 歸 真 休 因 一 句 隨 他 
X67n1304_005:0359c22	語。謾使千山走衲僧。	語 謾 使 千 山 走 衲 僧 
X67n1304_005:0359c23	第七十則　問諸佛師(佛祖)	第 七 十 則 問 諸 佛 師 佛 祖 
X67n1304_005:0359c24	示眾云。仰之彌高。誰識本來真面目。鑽之彌堅。果難	示 眾 云 仰 之 彌 高 誰 識 本 來 真 面 目 鑽 之 彌 堅 果 難 
X67n1304_005:0360a01	分訴此形容。有忍俊不禁欲承頭者麼。	分 訴 此 形 容 有 忍 俊 不 禁 欲 承 頭 者 麼 
X67n1304_005:0360a02	舉僧問新羅雲住禪師。如何是諸佛師(誰敢呼名道字)。住	舉 僧 問 新 羅 雲 住 禪 師 如 何 是 諸 佛 師 誰 敢 呼 名 道 字 住 
X67n1304_005:0360a03	云文殊聳耳(驚動傍邊一箇人)。	云 文 殊 聳 耳 驚 動 傍 邊 一 箇 人 
X67n1304_005:0360a04	師云。洞山一日謂眾曰。知有佛向上人。方有說話分。	師 云 洞 山 一 日 謂 眾 曰 知 有 佛 向 上 人 方 有 說 話 分 
X67n1304_005:0360a05	僧問如何是佛向上人。山曰非佛。保福別云。佛非。法	僧 問 如 何 是 佛 向 上 人 山 曰 非 佛 保 福 別 云 佛 非 法 
X67n1304_005:0360a06	眼別云。方便呼為佛。林泉道。三人證龜成鼈。設使毗	眼 別 云 方 便 呼 為 佛 林 泉 道 三 人 證 龜 成 鼈 設 使 毗 
X67n1304_005:0360a07	盧有師。有名呼不得。法身有主。無位可安排。況諸佛	盧 有 師 有 名 呼 不 得 法 身 有 主 無 位 可 安 排 況 諸 佛 
X67n1304_005:0360a08	之師乎。此皆實際理地不受一塵。據實而論也。新羅	之 師 乎 此 皆 實 際 理 地 不 受 一 塵 據 實 而 論 也 新 羅 
X67n1304_005:0360a09	却云文殊聳耳。如人被罵。不甘者承頭。非止眼跳耳	却 云 文 殊 聳 耳 如 人 被 罵 不 甘 者 承 頭 非 止 眼 跳 耳 
X67n1304_005:0360a10	熱。其由內顫身搖不消勘辨根源。是實難以抵諱。文	熱 其 由 內 顫 身 搖 不 消 勘 辨 根 源 是 實 難 以 抵 諱 文 
X67n1304_005:0360a11	殊乃過去七佛之師。故恁答也。若便恁麼會去。休於	殊 乃 過 去 七 佛 之 師 故 恁 答 也 若 便 恁 麼 會 去 休 於 
X67n1304_005:0360a12	言句內。埋沒祖師心。頌曰。	言 句 內 埋 沒 祖 師 心 頌 曰 
X67n1304_005:0360a13	無相光中未兆身(形興未質)。清虗渺邈月為隣(大小明白)。一	無 相 光 中 未 兆 身 形 興 未 質 清 虗 渺 邈 月 為 隣 大 小 明 白 一 
X67n1304_005:0360a14	輪明月當軒照(隱而彌彰)。玉殿蕭蕭不見人(顯而不露)。	輪 明 月 當 軒 照 隱 而 彌 彰 玉 殿 蕭 蕭 不 見 人 顯 而 不 露 
X67n1304_005:0360a15	師云。十四祖龍樹尊者得法後至南印土。彼國之人	師 云 十 四 祖 龍 樹 尊 者 得 法 後 至 南 印 土 彼 國 之 人 
X67n1304_005:0360a16	多信福業。祖為說法。遞相謂曰。人有福業世間第一。	多 信 福 業 祖 為 說 法 遞 相 謂 曰 人 有 福 業 世 間 第 一 
X67n1304_005:0360a17	徒言佛性誰能視之。祖曰。汝欲見性。先須除我慢。彼	徒 言 佛 性 誰 能 視 之 祖 曰 汝 欲 見 性 先 須 除 我 慢 彼 
X67n1304_005:0360a18	云佛性大小。曰。非大非小。非廣非狹。無福無報。不死	云 佛 性 大 小 曰 非 大 非 小 非 廣 非 狹 無 福 無 報 不 死 
X67n1304_005:0360a19	不生。彼聞理勝悉回初心。祖於座上現自在身如滿	不 生 彼 聞 理 勝 悉 回 初 心 祖 於 座 上 現 自 在 身 如 滿 
X67n1304_005:0360a20	月輪。一切眾唯聞法音不覩祖相。彼眾中有長者子	月 輪 一 切 眾 唯 聞 法 音 不 覩 祖 相 彼 眾 中 有 長 者 子 
X67n1304_005:0360a21	名迦那提婆謂眾曰。識此相否。眾曰目所未覩安能	名 迦 那 提 婆 謂 眾 曰 識 此 相 否 眾 曰 目 所 未 覩 安 能 
X67n1304_005:0360a22	辨識。提婆曰。此是尊者現佛性體相以示我等。何以	辨 識 提 婆 曰 此 是 尊 者 現 佛 性 體 相 以 示 我 等 何 以 
X67n1304_005:0360a23	知之。蓋以無相三昧形如滿月。佛性之義廓然虗明。	知 之 蓋 以 無相三昧 形 如 滿 月 佛 性 之 義 廓 然 虗 明 
X67n1304_005:0360a24	言訖輪相即隱。復居本座而說偈言。身現圓月相。以	言 訖 輪 相 即 隱 復 居 本 座 而 說 偈 言 身 現 圓 月 相 以 
X67n1304_005:0360b01	表諸佛體。說法無其形。用辨非聲色。彼聞偈已悉悟	表 諸 佛 體 說 法 無 其 形 用 辨 非 聲 色 彼 聞 偈 已 悉 悟 
X67n1304_005:0360b02	無生。若也於斯洒洒落落了了明明。丹霞頌意不言	無 生 若 也 於 斯 洒 洒 落 落 了 了 明 明 丹 霞 頌 意 不 言 
X67n1304_005:0360b03	可知。只如文殊聳耳合作麼生參究。心中多少事。那	可 知 只 如 文 殊 聳 耳 合 作 麼 生 參 究 心 中 多 少 事 那 
X67n1304_005:0360b04	許外人知。	許 外 人 知 
X67n1304_005:0360b05	第七十一則　孤峰獨宿(殿堂)	第 七 十 一 則 孤 峰 獨 宿 殿 堂 
X67n1304_005:0360b06	示眾云。言如劈竹心似直絃。不勞掉弄花唇。索甚之	示 眾 云 言 如 劈 竹 心 似 直 絃 不 勞 掉 弄 花 唇 索 甚 之 
X67n1304_005:0360b07	乎者也。揀易省易會處試請道看。	乎 者 也 揀 易 省 易 會 處 試 請 道 看 
X67n1304_005:0360b08	舉僧問雲居簡禪師。孤峰獨宿時如何(舒脚自由展脚自在)。	舉 僧 問 雲 居 簡 禪 師 孤 峰 獨 宿 時 如 何 舒 脚 自 由 展 脚 自 在 
X67n1304_005:0360b09	居云。九間僧堂裏不臥。誰教你孤峰獨宿(巧說不如直道)。	居 云 九 間 僧 堂 裏 不 臥 誰 教 你 孤 峰 獨 宿 巧 說 不 如 直 道 
X67n1304_005:0360b10	師云。南康軍雲居道簡禪師。范陽人。久入先雲居之	師 云 南 康 軍 雲 居 道 簡 禪 師 范 陽 人 久 入 先 雲 居 之 
X67n1304_005:0360b11	室。密受真印而分掌寺務典司樵爨。以臘高堂中為	室 密 受 真 印 而 分 掌 寺 務 典 司 樵 爨 以 臘 高 堂 中 為 
X67n1304_005:0360b12	第一座屬。先雲居將順寂。主事請問誰堪繼嗣。居曰	第 一 座 屬 先 雲 居 將 順 寂 主 事 請 問 誰 堪 繼 嗣 居 曰 
X67n1304_005:0360b13	堂中簡主事。雖承言意不在言。師謂令揀擇可當說	堂 中 簡 主 事 雖 承 言 意 不 在 言 師 謂 令 揀 擇 可 當 說 
X67n1304_005:0360b14	法者。僉曰第二座可。然自俻禮先請第一座。若謙讓	法 者 僉 曰 第 二 座 可 然 自 俻 禮 先 請 第 一 座 若 謙 讓 
X67n1304_005:0360b15	即堅請第二座。師既密承受記略不辭免。即自持道	即 堅 請 第 二 座 師 既 密 承 受 記 略 不 辭 免 即 自 持 道 
X67n1304_005:0360b16	具入方丈攝眾演法。主事等不愜素志罔循規式。師	具 入 方 丈 攝 眾 演 法 主 事 等 不 愜 素 志 罔 循 規 式 師 
X67n1304_005:0360b17	察其情乃潛弃去。其夜安樂樹神號泣詰旦。主事大	察 其 情 乃 潛 弃 去 其 夜 安 樂 樹 神 號 泣 詰 旦 主 事 大 
X67n1304_005:0360b18	眾奔至麥莊悔過哀請歸院。眾聞空中連聲唱曰和	眾 奔 至 麥 莊 悔 過 哀 請 歸 院 眾 聞 空 中 連 聲 唱 曰 和 
X67n1304_005:0360b19	尚來也。後僧問維摩豈不是金粟如來。曰是。云為甚	尚 來 也 後 僧 問 維 摩 豈 不 是 金 粟 如 來 曰 是 云 為 甚 
X67n1304_005:0360b20	麼却在釋迦會下聽法。曰他不爭人我。又問路逢猛	麼 却 在 釋 迦 會 下 聽 法 曰 他 不 爭 人 我 又 問 路 逢 猛 
X67n1304_005:0360b21	虎時如何。曰。千人萬人不逢。為甚麼闍黎偏逢。又問	虎 時 如 何 曰 千 人 萬 人 不 逢 為 甚 麼 闍 黎 偏 逢 又 問 
X67n1304_005:0360b22	孤峰獨宿時如何。曰。九間僧堂裏不臥。誰教你孤峯	孤 峰 獨 宿 時 如 何 曰 九 間 僧 堂 裏 不 臥 誰 教 你 孤 峯 
X67n1304_005:0360b23	獨宿。雲居答話例皆如此。可謂佛法中迷却多少人。	獨 宿 雲 居 答 話 例 皆 如 此 可 謂 佛 法 中 迷 却 多 少 人 
X67n1304_005:0360b24	世法中悟却多少人。端的還丹一粒點鐵成金。至理	世 法 中 悟 却 多 少 人 端 的 還 丹 一 粒 點 鐵 成 金 至 理 
X67n1304_005:0360c01	一言轉凡成聖。若能恁麼直截會得。何必咬文嚼字	一 言 轉 凡 成 聖 若 能 恁 麼 直 截 會 得 何 必 咬 文 嚼 字 
X67n1304_005:0360c02	究妙窮玄。合璧聯珠攢花簇錦。所以道眾生被解礙。	究 妙 窮 玄 合 璧 聯 珠 攢 花 簇 錦 所 以 道 眾 生 被 解 礙 
X67n1304_005:0360c03	菩薩未離覺。這僧大似賣弄孤危不立道方高。殊不	菩 薩 未 離 覺 這 僧 大 似 賣 弄 孤 危 不 立 道 方 高 殊 不 
X67n1304_005:0360c04	知坐著白雲宗不妙。故雲居答處優遊平易。殊無艱	知 坐 著 白 雲 宗 不 妙 故 雲 居 答 處 優 遊 平 易 殊 無 艱 
X67n1304_005:0360c05	難險阻之態。真所謂詩到平常處。方知格調高。怕伊	難 險 阻 之 態 真 所 謂 詩 到 平 常 處 方 知 格 調 高 怕 伊 
X67n1304_005:0360c06	不信。試問丹霞。頌曰。	不 信 試 問 丹 霞 頌 曰 
X67n1304_005:0360c07	法爾非修本十分(园同太虗無欠無餘)。平常酬答最分明(翻令	法 爾 非 修 本 十 分 园 同 太 虗 無 欠 無 餘 平 常 酬 答 最 分 明 翻 令 
X67n1304_005:0360c08	所得遲)。雖然指出長安道(將謂吾辜負汝)。無柰遊人不肯行	所 得 遲 雖 然 指 出 長 安 道 將 謂 吾 辜 負 汝 無 柰 遊 人 不 肯 行 
X67n1304_005:0360c09	(誰知汝事負吾)。	 誰 知 汝 事 負 吾 
X67n1304_005:0360c10	師云。當知一切法從本以來。離言說相。離名字相。離	師 云 當 知一切法 從本以來 離 言 說 相 離 名 字 相 離 
X67n1304_005:0360c11	心緣相。畢竟平等。無有變異。唯有一心。故名真如。不	心 緣 相 畢 竟 平 等 無有變異 唯 有 一 心 故 名 真 如 不 
X67n1304_005:0360c12	假修持本來成就。塵塵既爾法法皆然。正隨緣時當	假 修 持 本 來 成 就 塵 塵 既 爾 法 法 皆 然 正 隨 緣 時 當 
X67n1304_005:0360c13	明不變。於成事處莫昧體空。方可二六時中平常合	明 不 變 於 成 事 處 莫 昧 體 空 方 可 二 六 時 中 平 常 合 
X67n1304_005:0360c14	道道合平常。世法佛法打成一片。何必矜伐孤峰獨	道 道 合 平 常 世 法 佛 法 打 成 一 片 何 必 矜 伐 孤 峰 獨 
X67n1304_005:0360c15	宿。怪他不來堂內高眠。為是當家人。故說知心話。只	宿 怪 他 不 來 堂 內 高 眠 為 是 當 家 人 故 說 知 心 話 只 
X67n1304_005:0360c16	恐邪街暗巷生客頭迷。便恁端然指出長安大道。可	恐 邪 街 暗 巷 生 客 頭 迷 便 恁 端 然 指 出 長 安 大 道 可 
X67n1304_005:0360c17	惜竛竮飄蕩四散。遊人不肯前行。唯圖倒褪。只如不	惜 竛 竮 飄 蕩 四 散 遊 人 不 肯 前 行 唯 圖 倒 褪 只 如 不 
X67n1304_005:0360c18	涉途程一句合作麼生道。塵埃滿面君休笑。坐看爭	涉 途 程 一 句 合 作 麼 生 道 塵 埃 滿 面 君 休 笑 坐 看 爭 
X67n1304_005:0360c19	名奪利人。	名 奪 利 人 
X67n1304_005:0360c20	第七十二則　問本來心(心眼)	第 七 十 二 則 問 本 來 心 心 眼 
X67n1304_005:0360c21	示眾云。無影無形。非內非外。慶喜尚難尋覔。神光何	示 眾 云 無 影 無 形 非 內 非 外 慶 喜 尚 難 尋 覔 神 光 何 
X67n1304_005:0360c22	處安排。有知下落者試來舉似。	處 安 排 有 知 下 落 者 試 來 舉 似 
X67n1304_005:0360c23	舉僧問護國澄禪師。如何是本來心(一堂風冷淡。千古意分明)。	舉 僧 問 護 國 澄 禪 師 如 何 是 本 來 心 一 堂 風 冷 淡 千 古 意 分 明 
X67n1304_005:0360c24	國云。犀因翫月紋生角。象被雷驚花入牙(休於言下覔。莫	國 云 犀 因 翫 月 紋 生 角 象 被 雷 驚 花 入 牙 休 於 言 下 覔 莫 
X67n1304_005:0361a01	向句中求)。	向 句 中 求 
X67n1304_005:0361a02	師云。隨州護國院淨果守澄禪師。上堂曰。諸方老宿	師 云 隨 州 護 國 院 淨 果 守 澄 禪 師 上 堂 曰 諸 方 老 宿 
X67n1304_005:0361a03	盡在曲[彔*頁]木牀上為人。及至問著祖師西來意。未曾	盡 在 曲 [彔頁] 木 牀 上 為 人 及 至 問 著 祖 師 西 來 意 未 曾 
X67n1304_005:0361a04	有一人當頭道著。時有人問。請和尚當頭道。曰。河北	有 一 人 當 頭 道 著 時 有 人 問 請 和 尚 當 頭 道 曰 河 北 
X67n1304_005:0361a05	驢鳴。河南犬吠。林泉道。不是知音徒側耳。悲風流水	驢 鳴 河 南 犬 吠 林 泉 道 不 是 知 音 徒 側 耳 悲 風 流 水 
X67n1304_005:0361a06	豈相干。僧又問如何是本來心。非過去。非現在。非未	豈 相 干 僧 又 問 如 何 是 本 來 心 非 過 去 非 現 在 非 未 
X67n1304_005:0361a07	來。亦非已滅。亦非未至。亦非空寂。子細看來。未舉念	來 亦 非 已 滅 亦 非 未 至 亦 非 空 寂 子 細 看 來 未 舉 念 
X67n1304_005:0361a08	時遭八百。擬開口處隔三千。所以二祖道覓心了不	時 遭 八 百 擬 開 口 處 隔 三 千 所 以 二 祖 道 覓 心 了 不 
X67n1304_005:0361a09	可得。故護國以紋生角花入牙拈向面前任伊定奪。	可 得 故 護 國 以 紋 生 角 花 入 牙 拈 向 面 前 任 伊 定 奪 
X67n1304_005:0361a10	據護國恁麼祗對。是本來心不是本來心。具眼者辨	據 護 國 恁 麼 祗 對 是 本 來 心 不 是 本 來 心 具 眼 者 辨 
X67n1304_005:0361a11	看。護國既能信手拈來。這僧理合全身擔荷。若非丹	看 護 國 既 能 信 手 拈 來 這 僧 理 合 全 身 擔 荷 若 非 丹 
X67n1304_005:0361a12	霞見義勇為。險不七古千年之成滯貨。頌曰。	霞 見 義 勇 為 險 不 七 古 千 年 之 成 滯 貨 頌 曰 
X67n1304_005:0361a13	三脚靈龜荒逕走(心心無間)。一枝瑞草亂峰垂(念念無差)。崑	三 脚 靈 龜 荒 逕 走 心 心 無 間 一 枝 瑞 草 亂 峰 垂 念 念 無 差 崑 
X67n1304_005:0361a14	岡含玉山先潤(枉多虫曰今面上有色)。凉兔懷胎月未知(爭肯	岡 含 玉 山 先 潤 枉 多 虫 曰 今 面 上 有 色 凉 兔 懷 胎 月 未 知 爭 肯 
X67n1304_005:0361a15	妄傳消息)。	妄 傳 消 息 
X67n1304_005:0361a16	師舉韶國師云。通玄峰頂不是人間。心外無法滿目	師 舉 韶 國 師 云 通 玄 峰 頂 不 是 人 間 心 外 無 法 滿 目 
X67n1304_005:0361a17	青山。三脚靈龜荒逕走者。休便使心作倖費力追尋。	青 山 三 脚 靈 龜 荒 逕 走 者 休 便 使 心 作 倖 費 力 追 尋 
X67n1304_005:0361a18	一枝瑞草亂峰垂。枉了將心用心轉見病深。崑岡有	一 枝 瑞 草 亂 峰 垂 枉 了 將 心 用 心 轉 見 病 深 崑 岡 有 
X67n1304_005:0361a19	玉山先潤。丹霞恁麼舉來。口是心苗無心不道。復云	玉 山 先 潤 丹 霞 恁 麼 舉 來 口 是 心 苗 無 心 不 道 復 云 
X67n1304_005:0361a20	凉兔懷胎月未知。他若知有却成剩法。若以真妄妄	凉 兔 懷 胎 月 未 知 他 若 知 有 却 成 剩 法 若 以 真 妄 妄 
X67n1304_005:0361a21	生分別。更是遠之遠矣。不見道。有心用處還應錯。無	生 分 別 更 是 遠 之 遠 矣 不 見 道 有 心 用 處 還 應 錯 無 
X67n1304_005:0361a22	意看時却宛然。	意 看 時 却 宛 然 
X67n1304_005:0361a23	第七十三則　本來父母(省訪)	第 七 十 三 則 本 來 父 母 省 訪 
X67n1304_005:0361a24	示眾云。未生以前不有爺羹娘飯。劫空之際那消私	示 眾 云 未 生 以 前 不 有 爺 羹 娘 飯 劫 空 之 際 那 消 私 
X67n1304_005:0361b01	事公酬。怕有疑情未決者莫惜唇皮。	事 公 酬 怕 有 疑 情 未 決 者 莫 惜 唇 皮 
X67n1304_005:0361b02	舉僧問護國。如何是本來父母(高着眼看)。國云頭不白	舉 僧 問 護 國 如 何 是 本 來 父 母 高 着 眼 看 國 云 頭 不 白 
X67n1304_005:0361b03	者(莫錯認)。僧云將何奉獻(薄批明月。細切清風)。國云。殷勤無米	者 莫 錯 認 僧 云 將 何 奉 獻 薄 批 明 月 細 切 清 風 國 云 殷 勤 無 米 
X67n1304_005:0361b04	飯。堂前不問親(將無做有豈費神思)。	飯 堂 前 不 問 親 將 無 做 有 豈 費 神 思 
X67n1304_005:0361b05	師云。空劫前時未兆身。了無名相寄雙親。非從養育	師 云 空 劫 前 時 未 兆 身 了 無 名 相 寄 雙 親 非 從 養 育 
X67n1304_005:0361b06	彰玄德。豈假恩怜契本真。莫並乾坤聯世譜。休同考	彰 玄 德 豈 假 恩 怜 契 本 真 莫 並 乾 坤 聯 世 譜 休 同 考 
X67n1304_005:0361b07	妣敘人倫。他家久證無生忍。何必區區問正因。昔有	妣 敘 人 倫 他 家 久 證 無 生 忍 何 必 區 區 問 正 因 昔 有 
X67n1304_005:0361b08	尼禮拜雲巖。巖曰汝爺在否。尼云在。曰年多少。云六	尼 禮 拜 雲 巖 巖 曰 汝 爺 在 否 尼 云 在 曰 年 多 少 云 六 
X67n1304_005:0361b09	十五。曰。汝有箇爺非年六十五。汝還知否。云莫是恁	十 五 曰 汝 有 箇 爺 非 年 六 十 五 汝 還 知 否 云 莫 是 恁 
X67n1304_005:0361b10	麼來者。曰恁麼來者猶是兒孫。洞山代云。直得不恁	麼 來 者 曰 恁 麼 來 者 猶 是 兒 孫 洞 山 代 云 直 得 不 恁 
X67n1304_005:0361b11	麼來者亦是兒孫。林泉道。證父攘羊。當仁不讓。護國	麼 來 者 亦 是 兒 孫 林 泉 道 證 父 攘 羊 當 仁 不 讓 護 國 
X67n1304_005:0361b12	雖答這僧頭不白者。大似明來暗謝智起惑亡。不墮	雖 答 這 僧 頭 不 白 者 大 似 明 來 暗 謝 智 起 惑 亡 不 墮 
X67n1304_005:0361b13	偏方唯居正位。這僧不識好惡賣假孝順。又問將何	偏 方 唯 居 正 位 這 僧 不 識 好 惡 賣 假 孝 順 又 問 將 何 
X67n1304_005:0361b14	奉獻。國云。殷勤無米飯。堂前不問親。佛事人情一時	奉 獻 國 云 殷 勤 無 米 飯 堂 前 不 問 親 佛 事 人 情 一 時 
X67n1304_005:0361b15	周足。未審丹霞向甚麼處相見。頌曰。	周 足 未 審 丹 霞 向 甚 麼 處 相 見 頌 曰 
X67n1304_005:0361b16	出門遍界無知己(眼高四海)。入戶盈眸不見親(傍若無人)。虗	出 門 遍 界 無 知 己 眼 高 四 海 入 戶 盈 眸 不 見 親 傍 若 無 人 虗 
X67n1304_005:0361b17	室夜寒何所有(淨躶躶赤洒洒)。碧天明月頗為隣(問道方知)。	室 夜 寒 何 所 有 淨 躶 躶 赤 洒 洒 碧 天 明 月 頗 為 隣 問 道 方 知 
X67n1304_005:0361b18	師云。相識滿天下。知心有幾人。雖云遍界不曾藏。其	師 云 相 識 滿 天 下 知 心 有 幾 人 雖 云 遍 界 不 曾 藏 其 
X67n1304_005:0361b19	奈通身無影像。其由歸家穩坐及盡今時。入戶盈眸	奈 通 身 無 影 像 其 由 歸 家 穩 坐 及 盡 今 時 入 戶 盈 眸 
X67n1304_005:0361b20	二親莫覩。僧問石霜。咫尺之間為甚麼不覩師顏。霜	二 親 莫 覩 僧 問 石 霜 咫 尺 之 間 為 甚 麼 不 覩 師 顏 霜 
X67n1304_005:0361b21	云我道遍界不曾藏。僧復問雪峰。遍界不曾藏意旨	云 我 道 遍 界 不 曾 藏 僧 復 問 雪 峰 遍 界 不 曾 藏 意 旨 
X67n1304_005:0361b22	如何。峰云甚麼處不是石霜。天童拈云。石霜雪峰相	如 何 峰 云 甚 麼 處 不 是 石 霜 天 童 拈 云 石 霜 雪 峰 相 
X67n1304_005:0361b23	去多少。直是千里萬里。若有人問長蘆。遍界不曾藏	去 多 少 直 是 千 里 萬 里 若 有 人 問 長 蘆 遍 界 不 曾 藏 
X67n1304_005:0361b24	意旨如何。但向道甚麼處是石霜。恁麼看來。虗室夜	意 旨 如 何 但 向 道 甚 麼 處 是 石 霜 恁 麼 看 來 虗 室 夜 
X67n1304_005:0361c01	寒更何所有。唯餘碧天明月端可為隣。到這裏。清光	寒 更 何 所 有 唯 餘 碧 天 明 月 端 可 為 隣 到 這 裏 清 光 
X67n1304_005:0361c02	照眼似迷家。明白轉身還墮位。	照 眼 似 迷 家 明 白 轉 身 還 墮 位 
X67n1304_005:0361c03	第七十四則　西來的意(祖教)	第 七 十 四 則 西 來 的 意 祖 教 
X67n1304_005:0361c04	示眾云。天竺都來五步。太山只重三斤。沒足石人親	示 眾 云 天 竺 都 來 五 步 太 山 只 重 三 斤 沒 足 石 人 親 
X67n1304_005:0361c05	曾計較。無星鐵秤任便評量。有不信者三思然後再	曾 計 較 無 星 鐵 秤 任 便 評 量 有 不 信 者 三 思 然 後 再 
X67n1304_005:0361c06	思可矣。	思 可 矣 
X67n1304_005:0361c07	舉僧問荷玉慧禪師。如何是西來的的意(金烏東出。玉兔	舉 僧 問 荷 玉 慧 禪 師 如 何 是 西 來 的 的 意 金 烏 東 出 玉 兔 
X67n1304_005:0361c08	西沉)。玉云不禮拜更待何時(傷嗟今古人。幾箇知恩德)。	西 沉 玉 云 不 禮 拜 更 待 何 時 傷 嗟 今 古 人 幾 箇 知 恩 德 
X67n1304_005:0361c09	師云。石頭參同契道。竺土大僊心。東西密相付。人根	師 云 石 頭 參 同 契 道 竺 土 大 僊 心 東 西 密 相 付 人 根 
X67n1304_005:0361c10	有利鈍。道無南北祖。靈源明皎潔。枝派暗流注。執事	有 利 鈍 道 無 南 北 祖 靈 源 明 皎 潔 枝 派 暗 流 注 執 事 
X67n1304_005:0361c11	元是迷。契理亦非悟。斯之的意何必重宣。這僧大似	元 是 迷 契 理 亦 非 悟 斯 之 的 意 何 必 重 宣 這 僧 大 似 
X67n1304_005:0361c12	終日數十不知二五。那信物物頭頭堂堂獨露。莫不	終 日 數 十 不 知 二 五 那 信 物 物 頭 頭 堂 堂 獨 露 莫 不 
