X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_002:0500a53	次會集論(有)	次 會 集 論 有 
X51n0825_002:0500a54	二觀待因依領受依處立(二)	二 觀 待 因 依 領 受 依 處 立 二 
X51n0825_002:0500a55	三牽引因依習氣依處立(三)	三 牽 引 因 依 習 氣 依 處 立 三 
X51n0825_002:0500a56	四(生起)因依有潤種子依處立(四)	四 生 起 因 依 有 潤 種 子 依 處 立 四 
X51n0825_002:0500a57	五攝受因依六處立(五)	五 攝 受 因 依 六 處 立 五 
X51n0825_002:0500a58	六引發因依隨順依處立(六)	六 引 發 因 依 隨 順 依 處 立 六 
X51n0825_002:0500a59	七(定異)因依差別功能依處立(七)	七 定 異 因 依 差 別 功 能 依 處 立 七 
X51n0825_002:0501a01	八同事因依和合依處立(八)	八 同 事 因 依 和 合 依 處 立 八 
X51n0825_002:0501a02	九相違因依障礙依處立(九)	九 相 違 因 依 障 礙 依 處 立 九 
X51n0825_002:0501a03	十(不相)違因依不障礙依處立(十)	十 不 相 違 因 依 不 障 礙 依 處 立 十 
X51n0825_002:0501a04	次以二因攝上十因(二)	次 以 二 因 攝 上 十 因 二 
X51n0825_002:0501a05	初標(如)	初 標 如 
X51n0825_002:0501a06	次釋(二)	次 釋 二 
X51n0825_002:0501a07	初通攝(二)	初 通 攝 二 
X51n0825_002:0501a08	初菩薩地(二)	初 菩 薩 地 二 
X51n0825_002:0501a09	初引文(菩)	初 引 文 菩 
X51n0825_002:0501a10	次釋義(二)	次 釋 義 二 
X51n0825_002:0501a11	初正明相攝(二)	初 正 明 相 攝 二 
X51n0825_002:0501a12	初能生因攝六因中是因緣(二)	初 能 生 因 攝 六 因 中 是 因 緣 二 
X51n0825_002:0501a13	初通攝六因中因緣種(此)	初 通 攝 六 因 中 因 緣 種 此 
X51n0825_002:0501a14	次別簡四因中現熏種(雖)	次 別 簡 四 因 中 現 熏 種 雖 
X51n0825_002:0501a15	次方便因攝十因中非因緣(所)	次 方 便 因 攝 十 因 中 非 因 緣 所 
X51n0825_002:0501a16	次簡示攝意(非)	次 簡 示 攝 意 非 
X51n0825_002:0501a17	次有尋等地(二)	次 有 尋 等 地 二 
X51n0825_002:0501a18	初引文(有)	初 引 文 有 
X51n0825_002:0501a19	次釋義(二)	次 釋 義 二 
X51n0825_002:0501a20	初正明相攝(此)	初 正 明 相 攝 此 
X51n0825_002:0501a21	次簡示攝意(非)	次 簡 示 攝 意 非 
X51n0825_002:0501a22	次局攝(二)	次 局 攝 二 
X51n0825_002:0501a23	初菩薩地(或)	初 菩 薩 地 或 
X51n0825_002:0501a24	次有尋等地(有)	次 有 尋 等 地 有 
X51n0825_002:0501a25	次四緣依處攝因(二)	次 四 緣 依 處 攝 因 二 
X51n0825_002:0501a26	初徵(所)	初 徵 所 
X51n0825_002:0501a27	次答(二)	次 答 二 
X51n0825_002:0501a28	初答四緣依處立義(二)	初 答 四 緣 依 處 立 義 二 
X51n0825_002:0501a29	初引文(論)	初 引 文 論 
X51n0825_002:0501a30	次釋義(二)	次 釋 義 二 
X51n0825_002:0501a31	初因緣所攝依處(二)	初 因 緣 所 攝 依 處 二 
X51n0825_002:0501a32	初通攝(二)	初 通 攝 二 
X51n0825_002:0501a33	初正攝六依處中因緣種(此)	初 正 攝 六 依 處 中 因 緣 種 此 
X51n0825_002:0501a34	次別簡四依處中現熏種(雖)	次 別 簡 四 依 處 中 現 熏 種 雖 
X51n0825_002:0501a35	次局攝(或)	次 局 攝 或 
X51n0825_002:0501a36	次二緣所攝依處(二)	次 二 緣 所 攝 依 處 二 
X51n0825_002:0501a37	初通攝(言)	初 通 攝 言 
X51n0825_002:0501a38	次局攝(或)	次 局 攝 或 
X51n0825_002:0501a39	次答四緣攝十因二因(論)	次 答 四 緣 攝 十 因 二 因 論 
X51n0825_002:0501a40	三因緣依處得果(二)	三 因 緣 依 處 得 果 二 
X51n0825_002:0501a41	初問(所)	初 問 所 
X51n0825_002:0501a42	次答(三)	次 答 三 
X51n0825_002:0501a43	初答果數唯五(果)	初 答 果 數 唯 五 果 
X51n0825_002:0501a44	次答依處得果(二)	次 答 依 處 得 果 二 
X51n0825_002:0501a45	初引文(瑜)	初 引 文 瑜 
X51n0825_002:0501a46	次釋義(二)	次 釋 義 二 
X51n0825_002:0501a47	初約通釋(習)	初 約 通 釋 習 
X51n0825_002:0501a48	次約局釋(或)	次 約 局 釋 或 
X51n0825_002:0501a49	三答因緣得果(如)	三 答 因 緣 得 果 如 
X51n0825_002:0501a51	○三正示緣生(二)	 三 正 示 緣 生 二 
X51n0825_002:0501a52	初結前起後(傍)	初 結 前 起 後 傍 
X51n0825_002:0501a53	次釋緣生相(二)	次 釋 緣 生 相 二 
X51n0825_002:0501a54	初種現生分別(二)	初 種 現 生 分 別 二 
X51n0825_002:0501a55	初明前半頌種生分別(二)	初 明 前 半 頌 種 生 分 別 二 
X51n0825_002:0501a56	初明染種生染分別(本)	初 明 染 種 生 染 分 別 本 
X51n0825_002:0501a57	次例淨種生淨分別(生)	次 例 淨 種 生 淨 分 別 生 
X51n0825_002:0501a58	次明後半頌現起分別(二)	次 明 後 半 頌 現 起 分 別 二 
X51n0825_002:0501a59	初明染現展轉生染分別(二)	初 明 染 現 展 轉 生 染 分 別 二 
X51n0825_002:0501a60	初標(現)	初 標 現 
X51n0825_002:0501a61	次釋(五)	次 釋 五 
X51n0825_002:0501a62	初有情自他展轉為緣(謂)	初 有 情 自 他 展 轉 為 緣 謂 
X51n0825_002:0501a63	二自八識聚展轉為緣(自)	二 自 八 識 聚 展 轉 為 緣 自 
X51n0825_002:0501a64	三自類前後展轉為緣(自)	三 自 類 前 後 展 轉 為 緣 自 
X51n0825_002:0502a01	四同聚異體展轉為緣(同)	四 同 聚 異 體 展 轉 為 緣 同 
X51n0825_002:0502a02	五同體四分展轉為緣(同)	五 同 體 四 分 展 轉 為 緣 同 
X51n0825_002:0502a03	次例淨現展轉生淨分別(淨)	次 例 淨 現 展 轉 生 淨 分 別 淨 
X51n0825_002:0502a04	次現種生種子(二)	次 現 種 生 種 子 二 
X51n0825_002:0502a05	初問(既)	初 問 既 
X51n0825_002:0502a06	次答(種)	次 答 種 
X51n0825_002:0502a08	○次結斥指廣(二)	 次 結 斥 指 廣 二 
X51n0825_002:0502a09	初結斥(依)	初 結 斥 依 
X51n0825_002:0502a10	次指廣(雖)	次 指 廣 雖 
X51n0825_002:0502a12	○三釋生死難(三)	 三 釋 生 死 難 三 
X51n0825_002:0502a13	初外人申難(雖)	初 外 人 申 難 雖 
X51n0825_002:0502a14	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_002:0502a15	三末論釋成(二)	三 末 論 釋 成 二 
X51n0825_002:0502a16	初正釋(四)	初 正 釋 四 
X51n0825_002:0502a17	初師業取相續(三)	初 師 業 取 相 續 三 
X51n0825_002:0502a18	初正釋頌文(二)	初 正 釋 頌 文 二 
X51n0825_002:0502a19	初釋前二句(二)	初 釋 前 二 句 二 
X51n0825_002:0502a20	初釋習氣(二)	初 釋 習 氣 二 
X51n0825_002:0502a21	初諸業習氣(論)	初 諸 業 習 氣 論 
X51n0825_002:0502a22	次二取習氣(相)	次 二 取 習 氣 相 
X51n0825_002:0502a23	次釋俱義(俱)	次 釋 俱 義 俱 
X51n0825_002:0502a24	次釋後二句(前)	次 釋 後 二 句 前 
X51n0825_002:0502a25	次結斥外問(由)	次 結 斥 外 問 由 
X51n0825_002:0502a26	三總申頌意(此)	三 總 申 頌 意 此 
X51n0825_002:0502a27	二師習氣相續(三)	二 師 習 氣 相 續 三 
X51n0825_002:0502a28	初總標(復)	初 總 標 復 
X51n0825_002:0502a29	次別釋(二)	次 別 釋 二 
X51n0825_002:0502a30	初名言習氣(一)	初 名 言 習 氣 一 
X51n0825_002:0502a31	次我執有支(二)	次 我 執 有 支 二 
X51n0825_002:0502a32	初分釋二習氣(二)	初 分 釋 二 習 氣 二 
X51n0825_002:0502a33	初我執習氣(二)	初 我執習氣 二 
X51n0825_002:0502a34	次有支習氣(三)	次 有 支 習 氣 三 
X51n0825_002:0502a35	次通結增上緣(應)	次 通 結 增 上 緣 應 
X51n0825_002:0502a36	三屬頌(二)	三 屬 頌 二 
X51n0825_002:0502a37	初結屬(此)	初 結 屬 此 
X51n0825_002:0502a38	次指同(俱)	次 指 同 俱 
X51n0825_002:0502a39	三師障支相續(二)	三 師 障 支 相 續 二 
X51n0825_002:0502a40	初正約三障釋(三)	初 正 約 三 障 釋 三 
X51n0825_002:0502a41	初三障習氣(復)	初 三 障 習 氣 復 
X51n0825_002:0502a42	次判屬二緣(前)	次 判 屬 二 緣 前 
X51n0825_002:0502a43	三結屬頌文(二)	三 結 屬 頌 文 二 
X51n0825_002:0502a44	初結屬(領)	初 結 屬 領 
X51n0825_002:0502a45	次指同(俱)	次 指 同 俱 
X51n0825_002:0502a46	次以障攝有支(三)	次 以 障 攝 有 支 三 
X51n0825_002:0502a47	初標列指廣(此)	初 標 列 指 廣 此 
X51n0825_002:0502a48	次別釋有支(三)	次 別 釋 有 支 三 
X51n0825_002:0502a49	初正釋支體(二)	初 正 釋 支 體 二 
X51n0825_002:0502a50	初標(然)	初 標 然 
X51n0825_002:0502a51	次釋(四)	次 釋 四 
X51n0825_002:0502a52	初能引支(一)	初 能 引 支 一 
X51n0825_002:0502a53	二所引支(四)	二 所 引 支 四 
X51n0825_002:0502a54	初正釋五支(二)	初 正 釋 五 支 二 
X51n0825_002:0502a55	二簡種相攝(此)	二 簡 種 相 攝 此 
X51n0825_002:0502a56	三會通經論(集)	三 會 通 經 論 集 
X51n0825_002:0502a57	四五支次第(二)	四 五 支 次 第 二 
X51n0825_002:0502a58	初聖教假說前後(識)	初 聖 教 假 說 前 後 識 
X51n0825_002:0502a59	次依當果明前後(二)	次 依 當 果 明 前 後 二 
X51n0825_002:0502a60	初正釋(或)	初 正 釋 或 
X51n0825_002:0502a61	次會異(由)	次 會 異 由 
X51n0825_002:0502a62	三能生支(二)	三 能 生 支 二 
X51n0825_002:0502a63	初總釋(三)	初 總 釋 三 
X51n0825_002:0503a01	次別釋(二)	次 別 釋 二 
X51n0825_002:0503a02	初正釋義(謂)	初 正 釋 義 謂 
X51n0825_002:0503a03	次會瑜伽(有)	次 會 瑜 伽 有 
X51n0825_002:0503a04	四所生支(二)	四 所 生 支 二 
X51n0825_002:0503a05	初總釋(四)	初 總 釋 四 
X51n0825_002:0503a06	次別釋(謂)	次 別 釋 謂 
X51n0825_002:0503a07	次料簡支義(八)	次 料 簡 支 義 八 
X51n0825_002:0503a08	初簡老附死支(老)	初 簡 老 附 死 支 老 
X51n0825_002:0503a09	二簡病非有支(病)	二 簡 病 非 有 支 病 
X51n0825_002:0503a10	三簡名色徧不徧(二)	三 簡 名 色 徧 不 徧 二 
X51n0825_002:0503a11	初問(名)	初 問 名 
X51n0825_002:0503a12	次答(定)	次 答 定 
X51n0825_002:0503a13	四簡愛支徧非徧(二)	四 簡 愛 支 徧 非 徧 二 
X51n0825_002:0503a14	初問(愛)	初 問 愛 
X51n0825_002:0503a15	次答(定)	次 答 定 
X51n0825_002:0503a16	五簡所生所引不同(二)	五 簡 所 生 所 引 不 同 二 
X51n0825_002:0503a17	初問(何)	初 問 何 
X51n0825_002:0503a18	次答(二)	次 答 二 
X51n0825_002:0503a19	初約因果難易釋(因)	初 約 因 果 難 易 釋 因 
X51n0825_002:0503a20	次約生厭了知釋(然)	次 約 生 厭 了 知 釋 然 
X51n0825_002:0503a21	六簡發業潤業不同(二)	六 簡 發 業 潤 業 不 同 二 
X51n0825_002:0503a22	初問(何)	初 問 何 
X51n0825_002:0503a23	次答(三)	次 答 三 
X51n0825_002:0503a24	初約勝劣門答立名不同(雖)	初 約 勝 劣 門 答 立 名 不 同 雖 
X51n0825_002:0503a25	次約熏不熏出廣略所以(要)	次 約 熏 不 熏 出 廣 略 所 以 要 
X51n0825_002:0503a26	三別釋愛增妨(雖)	三 別 釋 愛 增 妨 雖 
X51n0825_002:0503a27	七簡發潤所依緣地(諸)	七 簡 發 潤 所 依 緣 地 諸 
X51n0825_002:0503a28	八簡因果及世異同(此)	八 簡 因 果 及 世 異 同 此 
X51n0825_002:0503a29	三諸門分別(十七)	三 諸 門 分 別 十 七 
X51n0825_002:0503a30	初假實分別門(此)	初 假 實 分 別 門 此 
X51n0825_002:0503a31	二一非一事門(五)	二 一 非 一 事 門 五 
X51n0825_002:0503a32	三染與不染門(三)	三 染 與 不 染 門 三 
X51n0825_002:0503a33	四獨雜分別門(無)	四 獨 雜 分 別 門 無 
X51n0825_002:0503a34	五色非色攝門(六)	五 色 非 色 攝 門 六 
X51n0825_002:0503a35	六有漏無漏門	六 有漏無漏 門 
X51n0825_002:0503a36	七有為無為門(皆)	七 有 為 無 為 門 皆 
X51n0825_002:0503a37	八三性分別門(無)	八 三 性 分 別 門 無 
X51n0825_002:0503a38	九三界分別門(雖)	九 三 界 分 別 門 雖 
X51n0825_002:0503a39	十能治所治門(土)	十 能治所治 門 土 
X51n0825_002:0503a40	十一學等分別門(一)	十 一 學 等 分 別 門 一 
X51n0825_002:0503a41	十二二斷分別門(二)	十 二 二 斷 分 別 門 二 
X51n0825_002:0503a42	初師通二斷有通局(有)	初 師 通 二 斷 有 通 局 有 
X51n0825_002:0503a43	次師一切皆通二斷(二)	次 師 一 切 皆 通 二 斷 二 
X51n0825_002:0503a44	初標(有)	初 標 有 
X51n0825_002:0503a45	次釋(二)	次 釋 二 
X51n0825_002:0503a46	初難前師(論)	初 難 前 師 論 
X51n0825_002:0503a47	次申正義(二)	次 申 正 義 二 
X51n0825_002:0503a48	初正申(二)	初 正 申 二 
X51n0825_002:0503a49	初別對前師申三支正義(然)	初 別 對 前 師 申 三 支 正 義 然 
X51n0825_002:0503a50	次通申十二支斷義不同(二)	次 通 申 十 二 支 斷 義 不 同 二 
X51n0825_002:0503a51	初明是染污者自性應斷(又)	初 明 是 染 污 者 自 性 應 斷 又 
X51n0825_002:0503a52	次明非染污者非性應斷(二)	次 明 非 染 污 者 非 性 應 斷 二 
X51n0825_002:0503a53	初正明非性應斷(一)	初 正 明 非 性 應 斷 一 
X51n0825_002:0503a54	次有二義故說斷(然)	次 有 二 義 故 說 斷 然 
X51n0825_002:0504a01	次結示(說)	次 結 示 說 
X51n0825_002:0504a02	十三三受分別門(十)	十 三 三 受 分 別 門 十 
X51n0825_002:0504a03	十四三苦分別門(十)	十 四 三 苦 分 別 門 十 
X51n0825_002:0504a04	十五四諦所攝門(皆)	十 五 四 諦 所 攝 門 皆 
X51n0825_002:0504a05	十六四緣分別門(二)	十 六 四 緣 分 別 門 二 
X51n0825_002:0504a06	初總顯具闕(諸)	初 總 顯 具 闕 諸 
X51n0825_002:0504a07	次別明有無(三)	次 別 明 有 無 三 
X51n0825_002:0504a08	初明有因緣(二)	初 明 有 因 緣 二 
X51n0825_002:0504a09	初正明實義(愛)	初 正 明 實 義 愛 
X51n0825_002:0504a10	次會通他論(二)	次 會 通 他 論 二 
X51n0825_002:0504a11	初會集論(而)	初 會 集 論 而 
X51n0825_002:0504a12	次會瑜伽(瑜)	次 會 瑜 伽 瑜 
X51n0825_002:0504a13	次辨餘二緣(無)	次 辨 餘 二 緣 無 
X51n0825_002:0504a14	三結例無方(此)	三 結 例 無 方 此 
X51n0825_002:0504a15	十七惑苦相攝門(惑)	十 七 惑 苦 相 攝 門 惑 
X51n0825_002:0504a16	三結屬頌義(由)	三 結 屬 頌 義 由 
X51n0825_002:0504a17	四師染淨相續○	四 師 染 淨 相 續 
X51n0825_002:0504a18	次總結○	次 總 結 
X51n0825_002:0504a20	○四師染淨相續(二)	 四 師 染 淨 相 續 二 
X51n0825_002:0504a21	初正明染淨相續(三)	初 正 明 染 淨 相 續 三 
X51n0825_002:0504a22	初總明(復)	初 總 明 復 
X51n0825_002:0504a23	次徵標(所)	次 徵 標 所 
X51n0825_002:0504a24	三別釋(三)	三 別 釋 三 
X51n0825_002:0504a25	初正釋(二)	初 正 釋 二 
X51n0825_002:0504a26	初分段(一)	初 分 段 一 
X51n0825_002:0504a27	次變易(三)	次 變 易 三 
X51n0825_002:0504a28	初正釋(一)	初 正 釋 一 
X51n0825_002:0504a29	次會異(二)	次 會 異 二 
X51n0825_002:0504a30	初會意成身(如)	初 會 意 成 身 如 
X51n0825_002:0504a31	次會變化身(亦)	次 會 變 化 身 亦 
X51n0825_002:0504a32	三料簡(四)	三 料 簡 四 
X51n0825_002:0504a33	初簡所知感生死(二)	初 簡 所 知 感 生 死 二 
X51n0825_002:0504a34	初問(若)	初 問 若 
X51n0825_002:0504a35	次答(如)	次 答 如 
X51n0825_002:0504a36	二簡道諦實感苦(二)	二 簡 道 諦 實 感 苦 二 
X51n0825_002:0504a37	初問(如)	初 問 如 
X51n0825_002:0504a38	次答(誰)	次 答 誰 
X51n0825_002:0504a39	三簡資感有二益(二)	三 簡 資 感 有 二 益 二 
X51n0825_002:0504a40	初問(何)	初 問 何 
X51n0825_002:0504a41	次答(自)	次 答 自 
X51n0825_002:0504a42	四簡資感須所知(二)	四 簡 資 感 須 所 知 二 
X51n0825_002:0504a43	初問(彼)	初 問 彼 
X51n0825_002:0504a44	次答(二)	次 答 二 
X51n0825_002:0504a45	初正明須所知所以(既)	初 正 明 須 所 知 所 以 既 
X51n0825_002:0504a46	次簡判所留身不同(二)	次 簡 判 所 留 身 不 同 二 
X51n0825_002:0504a47	初正判所留由資助異(若)	初 正 判 所 留 由 資 助 異 若 
X51n0825_002:0504a48	次別判變易是二果攝(由)	次 別 判 變 易 是 二 果 攝 由 
X51n0825_002:0504a49	次屬頌(二)	次 屬 頌 二 
X51n0825_002:0504a50	初結屬(頌)	初 結 屬 頌 
X51n0825_002:0504a51	次指同(俱)	次 指 同 俱 
X51n0825_002:0504a52	三釋疑(二)	三 釋 疑 二 
X51n0825_002:0504a53	初釋變易無前盡復生疑(變)	初 釋 變 易 無 前 盡 復 生 疑 變 
X51n0825_002:0504a54	次釋不說生死亦由現疑(雖)	次 釋 不 說 生 死 亦 由 現 疑 雖 
X51n0825_002:0504a55	次例明純淨相續(前)	次 例 明 純 淨 相 續 前 
X51n0825_002:0504a57	○次總結(由)	 次 總 結 由 
X51n0825_002:0504a59	○四釋三性難(二)	 四 釋 三 性 難 二 
X51n0825_002:0504a60	初正釋三性皆不離唯識(二)	初 正 釋 三 性 皆 不 離 唯 識 二 
X51n0825_002:0504a61	初外人申難(若)	初 外 人 申 難 若 
X51n0825_002:0504a62	次論主答釋(三)	次 論 主 答 釋 三 
X51n0825_002:0505a01	初略答徵起(應)	初 略 答 徵 起 應 
X51n0825_002:0505a02	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_002:0505a03	三末論釋成(二)	三 末 論 釋 成 二 
X51n0825_002:0505a04	初正釋頌文(二)	初 正 釋 頌 文 二 
X51n0825_002:0505a05	初別釋頌文(三)	初 別 釋 頌 文 三 
X51n0825_002:0505a06	初釋徧計性(二)	初 釋 徧 計 性 二 
X51n0825_002:0505a07	初略釋(論)	初 略 釋 論 
X51n0825_002:0505a08	次廣釋(二)	次 廣 釋 二 
X51n0825_002:0505a09	初總科分(或)	初 總 科 分 或 
X51n0825_002:0505a10	次別解釋(三)	次 別 解 釋 三 
X51n0825_002:0505a11	初能徧計(二)	初 能 徧 計 二 
X51n0825_002:0505a12	初標徵(初)	初 標 徵 初 
X51n0825_002:0505a13	次釋相(二)	次 釋 相 二 
X51n0825_002:0505a14	初安慧八識王所皆能徧計(有)	初 安 慧 八 識 王 所 皆 能 徧 計 有 
X51n0825_002:0505a15	次護法唯六七心品能徧計(三)	次 護 法 唯 六 七 心 品 能 徧 計 三 
X51n0825_002:0505a16	初正釋(有)	初 正 釋 有 
X51n0825_002:0505a17	次斥前(有)	次 斥 前 有 
X51n0825_002:0505a18	三結示(由)	三 結 示 由 
X51n0825_002:0505a19	次所徧計(二)	次 所 徧 計 二 
X51n0825_002:0505a20	初標徵(次)	初 標 徵 次 
X51n0825_002:0505a21	次釋相(攝)	次 釋 相 攝 
X51n0825_002:0505a22	三對依他明徧計所執(二)	三 對 依 他 明 徧 計 所 執 二 
X51n0825_002:0505a23	初徵(徧)	初 徵 徧 
X51n0825_002:0505a24	次釋(二)	次 釋 二 
X51n0825_002:0505a25	初(安慧立自證為依他相見)為徧計所執(有)	初 安 慧 立 自 證 為 依 他 相 見 為 徧 計 所 執 有 
X51n0825_002:0505a26	次(護法立王所四分皆依他二四句為徧計)所執(二)	次 護 法 立 王 所 四 分 皆 依 他 二 四 句 為 徧 計 所 執 二 
X51n0825_002:0505a27	初正釋(二)	初 正 釋 二 
X51n0825_002:0505a28	初雙釋依徧(有)	初 雙 釋 依 徧 有 
X51n0825_002:0505a29	次別證依他(二)	次 別 證 依 他 二 
X51n0825_002:0505a30	初引教證(諸)	初 引 教 證 諸 
X51n0825_002:0505a31	次立理證(不)	次 立 理 證 不 
X51n0825_002:0505a32	次斥前(又)	次 斥 前 又 
X51n0825_002:0505a33	次釋依他起(二)	次 釋 依 他 起 二 
X51n0825_002:0505a34	初出依他體(由)	初 出 依 他 體 由 
X51n0825_002:0505a35	次簡釋緣生(頌)	次 簡 釋 緣 生 頌 
X51n0825_002:0505a36	三釋圓成實(三)	三 釋 圓 成 實 三 
X51n0825_002:0505a37	初正釋圓成實體性(二)	初 正 釋 圓 成 實 體 性 二 
X51n0825_002:0505a38	初釋圓成實三字(二)	初 釋 圓 成 實 三 字 二 
X51n0825_002:0505a39	次釋於彼等七字(此)	次 釋 於 彼 等 七 字 此 
X51n0825_002:0505a40	次對依他明非一異(三)	次 對 依 他 明 非 一 異 三 
X51n0825_002:0505a41	初法(由)	初 法 由 
X51n0825_002:0505a42	次譬(云)	次 譬 云 
X51n0825_002:0505a43	三合(由)	三 合 由 
X51n0825_002:0505a44	三明證此能了依他(三)	三 明 證 此 能 了 依 他 三 
X51n0825_002:0505a45	初正釋(非)	初 正 釋 非 
X51n0825_002:0505a46	次釋妨(雖)	次 釋 妨 雖 
X51n0825_002:0505a47	三引證(依)	三 引 證 依 
X51n0825_002:0505a48	次總申頌意(此)	次 總 申 頌 意 此 
X51n0825_002:0505a49	次義類相攝○	次 義 類 相 攝 
X51n0825_002:0505a50	次別釋無性亦不離識性○	次 別 釋 無 性 亦 不 離 識 性 
X51n0825_002:0505a52	○次義類相攝(二)	 次 義 類 相 攝 二 
X51n0825_002:0505a53	初正明相攝(十二)	初 正 明 相 攝 十 二 
X51n0825_002:0505a54	初與六無為相攝(二)	初 與 六 無 為 相 攝 二 
X51n0825_002:0505a55	初問(虗)	初 問 虗 
X51n0825_002:0505a56	次答(三)	次 答 三 
X51n0825_002:0505a57	二與七真如相攝(二)	二 與 七 真 如 相 攝 二 
X51n0825_002:0505a58	初問(如)	初 問 如 
X51n0825_002:0505a59	次答(二)	次 答 二 
X51n0825_002:0505a60	初列名體(七)	初 列 名 體 七 
X51n0825_002:0505a61	次明相攝(此)	次 明 相 攝 此 
X51n0825_002:0505a62	三與六法相攝(二)	三 與 六 法 相 攝 二 
X51n0825_002:0505a63	初問(三)	初 問 三 
X51n0825_002:0505a64	次答(彼)	次 答 彼 
X51n0825_002:0505a65	四與五事相攝(二)	四 與 五 事 相 攝 二 
X51n0825_002:0505a66	初問(三)	初 問 三 
X51n0825_002:0506a01	次答(三)	次 答 三 
X51n0825_002:0506a02	初總標(諸)	初 總 標 諸 
X51n0825_002:0506a03	次別釋(四)	次 別 釋 四 
X51n0825_002:0506a04	初二性攝五(謂)	初 二 性 攝 五 謂 
X51n0825_002:0506a05	二三性攝五(或)	二 三 性 攝 五 或 
X51n0825_002:0506a06	三三性攝五(或)	三 三 性 攝 五 或 
X51n0825_002:0506a07	四二性攝二(復)	四 二 性 攝 二 復 
X51n0825_002:0506a08	三結示(諸)	三 結 示 諸 
X51n0825_002:0506a09	五與五相相攝(二)	五 與 五 相 相 攝 二 
X51n0825_002:0506a10	初問(又)	初 問 又 
X51n0825_002:0506a11	次答(所)	次 答 所 
X51n0825_002:0506a12	六與四真實相攝(二)	六 與 四 真 實 相 攝 二 
X51n0825_002:0506a13	初問(又)	初 問 又 
X51n0825_002:0506a14	次答(世)	次 答 世 
X51n0825_002:0506a15	七與四諦相攝(二)	七 與 四 諦 相 攝 二 
X51n0825_002:0506a16	初問(三)	初 問 三 
X51n0825_002:0506a17	次答(三)	次 答 三 
X51n0825_002:0506a18	初總標(四)	初 總 標 四 
X51n0825_002:0506a19	次別釋(四)	次 別 釋 四 
X51n0825_002:0506a20	初苦諦三性(且)	初 苦 諦 三 性 且 
X51n0825_002:0506a21	二集諦三性(集)	二 集 諦 三 性 集 
X51n0825_002:0506a22	三滅諦三性(滅)	三 滅 諦 三 性 滅 
X51n0825_002:0506a23	四道諦三性(道)	四 道 諦 三 性 道 
X51n0825_002:0506a24	三結配(七)	三 結 配 七 
X51n0825_002:0506a25	八與三解脫相攝(二)	八 與 三 解 脫 相 攝 二 
X51n0825_002:0506a26	初問(三)	初 問 三 
X51n0825_002:0506a27	次答(理)	次 答 理 
X51n0825_002:0506a28	九與二諦相攝(二)	九 與 二 諦 相 攝 二 
X51n0825_002:0506a29	初問(此)	初 問 此 
X51n0825_002:0506a30	次答(應)	次 答 應 
X51n0825_002:0506a31	十凡聖智境(二)	十 凡 聖 智 境 二 
X51n0825_002:0506a32	初問(此)	初 問 此 
X51n0825_002:0506a33	次答(徧)	次 答 徧 
X51n0825_002:0506a34	十一假實分別(二)	十 一 假 實 分 別 二 
X51n0825_002:0506a35	初問(此)	初 問 此 
X51n0825_002:0506a36	次答(應)	次 答 應 
X51n0825_002:0506a37	十二異不異分別(二)	十 二 異 不 異 分 別 二 
X51n0825_002:0506a38	初問(如)	初 問 如 
X51n0825_002:0506a39	次答(徧)	次 答 徧 
X51n0825_002:0506a40	次結略指廣(如)	次 結 略 指 廣 如 
X51n0825_002:0506a42	第九卷	第 九 卷 
X51n0825_002:0506a44	○次別釋無性亦不離識性(三)	 次 別 釋 無 性 亦 不 離 識 性 三 
X51n0825_002:0506a45	初躡前申難(若)	初 躡 前 申 難 若 
X51n0825_002:0506a46	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_002:0506a47	三末論釋成(二)	三 末 論 釋 成 二 
X51n0825_002:0506a48	初正釋頌文(二)	初 正 釋 頌 文 二 
X51n0825_002:0506a49	初釋三種無性(二)	初 釋 三種無性 二 
X51n0825_002:0506a50	初總明三無性是密意說(論)	初 總 明 三 無 性 是 密 意 說 論 
X51n0825_002:0506a51	次別釋三無性依三性立(二)	次 別 釋 三 無 性 依 三 性 立 二 
X51n0825_002:0506a52	初徵(云)	初 徵 云 
X51n0825_002:0506a53	次釋(二)	次 釋 二 
X51n0825_002:0506a54	初正釋(謂)	初 正 釋 謂 
X51n0825_002:0506a55	次簡濫(雖)	次 簡 濫 雖 
X51n0825_002:0506a56	次釋唯識實性(二)	次 釋 唯識實性 二 
X51n0825_002:0506a57	初會圓成即勝義真如(二)	初 會 圓 成 即 勝 義 真 如 二 
X51n0825_002:0506a58	初會歸勝義(此)	初 會 歸 勝 義 此 
X51n0825_002:0506a59	次會歸真如(二)	次 會 歸 真 如 二 
X51n0825_002:0506a60	初正會歸(亦)	初 正 會 歸 亦 
X51n0825_002:0506a61	次釋亦言(亦)	次 釋 亦 言 亦 
X51n0825_002:0506a62	次會圓成即唯識實性(此)	次 會 圓 成 即 唯識實性 此 
X51n0825_002:0506a63	次結示勸信(三)	次 結 示 勸 信 三 
X51n0825_002:0506a65	○三後有五頌明修行之位次(二)	 三 後 有 五 頌 明 修 行 之 位 次 二 
X51n0825_002:0506a66	初略明五種行位(二)	初 略 明 五 種 行 位 二 
